"","AA.Open","AA.High","AA.Low","AA.Close","AA.Volume","AA.Adjusted"
"2007-01-03",30.05,30.06,29.17,29.33,8176300,25.89
"2007-01-04",29.33,29.4,28.81,29.11,5655800,25.7
"2007-01-05",29.11,29.24,28.49,28.76,7453100,25.39
"2007-01-08",28.87,29.02,28.28,28.48,10276100,25.14
"2007-01-09",28.7,28.88,28.09,28.52,12511700,25.18
"2007-01-10",29.57,30.36,29.21,30.23,23283400,26.69
"2007-01-11",29.73,30.71,29.73,30.47,11658200,26.9
"2007-01-12",30.1,31.17,30.05,30.79,9466200,27.18
"2007-01-16",30.8,31,30.4,30.58,7385000,26.99
"2007-01-17",30.4,30.62,30.17,30.53,6987900,26.95
"2007-01-18",30.25,31.08,30.24,30.3,7055000,26.75
"2007-01-19",30.54,31.74,30.42,31.4,13042900,27.72
"2007-01-22",31.47,31.73,31.04,31.17,7707900,27.52
"2007-01-23",31.17,31.87,31.17,31.57,7085200,27.87
"2007-01-24",31.9,31.98,31.69,31.8,9883600,28.07
"2007-01-25",32,32.04,31.32,31.47,5625300,27.78
"2007-01-26",31.62,32.28,31.4,32.07,9641700,28.31
"2007-01-29",32.07,32.15,31.73,31.8,11978300,28.07
"2007-01-30",32.19,32.62,32.12,32.31,11429100,28.52
"2007-01-31",32.02,32.49,31.83,32.3,5468200,28.66
"2007-02-01",32.54,32.92,32.5,32.8,6139500,29.11
"2007-02-02",32.75,32.75,32.15,32.44,5780700,28.79
"2007-02-05",32.5,32.87,32.37,32.56,6376200,28.89
"2007-02-06",32.56,32.94,32.55,32.85,5306200,29.15
"2007-02-07",32.85,32.86,32.07,32.15,8325900,28.53
"2007-02-08",32.34,32.76,32.2,32.64,12955300,28.97
"2007-02-09",32.65,32.94,32.47,32.52,7848500,28.86
"2007-02-12",32.61,33.2,32.61,32.9,8125200,29.2
"2007-02-13",34.85,36.05,34.55,35,43552100,31.06
"2007-02-14",34.63,35,34.39,34.57,11959500,30.68
"2007-02-15",34.45,35.09,34.04,34.71,11970300,30.8
"2007-02-16",34.91,34.95,34.39,34.78,5723500,30.86
"2007-02-20",34.76,34.93,34.17,34.87,6149900,30.94
"2007-02-21",34.61,35.16,34.39,35.15,5958800,31.19
"2007-02-22",35.02,35.49,34.62,34.75,7860300,30.84
"2007-02-23",34.8,35.26,34.53,35.08,6949800,31.13
"2007-02-26",35.17,35.56,35.01,35.36,7591300,31.38
"2007-02-27",34.23,34.64,33.05,33.79,14754500,29.99
"2007-02-28",33.5,34.04,32.81,33.41,22745700,29.65
"2007-03-01",32.71,34.18,32.13,33.25,15717100,29.51
"2007-03-02",33,33.4,32.44,32.7,8397100,29.02
"2007-03-05",32.18,32.4,31.61,31.73,12969000,28.16
"2007-03-06",32.29,32.58,32,32.41,8356100,28.76
"2007-03-07",32.4,32.95,32.35,32.39,8048400,28.74
"2007-03-08",32.6,32.85,32.24,32.49,7304900,28.83
"2007-03-09",33,33.32,32.69,33.2,9092100,29.46
"2007-03-12",32.85,33.62,32.8,33.42,8013300,29.66
"2007-03-13",33.26,33.81,32.66,32.75,10091600,29.06
"2007-03-14",33.09,33.39,32.44,33.32,10475000,29.57
"2007-03-15",33.5,34.56,33.42,33.88,13467100,30.07
"2007-03-16",33.97,34,33.3,33.48,11717000,29.71
"2007-03-19",33.65,34.03,33.43,33.96,8415700,30.14
"2007-03-20",33.9,34.19,33.85,34.07,6669600,30.23
"2007-03-21",33.67,33.94,33.37,33.85,13008900,30.04
"2007-03-22",33.5,34.08,33.5,33.69,6685200,29.9
"2007-03-23",33.57,34.19,33.45,34.19,7546400,30.34
"2007-03-26",34.02,34.2,33.44,34.17,7220600,30.32
"2007-03-27",34.15,34.39,33.85,34,5641100,30.17
"2007-03-28",33.99,33.99,33.26,33.58,8305800,29.8
"2007-03-29",33.84,34.02,33.38,33.68,8313600,29.89
"2007-03-30",33.71,34.2,33.68,33.9,6193300,30.08
"2007-04-02",34.08,34.25,33.91,33.92,6400700,30.1
"2007-04-03",34.07,34.8,33.97,34.62,9367100,30.72
"2007-04-04",34.64,34.79,34.4,34.5,5649500,30.62
"2007-04-05",34.5,34.98,34.34,34.59,6965000,30.7
"2007-04-09",34.81,35.13,34.67,34.87,7061900,30.94
"2007-04-10",34.95,35.22,34.62,34.9,10191700,30.97
"2007-04-11",35.65,35.76,34.92,35.08,16750400,31.13
"2007-04-12",35.11,35.19,34.79,35.07,13700800,31.12
"2007-04-13",35.17,35.17,34.64,35.12,7546400,31.17
"2007-04-16",35.12,35.3,34.89,34.94,7663700,31.01
"2007-04-17",34.8,34.94,34.58,34.77,6200400,30.86
"2007-04-18",35,35,34.37,34.47,5643000,30.59
"2007-04-19",33.77,34.59,33.69,34.33,6252000,30.47
"2007-04-20",34.99,35,34.09,34.37,10314800,30.5
"2007-04-23",34.7,34.7,34.1,34.15,6324500,30.31
"2007-04-24",34.43,34.43,33.63,33.95,8340600,30.13
"2007-04-25",35.75,36.5,35.5,35.76,25693000,31.73
"2007-04-26",35.75,36.11,35.52,35.81,12136900,31.78
"2007-04-27",35.46,36.14,35.44,35.99,6541100,31.94
"2007-04-30",35.76,36.1,35.46,35.49,9330400,31.5
"2007-05-01",35.64,35.7,34.39,34.76,23790400,30.85
"2007-05-02",34.88,35.05,34.76,34.88,8600900,31.11
"2007-05-03",35.49,35.5,34.75,35.06,6438300,31.27
"2007-05-04",35.07,35.68,34.94,35.66,9151000,31.8
"2007-05-07",37.67,38.83,37.02,38.63,74718900,34.45
"2007-05-08",38.56,39.9,38.1,39.5,38971700,35.23
