"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"2007-01-03",45.08,46.15,45.08,46.11,5471400,20.59
"2007-01-04",46.23,46.41,45.98,46.29,2773800,20.67
"2007-01-05",46.11,46.4,45.56,45.73,4010600,20.42
"2007-01-08",46.21,46.6,45.9,46.45,3688800,20.74
"2007-01-09",46.6,46.79,46.22,46.3,4130600,20.68
"2007-01-10",46.3,46.66,46.22,46.52,1671200,20.77
"2007-01-11",46.6,47.53,46.57,47.26,2689000,21.1
"2007-01-12",47.01,47.57,46.73,47.37,2202000,21.15
"2007-01-16",47.57,47.82,47.32,47.66,1763000,21.28
"2007-01-17",47.55,48.4,47.37,48.37,2451000,21.6
"2007-01-18",48.4,48.8,47.97,48.09,2425400,21.47
"2007-01-19",48.25,48.35,47.84,48.01,3140000,21.44
"2007-01-22",48.01,48.3,47.42,47.53,3074600,21.22
"2007-01-23",47.49,48.24,47.4,48.07,2230600,21.47
"2007-01-24",50.1,52.25,49.76,51.96,10118600,23.2
"2007-01-25",51.89,54.4,51.89,53.02,7620200,23.68
"2007-01-26",52.98,53.2,52.41,52.83,3924200,23.59
"2007-01-29",52.72,52.79,51.54,51.82,4524800,23.14
"2007-01-30",52.04,52.4,51.72,52.34,3067000,23.37
"2007-01-31",51.96,52.45,51.8,52.38,2230600,23.39
"2007-02-01",52.4,52.54,52.04,52.37,3314600,23.39
"2007-02-02",52.44,52.88,52.29,52.33,2064000,23.37
"2007-02-05",52.29,52.62,52.15,52.5,1708600,23.44
"2007-02-06",52.51,52.51,52.07,52.41,2001800,23.4
"2007-02-07",52.47,52.58,52.21,52.51,1376400,23.45
"2007-02-08",52.51,52.94,52.25,52.67,1366000,23.52
"2007-02-09",52.77,53.55,52.7,53.51,3145800,23.89
"2007-02-12",53.51,53.54,53.06,53.52,2541200,23.9
"2007-02-13",53.5,54.1,53.25,54.1,2281000,24.16
"2007-02-14",54.4,54.69,53.87,54,1660200,24.11
"2007-02-15",54.18,55.52,54.13,55.32,3367800,24.7
"2007-02-16",55.07,55.24,54.79,54.9,1985400,24.52
"2007-02-20",54.88,55.2,54.8,55.06,1251000,24.59
"2007-02-21",54.78,54.96,54.66,54.85,1434800,24.49
"2007-02-22",54.85,55,54.69,54.84,1377200,24.49
"2007-02-23",54.81,55.13,54.45,55.01,1542800,24.59
"2007-02-26",54.9,54.96,53.58,54.02,2418600,24.14
"2007-02-27",53.78,53.97,52,52.3,2768600,23.38
"2007-02-28",52.3,53.07,51.95,52.6,2868200,23.51
"2007-03-01",51.7,52.9,51.04,52.43,2595800,23.43
"2007-03-02",52.33,52.54,51.63,51.68,1586000,23.1
"2007-03-05",51.04,51.87,51,51.03,1896800,22.81
"2007-03-06",51.05,52.52,51.05,52.46,2495400,23.45
"2007-03-07",52.46,52.63,51.63,51.7,3363600,23.11
"2007-03-08",52.2,53.04,51.91,52.66,2502400,23.54
"2007-03-09",52.91,53.28,52.71,53.09,1870400,23.73
"2007-03-12",52.86,53.49,52.42,52.44,2071000,23.44
"2007-03-13",52.1,52.55,51,51.11,4348400,22.84
"2007-03-14",50.22,52.71,50.22,51.88,3812800,23.19
"2007-03-15",52,52.25,51.6,52.25,1722200,23.35
"2007-03-16",52.39,52.75,51.36,51.86,2323200,23.18
"2007-03-19",52.11,53.38,52,53.3,2307600,23.82
"2007-03-20",53.2,53.3,52.58,52.81,2013000,23.6
