"","ABT.Open","ABT.High","ABT.Low","ABT.Close","ABT.Volume","ABT.Adjusted"
"2007-01-03",48.83,49.49,48.75,48.97,11214900,19.11
"2007-01-04",49.06,50.24,48.97,49.9,21185500,19.47
"2007-01-05",49.9,50,49.27,49.9,14649900,19.47
"2007-01-08",49.82,50.13,49.64,50.08,12734700,19.54
"2007-01-09",50.15,50.66,50,50.52,16969100,19.72
"2007-01-10",50.22,50.44,50,50.39,13823900,19.78
"2007-01-11",50.44,50.98,50.17,50.35,12554200,19.76
"2007-01-12",50.07,50.49,50.01,50.45,11189400,19.8
"2007-01-16",50.51,50.88,50.38,50.61,12213200,19.87
"2007-01-17",50.64,51.6,50.55,51.55,16784500,20.24
"2007-01-18",52,52.92,51.96,52.79,27158200,20.72
"2007-01-19",53.34,53.75,53.15,53.52,25347200,21.01
"2007-01-22",53.2,53.46,52.98,53.32,14853700,20.93
"2007-01-23",53.1,53.55,53,53.38,16214700,20.95
"2007-01-24",53.38,53.85,52.88,53.55,15993600,21.02
"2007-01-25",53.1,53.5,52.42,52.59,18078800,20.64
"2007-01-26",52.7,52.76,51.95,52.55,14243800,20.63
"2007-01-29",51.91,52.75,51.51,52.66,17678400,20.67
"2007-01-30",52.75,53.22,52.72,53.19,13542700,20.88
"2007-01-31",52.75,53.24,52.57,53,12249900,20.8
"2007-02-01",52.5,52.98,52.23,52.87,11863900,20.75
"2007-02-02",52.55,53,52.44,52.67,9662000,20.68
"2007-02-05",52.4,52.65,52.18,52.5,6987100,20.61
"2007-02-06",52.7,52.75,52.21,52.46,7121900,20.59
"2007-02-07",52.5,52.63,52.17,52.45,7338900,20.59
"2007-02-08",52.4,52.55,52.06,52.14,10063500,20.47
"2007-02-09",52.35,52.63,52.14,52.27,7892000,20.52
"2007-02-12",52.34,52.78,52.24,52.72,9011700,20.69
"2007-02-13",52.64,52.79,52.52,52.71,8092600,20.69
"2007-02-14",52.7,53.18,52.67,52.7,10594000,20.69
"2007-02-15",52.58,52.89,52.08,52.8,8645900,20.73
"2007-02-16",52.53,52.8,52.28,52.49,8422200,20.6
"2007-02-20",52.49,52.67,52.28,52.58,9511500,20.64
"2007-02-21",52.5,52.78,52.39,52.71,9009800,20.69
"2007-02-22",52.71,53.69,52.65,53.62,14388700,21.05
"2007-02-23",53.32,53.77,53.2,53.59,10441900,21.04
"2007-02-26",53.65,54.66,53.49,54.47,16012900,21.38
"2007-02-27",54.08,54.9,52.4,53.84,24714700,21.13
"2007-02-28",53.57,55.06,53.24,54.62,24763200,21.44
"2007-03-01",53.75,54.7,53.43,53.78,20889700,21.11
"2007-03-02",53.53,53.65,52.58,53.01,16151300,20.81
"2007-03-05",52.8,53.59,52.72,52.75,15315900,20.71
"2007-03-06",53,53.08,52.37,52.87,20521300,20.75
"2007-03-07",52.65,52.99,52.55,52.69,16849100,20.68
"2007-03-08",52.69,53.57,52.38,53.4,16553600,20.96
"2007-03-09",53.95,54.46,53.75,54.39,21899600,21.35
"2007-03-12",54.44,54.5,54.24,54.38,13325700,21.35
"2007-03-13",54,54.71,53.97,54.11,17118600,21.24
"2007-03-14",54.2,54.27,53.47,53.77,16017900,21.11
"2007-03-15",53.67,54,53.33,53.63,10464100,21.05
"2007-03-16",53.44,53.5,52.8,52.88,20299300,20.76
"2007-03-19",53.02,53.28,52.88,53.18,12307700,20.88
"2007-03-20",53.24,54.48,53.03,54.48,17536900,21.39
"2007-03-21",54.3,54.8,54.2,54.68,16533500,21.46
"2007-03-22",54.08,54.92,54.01,54.5,13735700,21.39
"2007-03-23",54.63,54.66,53.75,53.86,13322000,21.14
"2007-03-26",55.08,57.26,55.05,57.24,47897200,22.47
"2007-03-27",56.8,57.23,56.42,56.6,29693400,22.22
