"","ACE.Open","ACE.High","ACE.Low","ACE.Close","ACE.Volume","ACE.Adjusted"
"2007-01-03",60.5,61.03,60.07,60.35,1190000,51.52
"2007-01-04",59.75,60,59.15,59.56,1368700,50.85
"2007-01-05",59.24,59.61,58.86,59.13,1241000,50.48
"2007-01-08",58.88,59.29,58.49,59.16,1212100,50.51
"2007-01-09",59.25,59.41,58.52,58.55,1304500,49.99
"2007-01-10",58.34,58.65,58.22,58.54,1227500,49.98
"2007-01-11",58.55,59.44,58.14,59.26,1467600,50.59
"2007-01-12",59.04,59.23,58.59,58.8,1220000,50.2
"2007-01-16",59.14,59.19,58.45,58.75,976100,50.16
"2007-01-17",58.8,58.84,58.41,58.7,1545500,50.11
"2007-01-18",59.97,59.98,59.21,59.26,1523400,50.59
"2007-01-19",59.4,59.68,59.2,59.3,815200,50.63
"2007-01-22",59.05,59.24,58.08,58.5,1837400,49.94
"2007-01-23",58.31,59.1,58.31,58.54,1517600,49.98
"2007-01-24",60.09,60.09,58.5,59.16,1218600,50.51
"2007-01-25",59.21,59.43,58.47,58.65,1448700,50.07
"2007-01-26",58.65,59.06,57.81,58.23,1525000,49.71
"2007-01-29",57.65,58.74,57.4,58.3,1416000,49.77
"2007-01-30",58.31,58.78,58.22,58.6,1073700,50.03
"2007-01-31",59.75,59.8,57.76,57.78,2226900,49.33
"2007-02-01",57.88,58.5,57.77,58.47,2066300,49.92
"2007-02-02",58.57,59.21,58.4,58.72,1000800,50.13
"2007-02-05",58.89,59.47,58.65,59.31,1169400,50.63
"2007-02-06",59.3,59.96,59.23,59.85,933600,51.09
"2007-02-07",59.64,59.8,59.22,59.58,1032500,50.86
"2007-02-08",59.57,59.84,58.9,59.03,2863200,50.39
"2007-02-09",59.05,59.58,58.23,58.23,1484300,49.71
"2007-02-12",58.23,58.65,58.01,58.13,1633600,49.63
"2007-02-13",58.52,58.58,57.68,58,1811100,49.52
"2007-02-14",58.15,58.71,58.11,58.3,1140900,49.77
"2007-02-15",58.35,58.85,58.3,58.55,1391100,49.99
"2007-02-16",58.28,58.92,58.05,58.66,1214800,50.08
"2007-02-20",58.5,58.73,58.21,58.6,1003000,50.03
"2007-02-21",58.26,58.71,58.23,58.27,1037400,49.75
"2007-02-22",58.6,58.84,58.11,58.29,1019800,49.76
"2007-02-23",58.13,58.31,57.14,57.59,959800,49.17
"2007-02-26",57.64,57.92,57.05,57.21,1214900,48.84
"2007-02-27",57.21,58.17,55.66,55.87,2278800,47.7
"2007-02-28",55.88,56.65,55.88,56.14,2262700,47.93
"2007-03-01",55.3,56.29,55.02,55.81,1645800,47.65
"2007-03-02",55.56,56.04,55.22,55.42,1374100,47.31
"2007-03-05",55.34,55.92,54.75,54.79,1947600,46.78
"2007-03-06",55,55.6,54.8,55.32,1975400,47.23
"2007-03-07",55.06,55.36,54.81,54.83,1481300,46.81
"2007-03-08",55.18,55.31,54.97,55.17,1099700,47.1
"2007-03-09",55.2,55.36,54.73,55.01,1195800,46.96
"2007-03-12",54.9,54.99,54.55,54.71,1204600,46.71
"2007-03-13",54.5,54.53,53.22,53.22,2118500,45.43
"2007-03-14",53.21,54.01,52.79,53.93,2945200,46.04
"2007-03-15",53.93,55.35,53.85,54.71,2583200,46.71
"2007-03-16",55.29,55.6,54.75,54.97,3222400,46.93
"2007-03-19",55.08,55.74,55.08,55.59,1114500,47.46
"2007-03-20",55.51,56.55,55.5,56.27,1775400,48.04
"2007-03-21",56.27,56.72,55.89,56.4,2034100,48.15
"2007-03-22",56.42,56.57,56.05,56.27,1133100,48.04
"2007-03-23",56.28,57.15,56.21,56.87,1218300,48.55
"2007-03-26",56.75,57.34,56.53,57.34,1604900,48.95
"2007-03-27",57.08,57.54,56.9,57.53,1938800,49.11
"2007-03-28",57.32,57.58,57.02,57.08,2659000,48.94
"2007-03-29",57.7,57.9,57.1,57.38,1559900,49.2
"2007-03-30",57.3,57.69,56.88,57.06,1558800,48.93
"2007-04-02",57,57.3,56.9,57.21,1223500,49.05
"2007-04-03",57.21,57.73,57.21,57.72,892100,49.49
"2007-04-04",57.72,58.15,57.12,57.29,932300,49.12
"2007-04-05",57.12,57.5,57.02,57.29,895800,49.12
"2007-04-09",57.31,57.55,57.21,57.53,672900,49.33
