"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"2007-01-03",36.55,37,36.17,36.38,3079900,31.94
"2007-01-04",36.12,37.23,36,37.2,2384800,32.66
"2007-01-05",36.75,36.99,36.45,36.68,1766300,32.2
"2007-01-08",36.51,37.38,36.51,37.21,2157200,32.66
"2007-01-09",37.1,37.45,36.85,37.12,2729200,32.59
"2007-01-10",36.82,37.4,36.74,37.34,2401600,32.78
"2007-01-11",37.24,37.38,37,37.19,2468800,32.65
"2007-01-12",37.19,37.98,37.15,37.98,3950500,33.34
"2007-01-16",37.51,37.66,37,37.1,3508600,32.57
"2007-01-17",37.3,37.86,37.29,37.52,3171500,32.94
"2007-01-18",37.52,37.7,37.07,37.15,4177600,32.61
"2007-01-19",37.2,37.23,36.6,36.75,3582900,32.26
"2007-01-22",36.75,36.79,36.49,36.68,3165200,32.2
"2007-01-23",36.7,37.2,36.63,36.84,2747400,32.34
"2007-01-24",36.68,36.9,36.34,36.72,3213100,32.23
"2007-01-25",36.9,37.12,36.37,36.53,2991300,32.07
"2007-01-26",36.68,36.79,35.91,36.53,2343100,32.07
"2007-01-29",36.37,36.94,36.31,36.93,2191000,32.42
"2007-01-30",36.85,37.23,36.75,37,2216300,32.48
"2007-01-31",37,37.86,36.89,37.75,3732000,33.14
"2007-02-01",37.74,38.09,37.64,38.09,3266800,33.44
"2007-02-02",38.09,38.6,38.09,38.59,2832800,33.88
"2007-02-05",38.73,38.8,38.14,38.66,2709100,33.94
"2007-02-06",38.58,38.74,38.46,38.56,2282000,33.85
"2007-02-07",38.5,39.1,38.44,39.1,2213400,34.32
"2007-02-08",38.95,39,38.52,38.84,1925400,34.1
"2007-02-09",38.84,38.93,38.48,38.79,1775200,34.05
"2007-02-12",38.3,38.68,38.16,38.35,2752300,33.67
"2007-02-13",38.69,38.8,38.43,38.72,2101400,33.99
"2007-02-14",38.72,39.25,38.69,39.2,2450300,34.41
"2007-02-15",38.95,39.13,38.75,38.79,1960500,34.05
"2007-02-16",38.83,38.99,38.46,38.75,2797500,34.02
"2007-02-20",38.56,39.05,38.56,38.79,1879700,34.05
"2007-02-21",38.75,38.76,38.4,38.47,2061800,33.77
"2007-02-22",38.42,38.45,38.12,38.3,3809600,33.62
"2007-02-23",38.17,38.37,37.95,38.25,2333900,33.58
"2007-02-26",38.25,38.49,37.8,37.95,2407400,33.31
"2007-02-27",37.32,37.4,36.5,36.8,2243900,32.3
"2007-02-28",37.67,37.67,35.3,35.78,6286000,31.41
"2007-03-01",35.05,35.53,34.67,35.21,4441800,30.91
"2007-03-02",35.75,35.95,35.36,35.75,3536800,31.38
"2007-03-05",36.65,36.65,34.9,34.9,2763300,30.64
"2007-03-06",34.29,35.85,34.28,35.24,4667200,30.94
"2007-03-07",35.4,35.46,34.98,35.12,3139900,30.83
"2007-03-08",35.5,35.93,35.37,35.74,1662800,31.37
"2007-03-09",35.99,36.46,35.8,36.11,2546100,31.7
"2007-03-12",35.93,36.69,35.73,36.36,2311800,31.92
"2007-03-13",36.1,36.15,35.54,35.68,1628100,31.32
"2007-03-14",35.55,35.9,35.24,35.46,2386100,31.13
"2007-03-15",35.38,35.5,34.92,35,2428700,30.72
"2007-03-16",34.97,35.31,34.63,35.26,2656500,30.95
"2007-03-19",35.25,35.87,35.2,35.79,1642600,31.42
"2007-03-20",35.95,36.5,35.62,36.3,2134000,31.87
"2007-03-21",36.28,36.71,36.17,36.62,1802900,32.15
"2007-03-22",35.73,37.51,35.73,36.74,1865100,32.25
"2007-03-23",36.41,36.92,36.3,36.4,1806000,31.95
"2007-03-26",37.35,37.35,36.3,36.75,2885800,32.26
"2007-03-27",36.81,36.98,36.22,36.22,4037500,31.8
"2007-03-28",37,37.77,36.72,37.59,7617300,33
"2007-03-29",37.77,38.68,37.76,38.68,3843300,33.96
"2007-03-30",38.6,38.95,38.22,38.54,2882600,33.83
"2007-04-02",38.37,39.05,38.37,38.8,3226300,34.06
"2007-04-03",38.74,38.8,38.48,38.48,2175300,33.78
"2007-04-04",38.06,38.75,38,38.72,3151100,33.99
"2007-04-05",38.52,38.83,38.52,38.64,1483500,33.92
"2007-04-09",38.35,38.58,38.1,38.33,2224300,33.65
"2007-04-10",38.33,38.6,38,38.1,2346600,33.45
"2007-04-11",38.02,38.34,37.73,38.17,4221900,33.51
"2007-04-12",38,38.5,37.57,38.42,3490200,33.73
"2007-04-13",39.25,39.25,38.25,38.7,1935900,33.97
"2007-04-16",38.7,38.8,38.48,38.78,1919300,34.04
"2007-04-17",38.75,39,38.74,38.92,2233300,34.17
"2007-04-18",38.58,38.88,38.3,38.68,3070300,33.96
"2007-04-19",38.56,38.75,38.2,38.28,1848500,33.6
"2007-04-20",38.5,38.63,38.27,38.48,2693200,33.78
"2007-04-23",38.42,38.83,38.41,38.56,1303700,33.85
"2007-04-24",38.67,38.84,38.45,38.74,1582500,34.01
"2007-04-25",38.8,39.44,38.61,39.34,2497300,34.53
"2007-04-26",39.37,39.58,38.58,38.72,1728000,33.99
"2007-04-27",38.82,38.9,38.47,38.68,1301400,33.96
"2007-04-30",38.6,39.29,38.5,39.1,2081900,34.32
"2007-05-01",39.01,39.2,38.8,39.03,1185200,34.26
"2007-05-02",38.93,39.2,38.74,38.96,1487700,34.2
"2007-05-03",39.18,39.4,38.7,39.25,1419800,34.46
"2007-05-04",39.14,39.32,38.79,39.1,1483600,34.32
"2007-05-07",38.65,38.77,38.16,38.3,1886400,33.62
"2007-05-08",38.18,38.45,38.11,38.41,2046600,33.72
"2007-05-09",38.2,38.93,38.05,38.87,1614500,34.12
"2007-05-10",38.71,38.73,38.24,38.33,1768300,33.65
"2007-05-11",38.55,38.72,38.1,38.34,1571100,33.66
"2007-05-14",38.01,38.25,37.65,38.14,2153000,33.48
"2007-05-15",38.26,38.68,37.9,38.4,2610200,33.71
"2007-05-16",38.55,40.15,38.55,39.92,3823300,35.04
"2007-05-17",39.78,40.1,39.51,39.55,1849700,34.72
"2007-05-18",39.57,39.89,39.35,39.67,1562700,34.82
"2007-05-21",39.49,39.72,39.3,39.66,1617700,34.82
"2007-05-22",39.2,39.78,38.54,39.62,1914900,34.78
"2007-05-23",39.58,40.34,39.58,40.04,2215000,35.15
"2007-05-24",39.97,40.49,39.84,39.93,2196300,35.05
"2007-05-25",40.82,40.82,40.23,40.72,1872800,35.75
"2007-05-29",40.65,40.95,40.37,40.93,2225000,35.93
"2007-05-30",40.37,40.75,40,40.64,2075900,35.68
"2007-05-31",40.86,41.19,40.51,40.94,2064100,35.94
"2007-06-01",40.9,41.41,40.85,41.26,2183800,36.22
"2007-06-04",41.75,41.75,40.88,41.24,1847500,36.2
"2007-06-05",41.57,41.84,41,41.75,2382900,36.65
"2007-06-06",41.32,41.4,40.57,41,2565600,35.99
"2007-06-07",41,41,39.73,39.82,1994000,34.96
"2007-06-08",39.82,40,39.21,39.7,2115800,34.85
"2007-06-11",39.57,39.75,39.35,39.56,1635500,34.73
"2007-06-12",39.4,39.67,39.2,39.5,2229900,34.68
"2007-06-13",39.6,39.75,38.56,39.47,4585300,34.65
"2007-06-14",39.34,39.95,39.34,39.51,3278500,34.68
"2007-06-15",39.65,40.42,39.27,40,5521000,35.11
"2007-06-18",40.19,41.51,40.19,41.51,3271400,36.44
"2007-06-19",41.1,41.67,41.05,41.41,2744200,36.35
"2007-06-20",41.55,42.36,41.46,42.06,5466300,36.92
"2007-06-21",41.95,42.04,41.42,41.77,3593900,36.67
"2007-06-22",41.78,42.7,41.44,42.63,26390300,37.42
"2007-06-25",42.64,42.64,42.13,42.15,5197100,37
"2007-06-26",42.5,44.03,42.26,42.8,7879900,37.57
"2007-06-27",43.14,43.15,42.33,42.96,5351200,37.71
"2007-06-28",43.25,43.4,42.75,42.83,5362600,37.6
"2007-06-29",43.1,43.4,42.15,42.89,5061800,37.65
"2007-07-02",42.62,43.03,42.25,42.54,4452200,37.34
"2007-07-03",41.84,42.45,41.6,42.22,2537900,37.06
"2007-07-05",41.9,42.82,41.52,42.81,3991200,37.58
"2007-07-06",42.55,43.06,42.55,43,3661500,37.75
"2007-07-09",42.45,42.95,42.29,42.87,4081000,37.63
"2007-07-10",42.31,42.42,41.61,41.7,4458200,36.61
"2007-07-11",41.6,42.26,41.3,42.17,3206400,37.02
"2007-07-12",42.17,42.7,41.81,42.52,3594700,37.33
"2007-07-13",42.28,42.38,41.98,42.31,2116700,37.14
"2007-07-16",42.15,42.7,42.05,42.5,1899500,37.31
"2007-07-17",42.34,42.44,41.82,41.91,3450900,36.79
"2007-07-18",41.58,42.12,41.31,41.97,3103400,36.84
"2007-07-19",42.25,43,41.83,43,4251200,37.75
"2007-07-20",42.61,43.36,42.5,43.31,3197500,38.02
"2007-07-23",43.04,44,42.94,43.81,4086900,38.46
"2007-07-24",42.93,43.5,42.27,42.57,2379300,37.37
"2007-07-25",42.51,42.56,41.68,41.9,3067900,36.78
"2007-07-26",41.77,41.89,41.2,41.25,3285300,36.21
"2007-07-27",40.4,41.85,39.78,41.71,3897800,36.62
"2007-07-30",41.7,42.15,41.53,42.12,3103800,36.98
"2007-07-31",42.09,42.74,42,42.13,4134800,36.98
"2007-08-01",42.05,42.56,40.83,41.54,3792000,36.47
"2007-08-02",40.9,42.5,40.44,42.19,3247500,37.04
"2007-08-03",42.29,42.4,40.98,41,2273300,35.99
"2007-08-06",41.34,42.16,40.97,41.71,2311900,36.62
"2007-08-07",41.3,41.96,40.99,41.96,2288600,36.83
"2007-08-08",42.85,42.85,41.2,41.42,2296200,36.36
"2007-08-09",39.79,41.23,39.1,39.8,3696200,34.94
"2007-08-10",39.99,39.99,38.88,39.19,2862400,34.4
"2007-08-13",39.36,40.3,39,40.09,2694100,35.19
"2007-08-14",40.31,41.15,39.13,39.3,2861600,34.5
"2007-08-15",39,39.76,38.74,38.85,2623000,34.1
"2007-08-16",38.36,38.43,37.25,37.46,3956800,32.88
"2007-08-17",38.2,39.1,37.64,38.8,2580200,34.06
"2007-08-20",38.9,39.81,38.82,39.6,2145900,34.76
"2007-08-21",39.39,40.18,39.21,39.97,2446100,35.09
"2007-08-22",40.17,40.78,40.1,40.26,2025100,35.34
"2007-08-23",41,41.2,39.94,40.42,2834100,35.48
"2007-08-24",40.57,41.1,39.81,40.05,2445600,35.16
"2007-08-27",39.94,40.4,39.76,40.21,1958100,35.3
"2007-08-28",40.2,40.21,39.54,39.6,1717300,34.76
"2007-08-29",40.03,40.55,39.67,40.24,1183100,35.32
"2007-08-30",39.7,41.46,39.65,41.1,3127800,36.08
"2007-08-31",41.5,42,40.71,41.21,2596400,36.18
"2007-09-04",41.25,41.54,40.91,41.36,1470500,36.31
"2007-09-05",40.91,41.05,40.28,40.93,2660100,35.93
"2007-09-06",41,41.07,40.23,40.54,2403000,35.59
"2007-09-07",40.03,40.26,38.77,40.02,3079300,35.13
"2007-09-10",40.15,40.32,39.28,39.85,2153600,34.98
"2007-09-11",40.15,40.15,39.21,39.57,2667500,34.74
"2007-09-12",39.49,39.73,39.07,39.72,2310600,34.87
"2007-09-13",40,40.22,39.77,39.78,2472900,34.92
"2007-09-14",39.69,39.76,39.3,39.66,2095200,34.82
"2007-09-17",39.69,39.84,38.76,38.9,2483900,34.15
"2007-09-18",39.17,39.34,37.25,38.48,6808100,33.78
"2007-09-19",38.52,39.6,38.49,39.22,3549600,34.43
"2007-09-20",38.73,39.55,38.5,39.26,4592000,34.46
"2007-09-21",39.5,39.82,39,39.7,2410700,34.85
"2007-09-24",39.52,40.84,39.1,39.4,5396600,34.59
"2007-09-25",39.35,39.35,37.8,38.03,5451400,33.38
"2007-09-26",38.59,38.72,37.8,37.81,4357900,33.19
"2007-09-27",37.94,39.05,37.93,38.02,5502900,33.38
"2007-09-28",39,40.36,39,40.25,7379100,35.33
"2007-10-01",40.25,40.97,40.22,40.88,3028500,35.89
"2007-10-02",40.51,40.51,39.75,40.06,3802600,35.17
"2007-10-03",39.67,40.1,39.65,39.82,2481100,34.96
"2007-10-04",39.8,40.14,39.74,39.93,2601700,35.05
"2007-10-05",39.77,40.6,39.37,39.52,4343600,34.69
"2007-10-08",39.51,39.93,39.14,39.74,2270900,34.89
"2007-10-09",39.74,40.31,39.38,40.28,3064900,35.36
"2007-10-10",39.68,42.08,39.5,41.79,6154100,37.07
"2007-10-11",41.62,42.06,40.77,40.97,3516500,36.34
"2007-10-12",40.97,42.32,40.75,42.21,3702700,37.44
"2007-10-15",41.41,41.83,40.75,41,2894600,36.37
"2007-10-16",40.51,40.95,39.98,40.27,3662400,35.72
"2007-10-17",40.8,41.14,40.06,40.91,5280500,36.29
"2007-10-18",40.63,41.21,40.31,41.05,5459000,36.42
"2007-10-19",40.52,40.99,39.21,39.27,3204500,34.84
"2007-10-22",38.91,39.36,37.9,39.15,3321300,34.73
"2007-10-23",39.25,39.94,39.1,39.85,2378200,35.35
"2007-10-24",39.86,39.95,38.47,39.13,2453400,34.71
"2007-10-25",38.94,38.94,38.1,38.51,3727000,34.16
"2007-10-26",38.83,39.42,38.53,39.2,3987500,34.77
"2007-10-29",39.11,39.4,38.57,39.2,3173200,34.77
"2007-10-30",39.2,39.34,38.45,38.7,2988900,34.33
"2007-10-31",39,39.37,38.2,39.05,4267100,34.64
"2007-11-01",38.86,39.57,38.37,38.48,3725600,34.14
"2007-11-02",38.59,38.59,37.32,38.4,3999600,34.06
"2007-11-05",38.45,38.45,36.07,37.55,7261600,33.31
"2007-11-06",37.58,37.58,35.86,36.27,8063600,32.18
"2007-11-07",36.27,36.27,35.8,35.92,4198500,31.86
"2007-11-08",35.87,35.87,33.29,35.17,7447500,31.2
"2007-11-09",34.58,35.36,34.58,34.86,4893400,30.92
"2007-11-12",35.12,36.31,34.56,35.66,4163300,31.63
"2007-11-13",36.06,36.99,35.87,36.8,3707200,32.65
"2007-11-14",37.2,37.2,35.38,35.57,4228200,31.55
"2007-11-15",35.27,36.79,35,36.66,7167200,32.52
"2007-11-16",36.77,37.2,36.43,36.79,3265700,32.64
"2007-11-19",37.02,37.02,34.89,35,6098200,31.05
"2007-11-20",35,35.85,34.45,35.03,3789000,31.08
"2007-11-21",35,35,34.06,34.56,3759500,30.66
"2007-11-23",35.01,35.2,34.52,35.16,1074900,31.19
"2007-11-26",35.3,35.3,33.72,33.88,4110200,30.05
"2007-11-27",34.14,34.14,33.03,33.78,3831300,29.97
"2007-11-28",34,35.63,33.98,34.85,5075200,30.92
"2007-11-29",35.02,35.03,34.12,34.65,4161400,30.74
"2007-11-30",34.93,35.32,34.28,34.56,3073100,30.66
"2007-12-03",34.5,34.85,34.01,34.11,3018400,30.26
"2007-12-04",34.25,34.37,33.66,33.84,2729800,30.02
"2007-12-05",34.32,35,34.28,34.59,4106700,30.68
"2007-12-06",34.79,35.46,34.67,35.34,2570100,31.35
"2007-12-07",35.15,35.62,34.8,35.44,2686600,31.44
"2007-12-10",35.8,36.71,35.53,36.54,2620600,32.41
"2007-12-11",36.84,36.9,35,35.24,4481200,31.26
"2007-12-12",36.12,36.12,34.15,34.65,4101900,30.74
"2007-12-13",34.63,35.02,34.53,34.76,2486000,30.84
"2007-12-14",34.62,34.62,33.15,34,4058700,30.16
"2007-12-17",33.79,34.26,33.45,34.24,3381000,30.37
"2007-12-18",34.98,35.67,34.52,35.42,6107900,31.42
"2007-12-19",35.7,35.87,34.65,34.96,6548800,31.01
