"","ACT.Open","ACT.High","ACT.Low","ACT.Close","ACT.Volume","ACT.Adjusted"
"2007-01-03",26.11,26.71,26.11,26.3,867000,26.3
"2007-01-04",26.3,26.93,26.3,26.83,788000,26.83
"2007-01-05",26.83,26.83,26.15,26.31,860000,26.31
"2007-01-08",26.26,26.54,26.11,26.28,644300,26.28
"2007-01-09",26.35,26.5,26.19,26.34,817300,26.34
"2007-01-10",26.23,26.33,26.17,26.21,791800,26.21
"2007-01-11",26.19,26.19,25.32,26.02,1571600,26.02
"2007-01-12",26.02,26.04,25.88,25.98,1169500,25.98
"2007-01-16",26.04,26.1,25.66,25.79,814000,25.79
"2007-01-17",25.8,25.86,25.66,25.78,875800,25.78
"2007-01-18",25.77,25.84,25.68,25.75,634300,25.75
"2007-01-19",25.89,26.63,25.83,26.52,1363100,26.52
"2007-01-22",26.55,26.64,26.25,26.55,1444400,26.55
"2007-01-23",26.46,26.73,26.41,26.59,901200,26.59
"2007-01-24",26.63,26.65,26.46,26.6,1023600,26.6
"2007-01-25",26.61,26.73,26.42,26.6,1056200,26.6
"2007-01-26",26.6,26.71,26.47,26.58,1031800,26.58
"2007-01-29",26.53,26.92,26.5,26.76,803700,26.76
"2007-01-30",26.89,27.38,26.84,27.13,1185600,27.13
"2007-01-31",27.06,27.26,26.85,27.22,790900,27.22
"2007-02-01",27.22,27.71,27.06,27.62,1365900,27.62
"2007-02-02",27.57,27.85,27.46,27.81,686400,27.81
"2007-02-05",27.78,27.78,27.47,27.56,740300,27.56
"2007-02-06",27.71,27.85,27.61,27.85,884600,27.85
"2007-02-07",27.85,28.19,27.74,28.08,807100,28.08
"2007-02-08",28.1,28.29,27.99,28.21,768200,28.21
"2007-02-09",28.25,28.48,28.03,28.17,783200,28.17
"2007-02-12",28.25,28.44,28.11,28.35,750400,28.35
"2007-02-13",28.45,28.5,28.24,28.47,752400,28.47
"2007-02-14",28.42,28.73,28.42,28.53,598900,28.53
"2007-02-15",28.54,28.85,28.53,28.85,663700,28.85
"2007-02-16",28.83,29.04,28.51,28.98,748000,28.98
"2007-02-20",29.05,29.33,28.89,29.19,1203700,29.19
"2007-02-21",29.19,29.34,29.04,29.31,908000,29.31
"2007-02-22",29.32,29.43,29.09,29.28,1152000,29.28
"2007-02-23",29.22,29.28,28.88,29.22,1292500,29.22
"2007-02-26",29.21,29.35,28.41,28.41,1728600,28.41
"2007-02-27",28.17,28.4,27.77,28.07,1630000,28.07
"2007-02-28",26.75,28.13,26.27,26.36,5232900,26.36
"2007-03-01",26.1,26.28,25.59,25.71,4290500,25.71
"2007-03-02",25.6,25.92,25.45,25.72,1543100,25.72
"2007-03-05",25.59,25.85,25.21,25.61,2214700,25.61
"2007-03-06",25.69,25.96,25.54,25.94,1618700,25.94
"2007-03-07",25.8,25.95,25.47,25.47,1706500,25.47
"2007-03-08",25.6,25.72,25.51,25.58,987100,25.58
"2007-03-09",25.62,25.91,25.5,25.88,1178900,25.88
"2007-03-12",25.86,26.06,25.86,25.94,814000,25.94
"2007-03-13",25.78,25.9,25.42,25.46,1006400,25.46
"2007-03-14",25.36,25.51,25.07,25.45,1028800,25.45
"2007-03-15",25.4,25.64,25.16,25.58,1159800,25.58
"2007-03-16",25.64,25.77,25.5,25.52,836900,25.52
"2007-03-19",25.52,25.54,25.22,25.41,846300,25.41
"2007-03-20",25.29,25.38,25.02,25.28,1692500,25.28
"2007-03-21",25.38,25.55,25.16,25.55,976300,25.55
"2007-03-22",25.64,25.81,25.6,25.75,919400,25.75
"2007-03-23",25.61,26.03,25.57,25.99,1376700,25.99
"2007-03-26",26.3,26.84,26.3,26.47,1294900,26.47
"2007-03-27",26.47,26.47,26.15,26.39,1054600,26.39
"2007-03-28",26.31,26.38,26.01,26.25,972100,26.25
"2007-03-29",26.3,26.58,26.26,26.57,1237800,26.57
"2007-03-30",26.71,26.82,26.34,26.43,931400,26.43
"2007-04-02",26.44,26.5,26.16,26.37,1070700,26.37
"2007-04-03",26.49,26.6,26.4,26.46,1151500,26.46
"2007-04-04",26.45,26.51,26.28,26.49,1224000,26.49
"2007-04-05",26.43,26.75,26.43,26.68,604500,26.68
"2007-04-09",26.67,26.74,26.45,26.49,853100,26.49
"2007-04-10",26.53,27.25,26.53,27.13,1408100,27.13
"2007-04-11",27.13,27.26,26.99,27.12,632100,27.12
"2007-04-12",27.11,27.4,27.03,27.25,824900,27.25
"2007-04-13",27.28,27.42,27.03,27.15,665100,27.15
"2007-04-16",27.25,27.43,27.15,27.39,441200,27.39
"2007-04-17",27.42,27.67,27.42,27.61,606400,27.61
"2007-04-18",27.56,27.58,27.27,27.51,995100,27.51
"2007-04-19",27.45,27.67,27.18,27.31,933800,27.31
"2007-04-20",27.5,27.68,27.43,27.65,918300,27.65
"2007-04-23",27.62,27.72,27.46,27.55,468200,27.55
"2007-04-24",27.55,27.65,27.45,27.55,413100,27.55
"2007-04-25",27.63,27.85,27.43,27.78,487000,27.78
"2007-04-26",27.76,27.91,27.45,27.59,611700,27.59
"2007-04-27",27.55,27.65,27.31,27.45,543000,27.45
"2007-04-30",27.42,27.57,27.27,27.3,749000,27.3
"2007-05-01",27.3,30.16,27.29,29.52,4695300,29.52
"2007-05-02",30.01,31.47,29.76,30.7,5959100,30.7
"2007-05-03",30.62,30.72,30.08,30.72,1886200,30.72
"2007-05-04",30.75,31.38,30.38,31.2,1852500,31.2
"2007-05-07",31.2,31.41,30.89,30.96,1166700,30.96
"2007-05-08",30.94,31.2,30.86,31.01,1173200,31.01
"2007-05-09",31,31.52,30.93,31.33,1007000,31.33
"2007-05-10",31.35,31.4,30.8,30.8,839400,30.8
"2007-05-11",30.81,31.19,30.64,31.19,590100,31.19
"2007-05-14",31.85,32.52,30.56,30.82,1024000,30.82
"2007-05-15",30.94,31.05,30.86,30.96,788400,30.96
"2007-05-16",31.01,31.23,30.83,31.2,887100,31.2
"2007-05-17",31.03,31.38,30.93,31.22,1085900,31.22
"2007-05-18",31.39,31.84,31.39,31.66,1133100,31.66
"2007-05-21",31.63,31.75,30.69,30.9,1491300,30.9
"2007-05-22",30.99,31.15,30.74,31.05,1255400,31.05
"2007-05-23",31.06,31.34,30.93,31.02,905200,31.02
"2007-05-24",31.2,31.3,30.89,30.98,1047200,30.98
"2007-05-25",31,31.11,30.85,30.9,573800,30.9
"2007-05-29",30.99,31.13,30.77,30.93,628900,30.93
"2007-05-30",30.85,30.92,30.69,30.72,888200,30.72
"2007-05-31",30.83,31.15,30.67,30.86,779200,30.86
"2007-06-01",31.02,31.58,31.02,31.53,1028400,31.53
"2007-06-04",31.5,31.71,31.38,31.53,1237500,31.53
"2007-06-05",31.5,31.73,31.38,31.65,1379700,31.65
"2007-06-06",31.49,31.58,31.08,31.26,991300,31.26
"2007-06-07",31.28,31.41,30.86,31.19,1305200,31.19
"2007-06-08",31.1,31.46,30.94,31.45,774200,31.45
"2007-06-11",31.35,31.48,31.18,31.23,902200,31.23
"2007-06-12",30.34,31.19,30.28,30.77,936600,30.77
"2007-06-13",31.03,31.39,30.86,31.39,1324900,31.39
"2007-06-14",31.56,32.22,31.55,31.83,1431500,31.83
"2007-06-15",32.2,32.25,31.82,31.93,830000,31.93
"2007-06-18",31.89,32.14,31.62,32.11,678500,32.11
"2007-06-19",32.12,32.35,31.94,32.34,1106800,32.34
"2007-06-20",32.36,32.6,32.06,32.23,1281700,32.23
"2007-06-21",32.27,33.28,32.08,32.88,1505500,32.88
"2007-06-22",32.71,32.81,32.08,32.28,971200,32.28
"2007-06-25",32.32,32.41,32.11,32.3,979500,32.3
"2007-06-26",32.35,32.43,32.09,32.14,1009800,32.14
"2007-06-27",32,32.31,31.91,32.26,1228600,32.26
"2007-06-28",32.28,33.17,32.26,32.79,1198700,32.79
"2007-06-29",32.91,33.14,32.28,32.53,1386100,32.53
"2007-07-02",32.7,33.16,32.56,33.07,1666900,33.07
"2007-07-03",33.24,33.24,32.91,33,596800,33
"2007-07-05",33.01,33.03,32.59,32.79,759200,32.79
"2007-07-06",32.8,32.95,32.61,32.92,616800,32.92
"2007-07-09",32.9,33.13,32.7,33.03,893400,33.03
"2007-07-10",32.97,33.25,32.8,32.92,648000,32.92
"2007-07-11",32.89,33.05,32.72,32.89,780100,32.89
"2007-07-12",32.9,33.35,32.66,33.35,949600,33.35
"2007-07-13",33.35,33.38,32.97,33.04,685700,33.04
"2007-07-16",33.06,33.89,33.06,33.69,1023200,33.69
"2007-07-17",33.57,33.91,33.49,33.63,784000,33.63
"2007-07-18",33.6,33.63,32.83,33.1,1283100,33.1
"2007-07-19",33.14,33.46,33.14,33.21,891600,33.21
"2007-07-20",33.22,33.22,32.62,32.68,982700,32.68
"2007-07-23",32.9,33.58,32.89,33.05,921700,33.05
"2007-07-24",32.96,33.25,32.6,32.61,625100,32.61
