"","ADM.Open","ADM.High","ADM.Low","ADM.Close","ADM.Volume","ADM.Adjusted"
"2007-01-03",32.28,32.76,31.82,32.06,7380700,27.79
"2007-01-04",31.5,32.09,31.4,31.88,4406000,27.63
"2007-01-05",31.53,31.88,31.36,31.83,5798200,27.59
"2007-01-08",31.82,32.05,31.32,31.99,4883000,27.73
"2007-01-09",31.94,31.95,31.15,31.21,5119000,27.05
"2007-01-10",31.47,31.47,30.61,30.94,7781800,26.82
"2007-01-11",30.2,32,30.2,31.68,6887100,27.46
"2007-01-12",31.68,32.44,30.94,30.96,7697200,26.84
"2007-01-16",30.96,31.31,30.46,31.02,7004000,26.89
"2007-01-17",31.08,31.38,30.71,31.18,5488600,27.03
"2007-01-18",31.34,31.34,30.58,30.7,5666900,26.61
"2007-01-19",30.85,31.49,30.6,31.42,5275000,27.23
"2007-01-22",31.76,32.45,31.66,31.82,9023900,27.58
"2007-01-23",32.18,33,32.06,32.63,13591300,28.28
"2007-01-24",32.75,32.9,31.48,32.09,13008000,27.81
"2007-01-25",32.25,32.29,31.66,31.82,6829200,27.58
"2007-01-26",31.82,31.98,31.35,31.53,5211100,27.33
"2007-01-29",31.54,31.61,31.12,31.26,7091000,27.1
"2007-01-30",31.4,31.75,31.37,31.48,6332400,27.29
"2007-01-31",31.5,32.23,31.5,32,5255900,27.74
"2007-02-01",34.31,35.57,34.31,35.47,20659600,30.74
"2007-02-02",36.01,36.26,34.85,35.27,9487500,30.57
"2007-02-05",35.35,35.55,34.5,34.67,10507300,30.05
"2007-02-06",34.79,35.14,34.02,34.04,8582000,29.5
"2007-02-07",34.3,34.48,34.05,34.28,6926100,29.71
"2007-02-08",34.65,34.7,33.77,33.87,7184200,29.36
"2007-02-09",34,34.13,32.99,33.36,8465600,28.92
"2007-02-12",33.5,33.85,33.38,33.59,4698500,29.11
"2007-02-13",33.9,35.07,33.87,34.95,10758600,30.29
"2007-02-14",35.29,35.3,34.48,34.95,8731300,30.39
"2007-02-15",35.15,35.86,35.15,35.75,13210000,31.09
"2007-02-16",36.3,36.55,35.37,35.88,52414800,31.2
"2007-02-20",36,36.15,35.55,35.75,8906900,31.09
"2007-02-21",35.51,35.8,35.34,35.4,6726800,30.79
"2007-02-22",35.57,35.6,35.01,35.23,6709900,30.64
"2007-02-23",35.37,35.68,35.1,35.2,5022400,30.61
"2007-02-26",35.21,35.49,34.83,35.13,6774700,30.55
"2007-02-27",34.23,35.04,33.34,33.87,10288600,29.45
"2007-02-28",34.03,34.66,33.8,34.35,9101000,29.87
"2007-03-01",33.73,34.77,33.48,34.43,8840400,29.94
"2007-03-02",34.18,34.65,33.75,33.75,5160900,29.35
"2007-03-05",33.15,33.75,32.9,32.94,5513100,28.65
"2007-03-06",33.38,33.5,32.83,32.96,9091700,28.66
"2007-03-07",33.15,34.21,33.06,34,8060900,29.57
"2007-03-08",34.2,34.88,34.2,34.81,8120100,30.27
"2007-03-09",34.9,35.11,33.99,34.2,4994200,29.74
"2007-03-12",34.2,34.43,34,34.22,3405400,29.76
"2007-03-13",34.05,34.29,33.42,33.48,4882500,29.12
"2007-03-14",33.31,33.72,33.12,33.64,5099400,29.25
"2007-03-15",33.5,33.77,33.43,33.7,3889600,29.31
"2007-03-16",33.68,34.24,33.51,33.51,4547700,29.14
"2007-03-19",33.75,34.44,33.66,34.23,6314300,29.77
"2007-03-20",34.18,35.9,34.06,35.23,15876100,30.64
"2007-03-21",35.35,36.11,35.19,35.88,7800100,31.2
"2007-03-22",36,36.13,35.62,35.69,7871000,31.04
"2007-03-23",35.69,35.75,35.18,35.63,5916900,30.99
"2007-03-26",35.71,36,35.35,35.9,5560200,31.22
"2007-03-27",35.95,36.16,35.33,35.93,8077700,31.25
"2007-03-28",36.18,37.42,36.16,36.84,12433200,32.04
"2007-03-29",37.35,37.84,36.54,36.76,12265900,31.97
"2007-03-30",37.55,37.84,36.62,36.7,11040500,31.92
"2007-04-02",36.67,36.97,36.53,36.91,5733100,32.1
"2007-04-03",36.94,37.5,36.6,37.22,6840400,32.37
"2007-04-04",37.2,37.2,36.79,36.82,5538100,32.02
"2007-04-05",36.82,37.22,36.72,37.02,4746500,32.19
"2007-04-09",37.01,38.09,37,37.74,8217900,32.82
"2007-04-10",37.77,38.38,37.63,38.02,6965200,33.06
"2007-04-11",38.38,38.57,37.33,37.41,7426500,32.53
"2007-04-12",37.23,37.52,37.09,37.51,4629800,32.62
"2007-04-13",37.62,38.18,37.54,38.01,6374600,33.05
"2007-04-16",38.35,38.4,37.84,38.05,5060100,33.09
"2007-04-17",38.06,38.19,37.75,37.87,3862500,32.93
"2007-04-18",37.6,37.78,37.11,37.49,4493200,32.6
"2007-04-19",37.4,37.55,37,37.31,3369100,32.45
"2007-04-20",37.75,38.55,36.99,38.55,8484400,33.52
"2007-04-23",38.67,39.15,38.24,38.96,6983300,33.88
"2007-04-24",39.16,39.5,38.96,39.31,6647900,34.19
"2007-04-25",39.55,39.65,39.05,39.52,6566400,34.37
"2007-04-26",39.28,39.46,38.78,39.03,4199800,33.94
"2007-04-27",38.9,39.19,38.6,39.01,3789000,33.92
"2007-04-30",39,39.27,38.7,38.7,5793800,33.65
"2007-05-01",36.98,37.1,35.5,36.6,15953600,31.83
"2007-05-02",36.49,37.12,36.41,36.62,6417200,31.85
"2007-05-03",36.92,37.25,35.98,36.14,6100100,31.43
"2007-05-04",36.6,36.62,36.04,36.06,6651200,31.36
"2007-05-07",36.27,36.61,36.14,36.21,3547600,31.49
"2007-05-08",36.2,36.3,35.33,35.37,6983600,30.76
