"","ADT.Open","ADT.High","ADT.Low","ADT.Close","ADT.Volume","ADT.Adjusted"
"2012-10-02",37.18,38.55,36.3,38.33,9899000,37.7
"2012-10-03",38.56,40.35,38.56,39.09,6480600,38.45
"2012-10-04",39.09,39.38,38.39,38.57,3147300,37.94
"2012-10-05",38.7,38.99,36.97,38.24,7520000,37.61
"2012-10-08",36.64,38.54,36.56,38.23,3698600,37.6
"2012-10-09",38.09,38.58,37.24,37.5,3872400,36.88
"2012-10-10",36.97,37.64,36.73,37.06,4325900,36.45
"2012-10-11",37.15,37.21,35.75,36.45,5293000,35.85
"2012-10-12",36.23,36.5,35.98,36.48,2703100,35.88
"2012-10-15",35.78,36.58,35.38,36.55,2831300,35.95
"2012-10-16",36.99,38,36.55,37.84,3530900,37.22
"2012-10-17",37.91,39,37.82,38.82,3869800,38.18
"2012-10-18",37.26,39,36.91,38.56,3614600,37.93
"2012-10-19",38.76,39.1,38.22,38.8,1514300,38.16
"2012-10-22",38.6,38.97,38.35,38.9,1435300,38.26
"2012-10-23",38.16,38.61,37.93,38.09,1848600,37.46
"2012-10-24",38.15,38.57,37.55,38.32,2251600,37.69
"2012-10-25",39.75,42.45,39.75,41.16,7659600,40.48
"2012-10-26",40.98,42.58,40.92,41.86,3076600,41.17
"2012-10-31",41.76,42,40.77,41.51,2729900,40.83
"2012-11-01",41.51,41.83,40.97,41.28,2295400,40.6
"2012-11-02",42.19,43,41.35,41.5,1864100,40.82
"2012-11-05",41.5,42.51,41.17,41.88,1663900,41.19
"2012-11-06",42.52,42.79,41.66,41.72,2102000,41.03
"2012-11-07",41.6,41.83,40.85,40.98,2292200,40.31
"2012-11-08",40.98,42.34,40.39,41.76,1589400,41.07
"2012-11-09",42.09,43.35,41.87,43.06,3040300,42.35
"2012-11-12",43.06,44.97,42.7,42.85,1072700,42.15
"2012-11-13",42.41,43.19,42.2,42.83,1392100,42.13
"2012-11-14",42.77,42.77,41.39,41.51,1523400,40.83
"2012-11-15",41.5,41.97,40.99,41.4,2118000,40.72
"2012-11-16",41.5,41.64,40.94,41.03,2192300,40.36
"2012-11-19",41.46,42.28,41.2,41.74,1741100,41.05
"2012-11-20",41.79,42.34,41.7,42.25,1526200,41.56
"2012-11-21",42.3,42.7,42.11,42.66,796400,41.96
"2012-11-23",42.73,42.91,42.43,42.86,364900,42.16
"2012-11-26",42.65,43.27,42.61,43.1,1697200,42.39
"2012-11-27",45,45,43.45,43.57,6803800,42.85
"2012-11-28",42.38,44.27,42.38,44.15,3446300,43.42
"2012-11-29",44.3,45.21,44.16,44.79,1909000,44.05
"2012-11-30",44.83,45.98,44.73,45.9,2852600,45.15
"2012-12-03",45.81,45.88,44.28,44.72,2737400,43.99
"2012-12-04",44.31,45,43.95,44,1392800,43.28
"2012-12-05",44.04,44.32,43.75,44.07,1065400,43.35
"2012-12-06",43.83,44.19,43.25,43.88,2269300,43.28
"2012-12-07",44,45.97,43.98,45.55,4140200,44.93
"2012-12-10",45.56,45.88,45.07,45.25,1026300,44.63
"2012-12-11",45.49,45.59,44.85,45.03,1050800,44.42
"2012-12-12",45.27,45.64,44.85,45.22,1218200,44.6
"2012-12-13",45.02,45.53,44.6,45,1064900,44.39
"2012-12-14",45,46.09,44.7,45.9,2476600,45.27
"2012-12-17",46.06,46.74,45.36,46.33,2063600,45.7
"2012-12-18",46.33,47,45.32,45.73,3918900,45.11
"2012-12-19",45.62,45.62,44.84,44.96,1314900,44.35
"2012-12-20",44.99,45.72,44.71,45.37,1821000,44.75
"2012-12-21",44.86,45.1,44.35,44.73,2796800,44.12
"2012-12-24",44.61,45.42,44.42,45.12,474200,44.51
"2012-12-26",45.23,45.23,44.28,45.06,1354100,44.45
"2012-12-27",45.33,46.48,45.12,46.23,2266200,45.6
"2012-12-28",45.74,46.28,45.25,45.35,1599400,44.73
"2012-12-31",45,46.65,44.6,46.49,1980000,45.86
"2013-01-02",47.06,47.31,45.93,46.02,2444500,45.39
"2013-01-03",46.04,46.65,45.53,46.11,1998700,45.48
"2013-01-04",46.23,46.8,45.86,46.75,1671900,46.11
"2013-01-07",46.26,47.17,46.25,46.66,1597300,46.02
"2013-01-08",47.01,47.5,45.83,46.47,2234200,45.84
"2013-01-09",46.59,46.69,45.63,46,2016600,45.37
"2013-01-10",46.34,46.66,45.69,46.5,2739700,45.87
"2013-01-11",46.66,46.95,46.13,46.84,1180000,46.2
"2013-01-14",46.97,47.5,46.5,47.38,1701900,46.73
"2013-01-15",47.01,47.5,46.55,47.25,1729400,46.61
"2013-01-16",47.18,47.9,46.96,47.79,2200800,47.14
"2013-01-17",47.99,48.16,47.71,47.99,1620700,47.34
"2013-01-18",48.54,48.91,47.67,47.98,2667700,47.33
"2013-01-22",48.23,48.25,47.25,47.98,1319000,47.33
"2013-01-23",47.86,48.18,47.19,47.36,1543300,46.71
"2013-01-24",47.42,47.81,46.6,46.81,1848200,46.17
"2013-01-25",47.04,47.3,46.63,47.18,1443200,46.54
"2013-01-28",47.25,47.47,46.47,46.97,952900,46.45
"2013-01-29",46.97,47,46.45,46.51,1960600,46
"2013-01-30",49,49.1,47.4,48,5990300,47.47
"2013-01-31",47.76,48.31,47.41,47.5,2835400,46.98
"2013-02-01",47.89,47.89,47.09,47.59,2978600,47.07
"2013-02-04",47.31,47.52,47.15,47.15,2189800,46.63
"2013-02-05",47.49,48.05,47.01,48.01,2436000,47.48
"2013-02-06",47.63,48.39,47.6,47.92,1735900,47.39
"2013-02-07",48.12,48.47,47.93,48.15,2067000,47.62
"2013-02-08",48.05,48.25,47.45,47.67,1368300,47.15
"2013-02-11",47.75,47.96,47.59,47.63,965300,47.11
"2013-02-12",47.7,47.88,47.03,47.29,1520900,46.77
"2013-02-13",47.51,47.69,47.2,47.4,1261700,46.88
"2013-02-14",47.47,47.57,46.65,46.73,1771600,46.22
"2013-02-15",46.96,47.27,46.1,46.4,1908300,45.89
"2013-02-19",46.4,47.51,46.35,47.27,2831300,46.75
"2013-02-20",47.75,47.89,47.11,47.36,2823200,46.84
"2013-02-21",47.2,47.31,45.92,46.39,2271700,45.88
"2013-02-22",46.58,47.34,46.41,46.98,1480400,46.46
"2013-02-25",47.47,47.95,46.13,46.24,1926500,45.73
"2013-02-26",46.35,46.72,46.35,46.57,1396600,46.06
"2013-02-27",46.31,48.3,46.31,47.99,3015600,47.46
"2013-02-28",47.93,48.4,47.3,47.89,2128100,47.36
"2013-03-01",47.5,48.2,47.3,47.93,1444200,47.4
"2013-03-04",47.95,48.73,47.94,48.71,1533200,48.17
"2013-03-05",48.83,49.66,48.8,48.98,1689800,48.44
"2013-03-06",49.27,49.36,48.31,48.35,1268100,47.82
"2013-03-07",48.29,48.66,47.92,48.04,1419900,47.51
"2013-03-08",48.24,48.85,47.76,47.88,1339200,47.35
"2013-03-11",47.81,49.29,47.76,48.45,1244000,47.92
"2013-03-12",48.52,48.96,48.52,48.74,1716500,48.2
"2013-03-13",48.67,50.2,48.67,49.73,1725600,49.18
"2013-03-14",49.73,50.37,49.08,49.23,1612300,48.69
"2013-03-15",48.94,49.55,48.76,49.41,1408400,48.87
"2013-03-18",49.05,49.57,48.5,49.16,991400,48.62
"2013-03-19",49.17,49.68,48.85,49.1,1075700,48.56
"2013-03-20",49.39,49.61,48.9,49.02,1173000,48.48
"2013-03-21",48.87,50.35,48.8,48.88,2613500,48.34
"2013-03-22",48.95,49.48,48.27,48.83,2031700,48.29
"2013-03-25",49.16,49.38,48.32,48.47,1284500,47.94
"2013-03-26",48.72,48.95,48.24,48.35,1448100,47.82
"2013-03-27",48.23,49.25,48.23,48.59,1464000,48.06
"2013-03-28",48.7,48.99,48.33,48.94,2289900,48.4
"2013-04-01",48.85,48.86,47.54,48,3179500,47.47
"2013-04-02",47.24,47.72,46.28,46.47,9261300,45.96
"2013-04-03",45,46.24,44.57,45.95,11209700,45.44
"2013-04-04",46.1,46.2,44.52,44.83,6295100,44.34
"2013-04-05",44.21,46.64,43.26,46.32,4863900,45.81
"2013-04-08",46.13,46.6,45.64,46.58,2375800,46.07
"2013-04-09",46.6,46.71,44.94,45.01,3354000,44.51
"2013-04-10",45.35,45.77,43.86,45.61,6183900,45.11
"2013-04-11",45.75,45.78,44.97,45.07,2470600,44.57
"2013-04-12",45,46.05,44.99,45.98,4546800,45.47
"2013-04-15",45.94,45.96,44.02,44.02,3515700,43.54
"2013-04-16",44.32,44.58,42.75,43.39,5261200,42.91
"2013-04-17",43.25,44.06,42.92,43.93,2953400,43.45
"2013-04-18",43.9,43.96,43.18,43.66,1520000,43.18
"2013-04-19",43.47,44,43.11,43.84,1355300,43.36
"2013-04-22",43.78,44.12,43.06,43.84,1421900,43.48
"2013-04-23",43.88,44.61,43.59,43.76,1416000,43.4
"2013-04-24",43.89,44.12,43.22,43.43,1636300,43.07
"2013-04-25",43.58,44.46,43.46,44.04,1022400,43.68
"2013-04-26",43.99,44.22,43.06,43.91,2674700,43.55
"2013-04-29",44.07,44.8,43.53,43.64,2003800,43.28
"2013-04-30",43.65,43.98,42.95,43.64,3230800,43.28
"2013-05-01",41.3,42.64,40.19,40.64,9157600,40.31
"2013-05-02",40.96,42.5,40.94,42.45,3901100,42.1
"2013-05-03",42.83,43.95,42.75,43.5,4355900,43.14
"2013-05-06",43.76,44.46,43.36,44.36,3038000,44
"2013-05-07",44.44,44.88,44.15,44.4,2737100,44.04
"2013-05-08",44.4,44.99,43.93,44.47,2576500,44.11
"2013-05-09",44.48,45.04,44.43,44.7,1596400,44.33
"2013-05-10",44.87,44.92,44.04,44.13,1855200,43.77
"2013-05-13",44.01,44.11,42.65,42.81,3298800,42.46
"2013-05-14",43.01,43.31,42.52,42.88,2290500,42.53
"2013-05-15",42.92,42.92,42.04,42.4,2929600,42.05
"2013-05-16",42.39,42.54,41.78,41.83,2255800,41.49
"2013-05-17",41.83,43.43,41.83,43.3,2700600,42.95
"2013-05-20",42.75,43,41.86,41.88,4689600,41.54
"2013-05-21",41.84,42.67,41.84,42.35,2441900,42
"2013-05-22",42.27,42.44,41.07,41.17,3118600,40.83
"2013-05-23",40.95,42.18,40.76,42.1,2675400,41.76
"2013-05-24",41.78,42.65,41.74,42.33,2219000,41.98
"2013-05-28",42.73,42.8,42.24,42.32,2184300,41.97
"2013-05-29",41.93,42.11,41.62,42,3533000,41.66
"2013-05-30",41.94,42.05,41.17,41.21,3086200,40.87
"2013-05-31",41.18,41.51,40.56,40.59,3041300,40.26
"2013-06-03",40.98,41.7,40.05,41.05,3896700,40.71
"2013-06-04",40.89,41.19,39.93,40.4,4389200,40.07
"2013-06-05",40.11,40.19,39.66,39.74,4412800,39.41
"2013-06-06",39.76,40.25,39.43,40,3988000,39.67
"2013-06-07",40.18,40.67,40.01,40.21,3439600,39.88
"2013-06-10",40.18,40.23,39.84,40.01,4273700,39.68
"2013-06-11",39.67,40.11,39.63,39.92,3273300,39.59
"2013-06-12",40.11,40.15,39.03,39.15,3174500,38.83
"2013-06-13",39.06,39.3,38.09,38.77,8204700,38.45
"2013-06-14",38.83,39.49,38.73,39.41,4755000,39.09
"2013-06-17",39.54,40.07,39.24,39.62,3908600,39.3
"2013-06-18",39.84,40.79,39.69,40.77,2668600,40.44
"2013-06-19",40.85,41.4,40.48,40.55,3077600,40.22
"2013-06-20",40.3,40.3,39.23,39.42,3818800,39.1
"2013-06-21",39.74,39.77,39.06,39.37,3805000,39.05
"2013-06-24",39.09,39.31,38.63,39.14,2706900,38.82
"2013-06-25",39.46,40.18,39.38,40.03,2636700,39.7
"2013-06-26",40.47,41.08,40.41,40.95,2833000,40.62
"2013-06-27",41.17,41.28,40.16,40.35,2368900,40.02
"2013-06-28",40.33,40.63,39.8,39.85,4006800,39.52
"2013-07-01",39.99,40.76,39.99,40.43,2547400,40.1
"2013-07-02",40.35,40.61,39.49,39.59,3925200,39.27
"2013-07-03",39.43,39.53,39.2,39.24,1821900,38.92
"2013-07-05",39.49,39.62,39.28,39.61,1778700,39.29
"2013-07-08",39.84,40.22,39.7,39.95,4096000,39.62
"2013-07-09",40.2,42.75,40.12,42.02,6988200,41.68
"2013-07-10",42.13,42.34,41.21,41.88,4244100,41.54
"2013-07-11",42.23,42.89,42.22,42.69,2651200,42.34
"2013-07-12",42.63,43.06,42.47,43.02,2068300,42.67
"2013-07-15",43.2,44.56,43.15,43.86,3481400,43.5
"2013-07-16",43.78,43.84,42.9,42.96,2257800,42.61
"2013-07-17",43.08,43.45,42.54,42.7,1467700,42.35
"2013-07-18",42.89,42.95,42.43,42.49,1460900,42.14
"2013-07-19",42.48,42.65,42.04,42.17,1775100,41.83
"2013-07-22",42.18,42.39,41.81,42,1950800,41.66
"2013-07-23",42.23,42.65,41.86,42.32,1152100,41.97
"2013-07-24",42.42,42.54,41.81,42.09,842100,41.75
"2013-07-25",42.08,42.46,41.37,41.6,2065100,41.26
"2013-07-26",41.47,41.62,40.94,41.16,1307200,40.82
"2013-07-29",40.92,41.37,40.87,41.16,1003100,40.95
"2013-07-30",41.38,42.55,41.32,42.09,3280200,41.87
"2013-07-31",43.12,44,40,40.08,9357600,39.87
"2013-08-01",40,40.42,39.6,39.75,6364400,39.54
"2013-08-02",39.84,40.69,39.7,40.6,3732100,40.39
"2013-08-05",40.5,41.29,40.17,41.25,2307800,41.04
"2013-08-06",41.16,41.18,40.1,40.21,3153100,40
"2013-08-07",40.27,40.46,39.92,40.34,2177200,40.13
"2013-08-08",40.4,41.1,40.28,41.05,1930600,40.84
"2013-08-09",41.04,41.56,40.84,41.2,1645800,40.99
"2013-08-12",41.08,41.41,40.93,40.96,2048900,40.75
"2013-08-13",41.12,41.21,40.89,41,1691400,40.79
"2013-08-14",40.93,41.24,40.87,40.88,1426000,40.67
"2013-08-15",40.65,40.71,40,40.12,3019700,39.91
"2013-08-16",40,41.14,39.95,41.06,2059300,40.85
"2013-08-19",40.93,41.15,40.62,40.85,1902200,40.64
"2013-08-20",40.85,41.3,40.67,41.25,1791900,41.04
"2013-08-21",41.08,41.15,40.71,40.87,2871600,40.66
"2013-08-22",40.83,41.62,40.67,41.51,1463200,41.3
"2013-08-23",41.52,41.59,41.12,41.25,1063300,41.04
"2013-08-26",41.24,41.45,41.1,41.26,1249100,41.05
"2013-08-27",40.75,41,40.45,40.47,1700700,40.26
"2013-08-28",40.46,40.73,40.28,40.45,1568400,40.24
"2013-08-29",40.35,41.28,40.25,40.71,1576800,40.5
"2013-08-30",40.71,40.77,39.71,39.83,2303400,39.62
"2013-09-03",40,40.23,39.04,39.14,3995800,38.94
"2013-09-04",39.05,39.56,38.91,39.11,3309100,38.91
"2013-09-05",39.07,40.2,39.05,39.95,2387200,39.74
"2013-09-06",40.09,40.1,39.17,39.48,2630400,39.28
"2013-09-09",39.63,40.09,39.38,39.97,1510100,39.76
"2013-09-10",40.27,40.73,40.1,40.5,1699600,40.29
"2013-09-11",40.51,40.57,39.72,40.14,1861000,39.93
"2013-09-12",40.01,40.2,39.66,39.7,1497800,39.5
"2013-09-13",39.82,40.21,39.38,40.03,1105900,39.82
"2013-09-16",40.55,41.66,40.47,41.48,3323200,41.27
"2013-09-17",41.53,41.74,41.12,41.33,2747600,41.12
"2013-09-18",41.27,41.95,41.04,41.93,2192000,41.71
"2013-09-19",42,42.79,41.85,42.69,4199100,42.47
"2013-09-20",42.61,42.65,41.96,42.32,5268800,42.1
"2013-09-23",42.32,43.02,41.91,42.88,2648100,42.66
"2013-09-24",42.8,42.92,42.05,42.7,3255200,42.48
"2013-09-25",42.61,42.88,41.9,41.95,2463800,41.73
"2013-09-26",41.88,42.42,41.88,42.13,1612100,41.91
"2013-09-27",41.8,41.83,41.15,41.26,2145700,41.05
"2013-09-30",41.04,41.15,40.63,40.66,2321300,40.45
"2013-10-01",40.72,41.04,40.44,40.48,2494200,40.27
"2013-10-02",40.35,40.69,39.94,40.68,1823100,40.47
"2013-10-03",40.45,40.62,39.8,39.88,2452200,39.67
"2013-10-04",39.88,40.1,39.64,40.06,1675900,39.85
"2013-10-07",39.63,39.98,39.58,39.61,1712900,39.41
"2013-10-08",39.54,39.7,38.94,39,2182900,38.8
"2013-10-09",39.15,39.45,38.83,39.33,2208700,39.13
"2013-10-10",39.71,40.46,39.65,39.73,2710300,39.53
"2013-10-11",39.72,39.79,39.22,39.34,3553300,39.14
"2013-10-14",39.24,40.23,39.11,40.01,3208600,39.8
"2013-10-15",40.01,40.56,39.15,39.15,3056700,38.95
"2013-10-16",39.18,39.86,38.37,39.86,3179000,39.65
"2013-10-17",39.74,40.33,39.58,40.3,2584600,40.09
"2013-10-18",40.54,41.2,40.5,40.99,3703500,40.78
"2013-10-21",40.94,41.09,40.5,40.83,2443000,40.62
"2013-10-22",40.84,41.47,40.7,41.45,2161200,41.24
"2013-10-23",41.39,41.7,41.13,41.58,2271600,41.37
"2013-10-24",41.65,42.24,41.62,42.18,2753700,41.96
"2013-10-25",42.19,42.32,41.98,42.17,2177200,41.95
"2013-10-28",42.07,42.19,41.66,41.78,1753100,41.56
"2013-10-29",41.95,42.78,41.81,42.6,2605000,42.38
"2013-10-30",42.6,43.28,42.49,42.97,4399200,42.75
"2013-10-31",42.86,43.96,42.81,43.37,2903500,43.15
"2013-11-01",43.39,44,43.04,43.46,1946000,43.24
"2013-11-04",43.53,43.67,42.29,43.18,2058100,42.96
"2013-11-05",43.06,43.39,42.75,43.15,1509500,42.93
"2013-11-06",43.24,43.83,43.16,43.26,1299200,43.04
"2013-11-07",43.46,43.82,42.44,42.63,2304600,42.41
"2013-11-08",42.57,42.76,42.14,42.4,2170700,42.18
"2013-11-11",42.58,42.94,42.48,42.68,1573300,42.46
"2013-11-12",42.47,42.86,42.29,42.59,1943800,42.37
"2013-11-13",42.39,42.89,42.23,42.74,1935100,42.52
"2013-11-14",42.83,43.46,42.26,43.37,2278400,43.15
"2013-11-15",43.5,43.62,43.01,43.25,1896400,43.03
