"","AEE.Open","AEE.High","AEE.Low","AEE.Close","AEE.Volume","AEE.Adjusted"
"2007-01-03",53.73,54.33,53.62,54,689900,36.39
"2007-01-04",53.87,54.18,53.6,53.84,529100,36.28
"2007-01-05",53.72,53.73,52.89,53.11,833500,35.79
"2007-01-08",53.07,53.33,53,53.16,681000,35.82
"2007-01-09",53.25,53.54,53.02,53.34,1414700,35.95
"2007-01-10",53.19,53.45,53.1,53.29,444100,35.91
"2007-01-11",53.39,53.77,53.16,53.35,476100,35.95
"2007-01-12",53.47,53.53,52.78,53.07,1015500,35.76
"2007-01-16",53.16,53.5,52.99,53,515600,35.72
"2007-01-17",53.03,53.12,52.73,53,511100,35.72
"2007-01-18",53.02,53.02,52.52,52.73,711000,35.53
"2007-01-19",52.92,53.05,52.57,53,537600,35.72
"2007-01-22",52.84,53.07,52.68,52.95,662500,35.68
"2007-01-23",52.95,52.99,52.55,52.94,670100,35.68
"2007-01-24",52.95,53.27,52.9,53.26,492800,35.89
"2007-01-25",53.26,53.36,52.78,52.86,751600,35.62
"2007-01-26",52.85,53.28,52.58,53.22,774300,35.86
"2007-01-29",53.14,53.15,52.75,52.8,866600,35.58
"2007-01-30",52.92,53.03,52.6,52.85,742300,35.62
"2007-01-31",52.73,53.2,52.41,53.11,814600,35.79
"2007-02-01",53.24,53.64,53.09,53.54,589200,36.08
"2007-02-02",53.45,53.75,53.3,53.69,379700,36.18
"2007-02-05",53.74,54.02,53.54,53.93,425100,36.34
"2007-02-06",53.93,54.15,53.82,54.04,384300,36.42
"2007-02-07",53.92,54.06,53.75,53.85,549300,36.29
"2007-02-08",53.88,54.32,53.88,54.13,405000,36.48
"2007-02-09",54.07,54.41,53.71,53.99,792600,36.38
"2007-02-12",54.09,54.32,53.76,54.15,497100,36.49
"2007-02-13",54.16,54.56,54.1,54.55,461900,36.76
"2007-02-14",54.55,55,54.41,54.89,850300,36.99
"2007-02-15",53.51,54.1,53,53.5,1973200,36.05
"2007-02-16",53.33,53.7,53.32,53.51,899300,36.06
"2007-02-20",53.49,53.68,53.11,53.67,763600,36.17
"2007-02-21",53.45,53.55,52.87,53.15,683000,35.82
"2007-02-22",53.16,53.35,52.75,52.96,569600,35.69
"2007-02-23",52.96,53.13,52.67,52.96,651700,35.69
"2007-02-26",53.7,54.49,53.41,53.63,1121600,36.14
"2007-02-27",53.64,53.64,51.62,52.05,822400,35.08
"2007-02-28",52.22,52.89,52.1,52.2,1058500,35.18
"2007-03-01",52.2,52.61,51.34,52.33,1890200,35.26
"2007-03-02",52.23,52.26,51.48,51.63,807700,34.79
"2007-03-05",50.99,50.99,50.39,50.53,1108000,34.48
"2007-03-06",50.71,50.93,50.25,50.85,1068100,34.69
"2007-03-07",50.65,51.09,50.51,50.86,999700,34.7
"2007-03-08",50.86,50.86,50.1,50.26,1599300,34.29
"2007-03-09",50.3,50.64,49.89,50.12,1384300,34.2
"2007-03-12",50.12,50.46,49.92,50.43,876000,34.41
"2007-03-13",50.21,50.5,49.16,49.6,1949000,33.84
"2007-03-14",49.51,50,49.12,49.59,1965600,33.83
"2007-03-15",49.42,49.87,49.13,49.68,2071300,33.9
"2007-03-16",49.74,49.79,48.68,48.74,3173800,33.25
"2007-03-19",48.75,49.45,48.56,49.23,1558900,33.59
"2007-03-20",49.15,50.41,49.07,50.31,1615600,34.33
"2007-03-21",50.1,50.88,49.8,50.71,2341700,34.6
"2007-03-22",50.7,50.7,48.95,50.03,4952700,34.13
"2007-03-23",49.93,50.75,49.68,50.63,3003900,34.54
"2007-03-26",50.49,50.83,50.29,50.63,1461800,34.54
"2007-03-27",50.53,50.67,50.2,50.62,1571700,34.54
"2007-03-28",50.64,51.97,50.64,51.15,3613100,34.9
"2007-03-29",51.34,51.34,50.83,51.15,1328600,34.9
"2007-03-30",51.12,51.34,49.09,50.3,4642700,34.32
"2007-04-02",50.3,50.98,50.07,50.92,2203500,34.74
"2007-04-03",50.96,51.11,50.66,50.91,1479000,34.73
"2007-04-04",50.68,50.99,50.26,50.52,1742700,34.47
"2007-04-05",50.15,50.7,50.15,50.48,1420400,34.44
"2007-04-09",50.42,50.68,50,50.16,1626800,34.22
"2007-04-10",50.1,50.87,50.08,50.84,1452500,34.69
"2007-04-11",50.84,50.99,50.29,50.65,1364900,34.56
"2007-04-12",51,51,50.12,50.47,1031300,34.43
"2007-04-13",50.49,50.63,50.27,50.61,870800,34.53
"2007-04-16",50.69,50.77,50.34,50.59,1077700,34.52
"2007-04-17",50.53,50.91,50.48,50.9,1217800,34.73
"2007-04-18",50.72,51.08,50.55,50.98,1035100,34.78
"2007-04-19",51,51.1,50.44,50.51,1163000,34.46
"2007-04-20",50.6,50.9,49.73,50.2,2994200,34.25
"2007-04-23",50.21,51.23,50.2,51.18,1859500,34.92
"2007-04-24",51.43,53.6,51.29,52.45,3460700,35.79
"2007-04-25",52.52,52.87,52.27,52.33,1246700,35.7
"2007-04-26",52.27,52.67,52.09,52.27,2398400,35.66
"2007-04-27",52.05,52.52,52.04,52.37,2340800,35.73
"2007-04-30",52.37,52.95,52.31,52.57,3697200,35.87
"2007-05-01",52.63,53.38,52.63,53.28,1712900,36.35
"2007-05-02",53.28,53.96,53.26,53.86,1744500,36.75
"2007-05-03",53.8,53.88,53.46,53.86,1447700,36.75
"2007-05-04",53.91,54.25,53.63,53.91,1380200,36.78
"2007-05-07",54.02,54.6,54.02,54.44,1411000,37.14
"2007-05-08",54.3,54.71,54.12,54.33,1024500,37.07
"2007-05-09",54.4,54.58,54.25,54.45,922600,37.15
"2007-05-10",54.05,54.48,53.62,53.72,1409200,36.65
"2007-05-11",54.2,54.71,54,54.37,1258700,37.1
"2007-05-14",54.38,54.47,54.04,54.25,1025000,37.01
"2007-05-15",54.33,54.95,54.25,54.34,1206500,37.08
"2007-05-16",54.4,55,54.27,54.93,1579800,37.48
"2007-05-17",54.93,54.99,54.43,54.62,1254100,37.27
"2007-05-18",54.69,54.74,54.2,54.44,1293200,37.14
"2007-05-21",54.15,54.32,53.96,54.07,1265900,36.89
"2007-05-22",54.35,54.62,53.86,53.9,2057800,36.77
"2007-05-23",53.91,54.35,53.47,53.55,1512600,36.54
"2007-05-24",53.47,53.77,52.27,52.29,2277900,35.68
"2007-05-25",52.53,52.74,51.54,51.9,1575600,35.41
"2007-05-29",52.25,52.65,52,52.13,1264600,35.57
"2007-05-30",52,52.45,51.8,52.45,1721000,35.79
"2007-05-31",52.41,53.11,52.1,53.07,2497500,36.21
"2007-06-01",53.22,53.25,52.6,52.77,1963600,36
"2007-06-04",52.14,52.4,51.51,51.86,1386700,35.81
"2007-06-05",51.63,51.79,50.95,51.01,1359600,35.23
