"","AEP.Open","AEP.High","AEP.Low","AEP.Close","AEP.Volume","AEP.Adjusted"
"2007-01-03",42.49,43.1,42.45,42.85,1673200,30.9
"2007-01-04",42.81,43.02,42.58,42.84,1272900,30.89
"2007-01-05",42.84,42.84,42,42.04,1335100,30.31
"2007-01-08",42,42.19,41.69,42.01,1884100,30.29
"2007-01-09",42.2,42.58,41.99,42.41,2595400,30.58
"2007-01-10",42.16,42.53,42,42.33,1469500,30.52
"2007-01-11",42.49,42.98,42.34,42.72,2019000,30.8
"2007-01-12",42.15,43.48,41.73,41.86,2885900,30.18
"2007-01-16",41.84,42.36,41.84,42.11,1607100,30.36
"2007-01-17",42.1,42.13,41.75,42.07,1687000,30.33
"2007-01-18",42.17,42.32,41.9,41.93,1088900,30.23
"2007-01-19",41.93,42.1,41.8,41.94,1223700,30.24
"2007-01-22",41.9,42.26,41.79,42.25,3389200,30.46
"2007-01-23",42.28,42.83,42.18,42.61,1971400,30.72
"2007-01-24",42.55,43.13,42.5,43.11,1383000,31.08
"2007-01-25",43.11,43.25,42.81,42.95,1263000,30.97
"2007-01-26",43,43.35,42.75,43.26,1377000,31.19
"2007-01-29",43.4,43.6,43.05,43.37,3257300,31.27
"2007-01-30",43.86,43.9,43.52,43.76,2485200,31.55
"2007-01-31",43.65,43.83,43.28,43.53,3245100,31.39
"2007-02-01",43.63,43.84,43.48,43.7,3413000,31.51
"2007-02-02",43.76,44.35,43.7,44.26,2093300,31.91
"2007-02-05",44.1,44.76,44.06,44.66,1539500,32.2
"2007-02-06",44.97,45.46,44.84,45.05,2020000,32.48
"2007-02-07",44.66,45.01,44.58,45,1852300,32.73
"2007-02-08",45.01,45.37,44.77,45.3,1939400,32.95
"2007-02-09",45.33,46.03,45.23,45.45,2320300,33.06
"2007-02-12",45.55,45.93,45.41,45.67,1791100,33.22
"2007-02-13",45.83,45.88,45.38,45.78,2393000,33.3
"2007-02-14",45.78,46.32,45.74,45.95,2257800,33.42
"2007-02-15",45.98,45.98,45.48,45.71,1475300,33.25
"2007-02-16",45.58,45.92,45.37,45.89,1309400,33.38
"2007-02-20",46.01,46.01,45.61,45.95,1380100,33.42
"2007-02-21",45.85,45.87,45.43,45.7,1924600,33.24
"2007-02-22",45.66,45.93,45.42,45.52,1743200,33.11
"2007-02-23",45.57,45.99,45.49,45.75,2146900,33.28
"2007-02-26",46.1,46.76,46.07,46.22,3228700,33.62
"2007-02-27",46.15,46.16,44.7,44.97,2429800,32.71
"2007-02-28",44.98,45.41,44.75,44.9,3396500,32.66
"2007-03-01",44.25,45.72,44.03,45.47,2573200,33.07
"2007-03-02",45.38,45.59,44.85,44.87,1840400,32.64
"2007-03-05",44.87,44.95,44.28,44.3,2846800,32.22
"2007-03-06",44.7,45.5,44.38,45.33,2829600,32.97
"2007-03-07",45.45,45.72,45.11,45.17,2366100,32.85
"2007-03-08",45.33,45.56,45.03,45.14,1958300,32.83
"2007-03-09",46.19,46.19,45.06,45.15,1751800,32.84
"2007-03-12",45.15,46.16,45,46.12,1434200,33.54
"2007-03-13",45.76,46.11,45.22,45.27,1793700,32.93
"2007-03-14",45.43,45.68,44.91,45.61,2135100,33.17
"2007-03-15",45.43,46.46,45.27,46.35,2294100,33.71
"2007-03-16",46.46,46.55,45.9,45.97,2546800,33.44
"2007-03-19",45.97,46.54,45.88,46.4,1834300,33.75
"2007-03-20",46.15,47.3,46.05,47.26,1821600,34.37
"2007-03-21",47.13,48.3,46.83,48.04,3822100,34.94
"2007-03-22",48.89,48.9,47.83,48.38,2190600,35.19
"2007-03-23",48.22,49.35,48.03,49.16,2844500,35.76
"2007-03-26",48.98,49.37,48.82,49.3,3558100,35.86
"2007-03-27",49.12,49.14,48.64,48.93,1756300,35.59
"2007-03-28",48.91,49.24,48.48,48.83,1982600,35.52
"2007-03-29",49.17,49.17,48.6,49.03,1998600,35.66
"2007-03-30",49.19,49.47,48.05,48.75,2281700,35.46
"2007-04-02",48.74,49.81,48.74,49.81,2092300,36.23
"2007-04-03",49.82,49.93,49.35,49.39,2603400,35.92
"2007-04-04",49.39,49.5,48.68,48.8,3141900,35.49
"2007-04-05",48.11,48.95,48.1,48.84,1894200,35.52
"2007-04-09",48.93,49.62,48.84,49.57,1636300,36.05
"2007-04-10",49.22,49.58,49.14,49.38,2368500,35.92
"2007-04-11",49.25,49.37,48.66,48.77,2568000,35.47
"2007-04-12",48.85,48.89,48.08,48.6,2401900,35.35
"2007-04-13",49.42,49.42,48.31,48.66,1160900,35.39
"2007-04-16",49,49.22,48.79,49.04,1498200,35.67
"2007-04-17",49.09,49.57,49.04,49.49,1696500,36
"2007-04-18",49.07,50.04,49.05,49.77,2407600,36.2
"2007-04-19",49.77,50,49.55,49.88,2412600,36.28
"2007-04-20",50.16,50.79,49.97,50.34,2842300,36.61
"2007-04-23",50.21,50.69,50.21,50.6,1636300,36.8
"2007-04-24",50.61,51.05,50.43,50.95,2426700,37.06
"2007-04-25",51.2,51.24,50.65,50.71,7531000,36.88
"2007-04-26",49.49,51.04,49.49,50.25,3605800,36.55
"2007-04-27",50.01,50.38,49.51,50.35,2300100,36.62
"2007-04-30",50.35,50.49,50.15,50.22,3872900,36.53
"2007-05-01",50,50.73,50,50.66,2164100,36.85
"2007-05-02",50.53,51,50.28,50.62,1976300,36.82
"2007-05-03",50.66,50.93,50.34,50.63,3405100,36.82
"2007-05-04",50.82,50.89,50.3,50.4,1253000,36.66
"2007-05-07",50.47,50.66,50.41,50.53,2864300,36.75
"2007-05-08",50.15,50.15,49.64,49.82,2681400,36.52
"2007-05-09",49.82,49.94,49.15,49.43,2212800,36.23
"2007-05-10",49.34,49.36,48.74,48.74,1951000,35.73
"2007-05-11",48.82,48.95,48.66,48.92,1676100,35.86
"2007-05-14",48.87,49.26,48.87,49.16,2514400,36.03
"2007-05-15",49.19,49.97,48.99,49.44,2414100,36.24
"2007-05-16",49.54,49.86,49.53,49.8,1469400,36.5
"2007-05-17",49.75,49.75,49.23,49.3,1357200,36.14
"2007-05-18",49.39,49.45,48.91,49.14,1430000,36.02
"2007-05-21",49.2,49.73,49.09,49.7,1385500,36.43
"2007-05-22",49.53,49.68,48.82,48.88,2394800,35.83
"2007-05-23",49.73,50.33,48.86,48.9,3091700,35.84
"2007-05-24",48.85,49.06,47.29,47.37,6283000,34.72
"2007-05-25",47.62,47.93,46.74,47.25,2662500,34.63
"2007-05-29",47.5,47.88,47.25,47.34,2178100,34.7
"2007-05-30",47.76,47.85,47,47.84,4715200,35.07
"2007-05-31",48.59,48.7,47.58,47.63,2001200,34.91
"2007-06-01",47.63,47.96,47.19,47.56,2240000,34.86
"2007-06-04",47.56,47.99,46.6,46.89,2704900,34.37
"2007-06-05",46.89,46.9,46.3,46.54,3253100,34.11
"2007-06-06",46.44,46.44,45.56,45.78,2311400,33.56
"2007-06-07",45.71,45.78,44.26,44.5,4086900,32.62
"2007-06-08",44.51,45.1,44.29,44.91,2878000,32.92
"2007-06-11",44.85,45.7,44.79,45.04,2996100,33.01
"2007-06-12",44.67,45.39,44.35,44.62,2918200,32.71
"2007-06-13",45.09,45.47,44.7,45.34,2985800,33.23
"2007-06-14",45.2,45.68,45.03,45.24,1927200,33.16
"2007-06-15",45.4,46.49,45.4,46.27,2963400,33.92
"2007-06-18",46,46.09,45.29,45.37,1542700,33.26
"2007-06-19",45.22,45.74,45.07,45.57,1370000,33.4
"2007-06-20",45.57,45.83,43.96,43.96,1962100,32.22
"2007-06-21",43.96,44.78,43.62,44.47,1788700,32.6
"2007-06-22",44.37,44.37,43.39,43.49,2205800,31.88
"2007-06-25",43.87,44.77,43.6,44.28,2869400,32.46
"2007-06-26",44.65,45.4,43.96,43.96,2970100,32.22
"2007-06-27",43.53,44.78,43.45,44.65,3193000,32.73
"2007-06-28",44.71,45.24,44.46,44.55,2215300,32.65
"2007-06-29",44.9,45.71,44.48,45.04,3326900,33.01
"2007-07-02",45.46,45.95,45.33,45.83,1808000,33.59
"2007-07-03",45.83,46.37,45.63,46.02,1128900,33.73
"2007-07-05",46.02,46.42,45.32,45.74,2355400,33.53
"2007-07-06",45.63,45.76,44.71,45.45,1828000,33.31
"2007-07-09",45.43,45.54,44.79,44.79,2350200,32.83
"2007-07-10",44.77,45.17,44.51,44.63,2725600,32.71
"2007-07-11",44.56,45.05,44.5,44.94,2631400,32.94
"2007-07-12",44.96,46.14,44.94,46.06,2186700,33.76
"2007-07-13",45.86,46.69,45.6,46.37,2430500,33.99
"2007-07-16",46.06,46.22,45.22,45.29,2502400,33.2
"2007-07-17",45.49,46.06,45.29,45.86,2151100,33.61
"2007-07-18",45.99,46.37,45.64,46.28,2781000,33.92
"2007-07-19",46.31,47.04,46.13,46.83,2484800,34.33
"2007-07-20",47.5,47.56,46.14,46.2,2871500,33.86
"2007-07-23",46.95,46.98,46.2,46.39,1633300,34
"2007-07-24",46.86,46.89,45.03,45.14,2294100,33.09
"2007-07-25",45.9,45.92,44.35,45.03,3957400,33.01
"2007-07-26",44.77,45.15,43.17,43.6,4515900,31.96
"2007-07-27",43.4,44.08,43.19,43.19,3806800,31.66
"2007-07-30",42.87,44.28,42.75,44.06,3433800,32.3
"2007-07-31",44.97,45.65,43.23,43.49,4608200,31.88
"2007-08-01",43.5,45.71,43.48,45.61,3575100,33.43
"2007-08-02",45.62,46.4,45.33,46.02,2027400,33.73
"2007-08-03",46,46.2,43.91,44.04,3221600,32.28
"2007-08-06",45.83,46.35,42.46,46.31,3447900,33.94
"2007-08-07",45.89,48.01,45.68,47.74,3872800,34.99
"2007-08-08",47.84,48.57,47.15,47.85,3946300,35.36
"2007-08-09",45.05,48.49,45.05,46.97,3476900,34.71
"2007-08-10",46.7,47.43,45.3,46.9,3169900,34.66
"2007-08-13",46.4,47.09,44.94,46.17,2902800,34.12
"2007-08-14",45.97,46.9,44.83,44.93,2731200,33.2
"2007-08-15",44.93,45.65,43.87,43.97,2845300,32.49
"2007-08-16",43.42,45.18,42.62,45.09,4856100,33.32
"2007-08-17",46.82,47.16,44.65,46.47,3796200,34.34
"2007-08-20",46.45,47,45.74,46.3,2041000,34.22
"2007-08-21",46.49,47.34,45.9,46.83,2056000,34.61
"2007-08-22",46.89,48.83,46.03,46.64,1957900,34.47
"2007-08-23",46.98,47.09,46.01,46.24,1562700,34.17
"2007-08-24",46.14,46.77,45.76,46.77,1032800,34.56
"2007-08-27",46.32,46.37,44.95,45.07,2630600,33.31
"2007-08-28",44.71,45.66,44.6,44.85,3084000,33.15
"2007-08-29",45.21,45.47,43.87,44.66,4364400,33
"2007-08-30",44.04,45.08,43.85,44.46,3337700,32.86
"2007-08-31",44.93,45,43.93,44.48,1930700,32.87
"2007-09-04",44.11,45.82,44.11,45.66,1806600,33.74
"2007-09-05",45.47,45.47,44.82,45.13,1874300,33.35
"2007-09-06",44.93,45.65,44.92,45.41,1110400,33.56
"2007-09-07",44.87,45.35,44.25,44.55,2152600,32.92
"2007-09-10",44.45,44.88,44.06,44.64,2226500,32.99
"2007-09-11",44.6,45.31,44.6,45.3,1678400,33.48
"2007-09-12",45.4,45.72,45.22,45.48,1921000,33.61
"2007-09-13",45.9,45.99,45.07,45.23,1364800,33.43
"2007-09-14",44.87,45.43,44.87,45.09,1454800,33.32
