"","AFL.Open","AFL.High","AFL.Low","AFL.Close","AFL.Volume","AFL.Adjusted"
"2007-01-03",46.02,46.7,46,46.25,2705400,38.77
"2007-01-04",46.25,46.25,45.72,45.74,1862900,38.34
"2007-01-05",45.64,45.87,45.5,45.8,1354400,38.39
"2007-01-08",45.72,45.87,45.62,45.83,1625000,38.42
"2007-01-09",45.99,46.04,45.79,46,1689800,38.56
"2007-01-10",45.97,46.58,45.87,46.55,2022400,39.02
"2007-01-11",47,48.22,46.83,47.95,4521700,40.19
"2007-01-12",47.43,48.43,47.43,48.39,2164500,40.56
"2007-01-16",48.6,48.71,48.38,48.58,2329200,40.72
"2007-01-17",48.44,48.47,47.9,48.06,3548600,40.28
"2007-01-18",48.3,48.3,47.89,47.93,1769100,40.18
"2007-01-19",47.9,48.04,47.49,47.77,1787900,40.04
"2007-01-22",47.58,47.8,47.43,47.52,1459500,39.83
"2007-01-23",47.6,47.75,47.32,47.61,1127100,39.91
"2007-01-24",47.72,47.78,47.51,47.68,1361700,39.97
"2007-01-25",47.48,47.54,46.81,46.86,1789300,39.28
"2007-01-26",46.88,47.13,46.55,46.95,1407000,39.35
"2007-01-29",46.96,47.42,46.81,47.05,1606100,39.44
"2007-01-30",47,47.45,46.82,47.4,2205700,39.73
"2007-01-31",47.26,48.02,46.8,47.61,4148900,39.91
"2007-02-01",47.6,48.5,47.51,48.48,2405700,40.64
"2007-02-02",48.58,48.71,48.34,48.7,2209300,40.82
"2007-02-05",48.49,48.49,48.18,48.28,1696600,40.47
"2007-02-06",48.29,48.95,48.29,48.83,1573000,40.93
"2007-02-07",48.77,49.37,48.7,49.26,1887000,41.29
"2007-02-08",49.01,49.03,48.08,48.08,2787800,40.3
"2007-02-09",48.23,48.52,47.51,47.71,2158500,39.99
"2007-02-12",47.93,48.21,47.72,47.86,2211300,40.12
"2007-02-13",47.86,48.06,47.61,47.84,1687900,40.1
"2007-02-14",47.95,48.02,47.64,47.9,2000200,40.31
"2007-02-15",47.98,48.05,47.65,47.93,1599800,40.33
"2007-02-16",47.82,48.12,47.8,47.99,1461300,40.38
"2007-02-20",47.98,48.59,47.77,48.42,1023200,40.74
"2007-02-21",48.43,48.43,47.89,47.9,1683800,40.31
"2007-02-22",48,48.61,47.98,48.56,1771700,40.86
"2007-02-23",48.6,48.67,48.42,48.59,1553600,40.89
"2007-02-26",48.59,49.06,48.42,49.05,2433700,41.27
"2007-02-27",48.89,48.89,46.86,47.23,3656100,39.74
"2007-02-28",47.28,47.67,47.05,47.24,2563300,39.75
"2007-03-01",46.5,47.33,46.38,47.06,2335300,39.6
"2007-03-02",47.07,47.16,46.64,46.71,1690700,39.3
"2007-03-05",46.5,46.87,46.22,46.49,2143400,39.12
"2007-03-06",46.62,46.65,46.2,46.55,2841200,39.17
"2007-03-07",46.4,46.6,46.26,46.26,1725000,38.93
"2007-03-08",46.42,46.5,46.12,46.33,2342800,38.99
"2007-03-09",46.74,46.77,46.05,46.23,2211900,38.9
"2007-03-12",46.21,46.96,46.2,46.9,2246600,39.46
"2007-03-13",46.55,46.65,45.39,45.64,2341700,38.4
"2007-03-14",45.65,45.94,45.18,45.88,1810400,38.61
"2007-03-15",45.76,46.15,45.72,46,2198500,38.71
"2007-03-16",45.94,46.01,45.48,45.79,2328000,38.53
"2007-03-19",45.71,46.36,45.7,46.26,1583300,38.93
"2007-03-20",46.43,46.92,46.26,46.68,1291100,39.28
"2007-03-21",47.15,47.89,46.83,47.83,1835800,40.25
"2007-03-22",47.01,48.66,47.01,47.66,1432600,40.1
