"","AGN.Open","AGN.High","AGN.Low","AGN.Close","AGN.Volume","AGN.Adjusted"
"2007-01-03",121.15,121.22,118.26,119.14,1541200,58.3
"2007-01-04",119.14,120.29,118.1,119.64,1017000,58.54
"2007-01-05",119.17,120.36,118.75,119.63,1002000,58.54
"2007-01-08",119.2,119.2,105,117.72,1716800,57.6
"2007-01-09",117.43,117.6,116,116.09,2303600,56.8
"2007-01-10",115,116,114.86,115.5,1421000,56.52
"2007-01-11",115.5,118.17,115.3,118.03,1968800,57.75
"2007-01-12",116.5,118.04,116.5,117.03,1846000,57.26
"2007-01-16",117.01,117.29,115.94,116.46,1286000,56.99
"2007-01-17",116.42,119.47,116,118.75,1608000,58.11
"2007-01-18",118.2,118.34,116.51,117.62,1479800,57.55
"2007-01-19",117.62,118.77,117.45,117.78,1539200,57.63
"2007-01-22",118.4,118.4,115.39,115.93,7616400,56.73
"2007-01-23",116.47,116.47,114.77,116.11,1106000,56.81
"2007-01-24",116.62,118.29,115.72,117.98,1299200,57.73
"2007-01-25",117.52,117.89,116.76,117.05,1768800,57.27
"2007-01-26",117.3,117.51,116.14,117.17,1050600,57.33
"2007-01-29",117.01,117.02,115.2,115.91,2272800,56.72
"2007-01-30",116,116.8,115.1,115.87,1767600,56.7
"2007-01-31",112.64,119.09,112.51,116.71,5590200,57.11
"2007-02-01",116.76,118.23,115.49,117.81,2873000,57.65
"2007-02-02",117.53,118.06,116.14,116.6,1585600,57.05
"2007-02-05",116.05,117.48,115.46,116.76,1615800,57.13
"2007-02-06",116.15,116.5,115,115.39,2099400,56.46
"2007-02-07",115.6,116,114.88,115.04,2472600,56.29
"2007-02-08",114.8,115.6,114.69,114.81,1832800,56.18
"2007-02-09",114.96,115.08,113.71,114.05,2548200,55.81
"2007-02-12",115.25,115.75,114.42,114.81,1373200,56.18
"2007-02-13",114.8,115,113.07,113.51,1854000,55.54
"2007-02-14",113.15,113.5,112.72,112.99,2075800,55.34
"2007-02-15",113,114.29,112.81,114.03,1072600,55.85
"2007-02-16",113.32,113.9,111.95,112.63,2100200,55.16
"2007-02-20",113.57,113.9,112.55,112.94,1538800,55.31
"2007-02-21",112.32,113.78,112.02,113.43,2593400,55.55
"2007-02-22",113.43,114.24,112.08,112.31,1171600,55
"2007-02-23",112.05,112.54,111.22,112.35,5760600,55.02
"2007-02-26",112.5,115.09,112.37,113.94,2736600,55.8
"2007-02-27",113.17,113.94,111,111.35,3082600,54.53
"2007-02-28",111.11,112.75,110.1,111.71,2377800,54.71
"2007-03-01",110.63,111.16,109,110.26,3179200,54
"2007-03-02",108.63,111.11,105.94,109.67,3788400,53.71
"2007-03-05",109.5,112.5,107.07,107.18,2996200,52.49
"2007-03-06",107.58,109.1,107.3,109.08,2474400,53.42
"2007-03-07",108.47,109.32,107.2,107.3,2117200,52.55
"2007-03-08",108.05,108.34,107.49,108.1,2070400,52.94
"2007-03-09",108.95,109.2,107.9,108.1,1331200,52.94
"2007-03-12",108.06,108.66,107.69,108.52,1418400,53.15
"2007-03-13",108.5,108.97,105.8,105.81,2302400,51.82
"2007-03-14",105.81,109.5,105.81,108.48,4050200,53.13
"2007-03-15",109.9,111,108.9,110.6,2963400,54.17
"2007-03-16",111.2,111.2,109.89,110.71,2552400,54.22
"2007-03-19",111.53,111.7,109.97,110.57,1408400,54.15
"2007-03-20",110.57,111.2,109.89,110.74,1499000,54.23
"2007-03-21",110.64,113.09,110.16,112.7,1564600,55.19
"2007-03-22",111.2,113.4,111.2,113.05,1089400,55.37
"2007-03-23",112.5,113,112.3,112.58,1709400,55.14
"2007-03-26",111.2,112.52,110.67,111.33,2038600,54.52
"2007-03-27",110.85,111.91,110.55,111.38,1748800,54.55
"2007-03-28",114.13,114.13,110.03,110.37,1116000,54.05
"2007-03-29",110.64,111.36,110.05,110.7,1303400,54.21
"2007-03-30",110.5,111.32,109.64,110.82,1162200,54.27
"2007-04-02",111.02,111.5,110.29,111.38,1277200,54.55
"2007-04-03",111.88,112.25,111.43,111.65,1164200,54.68
"2007-04-04",112.18,112.85,112.08,112.65,1089200,55.17
