"","AIG.Open","AIG.High","AIG.Low","AIG.Close","AIG.Volume","AIG.Adjusted"
"2007-01-03",71.86,72.45,71.59,72.15,508400,1152.44
"2007-01-04",72.1,72.45,71.27,71.51,435000,1142.22
"2007-01-05",71.51,71.77,70.96,71.18,384900,1136.95
"2007-01-08",71.19,72,70.77,71.53,401700,1142.54
"2007-01-09",71.75,71.9,71,71.29,275300,1138.7
"2007-01-10",70.96,71.51,70.75,71.38,264700,1140.14
"2007-01-11",71.63,71.71,71.13,71.29,366000,1138.7
"2007-01-12",71.3,71.43,70.79,71.07,234900,1135.19
"2007-01-16",71.22,71.35,70.92,71.17,270600,1136.79
"2007-01-17",71.48,71.75,71.12,71.41,330000,1140.62
"2007-01-18",70.63,71.74,70.63,70.94,232500,1133.11
"2007-01-19",71.24,71.54,70.94,71.37,338800,1139.98
"2007-01-22",71.15,71.2,70.1,70.46,411300,1125.45
"2007-01-23",70,70.2,69.59,69.8,438600,1114.91
"2007-01-24",69.65,69.89,69.32,69.88,420800,1116.18
"2007-01-25",69.65,69.88,68.65,68.89,510300,1100.37
"2007-01-26",68.9,69.1,68.27,68.59,520500,1095.58
"2007-01-29",68.74,69.05,68.25,68.35,422800,1091.74
"2007-01-30",68.35,68.7,67.99,68.2,387200,1089.35
"2007-01-31",68.3,68.62,67.94,68.45,4e+05,1093.34
"2007-02-01",68.6,69.04,68.42,68.91,383700,1100.69
"2007-02-02",68.92,69.38,68.91,69.07,266100,1103.25
"2007-02-05",69,69.5,68.95,69.3,233400,1106.92
"2007-02-06",69.41,69.79,69.2,69.5,377600,1110.11
"2007-02-07",69.7,69.93,69.25,69.64,255200,1112.35
"2007-02-08",69.64,69.78,69.08,69.59,297000,1111.55
"2007-02-09",69.59,69.76,68.52,68.94,303100,1101.17
"2007-02-12",69.1,69.3,68.36,68.57,268200,1095.26
"2007-02-13",68.82,69.22,68.55,69.12,268900,1104.04
"2007-02-14",69.25,69.55,69.12,69.26,364400,1106.28
"2007-02-15",69.13,69.33,68.92,69.12,371200,1104.04
"2007-02-16",69.16,69.87,69.02,69.56,324400,1111.07
"2007-02-20",69.75,70.19,69.58,69.91,296700,1116.66
