"","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume","AIZ.Adjusted"
"2007-01-03",55.45,56.03,55.45,55.84,869700,49.12
"2007-01-04",55.84,56.43,55.7,56.39,982200,49.61
"2007-01-05",56.39,56.73,55.93,56,562900,49.26
"2007-01-08",56.19,56.34,55.83,56.05,295300,49.31
"2007-01-09",56.14,56.22,55.5,55.71,350100,49.01
"2007-01-10",55.73,55.74,55.22,55.49,453800,48.82
"2007-01-11",55.63,56.59,55.43,56.55,590200,49.75
"2007-01-12",56.3,57.09,56.25,56.91,773800,50.06
"2007-01-16",57.05,57.06,56.67,56.85,683600,50.01
"2007-01-17",56.87,56.99,56.61,56.75,278700,49.92
"2007-01-18",56.85,57.64,56.68,56.8,416700,49.97
"2007-01-19",56.6,56.78,56.04,56.22,374600,49.46
"2007-01-22",56.22,56.43,55.91,56.13,355700,49.38
"2007-01-23",56.05,56.31,56.02,56.09,470800,49.34
"2007-01-24",56.09,56.34,55.93,56.09,484900,49.34
"2007-01-25",56.1,56.15,55.36,55.36,256700,48.7
"2007-01-26",55.45,55.64,54.8,55.34,386400,48.68
"2007-01-29",55.25,56.09,55.25,55.95,489200,49.22
"2007-01-30",56.2,56.22,55.72,55.76,457100,49.05
"2007-01-31",55.7,55.91,55.44,55.58,630000,48.89
"2007-02-01",55.57,56.37,55.57,56.36,1020600,49.58
"2007-02-02",56.47,57.57,56.34,57.13,656100,50.26
"2007-02-05",57.3,57.39,57.03,57.11,221900,50.24
"2007-02-06",57,57.13,56.61,56.98,690300,50.13
"2007-02-07",56.73,56.89,56.55,56.75,662800,49.92
"2007-02-08",53.84,54.66,53,53.89,4331700,47.41
"2007-02-09",53.95,54.24,52.97,53.43,1546900,47
"2007-02-12",53.1,53.17,51.93,52.77,1555600,46.42
"2007-02-13",53.77,54.89,53.77,53.98,1691800,47.49
"2007-02-14",53.78,54.82,53.78,54.62,1002100,48.05
"2007-02-15",54.4,54.9,54.38,54.64,989100,48.07
"2007-02-16",54.61,54.7,54.53,54.58,453600,48.01
"2007-02-20",54.41,54.5,54.07,54.35,1142900,47.81
"2007-02-21",54.34,54.61,54,54.2,876200,47.68
"2007-02-22",54.35,54.99,53.85,54.3,567800,47.86
"2007-02-23",54.45,54.57,53.89,53.97,708400,47.57
"2007-02-26",54.5,54.5,53.8,53.95,545200,47.55
"2007-02-27",53.7,53.73,52.9,53.34,963200,47.01
"2007-02-28",53.28,53.77,53.08,53.45,500200,47.11
"2007-03-01",54.35,54.35,52.6,53.45,556400,47.11
"2007-03-02",53,53.61,53,53.4,402200,47.06
"2007-03-05",53,53.26,52.23,52.27,794700,46.07
"2007-03-06",52.8,53.32,52.72,53.14,417300,46.83
"2007-03-07",53.2,53.79,52.85,53.27,875300,46.95
"2007-03-08",53.39,53.8,53.2,53.48,828800,47.13
"2007-03-09",53.5,53.74,53.03,53.62,482000,47.26
"2007-03-12",53.97,54.5,53.7,53.89,590100,47.5
"2007-03-13",53.87,53.87,52.6,52.66,829700,46.41
"2007-03-14",52.66,52.83,52.25,52.51,876900,46.28
"2007-03-15",52.4,53.28,52.4,52.78,381900,46.52
"2007-03-16",52.69,52.9,52.25,52.51,385800,46.28
"2007-03-19",52.71,53.95,52.71,53.75,744100,47.37
"2007-03-20",53.6,54.21,53.6,54.15,498700,47.72
"2007-03-21",54.15,54.75,53.68,54.44,689300,47.98
"2007-03-22",54.2,54.43,53.73,53.75,694600,47.37
"2007-03-23",53.78,54.34,53.76,53.84,532800,47.45
"2007-03-26",54.08,54.16,53.34,53.85,547800,47.46
"2007-03-27",53.6,53.96,53.41,53.83,827800,47.44
"2007-03-28",53.8,53.97,52.99,53.18,507200,46.87
"2007-03-29",53.9,53.94,53.15,53.75,473700,47.37
"2007-03-30",53.59,54.14,53.51,53.63,432700,47.27
"2007-04-02",53.88,54.14,53.68,53.97,313200,47.57
"2007-04-03",55.85,56.5,55.69,56.2,3243000,49.53
"2007-04-04",56.42,56.5,55.44,55.87,1723200,49.24
"2007-04-05",55.92,57.43,55.87,57,2522700,50.24
"2007-04-09",57.39,57.79,55.35,55.75,17640600,49.13
"2007-04-10",55.75,55.88,55.65,55.83,1325700,49.21
"2007-04-11",54.94,56.2,54.94,55.95,664900,49.31
"2007-04-12",55.91,55.97,55.4,55.85,1121800,49.22
"2007-04-13",55.6,56.22,55.6,56.05,549900,49.4
"2007-04-16",57.11,57.2,56.71,56.89,624400,50.14
"2007-04-17",56.82,57.14,56.82,57.06,1043400,50.29
"2007-04-18",56.75,57.7,56.65,57.64,745300,50.8
"2007-04-19",59.51,59.51,57.34,57.78,611500,50.92
"2007-04-20",58.28,58.57,57.86,58.26,793100,51.35
"2007-04-23",58.27,58.94,57.8,57.94,707100,51.06
"2007-04-24",58.34,58.88,57.63,58.6,921900,51.65
"2007-04-25",58.6,58.84,58.3,58.62,686800,51.66
"2007-04-26",58.45,58.76,58.24,58.27,399100,51.36
"2007-04-27",58.13,58.29,57.85,57.9,522900,51.03
"2007-04-30",57.95,58.39,57.51,57.53,675900,50.7
"2007-05-01",59.06,59.06,57,57.42,1156200,50.61
"2007-05-02",57.58,58.37,57.49,58.21,1023400,51.3
"2007-05-03",59.21,60.54,59.21,60.25,3001100,53.1
"2007-05-04",60,60.3,59.52,59.63,725800,52.55
"2007-05-07",59.34,60.65,59.34,60.63,586200,53.44
"2007-05-08",60.65,62.13,60.5,60.54,1053600,53.36
"2007-05-09",60.54,61.26,60.42,60.85,690000,53.63
"2007-05-10",61,61,59.91,59.91,617600,52.8
"2007-05-11",59.92,60.46,59.89,60.41,476700,53.24
"2007-05-14",60.41,60.68,59.94,60.06,487100,52.93
"2007-05-15",60.25,60.82,60.08,60.17,559200,53.03
"2007-05-16",60.31,60.62,60.21,60.39,547300,53.22
"2007-05-17",59.9,60.38,59.9,60.23,568500,53.08
"2007-05-18",60.31,60.51,60.05,60.15,455300,53.01
"2007-05-21",60.05,60.4,60,60.08,425200,52.95
"2007-05-22",60.08,60.23,59.83,59.91,430100,52.8
"2007-05-23",59.92,60.07,59.51,59.61,326000,52.54
"2007-05-24",59.47,59.6,58.69,58.69,529900,51.83
"2007-05-25",58.7,59.08,58.69,59.08,322800,52.17
"2007-05-29",59.07,59.39,58.9,58.98,453600,52.09
"2007-05-30",58.78,59.29,58.7,59.2,440500,52.28
"2007-05-31",59.21,59.7,58.92,59.45,803500,52.5
"2007-06-01",59.6,59.99,59.51,59.55,1392600,52.59
"2007-06-04",59.5,59.95,59.5,59.89,436200,52.89
"2007-06-05",59.5,59.7,58.99,59.12,400500,52.21
"2007-06-06",58.6,58.89,58.39,58.76,493600,51.89
"2007-06-07",58.51,58.65,57.77,57.81,844800,51.05
"2007-06-08",57.81,59.01,57.81,58.96,486800,52.07
"2007-06-11",58.96,59.03,58.5,58.76,413900,51.89
"2007-06-12",58.51,59.08,58.16,58.16,430300,51.36
"2007-06-13",58.27,60.04,58.18,58.64,430100,51.79
"2007-06-14",58.7,59.05,58.67,58.73,362700,51.87
"2007-06-15",58.94,59.43,58.84,59.05,503600,52.15
"2007-06-18",59.05,59.26,58.84,59.05,350300,52.15
"2007-06-19",59.03,59.28,58.84,58.94,403700,52.05
"2007-06-20",59.1,59.26,58.08,58.19,279700,51.39
"2007-06-21",58.19,59,57.84,58.52,500400,51.68
"2007-06-22",58.48,58.6,57.41,57.89,591100,51.12
"2007-06-25",58.25,58.9,58.2,58.45,559700,51.62
"2007-06-26",58.59,58.86,58.25,58.51,569900,51.67
"2007-06-27",58.4,58.84,58.15,58.84,529100,51.96
"2007-06-28",58.72,58.97,58.46,58.56,314700,51.72
"2007-06-29",58.81,59.54,58.62,58.92,532600,52.03
"2007-07-02",59.01,59.75,59.01,59.39,529600,52.45
"2007-07-03",59.4,60,59.4,59.82,262500,52.83
"2007-07-05",59.82,59.82,57.64,58.65,1401700,51.79
"2007-07-06",58.66,59.65,58.56,59.58,598700,52.62
"2007-07-09",59.59,59.83,59.1,59.18,594600,52.26
"2007-07-10",58.88,59.41,58.28,58.32,961800,51.5
"2007-07-11",58.32,58.78,58.05,58.64,508000,51.79
"2007-07-12",58.67,59.14,58.56,59.14,518200,52.23
"2007-07-13",59.21,59.46,58.86,59.31,400300,52.38
"2007-07-16",59.29,59.29,58.6,58.8,440500,51.93
"2007-07-17",54,54,49.2,52.95,11807100,46.76
"2007-07-18",52.54,54.71,52.37,54.71,5298900,48.32
"2007-07-19",55,57.06,54.97,55.26,2360000,48.8
"2007-07-20",55.03,56.13,54.47,54.71,2163000,48.32
"2007-07-23",55.24,55.37,54.25,54.38,1218200,48.02
"2007-07-24",53.75,54,52.2,52.33,1605400,46.21
"2007-07-25",52.64,53.54,52.59,52.95,1437600,46.76
"2007-07-26",52.3,52.45,51.2,51.62,1704700,45.59
"2007-07-27",51.31,52.06,50.92,50.92,1502500,44.97
"2007-07-30",50.57,51.43,50.3,51.06,1593800,45.09
"2007-07-31",51.1,51.87,50.6,50.72,4251500,44.79
"2007-08-01",50.55,51.66,49.9,51.66,1754500,45.62
"2007-08-02",52.49,52.54,50.84,51.02,2470100,45.06
"2007-08-03",50.77,51.02,48.07,48.07,3179500,42.45
"2007-08-06",48.27,48.84,47.04,48.7,3102600,43.01
"2007-08-07",49.7,51.46,49.1,51.01,2507700,45.05
"2007-08-08",51.1,51.2,49.07,50.24,2868600,44.37
"2007-08-09",50.24,50.44,47.25,47.5,2584200,41.95
"2007-08-10",46.92,50.39,45.27,49.35,4267000,43.58
"2007-08-13",49.75,51.34,49.57,51.03,1552600,45.07
"2007-08-14",51.03,51.18,49.81,49.81,1746200,43.99
"2007-08-15",49.94,51,49,49.07,1107700,43.33
"2007-08-16",48.55,50.47,48.08,50.44,1624100,44.54
"2007-08-17",51.9,51.9,50.19,50.86,1741600,44.92
"2007-08-20",51,51.9,50.34,51.58,1151300,45.55
"2007-08-21",51.69,51.85,50.98,51.34,574500,45.34
