"","ALL.Open","ALL.High","ALL.Low","ALL.Close","ALL.Volume","ALL.Adjusted"
"2007-01-03",65.14,65.85,65,65.28,2694800,52.8
"2007-01-04",65.35,65.44,64.91,65.36,2285100,52.87
"2007-01-05",65.29,65.4,64.92,65.18,2217800,52.72
"2007-01-08",64.4,65.37,64.22,65.27,2781500,52.79
"2007-01-09",65.31,65.64,64.69,64.93,2416300,52.52
"2007-01-10",64.7,64.9,64.52,64.76,1627400,52.38
"2007-01-11",64.95,65,63.74,64.11,4773000,51.86
"2007-01-12",63.8,64.98,63.72,64.6,3511600,52.25
"2007-01-16",64.91,64.99,64.4,64.45,2153800,52.13
"2007-01-17",64.54,64.81,64.34,64.5,2131600,52.17
"2007-01-18",64.65,64.8,64.17,64.27,2809600,51.99
"2007-01-19",64.02,64.16,63.35,63.73,3909500,51.55
"2007-01-22",63.53,63.78,62.71,63.06,4859500,51.01
"2007-01-23",63,63.75,62.84,63.36,2890400,51.25
"2007-01-24",63.29,63.95,63.26,63.71,2388200,51.53
"2007-01-25",63.58,63.92,62.94,63.12,2618600,51.05
"2007-01-26",63.35,63.63,62.89,63.47,2476800,51.34
"2007-01-29",63.66,64.08,63.27,63.53,2308000,51.39
"2007-01-30",63.6,64.12,63.6,64,3046600,51.77
"2007-01-31",61.56,61.94,60.05,60.16,12317000,48.66
"2007-02-01",60.25,61.26,59.52,61,5705700,49.34
"2007-02-02",60.95,61.21,60.55,61.19,3244900,49.49
"2007-02-05",60.97,61.21,60.7,61.18,3313300,49.49
"2007-02-06",61.4,61.9,61.28,61.67,2867500,49.88
"2007-02-07",61.66,61.9,61.54,61.54,2226600,49.78
"2007-02-08",61.5,61.76,61.33,61.53,2762200,49.77
"2007-02-09",61.7,61.72,60.72,61.08,2535500,49.4
"2007-02-12",61.25,61.4,60.89,60.9,2353400,49.26
"2007-02-13",60.91,61.4,60.9,61.2,3545600,49.5
"2007-02-14",61.4,62.15,61.27,61.88,3546400,50.05
"2007-02-15",61.71,62.4,61.71,62.27,3394500,50.37
"2007-02-16",61.94,62.44,61.87,62.18,2651200,50.29
"2007-02-20",62.15,62.24,61.78,62.24,1842600,50.34
"2007-02-21",61.9,62.14,61.75,61.83,2989400,50.01
"2007-02-22",61.77,62.4,61.7,62.01,1856800,50.16
"2007-02-23",61.62,61.9,61.04,61.28,3058500,49.57
"2007-02-26",61.58,61.77,61.33,61.44,1829700,49.7
"2007-02-27",60.97,61.27,59.78,60.19,3252600,48.68
"2007-02-28",60.12,60.53,59.7,60.11,4356800,48.62
"2007-03-01",59.05,60.1,59.04,59.93,5046100,48.47
"2007-03-02",59.51,59.89,59.35,59.6,2987700,48.21
"2007-03-05",59.25,59.54,59.02,59.1,2998200,47.8
"2007-03-06",59.25,59.77,58.75,59.63,3096900,48.23
"2007-03-07",59.15,59.24,58.85,58.93,3440400,47.97
"2007-03-08",59.1,59.72,59,59.59,4098300,48.51
"2007-03-09",59.99,60.19,59.88,60.1,2701200,48.92
"2007-03-12",60.03,60.34,59.93,60.13,1985800,48.95
"2007-03-13",59.87,60.16,59.07,59.13,3050500,48.13
"2007-03-14",59.18,59.44,58.28,59.3,3217300,48.27
"2007-03-15",59.3,60.33,59.3,59.64,3234400,48.55
"2007-03-16",59.88,60.16,59.61,59.7,4117900,48.6
"2007-03-19",59.81,60.47,59.81,60.19,1956600,49
"2007-03-20",60.2,60.78,60.17,60.6,2710300,49.33
"2007-03-21",60.49,61.07,60.1,60.84,3613700,49.53
"2007-03-22",60.77,61.22,60.71,60.84,2137200,49.53
"2007-03-23",60.9,61.31,60.75,60.78,2469800,49.48
"2007-03-26",60.79,61,60.2,60.77,1985300,49.47
"2007-03-27",60.67,60.89,60.35,60.42,2120000,49.18
"2007-03-28",60.42,60.47,59.74,59.86,2699000,48.73
"2007-03-29",60.12,60.4,59.77,60.16,1762200,48.97
"2007-03-30",60.35,60.61,59.62,60.06,1998500,48.89
"2007-04-02",60.2,60.21,59.5,59.58,2543200,48.5
"2007-04-03",59.62,59.8,59.46,59.61,2545500,48.53
"2007-04-04",59.8,60.01,59.5,60,2705700,48.84
"2007-04-05",59.8,60.42,59.75,60.32,1964800,49.1
"2007-04-09",60.45,60.45,60.1,60.36,1533200,49.14
"2007-04-10",60.13,60.68,60.04,60.67,1708600,49.39
"2007-04-11",60.68,61.36,60.67,60.89,3079500,49.57
"2007-04-12",60.97,61.01,60.44,60.99,1930700,49.65
"2007-04-13",61.2,61.95,61,61.33,3166200,49.93
"2007-04-16",61.38,62.15,61.33,61.57,3018000,50.12
"2007-04-17",61.54,61.59,60.97,61.3,2950400,49.9
"2007-04-18",61.22,61.8,61.22,61.27,4130600,49.88
"2007-04-19",60.5,61.56,60.5,61.13,4926000,49.76
"2007-04-20",61.68,62.61,61.5,62.49,6282600,50.87
"2007-04-23",62.65,62.78,62.07,62.13,2668500,50.58
"2007-04-24",62.04,62.43,61.81,62.16,3349300,50.6
"2007-04-25",62.7,63.5,62.4,63.28,3915400,51.51
"2007-04-26",63.09,63.48,63.05,63.31,3497500,51.54
"2007-04-27",63.12,63.3,62.62,62.63,3362500,50.98
"2007-04-30",62.84,62.84,62.14,62.32,3691100,50.73
"2007-05-01",62.69,62.7,61.93,62.46,2692100,50.85
"2007-05-02",62.46,63.07,62.3,62.85,3150100,51.16
"2007-05-03",63.02,63.18,62.71,63.02,2125800,51.3
"2007-05-04",63.29,63.32,62.52,62.84,2400600,51.15
"2007-05-07",62.99,63.39,62.91,63.34,1429900,51.56
"2007-05-08",63.06,63.39,63.01,63.28,1477800,51.51
"2007-05-09",62.95,63.47,62.85,63.47,2407300,51.67
"2007-05-10",63.36,63.5,63.17,63.2,2496700,51.45
"2007-05-11",63.41,63.73,63.24,63.45,2697900,51.65
"2007-05-14",63.6,63.7,62.71,62.86,3809800,51.17
"2007-05-15",63,63.19,62.58,62.66,2956400,51.01
"2007-05-16",62.91,63.07,62.56,62.72,2869300,51.06
"2007-05-17",62.55,62.82,62.44,62.49,1702800,50.87
"2007-05-18",62.45,62.79,62.3,62.75,2798800,51.08
"2007-05-21",62.99,63,62.6,62.61,2645800,50.97
"2007-05-22",62.6,62.6,61.6,61.92,3771800,50.41
"2007-05-23",61.94,62.46,61.85,62.17,4316900,50.61
"2007-05-24",61.92,62.46,61.41,61.51,3474500,50.07
"2007-05-25",61.58,61.77,61.22,61.4,2638500,49.98
"2007-05-29",61.66,61.72,61.42,61.6,2241800,50.14
"2007-05-30",61.11,61.7,61.03,61.69,2775900,50.53
"2007-05-31",61.72,62,61.29,61.5,3908200,50.37
"2007-06-01",61.53,61.63,61.26,61.58,3768800,50.44
"2007-06-04",61.25,61.7,61.25,61.68,2565700,50.52
"2007-06-05",61.58,61.7,61.25,61.34,3409500,50.24
"2007-06-06",61.3,61.4,61.2,61.23,2261000,50.15
"2007-06-07",61.05,61.6,60.47,60.55,4187300,49.6
"2007-06-08",60.6,60.96,60.29,60.85,3270000,49.84
"2007-06-11",60.63,61.38,60.5,61.13,3072400,50.07
"2007-06-12",61.05,61.42,60.62,60.65,3350700,49.68
"2007-06-13",60.84,61.53,60.71,61.49,2743700,50.37
"2007-06-14",61.5,61.81,61.39,61.52,2128000,50.39
"2007-06-15",61.67,61.89,61.35,61.38,3887200,50.28
"2007-06-18",61.57,62,61.5,61.62,2271100,50.47
"2007-06-19",61.59,62.33,61.57,62.17,3404000,50.92
"2007-06-20",62.17,62.82,61.04,61.13,3464800,50.07
"2007-06-21",60.94,61.82,60.8,61.59,3187900,50.45
