"","AMAT.Open","AMAT.High","AMAT.Low","AMAT.Close","AMAT.Volume","AMAT.Adjusted"
"2007-01-03",18.32,18.68,18.07,18.42,36148800,15.9
"2007-01-04",18.37,18.88,18.34,18.8,29455400,16.23
"2007-01-05",18.64,18.75,18.42,18.67,31181500,16.12
"2007-01-08",18.63,19.05,18.57,18.89,30210200,16.31
"2007-01-09",18.92,19.28,18.79,19.25,28494000,16.62
"2007-01-10",19.12,19.63,19.01,19.54,30424800,16.87
"2007-01-11",19.5,19.79,19.46,19.53,31083400,16.86
"2007-01-12",19.36,19.55,19.3,19.5,30983400,16.84
"2007-01-16",19.51,19.56,19.3,19.48,31201500,16.82
"2007-01-17",19.35,19.77,19.25,19.4,30397000,16.75
"2007-01-18",18.59,18.68,18.06,18.25,51363400,15.76
"2007-01-19",18.17,18.48,18.09,18.21,33919600,15.72
"2007-01-22",18.27,18.32,17.85,17.96,30956500,15.51
"2007-01-23",17.93,18,17.42,17.46,50570100,15.07
"2007-01-24",17.56,17.78,17.35,17.6,51497500,15.19
"2007-01-25",17.66,17.88,17.44,17.48,28967400,15.09
"2007-01-26",17.58,17.9,17.48,17.78,28661500,15.35
"2007-01-29",17.74,17.82,17.47,17.61,26706700,15.2
"2007-01-30",17.7,17.85,17.58,17.79,25095400,15.36
"2007-01-31",17.7,17.76,17.45,17.73,25580400,15.31
"2007-02-01",17.77,17.95,17.72,17.94,22196600,15.49
"2007-02-02",17.97,18.36,17.87,18.12,29642700,15.64
"2007-02-05",18.18,18.27,17.99,18.13,26327800,15.65
"2007-02-06",18.08,18.2,17.87,18.15,21896600,15.67
"2007-02-07",18.21,18.46,18.11,18.25,16872300,15.76
"2007-02-08",18.22,18.41,18.12,18.31,18416600,15.81
"2007-02-09",18.39,18.48,17.9,17.97,32095100,15.51
"2007-02-12",17.91,17.97,17.73,17.89,26972200,15.45
"2007-02-13",17.98,18.23,17.94,18.18,26728900,15.74
"2007-02-14",18.61,19.08,18.42,18.89,59885900,16.35
"2007-02-15",18.95,19.17,18.86,19.09,24319700,16.53
"2007-02-16",19.07,19.13,18.92,19.02,17204100,16.47
"2007-02-20",18.81,18.87,18.46,18.76,31229100,16.24
"2007-02-21",18.64,19,18.64,18.97,21463500,16.42
"2007-02-22",19.1,19.48,19.02,19.2,32743700,16.62
"2007-02-23",19.2,19.47,19.1,19.19,24481000,16.61
"2007-02-26",19.29,19.37,18.95,19.09,21366900,16.53
"2007-02-27",18.77,19.07,18.39,18.46,33223900,15.98
"2007-02-28",18.5,18.8,18.47,18.57,26836300,16.08
"2007-03-01",18.24,18.69,18.18,18.45,28570100,15.97
"2007-03-02",18.29,18.37,17.95,17.98,32808200,15.57
"2007-03-05",17.87,18.17,17.77,17.79,39168600,15.4
"2007-03-06",18.06,18.27,17.87,18.18,23597500,15.74
"2007-03-07",18.17,18.42,18.1,18.2,20889200,15.76
"2007-03-08",18.63,18.66,18.41,18.44,20625100,15.96
"2007-03-09",18.64,18.64,18.14,18.33,25440600,15.87
"2007-03-12",18.29,18.65,18.26,18.57,17230500,16.08
"2007-03-13",18.42,18.59,18.24,18.34,28499000,15.88
"2007-03-14",18.4,18.51,18.15,18.39,26186500,15.92
"2007-03-15",18.42,18.59,18.33,18.56,14708300,16.07
"2007-03-16",18.47,18.62,18.35,18.49,19131900,16.01
"2007-03-19",18.56,18.7,18.31,18.47,27083400,15.99
"2007-03-20",18.43,18.6,18.38,18.5,18159400,16.02
"2007-03-21",18.5,18.93,18.42,18.88,22204200,16.35
"2007-03-22",18.94,18.96,18.68,18.81,15391600,16.28
"2007-03-23",18.79,18.92,18.73,18.79,12691200,16.27
"2007-03-26",18.76,18.9,18.55,18.88,13703200,16.35
"2007-03-27",18.8,18.9,18.72,18.84,10724600,16.31
"2007-03-28",18.76,18.83,18.62,18.65,18569100,16.15
"2007-03-29",18.85,18.89,18.32,18.5,18884600,16.02
"2007-03-30",18.54,18.56,18.27,18.32,23080700,15.86
"2007-04-02",18.29,18.47,18.18,18.36,25499500,15.9
"2007-04-03",18.42,18.53,18.25,18.35,21474600,15.89
"2007-04-04",18.42,18.71,18.37,18.65,17972400,16.15
"2007-04-05",18.67,18.83,18.6,18.68,16751300,16.17
"2007-04-09",18.72,18.75,18.54,18.65,16859800,16.15
"2007-04-10",18.94,19.45,18.85,19.41,45134200,16.8
"2007-04-11",19.34,19.5,19.16,19.23,29581600,16.65
"2007-04-12",19.16,19.55,19.13,19.35,31528800,16.75
"2007-04-13",19.18,19.2,18.87,19.08,37425500,16.52
"2007-04-16",19.19,19.24,18.97,19.24,18064200,16.66
"2007-04-17",19.22,19.41,18.98,19.36,23777200,16.76
"2007-04-18",19.28,19.77,19.28,19.68,29458000,17.04
"2007-04-19",19.44,19.76,19.36,19.59,30836200,16.96
"2007-04-20",19.87,19.88,19.44,19.48,24911700,16.86
"2007-04-23",19.43,19.55,19.14,19.17,29956500,16.6
"2007-04-24",19.32,19.68,19.16,19.49,32765800,16.87
"2007-04-25",19.59,19.6,19.35,19.49,24459500,16.87
"2007-04-26",19.45,19.49,19.2,19.3,21972000,16.71
"2007-04-27",19.24,19.4,19.12,19.3,18404200,16.71
"2007-04-30",19.28,19.51,19.19,19.22,19174700,16.64
