"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
"2007-01-03",38.68,39.06,38.05,38.7,12405100,38.7
"2007-01-04",38.59,39.14,38.26,38.9,6318400,38.9
"2007-01-05",38.72,38.79,37.6,38.37,6619700,38.37
"2007-01-08",38.22,38.31,37.17,37.5,6783000,37.5
"2007-01-09",37.6,38.06,37.34,37.78,5703000,37.78
"2007-01-10",37.49,37.7,37.07,37.15,6527500,37.15
"2007-01-11",37.17,38,37.17,37.4,6465600,37.4
"2007-01-12",37.36,38.21,37.27,38.2,4466400,38.2
"2007-01-16",38.4,38.89,37.97,38.66,5643700,38.66
"2007-01-17",38.7,39,37.78,37.88,5026800,37.88
"2007-01-18",37.5,37.65,36.72,36.98,9105000,36.98
"2007-01-19",36.69,37.48,36.6,37.02,6095900,37.02
"2007-01-22",37.65,37.9,36.8,36.95,8317000,36.95
"2007-01-23",36.9,37.07,36.3,36.43,5313600,36.43
"2007-01-24",36.51,37.36,36.5,37.26,5271700,37.26
"2007-01-25",38.08,38.23,36.78,37.08,6747600,37.08
"2007-01-26",37.26,37.26,36.3,36.85,4139300,36.85
"2007-01-29",36.7,37.45,36.54,37.43,7395000,37.43
"2007-01-30",37.29,37.42,36.63,37.05,4813500,37.05
"2007-01-31",36.95,38.19,36.76,37.67,7277500,37.67
"2007-02-01",37.95,39.3,37.85,38.7,26123100,38.7
"2007-02-02",37.23,37.74,36.68,37.39,25850700,37.39
"2007-02-05",37.25,37.42,36.77,37.16,6110900,37.16
"2007-02-06",37.2,38.41,37.08,38.27,8612700,38.27
"2007-02-07",38.49,39.52,38.4,38.98,10503200,38.98
"2007-02-08",38.95,39.51,38.67,39.1,5483600,39.1
"2007-02-09",39.19,39.31,38.66,38.72,5960100,38.72
"2007-02-12",38.79,38.99,38.36,38.85,3835700,38.85
"2007-02-13",38.85,39.61,38.85,39.31,4505500,39.31
"2007-02-14",39.23,40.28,39.14,40.14,6814100,40.14
"2007-02-15",40.14,40.32,39.86,40.06,5088200,40.06
"2007-02-16",39.9,40.44,39.87,40.33,4679000,40.33
"2007-02-20",40.13,41.74,40,41.51,8903400,41.51
"2007-02-21",41.19,41.32,40.92,41.26,4508400,41.26
"2007-02-22",41.4,42,40.89,41,4926100,41
"2007-02-23",41,41.2,40.74,40.78,5497400,40.78
"2007-02-26",40.86,41.2,40.4,40.88,4035200,40.88
"2007-02-27",40.19,40.54,38.78,38.83,8850700,38.83
"2007-02-28",38.91,39.58,38.08,39.14,7687400,39.14
"2007-03-01",39.32,39.32,38.05,38.85,9255800,38.85
"2007-03-02",38.32,38.87,37.69,37.69,7787800,37.69
"2007-03-05",37.15,38.32,37.04,37.05,9565600,37.05
"2007-03-06",37.69,38.66,37.41,38.58,12848200,38.58
"2007-03-07",38.68,39.32,38.28,38.36,8644600,38.36
"2007-03-08",38.77,39.22,37.98,38.1,7629300,38.1
"2007-03-09",38.48,38.89,38,38.84,6200100,38.84
"2007-03-12",38.64,39.05,38.38,38.81,4879000,38.81
"2007-03-13",38.3,38.88,37.69,37.82,5204100,37.82
"2007-03-14",37.76,38.22,37.26,38.08,8591100,38.08
"2007-03-15",38.1,38.29,37.55,37.78,7265700,37.78
"2007-03-16",37.72,38.08,37.52,37.85,6865500,37.85
"2007-03-19",38,38.54,38,38.45,4226600,38.45
"2007-03-20",38.53,38.69,38.23,38.58,3801300,38.58
"2007-03-21",38.55,39.8,38.31,39.8,4996400,39.8
"2007-03-22",39.48,39.72,38.91,39.49,5331500,39.49
"2007-03-23",39.56,39.6,38.98,38.98,2941500,38.98
"2007-03-26",38.98,39.05,38.43,39.01,3521100,39.01
"2007-03-27",38.82,39.42,38.76,39.37,3993600,39.37
"2007-03-28",39.09,39.51,38.74,39.34,6202200,39.34
"2007-03-29",39.65,39.92,39.3,39.81,6405200,39.81
"2007-03-30",39.75,40.24,39.42,39.79,5996900,39.79
"2007-04-02",39.85,40.47,39.55,40.42,7091300,40.42
"2007-04-03",40.42,41.38,40.4,41.19,5968200,41.19
"2007-04-04",41.22,41.55,40.92,41.53,4064700,41.53
"2007-04-05",41.57,41.76,41.44,41.68,3288400,41.68
"2007-04-09",41.72,42.14,41.61,41.66,4182700,41.66
"2007-04-10",41.57,41.96,41.46,41.86,3421800,41.86
"2007-04-11",41.73,41.87,41.24,41.68,5078400,41.68
"2007-04-12",41.73,42.37,41.4,42.27,4754500,42.27
"2007-04-13",42.19,42.5,41.93,42.41,3610000,42.41
"2007-04-16",43.77,45.3,43.67,45.2,13444000,45.2
"2007-04-17",45.28,45.32,44.75,45.07,7398900,45.07
"2007-04-18",44.8,45.15,44.63,44.99,4996400,44.99
"2007-04-19",44.61,45.15,44.41,44.64,4809700,44.64
"2007-04-20",45.09,45.17,44.52,44.95,5980500,44.95
"2007-04-23",44.27,44.81,44.16,44.77,7088600,44.77
"2007-04-24",44.75,45,44.43,44.75,19887600,44.75
"2007-04-25",53.12,57.18,52.95,56.81,104329200,56.81
"2007-04-26",56.5,63.04,56.07,62.78,62179500,62.78
"2007-04-27",61.24,63.84,60.62,62.6,50733400,62.6
"2007-04-30",61.91,62.44,61.18,61.33,23979200,61.33
"2007-05-01",61.12,62.04,60.28,62.04,18519000,62.04
"2007-05-02",61.68,62.25,60.9,61.18,14427200,61.18
"2007-05-03",61.08,62.54,60.76,62.19,13482000,62.19
"2007-05-04",62.39,63.75,62.35,63.23,14299300,63.23
"2007-05-07",62.43,63.23,60.71,60.82,14808300,60.82
"2007-05-08",60.54,61.84,59.7,61.83,13551100,61.83
"2007-05-09",62,62.95,61.3,62.85,8874900,62.85
"2007-05-10",62.44,62.65,60.85,60.92,10052000,60.92
"2007-05-11",60.96,61.6,60.56,61.56,7919100,61.56
"2007-05-14",61.68,61.74,60.6,61.7,7760400,61.7
"2007-05-15",61.4,61.97,60.52,60.58,8702100,60.58
"2007-05-16",61.02,63.34,60.1,63.22,14485400,63.22
"2007-05-17",62.88,63.52,62.02,62.17,11870900,62.17
"2007-05-18",62.48,63.3,62.28,63.3,9799200,63.3
"2007-05-21",63.58,68.68,63.3,68.3,36468800,68.3
"2007-05-22",68.48,69.07,67.21,68.88,17211300,68.88
"2007-05-23",69.21,73.31,68.79,69,42582500,69
"2007-05-24",69.04,70.42,67.71,69.35,23824600,69.35
"2007-05-25",69.69,69.7,68.25,68.55,9987200,68.55
"2007-05-29",68.43,69.78,67.72,69.63,11730800,69.63
"2007-05-30",69.06,70.08,68.86,69.86,10576100,69.86
"2007-05-31",70.68,70.74,68.57,69.14,9310200,69.14
"2007-06-01",68.9,69.3,68.35,68.58,7014500,68.58
"2007-06-04",68.25,70.65,67.65,70.42,11380500,70.42
"2007-06-05",71.1,74.24,70.86,73.65,30442500,73.65
"2007-06-06",73.14,73.75,71.86,72.29,15591000,72.29
"2007-06-07",72.57,74.72,70.88,72.04,24138200,72.04
"2007-06-08",72.47,73.24,71.05,73.24,10204500,73.24
"2007-06-11",73,73.05,71,71.17,11159100,71.17
"2007-06-12",70.44,70.76,69.42,70.07,11829500,70.07
"2007-06-13",70.9,71.89,69.25,70.89,11917900,70.89
"2007-06-14",70.9,72.12,70.8,71.94,8245300,71.94
"2007-06-15",72.85,72.87,71.19,72.4,9833200,72.4
"2007-06-18",72.34,72.64,71.4,71.83,7813600,71.83
