"","AN.Open","AN.High","AN.Low","AN.Close","AN.Volume","AN.Adjusted"
"2007-01-03",21.32,21.53,21.13,21.27,1647600,21.27
"2007-01-04",21.25,21.26,21.05,21.18,1372900,21.18
"2007-01-05",21.08,21.16,20.8,20.87,949800,20.87
"2007-01-08",20.87,20.92,20.65,20.88,1451200,20.88
"2007-01-09",20.93,21.17,20.89,21.15,786800,21.15
"2007-01-10",21.03,21.16,20.97,21.08,696400,21.08
"2007-01-11",21.1,21.59,21.06,21.56,883000,21.56
"2007-01-12",21.55,21.62,21.43,21.56,805000,21.56
"2007-01-16",21.54,21.61,21.44,21.5,602100,21.5
"2007-01-17",21.5,21.62,21.43,21.53,759600,21.53
"2007-01-18",21.54,21.78,21.54,21.66,705400,21.66
"2007-01-19",21.91,21.93,21.71,21.89,1150700,21.89
"2007-01-22",21.83,21.89,21.73,21.85,792800,21.85
"2007-01-23",21.8,22.07,21.79,21.95,608000,21.95
"2007-01-24",22.02,22.4,22.02,22.39,1052100,22.39
"2007-01-25",22.31,22.52,22.23,22.28,1170400,22.28
"2007-01-26",22.27,22.32,21.82,21.95,792400,21.95
"2007-01-29",21.95,22.32,21.95,22.25,887700,22.25
"2007-01-30",22.23,22.4,22.09,22.2,591200,22.2
"2007-01-31",22.2,22.5,22.16,22.45,909900,22.45
"2007-02-01",22.45,22.63,22.41,22.6,1717200,22.6
"2007-02-02",22.64,22.96,22.64,22.9,855900,22.9
"2007-02-05",22.83,22.9,22.6,22.65,649500,22.65
"2007-02-06",22.73,22.92,22.65,22.81,960700,22.81
"2007-02-07",22.73,23.19,22.56,22.96,2491600,22.96
"2007-02-08",22.86,22.96,22.64,22.93,1080200,22.93
"2007-02-09",22.8,22.9,22.71,22.74,992100,22.74
"2007-02-12",22.71,22.85,22.7,22.81,704000,22.81
"2007-02-13",22.82,23.08,22.81,23.08,652000,23.08
"2007-02-14",23.06,23.08,22.76,23.03,620400,23.03
"2007-02-15",23,23.1,22.95,23.05,695200,23.05
"2007-02-16",23.05,23.1,22.83,22.9,843200,22.9
"2007-02-20",22.91,22.99,22.78,22.9,1077100,22.9
"2007-02-21",22.9,22.9,22.65,22.74,1310500,22.74
"2007-02-22",22.8,22.84,22.69,22.74,976900,22.74
"2007-02-23",22.69,22.83,22.56,22.73,1274200,22.73
"2007-02-26",22.75,22.87,22.62,22.74,861000,22.74
"2007-02-27",22.68,22.68,22.02,22.14,1094500,22.14
"2007-02-28",22.07,22.18,21.85,21.96,1573100,21.96
"2007-03-01",21.97,22.04,21.32,21.92,1508900,21.92
