"","AON.Open","AON.High","AON.Low","AON.Close","AON.Volume","AON.Adjusted"
"2007-01-03",35.3,35.78,35.27,35.39,1792500,32.23
"2007-01-04",35.38,35.86,35.23,35.79,2086300,32.6
"2007-01-05",35.76,35.87,35.58,35.58,2594800,32.41
"2007-01-08",35.51,35.51,35.25,35.4,1800000,32.24
"2007-01-09",35.4,35.65,35.07,35.2,1660100,32.06
"2007-01-10",35.14,35.3,34.97,35.18,1215600,32.04
"2007-01-11",35.12,35.44,35.08,35.2,1330200,32.06
"2007-01-12",35.2,35.73,35.12,35.64,1515700,32.46
"2007-01-16",35.61,35.74,35.38,35.45,2608600,32.29
"2007-01-17",35.45,35.51,34.68,34.7,2736000,31.61
"2007-01-18",34.65,34.84,34.3,34.67,1821900,31.58
"2007-01-19",34.8,35.78,34.7,35.58,2706600,32.41
"2007-01-22",35.38,35.74,35.25,35.43,2480900,32.27
"2007-01-23",35.33,35.86,35.13,35.6,3418500,32.43
"2007-01-24",35.6,35.92,35,35.66,2421700,32.48
"2007-01-25",35.69,36.2,35.47,35.69,2136800,32.51
"2007-01-26",35.63,35.87,35.53,35.73,1424500,32.54
"2007-01-29",35.79,36,35.43,35.62,1691600,32.44
"2007-01-30",35.48,35.66,35.32,35.45,1864700,32.43
"2007-01-31",35.46,35.93,35.36,35.86,1185500,32.8
"2007-02-01",35.87,36.18,35.69,36.12,1189600,33.04
"2007-02-02",36.24,36.55,36.1,36.45,1536900,33.34
"2007-02-05",36.31,36.57,36.29,36.48,1370400,33.37
"2007-02-06",36.5,36.73,36.47,36.66,1562400,33.53
"2007-02-07",36.7,37.06,36.38,36.78,1671200,33.64
"2007-02-08",36.78,36.79,36.1,36.43,1790400,33.32
"2007-02-09",37.42,38.95,36.91,37.73,4448900,34.51
"2007-02-12",37.67,38.26,37.47,38.18,2159600,34.92
"2007-02-13",37.99,38.71,37.99,38.58,1589300,35.29
"2007-02-14",38.58,38.88,38.55,38.8,1648700,35.49
