"","APH.Open","APH.High","APH.Low","APH.Close","APH.Volume","APH.Adjusted"
"2007-01-03",62.3,64.43,62.3,63.75,2672800,31.09
"2007-01-04",63.75,66.05,63.75,65.82,2644200,32.1
"2007-01-05",65.48,65.52,64,64.63,1306800,31.52
"2007-01-08",64.01,64.2,62.05,63.36,2722400,30.9
"2007-01-09",63.4,63.4,61.52,62.05,2490600,30.26
"2007-01-10",61.25,61.99,61.21,61.59,1368600,30.04
"2007-01-11",61.95,64.23,61.95,63.45,1953400,30.94
"2007-01-12",63.01,63.61,62.4,63.49,2017200,30.96
"2007-01-16",63.8,64.76,63.69,64.44,2075200,31.43
"2007-01-17",65.5,66.68,64.81,65.36,4357000,31.88
"2007-01-18",65.92,66,64.22,64.41,1918800,31.41
"2007-01-19",64.28,64.65,63.1,64.18,1387800,31.3
"2007-01-22",64.24,64.4,63.27,64.05,1892200,31.24
"2007-01-23",64.05,66.12,64.05,65.88,2379200,32.13
"2007-01-24",66.44,68.46,66.44,67.32,2793000,32.83
"2007-01-25",67.32,67.47,65.79,66.25,1535800,32.31
"2007-01-26",66.27,67.24,65.8,66.81,1127000,32.58
"2007-01-29",67.08,67.28,66.02,66.5,1658200,32.43
"2007-01-30",66.6,67,65.88,66.93,1325400,32.64
"2007-01-31",66.54,68.09,66.19,67.72,1452000,33.03
"2007-02-01",67.81,68.5,67.32,67.78,947200,33.06
"2007-02-02",67.79,67.91,67.15,67.74,763000,33.04
"2007-02-05",67.74,67.95,67.36,67.76,719600,33.05
"2007-02-06",67.9,67.95,66.87,67.74,792800,33.04
"2007-02-07",67.94,68.6,67.33,68.22,770600,33.27
"2007-02-08",68.21,68.63,67.59,68.21,788000,33.27
"2007-02-09",68.41,68.63,67.39,67.52,1214400,32.93
"2007-02-12",67.48,67.84,66.59,67.24,1215000,32.79
"2007-02-13",67.46,68.12,67.22,67.56,1072800,32.95
"2007-02-14",67.79,67.81,67.34,67.55,1002200,32.94
"2007-02-15",67.58,67.82,67.18,67.47,834000,32.91
"2007-02-16",67.35,67.38,66.69,66.98,989400,32.67
"2007-02-20",66.98,67.98,66.62,67.92,1589200,33.12
"2007-02-21",67.75,68.06,67.11,67.92,1107400,33.12
"2007-02-22",68,68,67.45,67.79,1025600,33.06
"2007-02-23",67.7,68.01,67.48,67.83,495800,33.08
"2007-02-26",68.26,68.4,67.8,68.04,808200,33.18
"2007-02-27",67.1,67.1,64.15,65.23,1427800,31.81
"2007-02-28",65.13,65.54,64.05,64.62,1074400,31.52
"2007-03-01",63.67,65.21,63.14,64.4,1255800,31.41
"2007-03-02",64.15,64.74,62.93,63.22,973000,30.83
"2007-03-05",62.64,63.79,62.45,62.45,1366400,30.46
"2007-03-06",62,63.76,62,63.17,1259000,30.81
"2007-03-07",63,63.05,62.25,62.72,1465400,30.59
"2007-03-08",63.3,63.95,63.14,63.29,672200,30.87
"2007-03-09",63.64,64.97,63.43,64.73,1859200,31.57
"2007-03-12",64.49,65.49,64.23,65.47,946400,31.94
"2007-03-13",64.83,65.36,63.74,63.86,883200,31.16
"2007-03-14",64.05,64.41,63.15,64.33,1712400,31.39
"2007-03-15",64.15,64.68,63.97,64.44,456400,31.44
"2007-03-16",64.54,64.62,63.56,64.1,745600,31.28
"2007-03-19",64.3,64.99,64.3,64.85,658800,31.64
"2007-03-20",64.64,65.45,64.51,65.13,927200,31.78
"2007-03-21",65.25,65.86,64.32,65.76,1212600,32.09
"2007-03-22",65.86,66.21,65.3,66.08,735400,32.24
"2007-03-23",65.98,66.42,65.4,66.23,1095400,32.32
"2007-03-26",66.48,66.7,65.26,65.81,1454000,32.11
"2007-03-27",65.58,65.79,64.2,65.33,1407400,31.88
"2007-03-28",65.08,65.79,64.81,65.43,703600,31.93
"2007-03-29",66,66.27,64.23,64.61,1148800,31.53
"2007-03-30",63.92,65.28,63.79,64.57,1231800,31.51
"2007-04-02",32.42,33.12,32.27,32.84,944500,32.05
"2007-04-03",33.14,33.8,33.01,33.62,1307700,32.81
