"","APOL.Open","APOL.High","APOL.Low","APOL.Close","APOL.Volume","APOL.Adjusted"
"2007-01-03",39.13,40.91,39.02,40.63,3386300,40.63
"2007-01-04",40.7,41.65,40.56,41.43,2544100,41.43
"2007-01-05",41.56,41.56,40.4,40.76,1981600,40.76
"2007-01-08",40.87,40.95,40.11,40.32,1885500,40.32
"2007-01-09",40.37,40.87,39.91,40.16,1180200,40.16
"2007-01-10",39.87,40.92,39.42,40.78,1287700,40.78
"2007-01-11",40.73,41.57,40.3,40.64,2359100,40.64
"2007-01-12",40.29,41.08,40.11,40.89,1031500,40.89
"2007-01-16",41.7,41.95,41.01,41.18,1273000,41.18
"2007-01-17",41.19,41.63,41.09,41.29,1211500,41.29
"2007-01-18",41.72,41.92,41.12,41.28,1360700,41.28
"2007-01-19",40.82,41.94,40.79,41.2,1449800,41.2
"2007-01-22",41.2,42.7,41.2,42.32,2093700,42.32
"2007-01-23",42.35,42.37,41.58,41.72,1086800,41.72
"2007-01-24",41.65,42.18,41.43,41.93,1783700,41.93
"2007-01-25",41.61,42.25,41.1,41.21,2539400,41.21
"2007-01-26",41.34,41.44,40.63,41.05,1303700,41.05
"2007-01-29",42.02,42.74,41.56,41.88,2839700,41.88
"2007-01-30",41.73,43.3,41.24,42.99,2539100,42.99
"2007-01-31",43,43.54,42.75,43.4,1784600,43.4
"2007-02-01",43.4,43.53,42.75,42.96,1704800,42.96
"2007-02-02",42.89,43.35,42.5,42.91,1791100,42.91
"2007-02-05",42.97,43.32,42.67,42.77,746600,42.77
"2007-02-06",42.77,42.99,41.7,42.24,1483300,42.24
"2007-02-07",43.2,46.91,43.14,46.27,9851600,46.27
"2007-02-08",46.47,47.73,46.46,47.47,2814200,47.47
"2007-02-09",47.39,47.48,46.5,46.76,3506600,46.76
"2007-02-12",45.7,46.78,45.36,46.7,3183700,46.7
"2007-02-13",46.6,46.8,46.19,46.27,1599800,46.27
"2007-02-14",46.39,46.53,45.77,46.34,1944300,46.34
"2007-02-15",46.1,46.83,46.1,46.29,1184800,46.29
"2007-02-16",46.24,46.78,46.1,46.47,1656200,46.47
"2007-02-20",46.4,47.06,46.29,46.93,1309400,46.93
"2007-02-21",46.77,46.91,46.06,46.16,1590400,46.16
"2007-02-22",46.22,47.23,46.02,47.2,1829700,47.2
"2007-02-23",47.25,48.06,46.96,48.05,2096400,48.05
"2007-02-26",48.08,48.85,48.08,48.56,2710100,48.56
"2007-02-27",48.34,48.35,47.55,47.64,2914900,47.64
"2007-02-28",46.85,47.64,46.46,47.29,2688700,47.29
"2007-03-01",45.47,47.74,45.47,47.05,2199400,47.05
"2007-03-02",46.2,47.05,45.71,46.25,1437200,46.25
"2007-03-05",46.12,46.89,45.84,46.43,1882400,46.43
"2007-03-06",46.74,47.34,45.69,47.07,2026600,47.07
"2007-03-07",46.85,47.12,46.19,46.55,1251700,46.55
"2007-03-08",46.93,47.36,46.61,46.84,1352200,46.84
"2007-03-09",47.23,47.26,46.76,46.93,1797800,46.93
"2007-03-12",46.89,46.96,45.89,46.24,1460200,46.24
"2007-03-13",46.07,46.39,44.64,44.96,1532200,44.96
"2007-03-14",44.97,45.45,44.42,45.26,1337000,45.26
"2007-03-15",45.33,46.08,45.25,46.03,1275200,46.03
"2007-03-16",45.77,46.04,44.88,44.94,1803700,44.94
"2007-03-19",45,45.51,44.88,45.15,1380300,45.15
"2007-03-20",45.01,45.66,44.96,45.55,890100,45.55
"2007-03-21",45.7,46.04,44.68,46,1517300,46
"2007-03-22",46.05,46.63,45.76,45.79,895200,45.79
"2007-03-23",46.1,46.95,45.84,46.05,828500,46.05
"2007-03-26",46.05,46.27,45.32,45.88,586600,45.88
"2007-03-27",45.69,45.8,44.92,45.21,729200,45.21
