"","ARG.Open","ARG.High","ARG.Low","ARG.Close","ARG.Volume","ARG.Adjusted"
"2007-01-03",40.77,41.55,40.43,40.95,641400,36.7
"2007-01-04",40.75,41.19,40.13,41.14,985500,36.87
"2007-01-05",41.09,41.17,40.44,40.46,490600,36.26
"2007-01-08",40.42,40.43,39.66,40.03,359900,35.87
"2007-01-09",39.97,40.57,39.65,40.46,420300,36.26
"2007-01-10",40.32,40.32,39.81,40.15,293700,35.98
"2007-01-11",40.2,40.73,40.2,40.53,241500,36.32
"2007-01-12",40.42,40.7,40.36,40.36,333700,36.17
"2007-01-16",40.99,40.99,40.24,40.37,280300,36.18
"2007-01-17",40.22,41.19,40.03,41.06,374900,36.8
"2007-01-18",40.97,41.14,40.06,40.07,245200,35.91
"2007-01-19",40.12,40.55,40.08,40.25,220500,36.07
"2007-01-22",40.33,40.33,39.83,40.3,285700,36.11
"2007-01-23",40.23,41,40.16,40.9,465700,36.65
"2007-01-24",41.15,42.2,41.15,42.05,584800,37.68
"2007-01-25",42.05,42.25,41.7,41.88,507000,37.53
"2007-01-26",41.98,42.05,41.43,42.05,433400,37.68
"2007-01-29",42.05,42.53,42,42.34,537900,37.94
"2007-01-30",42.34,42.83,42.34,42.68,756800,38.25
"2007-01-31",42.43,42.57,41.55,41.62,1320800,37.3
"2007-02-01",41.82,41.91,40.34,40.5,1524300,36.29
"2007-02-02",40.69,40.96,40.35,40.71,853300,36.48
"2007-02-05",40.71,40.73,40.31,40.44,865700,36.24
"2007-02-06",40.39,40.55,40.1,40.43,721700,36.23
"2007-02-07",40.56,41.08,40.34,40.86,404900,36.62
"2007-02-08",40.87,41.09,40.68,40.84,468900,36.6
"2007-02-09",40.9,41.2,40.8,41,455400,36.74
"2007-02-12",40.97,41.5,40.97,40.98,467100,36.72
"2007-02-13",40.91,41.65,40.81,41.14,293300,36.87
"2007-02-14",41.3,41.61,41.06,41.44,402400,37.14
"2007-02-15",41.48,41.66,41.24,41.49,381400,37.18
"2007-02-16",41.39,41.45,41.07,41.26,363800,36.97
"2007-02-20",41.12,42.02,41.04,41.69,430700,37.36
"2007-02-21",41.51,41.79,41.35,41.75,223300,37.41
"2007-02-22",41.75,41.92,41.47,41.83,388000,37.49
"2007-02-23",41.89,41.91,41.61,41.75,371200,37.41
"2007-02-26",41.95,42.28,41.76,42.06,476200,37.69
"2007-02-27",41.35,41.75,40.66,41.12,950800,36.85
"2007-02-28",41.13,41.41,40.75,41.23,480700,36.95
"2007-03-01",41.02,41.4,40.44,40.67,393200,36.45
"2007-03-02",40.57,40.74,39.85,40,522600,35.85
"2007-03-05",39.65,40.12,39,39.31,695600,35.23
"2007-03-06",39.63,39.7,39.24,39.65,718000,35.53
"2007-03-07",39.54,39.7,39.3,39.45,283300,35.35
"2007-03-08",40.95,42.15,40.85,41.36,840000,37.06
"2007-03-09",41.71,42.5,41.71,42.27,471500,37.88
"2007-03-12",41.92,42.15,41,41.51,454500,37.2
"2007-03-13",41.35,41.35,40.78,40.84,413800,36.66
"2007-03-14",40.93,41.88,40.56,41.23,409700,37.01
"2007-03-15",41.14,41.55,41.01,41.26,364800,37.04
"2007-03-16",41.27,41.35,40.54,40.64,259800,36.48
"2007-03-19",40.89,41.2,40.73,40.99,246700,36.79
"2007-03-20",41.02,41.19,40.9,41.16,218000,36.95
"2007-03-21",41.1,41.81,40.91,41.8,267100,37.52
"2007-03-22",42,42.59,42,42.59,439900,38.23
"2007-03-23",42.49,42.95,42.4,42.72,439500,38.35
"2007-03-26",42.79,42.79,41.85,42.21,293500,37.89
"2007-03-27",42.01,42.05,41.43,41.61,172700,37.35
"2007-03-28",41.55,41.55,40.83,41.05,244900,36.85
"2007-03-29",41.25,41.41,40.38,40.87,321900,36.69
"2007-03-30",41.12,42.19,41.01,42.15,528100,37.84
"2007-04-02",42.14,42.41,41.52,41.84,251900,37.56
"2007-04-03",41.9,42.11,41.68,41.79,330000,37.51
"2007-04-04",41.86,41.87,41.33,41.49,427600,37.24
"2007-04-05",41.49,41.62,41.23,41.61,255000,37.35
"2007-04-09",41.75,42.03,41.69,41.83,296600,37.55
"2007-04-10",41.8,41.98,41.58,41.71,197000,37.44
"2007-04-11",41.63,41.75,41.39,41.6,201600,37.34
"2007-04-12",41.6,41.99,41.24,41.99,209000,37.69
"2007-04-13",42.33,42.5,42,42.34,257700,38.01
"2007-04-16",42.47,42.7,42.37,42.55,235500,38.2
"2007-04-17",42.7,42.89,42.46,42.86,424800,38.47
"2007-04-18",42.86,42.93,42.38,42.84,408500,38.46
"2007-04-19",42.84,42.9,42.4,42.6,282600,38.24
"2007-04-20",42.9,43.6,42.88,43.6,371400,39.14
"2007-04-23",43.64,43.87,43.31,43.54,402900,39.08
"2007-04-24",43.65,43.75,43.02,43.22,304000,38.8
"2007-04-25",43.47,44.28,43.39,43.99,632800,39.49
"2007-04-26",43.92,44.57,43.6,44.45,682200,39.9
"2007-04-27",44.46,44.86,44.17,44.78,419500,40.2
"2007-04-30",44.75,44.95,44.38,44.55,496800,39.99
"2007-05-01",44.6,44.62,44.19,44.52,367700,39.96
"2007-05-02",44.51,45.36,44.5,45.22,500700,40.59
"2007-05-03",43.73,43.84,41.46,43.39,2622900,38.95
"2007-05-04",43.41,44.04,42.82,43.94,781300,39.44
"2007-05-07",43.74,44.02,43.62,43.77,553700,39.29
"2007-05-08",43.52,43.67,43.25,43.62,388800,39.16
"2007-05-09",43.4,43.51,43.03,43.35,545300,38.91
"2007-05-10",43.15,43.3,42.46,42.53,670600,38.18
"2007-05-11",42.58,42.81,41.8,41.88,1364400,37.59
"2007-05-14",41.8,42,41.63,42,792100,37.7
"2007-05-15",41.9,42.1,41.63,41.71,389700,37.44
"2007-05-16",41.76,42.48,41.57,42.46,423000,38.11
"2007-05-17",42.36,42.51,41.85,42.25,335700,37.93
"2007-05-18",42.31,42.61,42.26,42.38,259400,38.04
"2007-05-21",42.35,42.75,42.19,42.61,146500,38.25
"2007-05-22",42.57,42.89,42.3,42.67,196500,38.3
"2007-05-23",42.87,42.87,42.23,42.33,132000,38
"2007-05-24",42.33,42.65,41.67,41.78,262700,37.5
"2007-05-25",41.85,42.48,41.62,42.27,455300,37.94
"2007-05-29",42.27,42.83,42.27,42.81,443500,38.43
"2007-05-30",42.56,43,42.44,43,335600,38.6
"2007-05-31",43.01,43.11,42.47,42.64,393500,38.28
"2007-06-01",42.7,42.9,42.5,42.75,421300,38.37
"2007-06-04",42.7,42.88,42.61,42.8,320000,38.42
"2007-06-05",42.59,42.6,42.14,42.41,473200,38.07
"2007-06-06",42.21,42.22,41.79,41.9,308700,37.61
"2007-06-07",41.69,41.97,41.4,41.5,367600,37.25
"2007-06-08",41.5,41.88,41.39,41.72,345500,37.45
"2007-06-11",41.67,42.33,41.67,42.11,242300,37.8
"2007-06-12",41.86,42.22,41.44,41.72,274100,37.45
"2007-06-13",41.72,42.04,41.52,41.92,338100,37.71
"2007-06-14",41.97,42.55,41.89,42.02,394900,37.8
"2007-06-15",42.18,42.45,42.18,42.21,347900,37.97
"2007-06-18",42.22,42.51,42.01,42.47,486800,38.21
"2007-06-19",42.35,45.81,42.12,45.5,1812200,40.93
"2007-06-20",47,49.58,47,47.76,2353500,42.96
"2007-06-21",47.74,48.74,47.3,48.23,692000,43.39
"2007-06-22",48.01,48.68,47.87,48.13,1018100,43.3
"2007-06-25",48.3,48.7,48,48.06,808000,43.23
"2007-06-26",48.86,49.5,47.4,47.77,854100,42.97
"2007-06-27",47.58,47.72,47.16,47.4,967500,42.64
"2007-06-28",47.54,47.73,47.25,47.4,877800,42.64
"2007-06-29",47.51,48.24,47.51,47.9,694300,43.09
"2007-07-02",48.2,48.73,47.84,48.06,487000,43.23
"2007-07-03",48.26,48.5,47.92,48.15,178300,43.32
"2007-07-05",48.15,48.42,47.58,47.93,335300,43.12
"2007-07-06",48,48.17,47.8,47.97,239900,43.15
"2007-07-09",48.23,49.49,48.05,49.06,616500,44.13
"2007-07-10",48.9,48.92,47.65,47.71,558600,42.92
"2007-07-11",47.8,48.33,47.17,47.93,476600,43.12
"2007-07-12",48.28,49.48,48.28,49.13,444300,44.2
"2007-07-13",48.98,49.75,48.43,49.6,437100,44.62
"2007-07-16",49.5,49.93,48.74,48.95,566600,44.04
"2007-07-17",48.81,49.9,48.81,49.49,554700,44.52
"2007-07-18",49.27,49.43,48.41,49.09,346300,44.16
"2007-07-19",49.24,49.24,48.08,48.7,596200,43.81
"2007-07-20",48.58,48.7,47.95,48.35,431400,43.5
"2007-07-23",48.36,49.1,48.36,48.94,534500,44.03
"2007-07-24",48.59,48.93,48.1,48.27,477800,43.42
"2007-07-25",48.7,49.09,47.35,48.04,525100,43.22
"2007-07-26",46.2,46.23,43.24,46.02,1387600,41.4
"2007-07-27",46.03,46.4,44.93,44.98,781000,40.46
"2007-07-30",45,46.69,44.8,46.42,690800,41.76
"2007-07-31",46.78,47.2,46.3,46.7,729100,42.01
"2007-08-01",46.56,47.02,45.8,46.75,647500,42.06
"2007-08-02",46.88,47.22,46.49,46.6,512800,41.92
"2007-08-03",46.6,46.93,45.51,45.71,656900,41.12
"2007-08-06",45.75,46.64,45.47,46.59,545300,41.91
"2007-08-07",46.69,46.93,45.81,46.63,616900,41.95
"2007-08-08",46.06,46.7,44.6,45.36,910500,40.81
"2007-08-09",44.5,44.65,41.52,43.2,1349300,38.86
"2007-08-10",43,45.91,42.9,45.64,990600,41.06
"2007-08-13",45.8,45.8,44.56,45.01,487000,40.49
"2007-08-14",45.21,45.63,44.08,44.08,313100,39.65
"2007-08-15",44.05,44.23,42.8,42.91,467700,38.6
"2007-08-16",42.7,43.2,41.72,42.31,645600,38.06
"2007-08-17",45.2,45.77,42.45,43.4,761700,39.04
"2007-08-20",43.6,44,43.17,43.85,380200,39.45
"2007-08-21",43.75,44.28,43.02,43.39,398800,39.03
"2007-08-22",43.67,44.98,43.61,44.95,287800,40.44
"2007-08-23",45,45.43,44.4,45.34,413700,40.79
"2007-08-24",45.35,45.84,45.12,45.84,315400,41.24
"2007-08-27",45.35,45.78,44.9,45.49,268300,40.92
"2007-08-28",45.27,45.65,44.21,44.37,341900,39.92
"2007-08-29",44.67,45.75,44.29,45.54,490800,40.97
"2007-08-30",45.13,45.94,45.03,45.38,332600,40.82
"2007-08-31",45.88,46.5,45.41,46.22,334800,41.58
"2007-09-04",46.42,47.2,45.97,46.9,459400,42.19
"2007-09-05",46.79,46.92,46,46.43,371600,41.77
"2007-09-06",45,47.17,44.91,47.17,571400,42.43
"2007-09-07",46.82,47.74,46.67,46.9,545800,42.19
"2007-09-10",47.01,47.72,46.69,47.42,586700,42.66
"2007-09-11",47.65,47.97,46.99,47.29,451700,42.54
"2007-09-12",47.18,47.26,46.63,46.79,283600,42.17
"2007-09-13",47.09,47.62,46.6,46.63,429900,42.03
"2007-09-14",46.28,47.01,46.04,46.77,457300,42.15
"2007-09-17",46.76,47.2,46.58,47.01,528100,42.37
"2007-09-18",47.25,48.94,47.25,48.92,488800,44.09
"2007-09-19",49.12,50.63,49.12,50.5,798800,45.52
"2007-09-20",50.5,50.55,49.97,50.15,419100,45.2
"2007-09-21",50.75,51.26,50.65,50.85,492400,45.83
"2007-09-24",50.99,51.08,50.2,50.65,372900,45.65
"2007-09-25",50.7,51.06,50.15,50.46,496200,45.48
"2007-09-26",50.86,52.19,50.7,52.05,710100,46.91
"2007-09-27",52.24,52.46,51.84,52.03,379400,46.9
"2007-09-28",52.01,52.1,51.3,51.63,399500,46.53
"2007-10-01",51.48,52.24,51.28,52.16,542600,47.01
"2007-10-02",52.03,52.5,51.48,52.39,595000,47.22
"2007-10-03",52.2,52.22,51.38,51.75,578700,46.64
"2007-10-04",51.82,52.1,51,51.7,377200,46.6
"2007-10-05",52.15,52.76,52,52.71,431400,47.51
"2007-10-08",52.68,52.68,52.35,52.55,430100,47.36
"2007-10-09",52.61,53.45,52.5,53.45,383500,48.18
"2007-10-10",53.45,54.23,53.2,53.86,445400,48.54
"2007-10-11",54.11,54.62,53.56,53.96,568600,48.63
"2007-10-12",54,54.65,54,54.43,532900,49.06
"2007-10-15",54.48,54.86,54.21,54.86,489400,49.45
"2007-10-16",54.85,54.85,53.43,53.8,512400,48.49
"2007-10-17",53.75,54.2,53.1,53.35,941700,48.09
"2007-10-18",53.2,54.42,53.2,54.08,391000,48.74
"2007-10-19",53.95,53.95,52.21,52.21,403100,47.06
"2007-10-22",51.55,51.8,50.43,51.43,532300,46.35
"2007-10-23",52.01,52.09,51.14,52.06,437500,46.92
"2007-10-24",52.02,52.75,50.73,51.3,695100,46.24
"2007-10-25",54,54.25,51.58,51.92,1191700,46.8
"2007-10-26",52.67,52.94,51.33,51.5,649400,46.42
"2007-10-29",51.81,52.45,51.2,51.66,925000,46.56
"2007-10-30",51.42,51.82,50.34,50.38,434900,45.41
"2007-10-31",50.51,50.82,49.84,50.47,662700,45.49
"2007-11-01",49.81,50.57,49.5,49.67,469600,44.77
"2007-11-02",49.95,50.13,48.76,49.97,374700,45.04
"2007-11-05",51.87,51.87,49.21,49.98,504100,45.05
"2007-11-06",49.98,51.51,49.98,51.45,642300,46.37
"2007-11-07",51.05,51.06,49.47,49.52,766100,44.63
"2007-11-08",49.75,50.72,49.65,50.51,652100,45.53
"2007-11-09",50.42,50.42,48.11,48.26,492900,43.5
"2007-11-12",48.32,48.87,47.1,47.11,490200,42.46
"2007-11-13",47.34,48.53,47.25,48.25,646200,43.49
"2007-11-14",48.6,48.66,47.65,47.91,340600,43.18
"2007-11-15",47.66,48.25,47.2,47.67,695800,42.97
"2007-11-16",47.73,48.46,47.28,48.06,469700,43.32
"2007-11-19",47.81,47.9,45.81,45.85,644700,41.33
"2007-11-20",45.84,47.14,45.78,46.86,706700,42.24
"2007-11-21",46.45,47.25,46.02,46.71,539000,42.1
"2007-11-23",47.09,47.23,46.56,46.6,138500,42
"2007-11-26",46.67,48.38,46.43,46.51,461500,41.92
"2007-11-27",46.63,47.45,46.56,47.33,448700,42.66
"2007-11-28",47.79,48.79,47.79,48.79,487500,43.98
"2007-11-29",48.67,48.98,48.25,48.93,442900,44.1
"2007-11-30",49.53,49.78,48.86,49.48,489000,44.6
"2007-12-03",49.94,49.94,48.92,49.17,635400,44.32
"2007-12-04",48.65,49.66,48.65,49.52,655600,44.63
"2007-12-05",51.01,53.02,50.73,52.33,1354100,47.17
"2007-12-06",52.15,55.44,52.14,55.27,1557300,49.82
"2007-12-07",55.28,55.89,53.84,54.16,1145900,48.82
"2007-12-10",54.2,55.13,53.9,54.17,712900,48.82
"2007-12-11",54.16,54.49,52.3,52.31,619200,47.15
"2007-12-12",53.4,53.54,51.65,51.84,689100,46.8
"2007-12-13",51.37,52.1,51.33,51.87,655600,46.83
"2007-12-14",51.99,51.99,51.04,51.16,441800,46.19
"2007-12-17",51.02,51.12,49.84,49.9,568400,45.05
"2007-12-18",50.26,51.09,49.72,50.7,558700,45.78
"2007-12-19",50.69,50.88,49.96,50.36,397700,45.47
"2007-12-20",50.83,51.21,49.6,51.21,506500,46.24
"2007-12-21",51.56,52.96,51.56,52.96,792900,47.82
"2007-12-24",53,53.22,52.41,52.73,170500,47.61
"2007-12-26",53.06,53.06,52.16,52.69,204000,47.57
"2007-12-27",52.35,52.66,51.74,51.88,316500,46.84
"2007-12-28",52.25,52.44,51.9,52.36,320800,47.27
"2007-12-31",52.38,52.52,51.86,52.11,357100,47.05
"2008-01-02",52,52,50.72,51.01,396400,46.06
"2008-01-03",51.04,51.08,50.19,50.54,592200,45.63
"2008-01-04",50.15,50.28,49.3,49.37,360600,44.57
