"","AVB.Open","AVB.High","AVB.Low","AVB.Close","AVB.Volume","AVB.Adjusted"
"2007-01-03",130.2,130.52,128.26,128.75,511300,96.54
"2007-01-04",132.61,133.4,130.91,131.71,1888300,98.76
"2007-01-05",134.61,134.61,129.95,130.21,681700,97.63
"2007-01-08",129.95,131.95,129.75,131.8,945500,98.82
"2007-01-09",133.35,133.79,129.25,129.38,4979800,97.01
"2007-01-10",129.7,131.65,129.38,131.34,1360700,98.48
"2007-01-11",132.25,136,131.37,135.42,1573000,101.54
"2007-01-12",134,137,133.9,136.57,547700,102.4
"2007-01-16",137.05,140.15,136.8,139.56,752700,104.64
"2007-01-17",139.56,140.45,138.15,140.34,569500,105.23
"2007-01-18",144.5,144.71,140.92,141.92,1055300,106.41
"2007-01-19",142,143.49,140.85,143.49,645700,107.59
"2007-01-22",143.52,143.75,141.4,142.15,652800,106.58
"2007-01-23",142.35,145,142.15,143.88,835100,107.88
"2007-01-24",144.5,147,143.84,146.64,691400,109.95
"2007-01-25",146.64,148.95,146.1,146.48,789800,109.83
"2007-01-26",146.48,147.25,144.79,146.79,639500,110.06
"2007-01-29",143.67,146.88,143.67,145.73,619900,109.27
"2007-01-30",146.13,148.22,145.18,148.16,576100,111.09
"2007-01-31",147.66,149.26,146.16,148.36,568600,111.24
"2007-02-01",146.72,147.79,144.86,146.88,1180500,110.13
"2007-02-02",146.77,146.87,145.33,145.59,765000,109.16
"2007-02-05",145.75,146.19,145.15,145.91,499600,109.4
"2007-02-06",145.99,148.28,145.16,148.13,563900,111.07
"2007-02-07",148.13,149.94,146.7,148.52,835200,111.36
"2007-02-08",148.52,149.72,147.59,147.75,803800,110.78
"2007-02-09",147.66,149.23,142.25,145.99,1234600,109.46
"2007-02-12",145.99,145.99,142.76,143,992600,107.22
"2007-02-13",144,146.19,141.35,146.01,1181800,109.48
"2007-02-14",146.01,146.37,143.92,144.77,786500,108.55
"2007-02-15",145.25,146.5,144.07,145.99,598700,109.46
"2007-02-16",145.99,146,143.31,145.04,557300,108.75
"2007-02-20",146.49,147.38,143.79,146.71,833300,110
"2007-02-21",143.31,146.65,143.31,145.45,589300,109.06
"2007-02-22",145.85,145.85,143.48,144.21,520000,108.13
"2007-02-23",144,144,140.94,141.18,714200,105.86
"2007-02-26",137.81,141.8,136.65,140,974000,104.97
"2007-02-27",139.16,140,134,134.88,1120400,101.13
"2007-02-28",137,137.99,135.1,137.35,966900,102.98
"2007-03-01",137.25,137.25,132.19,134.07,1454300,100.52
"2007-03-02",134.1,134.74,131.23,131.29,1118300,98.44
"2007-03-05",127.5,129.9,125.26,125.46,2274900,94.07
"2007-03-06",126.25,130.58,126,129.98,1329700,97.46
"2007-03-07",133,133.03,127.57,127.72,1145400,95.76
"2007-03-08",129.07,131.43,128.91,129.35,1083200,96.99
"2007-03-09",130.1,131.81,130.09,131.08,530300,98.28
"2007-03-12",130.57,132.32,129.07,131.34,666800,98.48
"2007-03-13",129.43,129.87,126.75,126.95,1050800,95.19
"2007-03-14",127.78,129.54,125.2,128.62,1029700,96.44
"2007-03-15",129.5,130.8,129.32,130.18,740600,97.61
"2007-03-16",130.15,130.55,127.82,128.36,1008700,96.24
"2007-03-19",129.36,131.66,129.31,130.78,645300,98.06
"2007-03-20",132.96,132.96,130.18,132.16,555300,99.09
"2007-03-21",131.02,134.58,130.66,134.39,609300,100.76
"2007-03-22",138.28,138.28,133.53,134.77,451800,101.05
"2007-03-23",134.57,135.93,134.43,134.98,381100,101.21
"2007-03-26",134.18,134.83,131.57,132.22,655400,99.14
"2007-03-27",132.03,132.03,128.9,129.09,720100,96.79
"2007-03-28",126.21,128.81,124.51,126.5,1106300,94.85
"2007-03-29",125.65,127.5,125.3,125.82,736500,94.98
"2007-03-30",126.57,130.5,126.08,130,1461900,98.13
"2007-04-02",129.5,130.5,128.35,130.24,718400,98.31
"2007-04-03",130.8,132.19,130.33,131.5,638500,99.26
"2007-04-04",131.71,131.71,129.44,130.62,545000,98.6
"2007-04-05",130.62,130.99,130.23,130.5,307000,98.51
"2007-04-09",130.54,131.49,129.97,130.2,272100,98.28
"2007-04-10",130.5,130.85,129.51,130.39,344600,98.43
"2007-04-11",128.91,130.73,127.11,127.8,812100,96.47
"2007-04-12",126.12,127.8,125.71,126.65,660800,95.6
"2007-04-13",126.5,128.96,126.15,128.74,572500,97.18
"2007-04-16",129,129.4,127.64,128.19,371700,96.77
"2007-04-17",129.32,130.9,127.99,130.89,546600,98.8
"2007-04-18",130.64,131.66,129.86,130.78,628500,98.72
"2007-04-19",130.21,130.98,129.25,130.26,490100,98.33
"2007-04-20",130.27,130.98,129.59,130.35,687500,98.4
"2007-04-23",130.26,133.29,130.26,133,521600,100.4
"2007-04-24",133.21,133.21,130.48,131.01,414300,98.89
"2007-04-25",132.25,132.75,129.78,131.2,597800,99.04
"2007-04-26",130.75,131.5,128.9,128.99,571500,97.37
"2007-04-27",128.25,128.26,125.6,125.95,1454600,95.08
"2007-04-30",125.95,125.98,122.02,122.26,1394800,92.29
"2007-05-01",122.66,122.8,119.02,120.23,1569100,90.76
"2007-05-02",119.68,120.32,118.92,120.19,1420900,90.73
"2007-05-03",121,122.45,120.51,121.25,764100,91.53
"2007-05-04",120.84,120.84,118.26,119.03,832300,89.85
"2007-05-07",119.06,120.37,119.06,120.02,542000,90.6
"2007-05-08",119.25,119.76,118.99,119.03,667800,89.85
"2007-05-09",119.04,121.75,118.55,120.71,817100,91.12
"2007-05-10",120.25,120.81,119.09,119.13,671600,89.93
"2007-05-11",120.83,124.94,120.83,123.84,1362000,93.48
"2007-05-14",123.84,125.14,123.59,124.31,908700,93.84
"2007-05-15",124.58,127,122.23,122.24,1434400,92.27
"2007-05-16",122.25,122.54,118.62,120.39,1013700,90.88
"2007-05-17",120.14,120.15,117.68,117.71,1145300,88.86
