"","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
"2007-01-03",88.9,90.3,88.45,89.17,4871700,74.93
"2007-01-04",88.34,89.83,87.01,89.53,2718900,75.24
"2007-01-05",89.78,90,88.5,89.15,3285900,74.92
"2007-01-08",88.61,89.41,87.56,88.94,2989000,74.74
"2007-01-09",88.93,89.71,87.56,88,4193800,73.95
"2007-01-10",88.04,89.34,88,89.27,3955200,75.02
"2007-01-11",88.97,89.27,88.32,88.84,4048600,74.66
"2007-01-12",88.54,88.85,87.5,88.13,3890500,74.06
"2007-01-16",88.25,88.51,87.3,88,5537800,73.95
"2007-01-17",88.02,89.54,87.22,88.83,4501400,74.65
"2007-01-18",89.13,89.38,87.76,88,3349100,73.95
"2007-01-19",88.45,89.1,87.8,88.63,4368900,74.48
"2007-01-22",87.51,87.86,84.82,85.6,8426800,71.93
"2007-01-23",85.01,88.18,85,87.36,6559700,73.41
"2007-01-24",87.35,87.76,86.52,87.6,3368600,73.62
"2007-01-25",87.3,87.46,86,86.16,2850300,72.41
"2007-01-26",86,86.25,84.6,85.43,5149400,71.79
"2007-01-29",85.05,86,85,85.5,3116500,71.85
"2007-01-30",85.75,86.6,85.55,86,3151100,72.27
"2007-01-31",89.3,90.34,89,89.56,11568600,75.26
"2007-02-01",89.95,92.24,89.73,91.05,6622200,76.51
"2007-02-02",91.05,91.48,89.95,90.05,5098100,75.67
"2007-02-05",90.45,91.42,90.31,90.72,3028600,76.24
"2007-02-06",91,91,89.9,90.98,3521700,76.46
"2007-02-07",90.59,91.2,89.7,90.35,2813600,76.22
"2007-02-08",89.64,90.36,88.55,89.52,5155600,75.52
"2007-02-09",89.35,90.3,89.03,90,4282800,75.92
"2007-02-12",89.55,89.89,88.78,89.2,3449200,75.25
"2007-02-13",89.2,89.37,88.3,89.29,3009800,75.33
"2007-02-14",89.27,90.17,89.27,89.94,3865800,75.87
"2007-02-15",90.02,91.8,89.86,91.71,5702200,77.37
"2007-02-16",91.98,92,90.73,90.94,4545500,76.72
"2007-02-20",91.5,91.69,89.84,91.03,3940500,76.79
"2007-02-21",90.3,92,90.05,90.96,4971700,76.73
"2007-02-22",91.1,91.93,90.27,90.58,3176500,76.41
"2007-02-23",90.21,90.85,90,90.28,2341700,76.16
"2007-02-26",90.48,90.73,88.56,88.93,4537900,75.02
"2007-02-27",88,88.7,85.24,87.2,5937900,73.56
"2007-02-28",87.4,88.41,86.05,87.26,6093600,73.61
"2007-03-01",86.6,88.8,85.91,87.85,5151800,74.11
"2007-03-02",87.87,88.54,87.01,87.03,4307200,73.42
"2007-03-05",86.96,88.19,86.39,87.02,3783200,73.41
"2007-03-06",88.03,88.03,87.05,87.82,3321800,74.09
"2007-03-07",87.82,89.25,87.82,88.71,5205900,74.84
"2007-03-08",88.98,89.67,88.61,88.89,2811500,74.99
"2007-03-09",89.7,90.09,89.14,89.51,2820600,75.51
"2007-03-12",89,91.87,89,91.2,5964200,76.94
"2007-03-13",90.9,91.1,89.45,89.45,5247800,75.46
"2007-03-14",89.45,90.3,88.53,89.98,4027900,75.91
"2007-03-15",89.98,91.06,89.57,91.04,3513900,76.8
"2007-03-16",91.04,91.04,89.68,90,5815100,75.92
"2007-03-19",90.5,90.95,89.9,90.32,3568400,76.19
"2007-03-20",90.32,90.93,90.02,90.16,3485800,76.06
"2007-03-21",90.16,90.95,89.45,90.8,4230100,76.6
"2007-03-22",90.4,90.8,89.88,90.57,3561600,76.41
"2007-03-23",89.79,91.31,89.79,90.98,2304700,76.75
"2007-03-26",90.88,90.94,89.84,90.83,3273000,76.62
"2007-03-27",90.6,91,90,90.52,2687900,76.36
"2007-03-28",90.28,90.41,89.01,89.45,4497400,75.46
"2007-03-29",90.11,90.54,89.16,89.76,3520500,75.72
"2007-03-30",89.62,90.07,88.65,88.91,4588200,75
"2007-04-02",88.9,89.01,88.08,88.83,3440200,74.94
"2007-04-03",89.32,90.24,89.09,89.9,3931000,75.84
"2007-04-04",89.91,90.61,89.8,90.27,2553900,76.15
"2007-04-05",90.2,90.74,90.2,90.5,2997800,76.35
"2007-04-09",90.97,90.97,90.02,90.03,3155400,75.95
"2007-04-10",89.95,90.87,89.95,90.84,2860400,76.63
"2007-04-11",90.9,90.99,89.65,89.97,3460000,75.9
"2007-04-12",89.98,90.86,89.4,90.85,2635300,76.64
"2007-04-13",91.1,91.1,90.18,91.03,3035700,76.79
"2007-04-16",91,91.28,89.93,90.31,3747800,76.19
"2007-04-17",90.3,91.14,90.05,90.45,3926800,76.3
"2007-04-18",90.45,94.17,90.34,93.88,9490500,79.2
"2007-04-19",93.49,94.75,92.76,92.99,6192000,78.45
"2007-04-20",93.77,94.12,93.06,93.29,6035200,78.7
"2007-04-23",94.1,94.24,93.31,93.64,4900400,78.99
"2007-04-24",94.9,94.96,93.37,93.67,5754000,79.02
"2007-04-25",94.64,94.75,92.75,94.69,7745700,79.88
"2007-04-26",94.54,95.58,94.04,94.26,4838400,79.52
"2007-04-27",94.25,94.35,93.28,94.02,3526800,79.32
"2007-04-30",94.02,94.11,92.85,93,3751400,78.46
"2007-05-01",93.15,93.65,92.5,93.23,3241600,78.65
"2007-05-02",93.08,94.46,92.84,93.83,3425000,79.16
"2007-05-03",94.08,94.49,93.5,93.85,3065900,79.17
