"","BAC.Open","BAC.High","BAC.Low","BAC.Close","BAC.Volume","BAC.Adjusted"
"2007-01-03",53.4,54.18,52.99,53.33,16028200,45.97
"2007-01-04",53.33,53.89,53.05,53.67,13175000,46.26
"2007-01-05",53.59,53.59,53.03,53.24,10205000,45.89
"2007-01-08",53.46,53.64,52.8,53.45,9685900,46.07
"2007-01-09",53.6,53.71,52.97,53.5,12546500,46.12
"2007-01-10",53.26,53.7,53.16,53.58,10083900,46.19
"2007-01-11",53.5,53.65,53.18,53.26,14645200,45.91
"2007-01-12",53.24,53.6,53.24,53.38,13012400,46.01
"2007-01-16",53.46,53.53,53.31,53.44,12006200,46.06
"2007-01-17",53.5,53.71,53.15,53.32,12746800,45.96
"2007-01-18",53.45,53.55,53.21,53.29,10112600,45.94
"2007-01-19",53.46,53.64,53.25,53.59,12794000,46.19
"2007-01-22",53.64,54.05,53.54,53.65,15563000,46.25
"2007-01-23",53.25,53.52,52.9,53.32,17367300,45.96
"2007-01-24",53.47,53.48,52.56,53.2,25262700,45.86
"2007-01-25",53.2,53.22,52.34,52.4,20091400,45.17
"2007-01-26",52.52,52.8,51.72,52.04,22715300,44.86
"2007-01-29",51.99,52.25,51.35,51.46,22157900,44.36
"2007-01-30",51.52,52.13,51.36,52.12,17991300,44.93
"2007-01-31",52,52.8,51.85,52.58,19232300,45.32
"2007-02-01",52.76,52.97,52.65,52.84,12647800,45.55
"2007-02-02",52.83,53.16,52.73,52.74,12651800,45.46
"2007-02-05",52.74,53.12,52.37,52.88,11112400,45.58
"2007-02-06",52.77,53.33,52.75,53.21,13702200,45.87
"2007-02-07",53.35,53.49,53.25,53.36,9509500,46
"2007-02-08",53.35,53.39,53,53.32,13669800,45.96
"2007-02-09",53.32,53.5,52.66,52.99,11423700,45.68
"2007-02-12",53.2,53.31,52.98,53.04,10685400,45.72
"2007-02-13",53.09,53.79,53.09,53.73,10682100,46.31
"2007-02-14",53.76,54.17,53.57,54.05,12189700,46.59
"2007-02-15",54.08,54.21,53.7,53.85,16916400,46.42
"2007-02-16",53.64,54.07,53.6,54.05,10815700,46.59
"2007-02-20",53.87,54.17,53.71,54.05,9998000,46.59
"2007-02-21",53.75,53.97,53.71,53.91,11771600,46.47
"2007-02-22",53.85,54.1,53.49,53.7,10215100,46.29
"2007-02-23",53.28,53.74,52.78,52.86,16807800,45.56
"2007-02-26",53.09,53.15,52.6,52.79,16356500,45.5
"2007-02-27",52.2,52.61,49,50.8,31633500,43.79
"2007-02-28",50.87,51.5,50.36,50.83,27398400,44.3
"2007-03-01",50.25,50.9,49.8,50.38,25006600,43.91
"2007-03-02",50.1,50.34,49.82,50.01,17183400,43.59
"2007-03-05",49.6,50.28,49.56,49.64,18612500,43.27
"2007-03-06",50.1,51.09,50.1,50.94,16716600,44.4
"2007-03-07",51.03,51.1,50.41,50.59,14548500,44.09
"2007-03-08",50.88,51.33,50.59,50.77,13333900,44.25
"2007-03-09",51.15,51.21,50.67,50.95,10723700,44.41
"2007-03-12",50.95,51.18,50.7,51.09,10574300,44.53
"2007-03-13",51.08,51.08,49.26,49.46,25463400,43.11
"2007-03-14",49.52,49.92,48.36,49.77,25008800,43.38
"2007-03-15",49.63,50.82,49.54,50.1,19655200,43.67
"2007-03-16",50.27,50.47,49.5,49.62,21922100,43.25
