"","BAX.Open","BAX.High","BAX.Low","BAX.Close","BAX.Volume","BAX.Adjusted"
"2007-01-03",46.4,46.74,46.35,46.5,2432800,39.65
"2007-01-04",46.48,47.03,46.26,46.98,3092200,40.06
"2007-01-05",46.82,47,46.45,46.79,3233400,39.9
"2007-01-08",46.67,46.98,46.46,46.9,1703500,39.99
"2007-01-09",46.9,46.97,46.33,46.33,2617800,39.51
"2007-01-10",46.25,46.82,46.07,46.78,3174000,39.89
"2007-01-11",46.88,47.1,46.61,47.1,3012700,40.17
"2007-01-12",46.88,47.65,46.78,47.55,2004700,40.55
"2007-01-16",47.61,48,47.55,47.8,2261700,40.76
"2007-01-17",47.6,48.57,47.6,48.38,3035400,41.26
"2007-01-18",48.57,49.2,48.39,49.02,3189600,41.8
"2007-01-19",48.98,49.01,48.33,48.87,4281900,41.67
"2007-01-22",48.75,48.85,47.91,47.98,2832000,40.92
"2007-01-23",48,48.18,47.65,48.06,2638600,40.98
"2007-01-24",48.1,48.15,47.62,48.15,3685800,41.06
"2007-01-25",48.63,49.98,48.63,49.61,5598600,42.31
"2007-01-26",48.51,49.2,47.2,48.75,4222500,41.57
"2007-01-29",48.65,48.75,48.24,48.44,2759000,41.31
"2007-01-30",48.6,49.51,48.5,49.46,3606500,42.18
"2007-01-31",49.47,49.74,49.2,49.66,2831300,42.35
"2007-02-01",49.89,50.32,49.49,50.31,3950500,42.9
"2007-02-02",49.95,50.16,49.74,49.75,2543000,42.42
"2007-02-05",49.55,50.07,49.28,49.99,2525400,42.63
"2007-02-06",49.9,50,49.04,49.46,3478900,42.18
"2007-02-07",49.46,49.66,49.4,49.65,1744800,42.34
"2007-02-08",49.8,49.88,49.51,49.78,3535000,42.45
"2007-02-09",49.85,50.01,49.63,49.75,1718000,42.42
"2007-02-12",49.77,49.96,49.57,49.9,2159300,42.55
"2007-02-13",49.9,49.95,49.51,49.94,2502700,42.59
"2007-02-14",49.93,50.31,49.66,50.27,2333500,42.87
"2007-02-15",50.09,50.48,49.91,50.4,1807600,42.98
"2007-02-16",49.9,50.47,49.74,50.46,2934700,43.03
"2007-02-20",50.2,50.7,50.07,50.64,1676700,43.18
"2007-02-21",50.71,50.99,50.44,50.6,2682600,43.15
"2007-02-22",50.39,50.59,50.17,50.31,2905500,42.9
"2007-02-23",50.54,50.54,49.48,49.81,1655600,42.48
"2007-02-26",50,50.19,49.71,50.15,2351500,42.77
"2007-02-27",50.1,50.4,48.1,49.1,4233300,41.87
