"","BCR.Open","BCR.High","BCR.Low","BCR.Close","BCR.Volume","BCR.Adjusted"
"2007-01-03",82.99,83.85,82.34,82.9,624900,78.42
"2007-01-04",82.9,83.42,82.39,82.96,423100,78.48
"2007-01-05",82.76,82.76,81.93,82.35,563600,77.9
"2007-01-08",82.36,82.56,81.71,82.48,672400,78.02
"2007-01-09",82.48,82.99,82,82.43,388900,77.97
"2007-01-10",82.43,82.43,81.91,82.34,633800,77.89
"2007-01-11",82.5,83.4,82.43,83.03,523300,78.54
"2007-01-12",82.9,83.15,82.47,82.61,407700,78.14
"2007-01-16",82.65,82.75,81.42,81.51,1112000,77.1
"2007-01-17",81.51,83.1,81.51,82.93,530800,78.45
"2007-01-18",86.17,86.17,79.85,83.77,703100,79.38
"2007-01-19",83.86,83.94,82.98,83.45,402200,79.07
"2007-01-22",83.45,83.81,82.9,83.28,324800,78.91
"2007-01-23",83.24,83.38,82.78,83.09,505700,78.73
"2007-01-24",82.92,83.9,82.87,83.87,309700,79.47
"2007-01-25",83.52,83.67,78.97,82.36,476600,78.04
"2007-01-26",82,82.35,80.65,81.1,1562300,76.85
"2007-01-29",81,81.42,80.66,80.99,1002700,76.74
"2007-01-30",80.9,82.01,80.62,81.97,1167400,77.67
"2007-01-31",82.35,82.77,81.79,82.52,487800,78.19
"2007-02-01",82.53,82.53,81.38,81.71,719000,77.42
"2007-02-02",81.71,81.93,81.23,81.5,538500,77.22
"2007-02-05",81.59,81.91,81.2,81.66,512000,77.38
"2007-02-06",81.91,82.4,81.85,82.07,457600,77.76
"2007-02-07",82.07,82.68,81.99,82.25,451400,77.94
"2007-02-08",82.2,82.39,81.41,81.65,520100,77.37
"2007-02-09",81.66,81.86,81.32,81.51,317600,77.23
"2007-02-12",81.58,81.76,81.09,81.14,348000,76.88
"2007-02-13",81,81.26,80.67,81.08,684000,76.83
"2007-02-14",81.07,81.35,80.58,80.8,677700,76.56
"2007-02-15",83.66,83.66,80.77,81.78,584000,77.49
"2007-02-16",81.42,81.96,81.25,81.95,393600,77.65
"2007-02-20",81.95,82.83,81.85,82.83,653800,78.48
"2007-02-21",82.81,82.85,82.36,82.76,484600,78.42
"2007-02-22",82.65,83.09,82.51,82.74,583100,78.4
"2007-02-23",82.59,83.15,81.99,82.41,386800,78.09
"2007-02-26",82.49,82.53,81.41,81.74,391700,77.45
"2007-02-27",81.76,82.6,79.01,79.95,734400,75.76
"2007-02-28",79.87,80.14,79.46,79.78,771300,75.59
"2007-03-01",78.7,79.28,77.83,78.85,645900,74.71
"2007-03-02",78.71,79.19,78.33,78.44,415400,74.33
"2007-03-05",78.21,78.85,77.58,78.14,529500,74.04
"2007-03-06",78.54,79.09,77.96,78.9,683800,74.76
"2007-03-07",79.15,79.92,78.51,78.64,721900,74.51
"2007-03-08",78.94,79.57,78.49,78.65,542300,74.52
"2007-03-09",78.9,79.44,78.61,79.01,574800,74.87
"2007-03-12",79.01,79.01,78.37,78.45,426800,74.33
"2007-03-13",78.15,78.69,77.06,77.25,668000,73.2
"2007-03-14",77.4,79.56,77.27,79.19,1015000,75.04
"2007-03-15",79.1,79.66,78.95,79.43,345400,75.26
"2007-03-16",79.44,79.44,79.1,79.23,578200,75.07
"2007-03-19",79.33,80.22,79.28,80.2,434100,75.99
"2007-03-20",80.2,80.43,79.94,80.05,515200,75.85
"2007-03-21",80.04,80.7,79.52,80.65,528200,76.42
"2007-03-22",77.77,80.85,77.77,80.19,456200,75.98
"2007-03-23",80.3,80.46,79.81,80.27,338000,76.06
"2007-03-26",80.27,80.41,79.65,80,430800,75.8
"2007-03-27",79.66,80.04,79.5,79.77,373500,75.59
"2007-03-28",79.78,80.03,79.17,79.25,511000,75.09
"2007-03-29",79.32,79.98,79.25,79.63,439300,75.45
"2007-03-30",79.51,79.92,78.93,79.51,379100,75.34
"2007-04-02",80.48,80.67,79.64,80.53,359600,76.31
"2007-04-03",80.71,81.44,80.71,81.04,419700,76.79
"2007-04-04",81.21,81.67,81.1,81.4,326700,77.13
"2007-04-05",81.19,82.07,81.15,81.97,339100,77.67
"2007-04-09",82.17,82.42,81.51,81.73,344200,77.44
"2007-04-10",81.89,82.4,81.72,81.87,311700,77.58
"2007-04-11",81.79,81.91,81.05,81.58,492200,77.3
"2007-04-12",81.63,81.91,81.28,81.68,360200,77.4
"2007-04-13",81.68,81.94,81.24,81.44,578600,77.17
"2007-04-16",81.61,82.46,81.6,82.08,364400,77.77
"2007-04-17",82.08,82.6,82,82.11,305800,77.8
"2007-04-18",81.86,81.87,81.43,81.62,225500,77.34
"2007-04-19",81.38,82.23,81.18,82.15,595200,77.84
"2007-04-20",82.9,83.4,82.5,83.16,674200,78.8
"2007-04-23",85.06,85.06,82.18,82.28,626400,77.96
"2007-04-24",80.39,82.5,80.39,82.21,551100,77.9
"2007-04-25",84.4,85.73,84.25,84.55,1929700,80.11
"2007-04-26",84.46,85.38,84,84.17,715900,79.89
"2007-04-27",84.09,84.29,83.87,84,483300,79.73
"2007-04-30",84.19,84.28,82.69,83.13,820200,78.9
"2007-05-01",83.88,83.88,82.43,82.81,1016900,78.6
"2007-05-02",82.75,83.47,82.12,83.27,656000,79.03
"2007-05-03",83.55,83.55,82.91,82.92,508300,78.7
"2007-05-04",82.93,83.17,82.42,82.43,431000,78.24
"2007-05-07",82.6,82.85,82.6,82.77,363700,78.56
"2007-05-08",82.69,82.69,82.01,82.39,353200,78.2
"2007-05-09",82.39,82.81,82.38,82.73,388100,78.52
"2007-05-10",82.35,82.7,81.76,81.82,355300,77.66
"2007-05-11",82.07,82.64,81.88,82.35,324800,78.16
"2007-05-14",82.26,82.37,81.76,81.92,325900,77.75
"2007-05-15",82.15,82.95,81.94,82.65,742800,78.44
"2007-05-16",82.75,83.38,82.73,83.18,606700,78.95
"2007-05-17",82.91,83.1,82.17,82.17,607500,77.99
"2007-05-18",82.34,83.02,82.13,83.02,351500,78.8
"2007-05-21",82.9,83.1,82.57,82.91,342700,78.69
"2007-05-22",82.8,83.92,82.8,83.8,440000,79.54
"2007-05-23",83.83,84.36,83.57,84.1,453100,79.82
"2007-05-24",84.1,84.67,83.9,84.06,346600,79.78
"2007-05-25",84.25,84.32,83.95,84.17,247600,79.89
"2007-05-29",84.15,84.67,83.9,84.1,432800,79.82
"2007-05-30",83.9,84.75,83.71,84.75,409800,80.44
