"","BEAM.Open","BEAM.High","BEAM.Low","BEAM.Close","BEAM.Volume","BEAM.Adjusted"
"2007-01-03",85.5,86.9,85.43,85.88,965600,74.75
"2007-01-04",85.87,85.91,84.65,84.93,1091200,73.92
"2007-01-05",84.88,85.29,84.4,85,800900,73.98
"2007-01-08",84.9,85.41,84.54,84.57,1005800,73.61
"2007-01-09",85,85.4,84.33,84.82,1444400,73.82
"2007-01-10",84.35,84.68,84.26,84.54,1135300,73.58
"2007-01-11",84.53,85.31,84.53,85.21,945000,74.16
"2007-01-12",84.8,84.8,84.1,84.28,1042200,73.35
"2007-01-16",84.25,84.59,83.79,84.36,1159900,73.42
"2007-01-17",84.1,85.67,84.05,85,958600,73.98
"2007-01-18",84.18,85.1,84.18,84.85,944300,73.85
"2007-01-19",84.5,84.53,82.75,83.48,1753900,72.66
"2007-01-22",83.11,83.32,82.51,82.78,1106400,72.05
"2007-01-23",82.96,84.26,82.79,83.75,903000,72.89
"2007-01-24",83.66,84.49,83.23,84.38,834300,73.44
"2007-01-25",84.3,84.89,82.85,82.96,864800,72.2
"2007-01-26",79.5,81.79,79.5,81.07,3410100,70.56
"2007-01-29",81,82.2,80.95,81.96,2221200,71.33
"2007-01-30",82.1,82.9,81.35,82.83,1190100,72.09
"2007-01-31",82.83,83.74,82.5,83.72,997300,72.87
"2007-02-01",83.75,84,83.15,83.72,1390900,72.87
"2007-02-02",83.62,84.21,83.33,83.79,1237000,72.93
"2007-02-05",83.41,83.41,81.87,81.99,841800,71.69
"2007-02-06",82.04,82.48,81.87,82.31,536200,71.97
"2007-02-07",82.31,82.58,81.3,81.33,720500,71.12
"2007-02-08",81.45,81.71,80.88,81.02,860900,70.85
"2007-02-09",81.02,81.34,80.5,80.81,820600,70.66
"2007-02-12",80.48,80.9,80.4,80.65,388800,70.52
"2007-02-13",80.7,81.7,80.5,81.55,428900,71.31
"2007-02-14",81.56,82.56,81.16,82.54,600100,72.17
"2007-02-15",82.81,82.86,82.45,82.86,662500,72.45
"2007-02-16",82.78,83.24,82.77,83.2,765100,72.75
