"","BEN.Open","BEN.High","BEN.Low","BEN.Close","BEN.Volume","BEN.Adjusted"
"2007-01-03",111.44,114.3,111.39,113.38,3660900,33.82
"2007-01-04",113.39,114.38,112.36,113.88,2777700,33.97
"2007-01-05",113.1,113.73,111.58,111.77,2013600,33.34
"2007-01-08",112.02,114.97,111.31,114.94,2851500,34.28
"2007-01-09",115,117.84,114.97,116.97,4179900,34.89
"2007-01-10",115.9,118.52,115.25,118.19,2876400,35.25
"2007-01-11",118.79,120.29,118.02,120.12,2771100,35.83
"2007-01-12",120.18,120.61,119.35,119.92,2578800,35.77
"2007-01-16",120,120.94,119.21,120.42,3328200,35.92
"2007-01-17",120.75,121.77,119.9,120.25,2866800,35.87
"2007-01-18",121.08,121.08,119.17,119.45,2459700,35.63
"2007-01-19",120.15,120.15,117.65,117.79,3808200,35.13
"2007-01-22",118.08,118.54,117.3,117.92,2378100,35.17
"2007-01-23",118.16,118.64,116.39,117.68,2366700,35.1
"2007-01-24",118.29,120.19,118.24,120.19,2048700,35.85
"2007-01-25",121,121.54,118.52,118.67,4989900,35.4
"2007-01-26",119.5,119.75,117.22,118.1,2770500,35.23
"2007-01-29",118.3,119.43,116.75,117.23,2467500,34.97
"2007-01-30",117.45,117.93,116.68,117.52,3070200,35.05
"2007-01-31",117.1,119.56,117.02,119.11,3620100,35.53
"2007-02-01",119.9,121.63,119.43,121.4,4591500,36.21
"2007-02-02",120.99,121.52,120.31,120.76,4017900,36.02
"2007-02-05",121.3,121.59,120.46,121.23,1920300,36.16
"2007-02-06",121.55,122.62,121.17,122.2,3560400,36.45
"2007-02-07",122.5,123.67,122.32,123.41,2175000,36.81
"2007-02-08",123.45,125.3,122.53,123.98,3276900,36.98
"2007-02-09",124.32,124.78,120.84,121.9,2733600,36.36
"2007-02-12",122.15,122.76,121.22,122.66,2517900,36.59
"2007-02-13",122.34,122.97,121.75,122.91,1800600,36.66
"2007-02-14",123.16,126,122.95,125.59,2255400,37.46
"2007-02-15",125.38,126.26,124.99,126.1,1920000,37.61
"2007-02-16",125.7,126.61,124.87,126.02,1946400,37.59
"2007-02-20",126.18,126.29,125.01,125.93,2281200,37.56
"2007-02-21",125.8,126.71,125.39,125.79,3395100,37.52
"2007-02-22",125.97,126.36,124.24,125.55,2721000,37.45
"2007-02-23",124.9,125.26,122.9,123.75,2293200,36.91
"2007-02-26",124.22,124.54,121.88,122.42,2092500,36.52
"2007-02-27",120.17,120.17,115.16,115.98,5259300,34.59
"2007-02-28",116,117.99,115.58,117.29,3345000,34.99
"2007-03-01",114.96,116.63,112.32,115.36,4451100,34.41
"2007-03-02",115.33,116.28,114.34,114.46,4191300,34.14
"2007-03-05",113,114.25,111.47,111.72,5052600,33.32
"2007-03-06",114,115.49,112.44,115.35,3573900,34.41
"2007-03-07",115.45,116.18,114.55,114.71,2418300,34.22
"2007-03-08",116.2,118.24,115.91,117.54,3304200,35.06
"2007-03-09",119.7,120.37,118.96,119.72,5004000,35.71
"2007-03-12",119.7,121.11,118.59,120.68,4477500,36
"2007-03-13",119.7,119.81,116.01,116.14,4176000,34.64
"2007-03-14",115.75,117.53,113.99,117.31,3684300,34.99
"2007-03-15",117.28,117.9,116.22,117.43,3845400,35.03
"2007-03-16",116.5,125,113.8,114.56,7155300,34.17
"2007-03-19",116,117.04,115.65,116.95,3925500,34.88
"2007-03-20",116.76,117.79,116.5,117.34,2132400,35
"2007-03-21",117.67,121.66,116.9,121.31,3748500,36.18
"2007-03-22",122.49,122.49,120.38,121.5,3244800,36.24
"2007-03-23",121.88,123.41,121.62,122.88,2813400,36.65
"2007-03-26",122.97,123.38,121.4,122.89,3807000,36.66
"2007-03-27",122.2,122.91,121.29,121.42,3526800,36.22
"2007-03-28",120.15,120.51,118.7,119.25,4236900,35.61
"2007-03-29",121.21,121.41,119.22,120.47,2221200,35.98
"2007-03-30",120.31,121.78,118.93,120.83,3565200,36.09
"2007-04-02",120.53,120.97,118.8,120.72,3160800,36.05
"2007-04-03",121.72,124.49,120.9,124.32,4809000,37.13
"2007-04-04",124.7,125.7,123.71,125.52,3818700,37.49
"2007-04-05",124.91,126.04,124.7,125.79,3592800,37.57
"2007-04-09",125.81,126.12,124.5,125.72,3291000,37.55
"2007-04-10",124.6,126.55,124.6,126.35,3817500,37.73
"2007-04-11",126.23,127.37,125.54,125.87,5758500,37.59
"2007-04-12",125.99,126.58,124.69,126.58,4118700,37.8
"2007-04-13",126.58,127.56,126.1,126.54,3271800,37.79
"2007-04-16",127.03,129.84,127.03,129.47,3312600,38.67
"2007-04-17",129.47,131.88,128.93,130.94,3513300,39.11
"2007-04-18",130.94,133.72,130.8,132.99,3703500,39.72
"2007-04-19",130.16,130.77,127.58,128.97,6821400,38.52
"2007-04-20",129.15,130.96,129.15,130.29,3870600,38.91
"2007-04-23",131.25,131.9,129.83,130.18,2787900,38.88
"2007-04-24",130.17,130.76,127.8,129.45,2677200,38.66
"2007-04-25",129.88,131.75,128.38,131.01,2162100,39.13
"2007-04-26",132.4,132.4,129.1,130.66,2927100,39.02
"2007-04-27",130.51,131.61,129.84,131.34,2313600,39.22
"2007-04-30",131.41,132.49,130.51,131.31,3355200,39.22
"2007-05-01",131.7,132.02,130.39,131.61,3322500,39.31
"2007-05-02",132.2,133.45,131.91,132.98,2002500,39.71
"2007-05-03",133.75,134.72,132.59,134.62,3241800,40.2
"2007-05-04",135.18,135.58,134.41,135.2,2350800,40.38
"2007-05-07",135.65,136,134.67,135.23,1965900,40.39
"2007-05-08",134.62,135,133.66,134.61,2827200,40.2
"2007-05-09",134.81,136.82,134.66,136.28,3356400,40.7
"2007-05-10",135,136.26,133.92,134.01,2704800,40.02
"2007-05-11",134.31,136.48,134.31,136.02,1293000,40.62
"2007-05-14",136.51,136.85,134.81,135.35,2113800,40.42
"2007-05-15",135.81,137.86,134.56,134.85,2832300,40.27
"2007-05-16",135.5,137.27,135.5,136.88,2133900,40.88
"2007-05-17",135.9,135.95,133.38,134.5,3825600,40.17
"2007-05-18",134.69,135.99,134.23,135.99,2643300,40.61
"2007-05-21",135.84,136.98,135,136.62,2997300,40.8
"2007-05-22",136.87,136.87,134.76,135.31,3098700,40.41
"2007-05-23",135.56,136.56,134.94,135.09,2639700,40.34
"2007-05-24",135,137.24,132.81,133.46,4070700,39.86
"2007-05-25",133.23,134.73,133,133.95,1916100,40
"2007-05-29",134.2,135.48,133.45,134.53,2398500,40.18
"2007-05-30",133.51,135.47,132.66,135.34,2933100,40.42
"2007-05-31",136.2,137,135.54,137,3208500,40.92
"2007-06-01",135.74,137.25,135.74,136.13,2633100,40.66
"2007-06-04",137.5,137.5,134.43,137.21,2105700,40.98
"2007-06-05",136.48,136.48,132.86,133.66,5139300,39.92
"2007-06-06",132.18,133,130.91,131.54,3817200,39.28
"2007-06-07",131.54,131.54,127.61,127.61,5821200,38.11
"2007-06-08",127.36,128.29,125.9,128.27,5128500,38.31
"2007-06-11",127.51,130.06,127.45,128.91,2744100,38.5
"2007-06-12",128.88,130.04,127.81,127.93,4779300,38.21
"2007-06-13",128.17,130.05,127.69,129.78,5147700,38.76
"2007-06-14",129.71,131.22,129.5,130.24,3308400,38.9
"2007-06-15",131.58,133.36,131.25,132.28,4060200,39.51
"2007-06-18",132.82,134.12,132.18,133.37,3422400,39.83
"2007-06-19",132.5,134.67,132.5,134.45,3748500,40.15
"2007-06-20",136.26,139.33,134.65,134.91,8712300,40.29
"2007-06-21",134.91,136.15,132.44,134.83,2764800,40.27
"2007-06-22",134.55,135.39,132.31,132.6,4721700,39.6
"2007-06-25",133.25,134.61,130.07,131.27,4424700,39.2
"2007-06-26",132.75,133.53,132.02,132.5,3059700,39.57
"2007-06-27",132,133.75,130.49,133.5,4400100,39.92
"2007-06-28",133.69,135.19,133.52,134.42,2611200,40.19
"2007-06-29",134.6,135.87,131.6,132.47,3274200,39.61
"2007-07-02",132.47,134.98,132.47,134.06,3229200,40.08
"2007-07-03",134.98,135.78,134.53,134.96,1761300,40.35
"2007-07-05",134.96,135.36,134.08,135,2214000,40.36
"2007-07-06",135.2,135.75,134.46,135.42,2435400,40.49
"2007-07-09",135.36,136.75,134.75,136.53,2832600,40.82
"2007-07-10",135.6,135.75,132.34,132.62,3916800,39.65
"2007-07-11",134.32,135.75,133.12,134.83,4221900,40.31
"2007-07-12",135.32,138.83,134.83,138.83,2825400,41.51
"2007-07-13",137.11,140.7,137.11,140.23,2645400,41.93
"2007-07-16",141,141.15,139.66,140.72,2710200,42.07
"2007-07-17",142,145.59,141.6,143.95,4608600,43.04
"2007-07-18",143.08,143.78,140.38,142.03,3796200,42.47
"2007-07-19",142.4,143.25,140.99,142.2,3666900,42.52
"2007-07-20",142.05,142.05,136.37,137.94,4904700,41.24
"2007-07-23",139.62,141.56,138.4,138.95,3351300,41.54
"2007-07-24",136.59,138.55,134.05,134.32,4610700,40.16
"2007-07-25",135.67,137.78,132.88,136,4487400,40.66
"2007-07-26",133.4,134.34,126.8,129.65,6118500,38.76
"2007-07-27",129.99,131.96,127.5,130.15,4905000,38.91
"2007-07-30",131.87,133.39,129.82,132.55,4232100,39.63
"2007-07-31",134.3,136.49,127.2,127.37,6008700,38.08
"2007-08-01",121.73,128.41,121.71,125.62,7366200,37.56
"2007-08-02",125.34,128.44,125.34,127.2,4893300,38.03
"2007-08-03",128.9,128.9,120.44,120.49,8205000,36.03
"2007-08-06",121.63,126.22,118.91,126.12,6784500,37.71
"2007-08-07",124.98,127.97,123.56,125.72,8018100,37.59
"2007-08-08",125.61,130.73,121.7,125.47,8956200,37.51
"2007-08-09",120.91,125.78,116.52,121.84,10604400,36.43
"2007-08-10",120.49,124.41,117.05,122.03,6806700,36.49
"2007-08-13",123.1,126.72,122.31,124.02,4524000,37.08
"2007-08-14",124.87,126.48,121.07,121.07,4178700,36.2
"2007-08-15",120.47,123.79,118.03,118.95,4215000,35.56
"2007-08-16",117.95,124.15,113.08,123.64,8202300,36.97
"2007-08-17",129.71,134.17,126,131.5,7494300,39.32
"2007-08-20",132.49,133.28,127.35,129.33,4308300,38.67
"2007-08-21",129.11,131.14,127.96,130.32,2807100,38.96
"2007-08-22",131.8,133.66,129.06,132.71,4062300,39.68
"2007-08-23",133.21,134.24,131.5,132.69,3306600,39.67
"2007-08-24",133.02,134.5,131.86,134.35,2326800,40.17
"2007-08-27",134.15,134.62,131.8,131.82,2455500,39.41
"2007-08-28",131.49,131.5,125.4,125.42,4094100,37.5
"2007-08-29",126.47,130.13,124.12,130.13,4200300,38.91
"2007-08-30",128.98,130.46,127.26,128.25,4176600,38.35
"2007-08-31",129.63,132.97,128.7,131.77,3687000,39.4
"2007-09-04",132,134.63,130.97,132.88,2496000,39.73
"2007-09-05",131.24,131.59,129.16,130.46,2694000,39.01
"2007-09-06",130.28,131.15,128.46,131.13,2625000,39.21
"2007-09-07",129,129,125.84,126.14,5765400,37.71
"2007-09-10",127.15,127.79,123.48,125.02,3769800,37.38
"2007-09-11",126,128.08,124.56,126.05,3724800,37.69
"2007-09-12",125.45,125.5,122.59,123.11,5308500,36.81
"2007-09-13",123.44,124.5,122.32,123.38,4055700,36.89
"2007-09-14",123,126.14,121.55,126.12,3579600,37.71
"2007-09-17",125.72,125.72,123.21,123.82,3278700,37.02
"2007-09-18",124.9,131.54,122.86,131.54,6018300,39.33
"2007-09-19",132.84,134.79,132.42,133.1,4448100,39.8
"2007-09-20",132.47,132.99,128.82,129.31,2587800,38.66
"2007-09-21",129.51,131.04,129.31,130.29,3369000,38.96
"2007-09-24",129.94,132.24,129.03,129.93,2775000,38.85
"2007-09-25",127.94,128.25,125.46,126.79,6287400,37.91
"2007-09-26",128.07,128.45,124.78,125.67,4705800,37.57
"2007-09-27",126.85,126.85,124.8,126.54,3139200,37.83
"2007-09-28",126.21,127.97,125.89,127.5,2739600,38.12
"2007-10-01",127.04,130.73,127.04,130.43,4104600,39
"2007-10-02",130.83,131.62,129.48,131.29,3485400,39.3
"2007-10-03",130.88,130.88,128.06,128.69,2487300,38.52
"2007-10-04",129.72,129.72,127.15,127.39,2741100,38.13
"2007-10-05",128.36,131.12,127.89,130.13,3268500,38.95
"2007-10-08",130.18,130.5,128.68,129.11,2148300,38.65
"2007-10-09",129.56,137.27,129.56,137.18,5542800,41.06
"2007-10-10",136.63,137.03,134.28,135.83,4184700,40.66
"2007-10-11",137.37,141.94,136.89,138.27,6831900,41.39
"2007-10-12",138.93,140.37,137.47,140.32,2559900,42
"2007-10-15",140.75,141.47,134.91,137,2901600,41.01
"2007-10-16",136.04,137.55,134.17,134.93,2923200,40.39
"2007-10-17",136.02,137.96,134,137.12,4616100,41.04
"2007-10-18",137.12,139,135.3,138.4,3204600,41.43
"2007-10-19",137.83,138.05,132.84,132.84,3306600,39.76
"2007-10-22",131.52,135.03,131.3,134.62,3504300,40.3
"2007-10-23",137.01,141.93,137.01,141.69,4514400,42.41
"2007-10-24",141.09,143.08,138.65,142.21,5322600,42.57
"2007-10-25",138.15,142.25,135.2,138.64,5751600,41.5
"2007-10-26",138.3,138.9,127.5,131.98,10450200,39.51
"2007-10-29",131.94,132.74,128.05,129.5,5169600,38.76
"2007-10-30",128.25,130.8,126.05,129.27,4840500,38.69
"2007-10-31",130.52,131,126.9,129.68,5491800,38.82
"2007-11-01",127.71,127.98,123.13,123.21,4253400,36.88
"2007-11-02",123.6,124.93,118.6,124.23,7377900,37.19
"2007-11-05",122.52,123.66,118.6,121.76,5727000,36.45
"2007-11-06",121.66,123.45,119.21,121.97,4058100,36.51
"2007-11-07",120.77,121.51,116.43,116.52,6061800,34.88
"2007-11-08",117.09,120.61,113.82,119.01,8204700,35.62
"2007-11-09",117.75,120.29,115.78,117.23,6935100,35.09
"2007-11-12",116.51,122.9,116.51,117.77,5289900,35.25
"2007-11-13",118.26,123.97,118.26,123.81,4980000,37.06
"2007-11-14",125.92,127.31,123.1,123.54,6449700,36.98
"2007-11-15",122.86,123.82,116.06,117.7,15210600,35.23
"2007-11-16",118.59,119.41,116.63,118.95,4575300,35.61
"2007-11-19",118.44,119.13,115.03,115.46,3525600,34.56
"2007-11-20",116.22,119.58,114.61,117.17,5091900,35.07
"2007-11-21",115.97,117.37,113.47,115.1,4602900,34.45
"2007-11-23",117.41,119.69,115.56,119.06,1292700,35.64
"2007-11-26",119.3,119.3,114.5,114.51,5876700,34.28
"2007-11-27",114.87,117.95,114.06,117.34,4796400,35.12
"2007-11-28",118.15,125.24,117.91,123.48,6268500,36.96
"2007-11-29",123,123.09,119.4,122.53,4641000,36.68
"2007-11-30",124.25,127.02,121.69,123.18,5764200,36.87
"2007-12-03",123.67,123.84,119.92,120.56,3429600,36.09
"2007-12-04",119.96,121,117.2,117.2,4049400,35.08
"2007-12-05",119.03,121.48,118.13,120.97,2903100,36.21
"2007-12-06",120.93,124,119.67,123.94,2655900,37.1
"2007-12-07",123.92,124.75,120.9,121.04,2764800,36.23
"2007-12-10",121.62,124.62,121.05,121.5,2799600,36.37
"2007-12-11",121.44,121.72,114.95,114.96,4700100,34.41
"2007-12-12",117.79,119.87,114.56,116.03,5701800,34.73
"2007-12-13",115.68,115.79,111.71,115.09,6110700,34.45
"2007-12-14",113.7,114.9,110.96,111.04,4863300,33.24
"2007-12-17",110.34,111.33,109.43,110.45,4968300,33.06
"2007-12-18",111.23,112.63,108.68,111.28,4207800,33.31
"2007-12-19",112.34,113.35,109.81,110.85,3416100,33.18
"2007-12-20",111.87,111.87,108.46,109.29,5821500,32.71
"2007-12-21",110.8,115.36,110.14,115.12,5736000,34.46
"2007-12-24",115.04,116.6,113.68,115.33,1386000,34.52
"2007-12-26",114.37,115.35,113.6,115.06,1996200,34.5
"2007-12-27",114.39,114.71,113.61,113.86,3108000,34.14
"2007-12-28",114.86,115.82,113.24,114.14,2376600,34.23
"2007-12-31",113.27,115.7,113.22,114.43,2010300,34.31
"2008-01-02",114.05,114.42,112.15,113.69,4584600,34.09
"2008-01-03",114.08,114.59,110.34,111.32,3811200,33.38
"2008-01-04",109.98,110.96,106.22,106.75,6448500,32.01
"2008-01-07",107.61,108.8,104.76,108.46,6685500,32.52
"2008-01-08",109.11,109.43,102.77,103.23,6946500,30.95
"2008-01-09",102.95,104.8,99.53,101.97,10011600,30.58
"2008-01-10",101.02,107.6,99.5,105.96,6967200,31.77
"2008-01-11",104.48,105.44,100.98,102,7614000,30.59
"2008-01-14",102.63,103.33,100.76,101.5,4925700,30.44
"2008-01-15",100.01,100.55,96.43,98.07,8213700,29.41
"2008-01-16",97.58,98.99,94.02,94.31,10097700,28.28
"2008-01-17",93.82,93.92,88.22,88.4,15749400,26.51
"2008-01-18",89.45,91.42,88.16,90.54,11879700,27.15
"2008-01-22",86,92.35,85,90.28,9746700,27.07
"2008-01-23",88.8,94.17,88.76,94.01,11303700,28.19
"2008-01-24",94.49,100.4,94.49,98.9,10784700,29.66
"2008-01-25",100.5,103,98,98.39,11354400,29.5
"2008-01-28",98.71,100.28,96.36,100.2,4602600,30.05
