"","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2007-01-03",68.14,68.14,65.98,66.34,1095800,28.89
"2007-01-04",66.25,66.55,65.16,65.42,676200,28.48
"2007-01-05",65.31,65.44,64.2,64.58,749700,28.12
"2007-01-08",64.5,65.07,64.21,64.9,601500,28.26
"2007-01-09",65.05,65.25,64.85,65.03,678800,28.31
"2007-01-10",64.95,65.25,64.73,65.11,533800,28.35
"2007-01-11",65.12,65.49,65.07,65.16,549900,28.37
"2007-01-12",65.17,65.47,65,65.47,403200,28.51
"2007-01-16",65.34,65.87,64.8,65.53,630300,28.53
"2007-01-17",65.3,65.97,65.1,65.63,598200,28.58
"2007-01-18",65.76,66.26,65.66,66.15,590200,28.8
"2007-01-19",66.3,66.3,65.64,65.91,609800,28.7
"2007-01-22",65.91,66.37,65.83,65.86,645800,28.68
"2007-01-23",65.81,66.14,65.54,65.75,577400,28.63
"2007-01-24",65.95,66.19,65.58,65.88,631200,28.68
"2007-01-25",65.67,65.88,65.24,65.45,425100,28.5
"2007-01-26",65.46,65.66,64.87,65.1,466800,28.35
"2007-01-29",65.3,65.33,64.75,64.86,581400,28.24
"2007-01-30",64.87,65.23,64.68,64.96,341100,28.28
"2007-01-31",65.1,65.82,64.9,65.59,424800,28.56
"2007-02-01",65.55,66.19,65.35,66.18,431100,28.82
"2007-02-02",66.55,66.63,65.9,66.19,393800,28.82
"2007-02-05",66.2,66.34,65.87,66.18,577400,28.82
"2007-02-06",66,66.33,64.9,65.19,1162200,28.38
"2007-02-07",65.44,65.99,65.02,65.54,575800,28.54
"2007-02-08",65.63,65.74,64.82,65.13,638700,28.36
"2007-02-09",65.14,65.59,64.75,65.05,511600,28.32
"2007-02-12",65.2,65.75,65.01,65.5,304400,28.52
"2007-02-13",65.5,66.22,65.5,65.9,463500,28.69
"2007-02-14",66,66.35,65.75,66.13,454500,28.79
"2007-02-15",66.36,66.5,66,66.19,378800,28.82
"2007-02-16",65.98,66.32,65.8,66.08,429300,28.77
"2007-02-20",68.05,68.25,67.01,67.73,744200,29.49
"2007-02-21",67.92,68.05,67.2,67.26,419100,29.29
"2007-02-22",67.42,68.02,67,67.17,360300,29.25
"2007-02-23",66.95,67.5,66.46,66.66,363000,29.02
"2007-02-26",66.6,67.27,66.4,67.05,474200,29.19
"2007-02-27",66.92,67.85,64.53,64.85,1060500,28.24
"2007-02-28",64.86,65.77,64.86,65.4,797400,28.48
"2007-03-01",64.8,65.1,63.67,64.96,720300,28.28
"2007-03-02",64.4,65.65,63.55,64.25,829400,28.11
"2007-03-05",64.25,64.95,64.24,64.75,718800,28.32
"2007-03-06",65,67.25,65,65.79,1831400,28.78
"2007-03-07",65.58,65.74,64.21,64.45,1068000,28.19
"2007-03-08",64.66,64.92,64.45,64.58,652200,28.25
"2007-03-09",64.85,65.12,64.6,64.92,525800,28.4
"2007-03-12",64.6,65.15,64.22,65.02,629200,28.44
"2007-03-13",66.9,66.9,63.56,63.85,1262200,27.93
"2007-03-14",64.1,65.13,63.96,64.9,744900,28.39
"2007-03-15",64.75,64.9,64.4,64.72,701100,28.31
"2007-03-16",65.05,65.19,64.35,64.66,836700,28.29
"2007-03-19",64.66,64.9,64.11,64.64,465900,28.28
"2007-03-20",64.49,64.92,63.93,64.19,679400,28.08
"2007-03-21",64.4,65,63.54,64.98,785400,28.43
"2007-03-22",64.4,64.71,64.36,64.58,468000,28.25
"2007-03-23",64.75,65.23,64.66,65.07,430500,28.46
"2007-03-26",64.97,65.42,64.56,65.36,471200,28.59
"2007-03-27",65.11,65.25,64.63,64.68,483000,28.29
"2007-03-28",64.45,65.36,64.25,64.99,814500,28.43
"2007-03-29",65.09,65.66,65.01,65.46,589800,28.64
"2007-03-30",65.46,65.69,65.15,65.56,742800,28.68
"2007-04-02",65.51,65.82,65.3,65.66,740400,28.72
"2007-04-03",66.2,66.75,65.85,66.1,1099600,28.92
"2007-04-04",66,66.11,65.64,65.73,807900,28.75
"2007-04-05",65.9,66.5,65.52,65.64,375200,28.71
"2007-04-09",64.11,64.17,63.22,64.12,922400,29.44
"2007-04-10",64.4,65.3,64.4,64.75,554700,29.73
"2007-04-11",64.37,64.5,63.55,63.94,747800,29.36
"2007-04-12",63.99,63.99,63.17,63.59,733600,29.2
"2007-04-13",63.65,63.67,63.24,63.54,668700,29.17
"2007-04-16",63.69,64.43,63.55,64.36,448200,29.55
