"","BK.Open","BK.High","BK.Low","BK.Close","BK.Volume","BK.Adjusted"
"2007-01-03",39.73,40.15,39.61,39.69,5236900,36.24
"2007-01-04",39.6,39.82,39.25,39.61,5846800,36.17
"2007-01-05",39.5,39.94,39.14,39.42,4854400,36
"2007-01-08",39.43,39.7,39.1,39.58,3788200,36.14
"2007-01-09",39.52,39.8,39.07,39.41,4139800,35.99
"2007-01-10",39.11,39.72,39.05,39.62,3312900,36.18
"2007-01-11",39.63,40,39.47,40,2524700,36.52
"2007-01-12",40,40.38,39.8,40.33,3175600,36.83
"2007-01-16",40.25,40.56,40.05,40.47,3586800,36.95
"2007-01-17",40.48,41.05,40.12,40.25,4476100,36.75
"2007-01-18",40.45,41.25,40.38,40.94,6781400,37.38
"2007-01-19",41.18,41.39,40.82,41.02,3864300,37.46
"2007-01-22",40.97,41,40.64,40.78,3930500,37.44
"2007-01-23",40.75,40.8,40.45,40.58,2519500,37.25
"2007-01-24",40.6,40.91,40.54,40.88,1681000,37.53
"2007-01-25",40.75,41,40.49,40.54,5159300,37.22
"2007-01-26",40.69,40.85,40.15,40.33,5972500,37.02
"2007-01-29",40.18,40.54,39.7,39.92,5153800,36.65
"2007-01-30",40.17,40.17,39.78,39.95,2494300,36.68
"2007-01-31",39.83,40.14,39.49,40.01,3293000,36.73
"2007-02-01",40.07,40.26,39.96,40.17,4236100,36.88
"2007-02-02",40.3,40.87,40.2,40.77,4290400,37.43
"2007-02-05",40.73,41.48,40.7,41.29,5174200,37.91
"2007-02-06",41.7,41.75,41.38,41.61,2858500,38.2
"2007-02-07",41.66,41.81,41.32,41.63,2998000,38.22
"2007-02-08",41.63,41.65,41.22,41.58,2465600,38.17
"2007-02-09",41.5,42.22,41.41,41.55,3748300,38.14
"2007-02-12",41.6,42.11,41.58,42.09,3961300,38.64
"2007-02-13",42.1,42.48,42.04,42.48,2684400,39
"2007-02-14",42.46,43.14,42.31,42.9,3934500,39.38
"2007-02-15",42.99,43.46,42.9,43.31,2728100,39.76
"2007-02-16",43.1,43.4,43.08,43.17,3826400,39.63
"2007-02-20",43.25,43.32,42.68,43.19,5033900,39.65
"2007-02-21",43,43.14,42.61,42.73,3281500,39.23
"2007-02-22",42.63,42.89,42.61,42.76,2565600,39.26
"2007-02-23",42.75,42.79,42.15,42.51,2009700,39.03
"2007-02-26",42.61,42.64,42.09,42.26,2032800,38.8
"2007-02-27",42.2,42.2,40.53,40.64,4310300,37.31
"2007-02-28",40.47,40.94,39.47,40.63,4946800,37.3
"2007-03-01",40.5,40.79,39.65,40.48,4995900,37.16
"2007-03-02",40.22,40.35,39.65,39.81,6872200,36.55
"2007-03-05",39.69,39.69,39.14,39.19,5587900,35.98
"2007-03-06",39.5,39.86,39.15,39.77,4045100,36.51
"2007-03-07",39.5,39.7,39.1,39.21,4894100,36
"2007-03-08",39.4,39.76,39.3,39.37,2175000,36.14
"2007-03-09",39.62,39.72,39.07,39.22,2802700,36.01
"2007-03-12",39.07,39.41,38.87,39.3,2041200,36.08
"2007-03-13",38.43,39.1,38.1,38.11,4780800,34.99
"2007-03-14",37.65,38.6,37.57,38.49,4626900,35.34
"2007-03-15",38.42,39.13,38.3,38.96,2876200,35.77
"2007-03-16",38.96,39.19,38.11,39.02,4198600,35.82
"2007-03-19",39.33,39.67,39.17,39.47,2924500,36.24
"2007-03-20",39.43,39.99,39.4,39.94,3294500,36.67
"2007-03-21",39.94,41.37,39.76,41.21,3339000,37.83
"2007-03-22",41.21,41.28,40.69,40.72,3455500,37.38
"2007-03-23",40.77,40.9,40.65,40.81,2842600,37.47
"2007-03-26",40.49,40.97,40.02,40.95,2454200,37.59
"2007-03-27",40.72,40.94,40.5,40.6,2567200,37.27
"2007-03-28",40.61,40.61,40.11,40.26,3081100,36.96
"2007-03-29",40.39,40.77,40.25,40.56,2462100,37.24
"2007-03-30",40.65,40.77,40.28,40.55,2907000,37.23
"2007-04-02",40.47,40.49,39.98,40.41,2547300,37.1
"2007-04-03",40.65,40.97,40.61,40.78,2698800,37.44
"2007-04-04",40.89,40.89,40.41,40.73,2069100,37.39
"2007-04-05",40.66,40.87,40.43,40.81,1181500,37.47
"2007-04-09",40.79,41,40.58,40.96,1820000,37.6
"2007-04-10",40.96,41.14,40.85,40.97,1529900,37.61
"2007-04-11",41,41.05,40.35,40.53,2065700,37.21
"2007-04-12",40.53,40.53,40.11,40.5,2352700,37.18
"2007-04-13",41.16,41.16,40.11,40.71,3204600,37.37
"2007-04-16",41.03,41.93,40.96,41.59,3745700,38.18
"2007-04-17",41.7,42.32,41.39,41.57,6432000,38.16
"2007-04-18",41.57,42.11,41.4,41.45,4466100,38.05
"2007-04-19",41.66,41.66,40.94,41.08,4673100,37.71
"2007-04-20",41.35,41.78,41.2,41.5,5031800,38.1
"2007-04-23",41.5,41.5,40.98,41,2528500,37.84
"2007-04-24",41.01,41.11,40.52,40.61,3280400,37.48
"2007-04-25",40.9,40.99,40.64,40.9,3352700,37.75
"2007-04-26",40.78,41.03,40.61,40.83,2070000,37.68
"2007-04-27",40.7,40.86,40.39,40.81,2249600,37.67
"2007-04-30",40.9,41,40.44,40.48,3344300,37.36
"2007-05-01",40.63,40.83,40.15,40.4,2536000,37.29
"2007-05-02",40.34,41.01,40.32,40.88,1702800,37.73
"2007-05-03",40.99,41.19,40.77,41.18,1691000,38.01
"2007-05-04",41.27,41.49,41.12,41.27,1972500,38.09
"2007-05-07",41.58,41.64,41.3,41.4,1684900,38.21
"2007-05-08",41.22,41.4,41.03,41.11,1739200,37.94
"2007-05-09",41.1,41.45,40.98,41.26,1750600,38.08
