"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"2007-01-03",152.9,158.41,152.9,155.12,243200,130.52
"2007-01-04",155.25,157.83,153.5,156.79,248600,131.92
"2007-01-05",156.8,157.51,156.12,156.75,165500,131.89
"2007-01-08",158,159.79,156.6,159.64,260600,134.32
"2007-01-09",160,161.35,159.67,160.65,243200,135.17
"2007-01-10",160.45,164.92,158.9,164.9,293800,138.75
"2007-01-11",165.05,168.39,164.9,168.02,313500,141.37
"2007-01-12",167.02,173.89,167.02,172.5,427900,145.14
"2007-01-16",173,173.49,169.31,171.46,333200,144.27
"2007-01-17",171.98,175.1,171.31,173.19,210900,145.72
"2007-01-18",173.69,173.9,169.42,170.06,305700,143.09
"2007-01-19",170.6,170.6,168.88,169.68,159100,142.77
"2007-01-22",169.9,170.56,168.6,169.28,219600,142.43
"2007-01-23",175,176.9,168.7,176.15,786900,148.21
"2007-01-24",171.16,173.06,166.62,171.99,1242700,144.71
"2007-01-25",171.9,172.9,168.9,169.7,390900,142.79
"2007-01-26",169.02,170,167.51,169.17,303800,142.34
"2007-01-29",170.67,171.37,168.16,168.58,198000,141.84
"2007-01-30",168.83,169.06,165.66,168.12,428000,141.46
"2007-01-31",166.25,168.78,166,167.76,214700,141.15
"2007-02-01",169.5,170.98,167.98,169.32,303700,142.47
"2007-02-02",169.32,170,168.15,169.08,183600,142.26
"2007-02-05",169.89,171.26,169.42,170.65,293000,143.58
"2007-02-06",170.01,171.16,169.61,170.8,157900,143.71
"2007-02-07",171.95,172.73,171.18,172.54,243800,145.18
"2007-02-08",173.05,174.59,173.05,173.44,326700,145.93
"2007-02-09",176.86,180.3,172.7,173.68,324700,146.13
"2007-02-12",173.02,173.42,170.1,171.32,314700,144.15
"2007-02-13",172,172.6,170.07,170.51,183200,143.47
"2007-02-14",170.26,174.36,170.26,172.14,466400,144.84
"2007-02-15",171.9,176.11,170.75,175.59,419900,147.74
"2007-02-16",176.08,176.6,172.6,173.54,179300,146.02
"2007-02-20",173.9,175,172.85,174,219000,146.4
"2007-02-21",173.35,173.95,172.55,172.64,188800,145.26
