"","BLL.Open","BLL.High","BLL.Low","BLL.Close","BLL.Volume","BLL.Adjusted"
"2007-01-03",43.72,44.2,43.68,44.12,1300000,20.7
"2007-01-04",44.1,44.18,43.6,44.11,995200,20.69
"2007-01-05",44.07,44.07,43.51,43.91,969800,20.6
"2007-01-08",43.8,44.2,43.62,44.08,1560200,20.68
"2007-01-09",44.17,44.28,43.84,44.2,681600,20.73
"2007-01-10",44.1,44.68,44,44.63,705400,20.93
"2007-01-11",44.78,45.12,44.48,44.96,1115000,21.09
"2007-01-12",44.96,45.7,44.9,45.33,857200,21.26
"2007-01-16",45.32,45.71,45.2,45.27,984600,21.23
"2007-01-17",45.1,45.87,44.86,45.56,729800,21.37
"2007-01-18",45.7,46.8,45.7,45.94,1019600,21.55
"2007-01-19",45.83,46.3,45.73,46,767000,21.58
"2007-01-22",45.95,46.05,45.3,45.38,1006400,21.29
"2007-01-23",45.38,45.7,45.34,45.43,992600,21.31
"2007-01-24",45.38,45.6,45.2,45.5,1302600,21.34
"2007-01-25",46.45,47.55,45.7,45.96,1591600,21.56
"2007-01-26",46.12,46.53,46,46.27,2343000,21.7
"2007-01-29",46.15,46.58,45.88,46.43,1481600,21.78
"2007-01-30",46.39,46.42,45.78,45.83,1340000,21.5
"2007-01-31",45.83,46.49,45.8,46.32,1226000,21.73
"2007-02-01",46.34,46.99,46.32,46.56,1194000,21.84
"2007-02-02",46.72,46.87,46.23,46.72,885000,21.91
"2007-02-05",46.6,47.19,46.04,46.36,1038000,21.75
"2007-02-06",46.35,46.8,46.35,46.54,802400,21.83
"2007-02-07",45.89,46.58,45.89,46.25,721400,21.69
"2007-02-08",46.26,46.27,45.96,46.03,798000,21.59
"2007-02-09",45.9,46.23,45.61,45.67,647200,21.42
"2007-02-12",45.67,46.17,45.41,45.58,681000,21.38
"2007-02-13",45.7,47.04,45.7,46.61,1123800,21.86
"2007-02-14",46.7,47.11,46.62,46.77,1493200,21.94
"2007-02-15",46.63,47,46.5,46.72,687200,21.91
"2007-02-16",46.58,46.88,46.53,46.6,553600,21.86
"2007-02-20",46.69,47.09,46.45,46.92,917800,22.01
"2007-02-21",46.77,47.33,46.7,47.28,770400,22.18
"2007-02-22",47.26,47.59,46.59,46.93,583200,22.01
"2007-02-23",46.77,47.31,46.28,47.2,983600,22.14
"2007-02-26",47.21,47.91,47,47.19,1132800,22.14
"2007-02-27",46.84,46.91,45.28,45.59,1305400,21.43
"2007-02-28",45.6,46.62,45.33,46.32,1647400,21.77
"2007-03-01",45.76,46.36,44.67,45.98,1493200,21.61
"2007-03-02",45.92,46.11,45.53,45.54,961800,21.41
