"","BMC.Open","BMC.High","BMC.Low","BMC.Close","BMC.Volume","BMC.Adjusted"
"2007-01-03",32.26,33.8,32.25,33.53,4233300,2.83
"2007-01-04",33.65,35.12,33.49,35.07,3363800,2.96
"2007-01-05",35.15,35.25,34.57,34.92,2309700,2.95
"2007-01-08",35.1,35.84,34.51,34.8,3165800,2.94
"2007-01-09",34.98,35.1,34.36,34.64,1991000,2.92
"2007-01-10",34.49,35.2,34.29,34.98,1547000,2.95
"2007-01-11",35.15,35.31,34.7,34.8,1784700,2.94
"2007-01-12",34.9,35.09,34.55,34.7,1948500,2.93
"2007-01-16",34.93,35.41,34.71,34.86,1283200,2.94
"2007-01-17",34.75,35.3,34.44,35,1181300,2.95
"2007-01-18",35.04,35.06,33.51,33.8,1710300,2.85
"2007-01-19",33.9,34.32,33.51,33.96,1310900,2.86
"2007-01-22",33.87,34.17,33.3,33.99,1350500,2.87
"2007-01-23",33.84,34.58,33.69,34.32,1411700,2.9
"2007-01-24",34.45,35.05,34.39,34.97,1043800,2.95
"2007-01-25",35,35.13,33.79,33.83,2895500,2.85
"2007-01-26",34,34.28,33.4,34.07,1483100,2.87
"2007-01-29",33.3,34.25,33.22,34.1,1771100,2.88
"2007-01-30",34.24,34.43,33.92,34.42,1047300,2.9
"2007-01-31",34.46,34.55,34.1,34.39,1151100,2.9
"2007-02-01",34.8,35.37,34.75,35.26,2061700,2.97
"2007-02-02",35.27,35.83,35.27,35.73,1438600,3.01
"2007-02-05",35.63,35.84,35.18,35.63,1708700,3.01
"2007-02-06",35.67,36.25,35.65,36.22,2308600,3.06
"2007-02-07",36.16,36.92,35.59,35.89,3077300,3.03
"2007-02-08",35.85,35.98,35.04,35.28,3496800,2.98
"2007-02-09",33.35,33.9,32.25,32.94,7015400,2.78
"2007-02-12",32.82,32.94,31.04,31.18,7142600,2.63
"2007-02-13",31.02,32.1,30.93,32.01,4431900,2.7
"2007-02-14",32.15,32.67,32.02,32.44,2381000,2.74
"2007-02-15",32.45,32.45,31.66,31.86,3256000,2.69
"2007-02-16",31.56,31.94,31.25,31.76,2895900,2.68
"2007-02-20",31.55,32.57,31.5,32.53,2800700,2.74
"2007-02-21",32.29,32.62,32.05,32.5,1806800,2.74
"2007-02-22",32.69,32.82,32.15,32.21,1799900,2.72
"2007-02-23",32.04,32.1,31.81,32,2025300,2.7
"2007-02-26",32,32.1,31.81,31.83,1874500,2.69
"2007-02-27",31.83,31.84,29.64,30.3,3345200,2.56
