"","BMY.Open","BMY.High","BMY.Low","BMY.Close","BMY.Volume","BMY.Adjusted"
"2007-01-03",26.21,26.62,26.2,26.38,10475700,19.21
"2007-01-04",26.45,27.03,26.28,26.69,14768600,19.44
"2007-01-05",26.69,26.73,26.05,26.18,8008000,19.06
"2007-01-08",26.1,26.17,25.73,26.1,7905200,19.01
"2007-01-09",26.23,26.3,26.01,26.21,7512500,19.09
"2007-01-10",26.22,26.26,25.83,26.2,5725800,19.08
"2007-01-11",26.2,26.57,25.98,26.54,8267600,19.33
"2007-01-12",26.35,26.63,26.1,26.25,7610200,19.11
"2007-01-16",26.25,26.57,26.12,26.57,7935300,19.35
"2007-01-17",26.62,26.9,26.45,26.87,8494900,19.57
"2007-01-18",27,27.01,26.42,26.67,10848200,19.42
"2007-01-19",26.79,27,26.61,26.63,6868100,19.39
"2007-01-22",26.74,26.82,26.3,26.48,6429100,19.28
"2007-01-23",26.54,26.85,26.41,26.67,5426000,19.42
"2007-01-24",26.62,26.99,26.49,26.99,6132500,19.65
"2007-01-25",26.85,26.85,26.26,26.28,8048700,19.14
"2007-01-26",26.21,26.34,25.95,26.21,7875700,19.09
"2007-01-29",27.69,28.26,27.28,27.43,35127400,19.97
"2007-01-30",27.5,28.07,27.5,28.03,16439700,20.41
"2007-01-31",29.2,29.39,28.67,28.79,23928700,20.96
"2007-02-01",28.9,29.33,28.74,28.8,20395000,20.97
"2007-02-02",28.8,29,28.35,28.64,10047400,20.86
"2007-02-05",28.53,28.79,28.43,28.73,8442900,20.92
"2007-02-06",28.73,28.79,28.51,28.75,5852900,20.94
"2007-02-07",28.7,29,28.63,28.86,10288000,21.02
"2007-02-08",28.66,28.85,28.65,28.7,8456600,20.9
"2007-02-09",28.8,28.82,28.52,28.52,6869200,20.77
"2007-02-12",27.17,27.74,26.85,27.59,18885500,20.09
"2007-02-13",27.2,27.6,27.18,27.59,8130800,20.09
"2007-02-14",27.59,27.98,27.57,27.72,4989400,20.19
"2007-02-15",27.68,27.88,27.47,27.77,5945200,20.22
"2007-02-16",27.65,28.21,27.12,27.64,5404100,20.13
"2007-02-20",27.58,27.76,27.35,27.42,6675100,19.97
"2007-02-21",27.24,27.49,27.01,27.11,6486300,19.74
"2007-02-22",27.05,27.13,26.97,27.09,7332900,19.73
"2007-02-23",27.08,27.15,26.94,27.05,7586200,19.7
"2007-02-26",27.07,27.33,26.95,27.19,5234700,19.8
"2007-02-27",26.94,27.2,25.89,26.36,11040400,19.19
"2007-02-28",26.32,26.49,25.98,26.38,11185400,19.21
"2007-03-01",26.25,26.93,26,26.64,11603600,19.4
"2007-03-02",26.63,26.7,26.14,26.42,7660100,19.24
"2007-03-05",26.12,26.71,26.03,26.35,7258900,19.19
"2007-03-06",26.49,27.01,26.4,27.01,9456000,19.67
"2007-03-07",26.93,27.26,26.71,27.12,12805400,19.75
"2007-03-08",27.22,27.32,27.05,27.16,6877700,19.78
"2007-03-09",27.4,27.41,26.9,26.92,6013700,19.6
"2007-03-12",26.92,27.39,26.81,27.36,8308000,19.92
"2007-03-13",27.4,27.46,26.77,26.8,9374800,19.52
"2007-03-14",26.9,27.05,26.51,27.02,10967200,19.68
"2007-03-15",26.94,27.14,26.81,27.12,11287900,19.75
"2007-03-16",27.12,27.13,26.41,26.82,15345900,19.53
"2007-03-19",27,27.11,26.73,26.94,6752800,19.62
"2007-03-20",26.94,27.46,26.82,27.15,8330000,19.77
"2007-03-21",27.05,27.76,26.82,27.71,7754600,20.18
"2007-03-22",26.95,27.99,26.72,27.79,8088000,20.24
"2007-03-23",27.81,27.89,27.32,27.6,6830300,20.1
"2007-03-26",27.44,27.68,27.25,27.62,6169500,20.11
"2007-03-27",27.8,28,27.52,27.8,12306600,20.24
"2007-03-28",27.65,27.89,27.49,27.62,7590400,20.11
"2007-03-29",27.62,28.1,27.62,27.91,12482600,20.32
"2007-03-30",27.91,28.01,27.5,27.76,6999300,20.21
"2007-04-02",27.78,27.92,27.62,27.88,8365300,20.3
"2007-04-03",27.78,27.9,27.36,27.54,10302400,20.26
"2007-04-04",27.6,27.88,27.55,27.78,5134300,20.43
"2007-04-05",27.78,27.9,27.62,27.82,4415400,20.46
"2007-04-09",27.82,28.03,27.62,27.66,7785600,20.35
"2007-04-10",27.5,27.85,27.46,27.79,7040400,20.44
"2007-04-11",27.79,27.9,27.38,27.52,7813000,20.24
"2007-04-12",27.67,27.67,27.35,27.55,8250700,20.27
"2007-04-13",27.67,28.45,27.58,28.32,11719700,20.83
"2007-04-16",28.25,28.64,28.25,28.46,12666700,20.93
"2007-04-17",28.02,28.75,28.02,28.29,12517400,20.81
"2007-04-18",28.14,28.41,27.94,28.26,7580600,20.79
"2007-04-19",27.8,28.64,27,28.42,9034700,20.9
"2007-04-20",28.42,28.79,28.34,28.67,9090900,21.09
"2007-04-23",28.69,28.76,28.41,28.51,7520800,20.97
"2007-04-24",28.56,28.82,28.36,28.78,9172000,21.17
"2007-04-25",28.85,29.78,28.59,29.7,16178600,21.85
"2007-04-26",30.31,30.31,28.38,29.23,17205600,21.5
"2007-04-27",29.16,29.27,29,29.17,7379100,21.46
"2007-04-30",29.5,29.62,28.85,28.86,13422200,21.23
"2007-05-01",29.49,29.49,28.65,28.68,12052600,21.1
"2007-05-02",28.8,28.98,28.6,28.7,16447300,21.11
"2007-05-03",28.69,29.59,28.69,29.34,14715100,21.58
"2007-05-04",29.39,30.05,29.35,30.02,16667600,22.08
"2007-05-07",30,30.26,29.9,30.11,11322200,22.15
"2007-05-08",30,30.25,29.92,30.21,9576100,22.22
"2007-05-09",30.2,30.35,30.05,30.25,8073800,22.25
"2007-05-10",30.14,30.19,29.85,29.88,7616600,21.98
"2007-05-11",29.81,30.25,29.57,30.24,7105200,22.24
"2007-05-14",30.19,30.5,29.98,30.09,7455000,22.13
"2007-05-15",30.25,30.4,30.08,30.23,6376700,22.24
"2007-05-16",30.26,30.43,29.99,30.08,8775200,22.13
"2007-05-17",30.07,30.25,29.95,30.21,6328000,22.22
"2007-05-18",30.22,30.48,30.04,30.45,10017900,22.4
"2007-05-21",30.18,30.4,30.06,30.31,7053800,22.3
"2007-05-22",30.14,30.32,29.79,30.22,7812700,22.23
"2007-05-23",30.06,30.23,29.84,30,6584500,22.07
"2007-05-24",30.05,30.2,29.98,30.03,9163900,22.09
"2007-05-25",30.08,30.23,29.98,30.05,8800300,22.1
"2007-05-29",29.86,30.18,29.5,30.1,10197900,22.14
"2007-05-30",29.83,30.12,29.79,30.12,6793500,22.16
"2007-05-31",29.33,30.44,29.33,30.31,9614200,22.3
"2007-06-01",30.25,30.5,30,30.48,15206300,22.42
"2007-06-04",30.49,30.54,30.25,30.44,8478800,22.39
"2007-06-05",30.26,30.55,30.02,30.42,12240300,22.38
"2007-06-06",30.43,30.47,30.04,30.17,9065000,22.19
"2007-06-07",30.04,30.17,29.1,29.17,16400800,21.46
"2007-06-08",29.14,29.39,28.92,29.27,11698900,21.53
"2007-06-11",29.32,29.38,28.99,29.18,11226200,21.46
"2007-06-12",29.19,29.19,28.59,28.69,12941700,21.1
"2007-06-13",29.22,29.77,29.14,29.74,12929400,21.88
"2007-06-14",29.21,30.06,29.21,29.83,8046300,21.94
"2007-06-15",30.11,30.88,30.05,30.76,21569900,22.63
"2007-06-18",30.81,30.83,30.31,30.31,8301200,22.3
"2007-06-19",31.95,32.07,31.19,31.58,32479500,23.23
"2007-06-20",31.57,31.86,31.19,31.23,13916400,22.97
"2007-06-21",31.45,32.06,31.35,32.02,16107700,23.55
"2007-06-22",31.88,31.95,31.25,31.4,14227200,23.1
"2007-06-25",31.98,32.06,31.42,31.56,11582300,23.21
"2007-06-26",31.78,32.18,31.41,31.69,10737800,23.31
"2007-06-27",31.7,32.18,31.44,32.05,8804900,23.58
"2007-06-28",32.15,32.25,31.61,31.63,9137000,23.27
"2007-06-29",31.9,31.9,31.26,31.56,12019800,23.21
"2007-07-02",31.81,31.84,31.44,31.84,15487000,23.42
"2007-07-03",31.66,31.82,31.6,31.77,3655000,23.58
"2007-07-05",31.81,32.12,31.53,31.91,6650800,23.68
"2007-07-06",31.8,31.82,31.47,31.55,7164000,23.41
"2007-07-09",31.7,31.7,31.25,31.35,18812300,23.26
"2007-07-10",31.41,31.41,30.89,30.93,10515100,22.95
"2007-07-11",30.88,31.65,30.88,31.62,11920600,23.47
"2007-07-12",31.71,32.21,31.4,32.02,14945100,23.76
"2007-07-13",32,32.24,31.9,32.06,6529700,23.79
"2007-07-16",31.53,32.22,31.53,32.1,6213500,23.82
"2007-07-17",32.02,32.29,31.85,32.14,6427500,23.85
"2007-07-18",32.16,32.35,31.75,32.05,9710900,23.78
"2007-07-19",32.07,32.19,31.85,32.03,7846500,23.77
"2007-07-20",32.01,32.09,31.48,31.54,13414800,23.41
"2007-07-23",31.78,32.2,31.67,32.13,12280100,23.84
"2007-07-24",31.89,32.08,31.37,31.4,12329100,23.3
"2007-07-25",31.5,31.78,30.8,31.59,10996700,23.44
"2007-07-26",31.42,31.42,29.73,29.85,17656800,22.15
"2007-07-27",29.75,30.25,28.64,28.64,16329900,21.25
"2007-07-30",29,29.15,28.16,28.7,14315300,21.3
"2007-07-31",29,29.12,28.35,28.41,12500200,21.08
"2007-08-01",28.01,28.78,28.01,28.67,12170600,21.28
"2007-08-02",28.7,28.85,28.22,28.62,12335800,21.24
"2007-08-03",28.3,28.65,27.98,28,17583600,20.78
"2007-08-06",28.1,28.62,27.48,28.52,18577400,21.16
"2007-08-07",28.28,29.09,28.28,28.92,16377000,21.46
"2007-08-08",28.98,29.99,28.88,29.93,15548300,22.21
"2007-08-09",29.23,29.81,28,28.18,22675600,20.91
"2007-08-10",27.52,28.99,27.51,28.82,16790200,21.39
"2007-08-13",28.85,29.32,28.68,28.96,9847000,21.49
"2007-08-14",29.08,29.1,28.48,28.5,10694600,21.15
"2007-08-15",28.5,28.7,27.84,27.89,12297900,20.7
"2007-08-16",27.59,28.2,26.87,27.37,16993500,20.31
"2007-08-17",27.73,27.9,26.38,27.66,20240200,20.53
"2007-08-20",27.75,28.32,27.65,28.12,10993400,20.87
"2007-08-21",28.18,28.63,27.87,28.14,8557600,20.88
"2007-08-22",28.48,28.99,28.14,28.75,7151200,21.34
"2007-08-23",29.12,29.15,28.68,29,8565400,21.52
"2007-08-24",29.05,29.59,28.99,29.55,9021000,21.93
"2007-08-27",29.54,29.95,29.36,29.4,7483100,21.82
"2007-08-28",29.28,29.48,28.69,28.75,7442000,21.34
"2007-08-29",28.83,29.05,28.42,29.01,6708800,21.53
"2007-08-30",28.85,29.11,28.7,28.8,4908000,21.37
