"","BRK.B.Open","BRK.B.High","BRK.B.Low","BRK.B.Close","BRK.B.Volume","BRK.B.Adjusted"
"2007-01-03",3678,3686,3630,3643,27700,72.86
"2007-01-04",3643,3647,3603,3610,21400,72.2
"2007-01-05",3633,3633,3563,3578,18600,71.56
"2007-01-08",3591,3595,3575,3586,15200,71.72
"2007-01-09",3586,3652,3583,3650,12200,73
"2007-01-10",3650,3659,3615,3651,15500,73.02
"2007-01-11",3654,3670,3650,3670,11400,73.4
"2007-01-12",3670,3674,3655,3668,9200,73.36
"2007-01-16",3674,3682,3616,3619,16000,72.38
"2007-01-17",3619,3658,3619,3620.5,14600,72.41
"2007-01-18",3630,3650,3620.5,3633.5,10300,72.67
"2007-01-19",3640,3658,3631,3656,8400,73.12
"2007-01-22",3665,3667,3620,3640,13500,72.8
"2007-01-23",3640,3640,3615.5,3624,14400,72.48
"2007-01-24",3633,3634.5,3566,3581,25700,71.62
"2007-01-25",3600,3600,3570,3586,11200,71.72
"2007-01-26",3589,3590,3541,3545.5,15800,70.91
"2007-01-29",3552.5,3607,3551,3607,14600,72.14
"2007-01-30",3602,3636,3601,3636,15300,72.72
"2007-01-31",3654,3671.5,3630,3667.5,22300,73.35
"2007-02-01",3671.5,3690,3655,3681,13000,73.62
"2007-02-02",3684,3686,3620,3632,17800,72.64
"2007-02-05",3641,3641,3605,3624.5,11600,72.49
"2007-02-06",3624.5,3636,3601,3632,14600,72.64
"2007-02-07",3618,3633,3614,3624,14700,72.48
"2007-02-08",3604,3630,3604,3611,9900,72.22
"2007-02-09",3628,3641.5,3617.5,3635,14300,72.7
"2007-02-12",3647,3648,3614,3624,8200,72.48
"2007-02-13",3630,3636,3600,3610,9000,72.2
"2007-02-14",3620,3620,3600,3610,15900,72.2
"2007-02-15",3605,3619,3552,3560,26000,71.2
"2007-02-16",3590,3622,3563,3620,18400,72.4
"2007-02-20",3620,3647.5,3610,3633,9500,72.66
"2007-02-21",3624,3634.5,3577,3587,14200,71.74
"2007-02-22",3596,3609,3565,3575,8600,71.5
"2007-02-23",3575,3575,3547,3562,16800,71.24
"2007-02-26",3573,3575,3545,3558,17900,71.16
"2007-02-27",3545,3545,3460,3479,60700,69.58
"2007-02-28",3514,3542.5,3495,3523,31600,70.46
"2007-03-01",3514,3573,3493,3554,16000,71.08
"2007-03-02",3576,3590,3552,3562,13500,71.24
"2007-03-05",3550,3601,3525,3562,13600,71.24
"2007-03-06",3588,3592,3560,3576,12300,71.52
"2007-03-07",3572,3597.5,3572,3594,8800,71.88
"2007-03-08",3604,3633,3602,3633,11000,72.66
"2007-03-09",3640,3658,3633,3646,10600,72.92
"2007-03-12",3654,3654,3623.5,3644,11300,72.88
"2007-03-13",3623,3628,3586,3603,9800,72.06
"2007-03-14",3600,3600,3550,3562,20600,71.24
"2007-03-15",3579,3579,3548,3550,8500,71
"2007-03-16",3550,3563,3520,3532,12500,70.64
"2007-03-19",3536,3605.5,3536,3599,15300,71.98
"2007-03-20",3592,3602,3555,3599,14500,71.98
"2007-03-21",3600,3644,3575,3644,20200,72.88
"2007-03-22",3647,3649,3605,3609,7000,72.18
"2007-03-23",3595,3627,3593,3600.5,8000,72.01
"2007-03-26",3613,3613,3595,3603.5,8900,72.07
"2007-03-27",3610,3610,3570.5,3605,11200,72.1
"2007-03-28",3590,3612,3576.5,3604,12900,72.08
"2007-03-29",3612,3612,3588,3603.5,7500,72.07
"2007-03-30",3607,3640,3598,3640,8600,72.8
"2007-04-02",3610,3619,3586,3603,14000,72.06
"2007-04-03",3608,3639.5,3605,3618,7800,72.36
"2007-04-04",3618,3629,3605,3629,4800,72.58
"2007-04-05",3630,3638,3620,3626,6000,72.52
"2007-04-09",3633,3638,3621,3635,11300,72.7
"2007-04-10",3637,3667,3633,3665,8800,73.3
"2007-04-11",3665,3665,3641,3654,10300,73.08
"2007-04-12",3635,3660,3635,3660,8600,73.2
"2007-04-13",3660,3660,3652,3660,7500,73.2
"2007-04-16",3658,3667.5,3650.5,3667.5,11200,73.35
"2007-04-17",3667.5,3667.5,3651,3667,13400,73.34
"2007-04-18",3662,3667,3644,3645,16600,72.9
"2007-04-19",3649,3655,3625,3633,11200,72.66
"2007-04-20",3653,3653,3622.5,3628,11100,72.56
"2007-04-23",3630,3652.5,3630,3636,13400,72.72
"2007-04-24",3650,3650,3615,3624,15800,72.48
"2007-04-25",3635,3640,3605,3620,15600,72.4
"2007-04-26",3625,3639,3620,3628,9200,72.56
"2007-04-27",3630,3636,3621.5,3629.5,5600,72.59
"2007-04-30",3642,3642,3616,3628,8600,72.56
"2007-05-01",3634,3634,3594,3606,17400,72.12
"2007-05-02",3606,3621,3606,3619,8000,72.38
"2007-05-03",3630,3630,3600,3618,12000,72.36
"2007-05-04",3625,3650,3623.5,3631,10800,72.62
"2007-05-07",3654,3679.5,3641.5,3679,15500,73.58
"2007-05-08",3675,3675,3612,3618,18500,72.36
"2007-05-09",3622,3642,3622,3637,19800,72.74
"2007-05-10",3645,3647,3636,3637,15800,72.74
"2007-05-11",3636,3674,3635.5,3668,9900,73.36
"2007-05-14",3655,3663,3630,3640,11800,72.8
"2007-05-15",3640,3656,3631,3633,7200,72.66
"2007-05-16",3635,3648,3622,3630,13800,72.6
"2007-05-17",3635,3635,3611,3613,12900,72.26
"2007-05-18",3615,3615,3590,3604.5,28200,72.09
"2007-05-21",3610,3631,3604.5,3631,14900,72.62
"2007-05-22",3634,3660,3631.5,3643.5,15100,72.87
"2007-05-23",3640,3649,3628.5,3639,6900,72.78
"2007-05-24",3633,3638.5,3614,3622.5,9400,72.45
"2007-05-25",3618,3660,3612.5,3660,9500,73.2
"2007-05-29",3649,3649,3623,3634,8000,72.68
"2007-05-30",3625,3633,3618,3628,8800,72.56
"2007-05-31",3635,3637,3622,3625,6500,72.5
"2007-06-01",3630,3650,3620,3635,18700,72.7
"2007-06-04",3631,3649,3630,3644.5,7900,72.89
"2007-06-05",3646,3646,3614,3619,15100,72.38
"2007-06-06",3610,3623,3604,3606,13000,72.12
"2007-06-07",3603,3627,3602,3627,21400,72.54
"2007-06-08",3620,3632,3606,3612,13600,72.24
"2007-06-11",3612,3631.5,3612,3631.5,8000,72.63
"2007-06-12",3624,3626,3615,3618,12600,72.36
"2007-06-13",3620,3625,3615,3625,8400,72.5
"2007-06-14",3615,3625,3612,3621,6900,72.42
"2007-06-15",3621,3635,3621,3622,12500,72.44
"2007-06-18",3625,3625,3613,3614,7400,72.28
"2007-06-19",3614,3629,3612,3628.5,11600,72.57
"2007-06-20",3628.5,3633,3610,3611.5,11100,72.23
"2007-06-21",3613,3620,3581,3594,16800,71.88
"2007-06-22",3575,3589.5,3565,3578,10100,71.56
"2007-06-25",3565,3572,3540,3553,10700,71.06
"2007-06-26",3553,3574,3538,3540.5,9300,70.81
"2007-06-27",3541,3560,3539,3560,6200,71.2
"2007-06-28",3580,3607,3556,3592,8100,71.84
"2007-06-29",3582,3605,3582,3605,9700,72.1
"2007-07-02",3615,3625,3605.5,3624.5,7800,72.49
"2007-07-03",3626,3640,3626,3637,3500,72.74
"2007-07-05",3639,3668,3637,3668,11700,73.36
"2007-07-06",3673,3705,3668,3705,9500,74.1
"2007-07-09",3712,3723,3702,3714,11800,74.28
"2007-07-10",3719,3723,3693,3704,9900,74.08
"2007-07-11",3709,3709,3671,3690,6100,73.8
"2007-07-12",3688,3689,3665,3677.5,9500,73.55
"2007-07-13",3670,3677.5,3657,3677.5,9000,73.55
"2007-07-16",3681,3682,3647,3654,12700,73.08
"2007-07-17",3654,3669,3641,3663,6200,73.26
"2007-07-18",3660,3667,3643,3649,15000,72.98
"2007-07-19",3647,3662,3629,3638,13700,72.76
"2007-07-20",3638,3653,3627,3642.5,10600,72.85
"2007-07-23",3635,3642,3625,3638.5,9400,72.77
"2007-07-24",3635,3645,3625.5,3636,10000,72.72
"2007-07-25",3649,3653,3628,3638.5,10800,72.77
"2007-07-26",3638.5,3643,3558,3595.5,35900,71.91
"2007-07-27",3610,3630,3593,3615,14200,72.3
"2007-07-30",3635,3635,3586,3599,12200,71.98
"2007-07-31",3602,3607,3590,3604,11800,72.08
"2007-08-01",3598,3614,3590,3599.5,7100,71.99
"2007-08-02",3599,3605,3587,3588,7700,71.76
"2007-08-03",3596,3604.5,3580,3599,23300,71.98
"2007-08-06",3630,3678.5,3596.5,3670,33600,73.4
"2007-08-07",3671,3692,3650.5,3692,23300,73.84
"2007-08-08",3699,3714,3676,3687,14200,73.74
"2007-08-09",3677,3677,3627,3643,18800,72.86
"2007-08-10",3600,3636,3590,3625,23500,72.5
"2007-08-13",3645,3686,3639,3639,8600,72.78
"2007-08-14",3639,3660,3618,3628.5,12600,72.57
"2007-08-15",3618,3681,3608,3655,12300,73.1
"2007-08-16",3669,3797,3665,3791.5,43500,75.83
"2007-08-17",3775,3950,3765,3948,25800,78.96
"2007-08-20",3960,3970,3885,3962,20700,79.24
"2007-08-21",3989,3999,3937,3982.5,22100,79.65
"2007-08-22",4000,4000,3913,3939,19800,78.78
"2007-08-23",3938,3973,3920,3945,11200,78.9
