"","BWA.Open","BWA.High","BWA.Low","BWA.Close","BWA.Volume","BWA.Adjusted"
"2007-01-03",59.27,59.89,58.95,59.57,1459600,14.39
"2007-01-04",59.57,60.05,58.71,59.26,986000,14.32
"2007-01-05",58.38,58.96,58.34,58.6,740400,14.16
"2007-01-08",58.49,58.77,58.03,58.7,910800,14.18
"2007-01-09",58.77,58.9,58.35,58.87,1375200,14.22
"2007-01-10",58.56,59.05,58.1,59,845200,14.26
"2007-01-11",59.11,65.28,58.76,65.28,9568000,15.77
"2007-01-12",64.56,65,63.65,64.21,3958400,15.51
"2007-01-16",64.29,65.4,64.01,64.87,2351200,15.67
"2007-01-17",64.55,65.24,64.34,64.94,1796400,15.69
"2007-01-18",64.37,65.35,64.12,64.74,963600,15.64
"2007-01-19",64.15,65.55,64.01,65.42,2962800,15.81
"2007-01-22",65.17,66.74,64.81,66.49,3346400,16.07
"2007-01-23",66,67.29,65.79,66.82,2943600,16.14
"2007-01-24",69.44,69.8,68.16,68.76,4064800,16.61
"2007-01-25",68.35,68.63,67.51,67.87,1805200,16.4
"2007-01-26",66.9,67.51,65.9,67.36,1862800,16.28
"2007-01-29",67.47,68.34,67.12,68.07,1420400,16.45
"2007-01-30",68.3,68.32,67.32,67.95,1168400,16.46
"2007-01-31",68.1,68.6,66.9,68.54,1392400,16.6
"2007-02-01",68.81,70.12,68.81,69.75,1973600,16.89
"2007-02-02",69.55,69.65,68.68,69.26,1478000,16.78
"2007-02-05",69.95,70.48,69.39,69.74,1748000,16.89
"2007-02-06",69.72,70.12,69.66,70,2258400,16.96
"2007-02-07",69.91,70.64,69.39,70.01,1717200,16.96
"2007-02-08",71.3,75.98,71.18,74.4,8866400,18.02
"2007-02-09",74.4,75.64,73.95,74.94,3989200,18.15
"2007-02-12",74.7,75.08,73.51,74.4,3013200,18.02
"2007-02-13",74.46,75.13,74.1,75.13,2292800,18.2
"2007-02-14",75.13,75.65,75,75.58,2608800,18.31
"2007-02-15",76,76.81,75.32,76.58,2145600,18.55
"2007-02-16",76.58,76.8,76.15,76.62,2330400,18.56
"2007-02-20",76.5,77.97,75.72,77.6,2666400,18.8
"2007-02-21",77.56,78.18,77.2,77.66,1971600,18.81
"2007-02-22",77.8,77.8,76.51,77.16,1976000,18.69
"2007-02-23",77.24,78.2,76.77,78.08,3425600,18.91
"2007-02-26",78.3,78.62,76.61,76.93,2485600,18.63
"2007-02-27",75.8,76.59,72.95,73.88,3460400,17.9
"2007-02-28",73.72,74.25,73.25,73.64,2044800,17.84
"2007-03-01",73.64,74.43,72.66,73.78,1485600,17.87
"2007-03-02",73.68,73.74,72.84,72.97,1800400,17.67
"2007-03-05",72.25,73.54,72.25,72.76,2573200,17.62
"2007-03-06",74.35,74.35,72.8,73.86,1227600,17.89
"2007-03-07",74.04,75,73.76,74.15,1032800,17.96
"2007-03-08",74.55,75.56,74.51,75.02,1899200,18.17
"2007-03-09",75.71,76.1,74.55,74.66,1161200,18.08
"2007-03-12",74.75,75.02,74.21,75,1530800,18.17
"2007-03-13",74.7,74.7,72.89,73.01,933600,17.68
"2007-03-14",72.09,73.3,71.92,72.87,1108400,17.65
"2007-03-15",72.9,73.68,72.73,73.31,861200,17.76
"2007-03-16",73.31,73.61,72.77,73.13,803200,17.71
"2007-03-19",73.6,74.61,73.52,74.5,689200,18.05
"2007-03-20",74.55,75.87,74.55,75.8,1352000,18.36
"2007-03-21",75.85,76.86,75.48,76.63,854800,18.56
"2007-03-22",76.75,76.95,75.76,76.57,1852000,18.55
"2007-03-23",76.57,77,76.45,76.52,765200,18.53
"2007-03-26",76.76,77.14,76.27,76.94,1469600,18.64
"2007-03-27",76.75,76.81,76,76.45,1456000,18.52
"2007-03-28",76.46,76.46,75.51,75.76,1176400,18.35
