"","C.Open","C.High","C.Low","C.Close","C.Volume","C.Adjusted"
"2007-01-03",55.66,56.28,54.72,55.25,2282100,498
"2007-01-04",55.25,56.15,54.72,55.06,1658700,496.28
"2007-01-05",55,55.05,54.46,54.77,1317900,493.67
"2007-01-08",54.6,55.15,54.3,55.05,1236900,496.19
"2007-01-09",55.01,55.15,54.19,54.57,1963000,491.87
"2007-01-10",54.27,54.49,53.95,54.13,1744900,487.9
"2007-01-11",54.27,54.39,53.8,54.17,1447800,488.26
"2007-01-12",54.02,54.55,54,54.38,1843000,490.15
"2007-01-16",54.63,54.81,54.34,54.77,1255200,493.67
"2007-01-17",55,55.08,54.28,54.39,1404500,490.24
"2007-01-18",54.5,54.71,54.07,54.39,1761500,490.24
"2007-01-19",54,54.51,53.5,54.5,2395600,491.24
"2007-01-22",55.17,55.53,54.66,54.68,2808200,492.86
"2007-01-23",54.65,54.8,54.3,54.49,1626500,491.15
"2007-01-24",54.5,54.84,54.27,54.83,1506400,494.21
"2007-01-25",54.7,54.88,53.84,53.93,1902700,486.1
"2007-01-26",53.93,54.67,53.52,54.67,2110100,492.77
"2007-01-29",54.45,54.6,53.95,54.06,2220700,487.27
"2007-01-30",53.9,54.32,53.8,54.27,1692100,489.16
"2007-01-31",54.03,55.29,54.02,55.13,1815600,496.91
"2007-02-01",55.13,55.16,54.3,54.73,1875500,498.19
"2007-02-02",54.73,54.94,54.32,54.66,1258600,497.55
"2007-02-05",54.55,55.19,54.41,54.75,1658800,498.37
"2007-02-06",54.75,55.5,54.72,54.95,1553600,500.19
"2007-02-07",54.94,55.19,54.83,54.95,1199300,500.19
"2007-02-08",54.72,54.78,54.15,54.44,1399400,495.55
"2007-02-09",54.4,54.49,53.29,53.4,1923000,486.08
"2007-02-12",53.49,53.91,53.2,53.43,1530800,486.35
"2007-02-13",53.53,53.85,53.5,53.71,1305200,488.9
"2007-02-14",53.86,54.44,53.74,54.18,1416200,493.18
"2007-02-15",54.2,54.52,54.04,54.21,1370800,493.46
"2007-02-16",54.08,54.15,53.78,54.1,1725500,492.45
"2007-02-20",54.17,54.65,54.09,54.19,1610600,493.27
"2007-02-21",54.01,54.15,53.59,53.75,1491600,489.27
"2007-02-22",53.95,54.09,53.42,53.59,1909300,487.81
"2007-02-23",53.67,54.03,53.15,53.77,1773700,489.45
"2007-02-26",53.9,54.19,52.18,52.68,3559700,479.53
"2007-02-27",52.12,52.77,50.05,50.6,3161600,460.59
"2007-02-28",51,51.02,49.56,50.37,4673600,458.5
"2007-03-01",49.75,51.45,49.6,51.08,3672400,464.96
"2007-03-02",50.92,51.21,49.85,49.97,2617300,454.86
"2007-03-05",49.6,50.55,49.18,49.25,2491600,448.31
"2007-03-06",49.85,50.84,49.55,50.58,2686800,460.41
"2007-03-07",50.6,51.1,50.17,50.22,2080600,457.14
"2007-03-08",50.62,51.24,50.31,50.5,1783100,459.68
"2007-03-09",50.91,50.95,50,50.33,1570100,458.14
"2007-03-12",50.11,50.65,50.1,50.36,1098900,458.41
"2007-03-13",50.01,50.09,48.75,48.75,2928700,443.75
"2007-03-14",48.8,49.32,48.05,49.08,3044100,446.76
"2007-03-15",49.1,50.17,49.06,50.13,2929300,456.32
"2007-03-16",50.01,50.38,49.19,49.53,3081400,450.85
"2007-03-19",49.81,50.1,49.7,50.06,1681400,455.68
"2007-03-20",50.06,50.94,49.92,50.64,1644500,460.96
"2007-03-21",50.49,52.5,50.44,52.03,2927000,473.61
"2007-03-22",51.9,52.2,51.69,51.84,2074200,471.88
"2007-03-23",51.8,52.06,51.43,51.72,1514300,470.79
"2007-03-26",52,52.01,51.06,51.54,2086900,469.15
"2007-03-27",51.21,51.65,51,51.06,1711200,464.78
"2007-03-28",51.18,51.65,50.81,50.96,2323600,463.87
"2007-03-29",51.3,51.59,51.03,51.4,1781600,467.88
"2007-03-30",51.5,51.94,50.92,51.34,1991300,467.33
"2007-04-02",51.31,51.5,50.41,51.05,1881300,464.69
"2007-04-03",51.17,51.66,51.16,51.41,2045200,467.97
"2007-04-04",51.49,51.52,51.14,51.36,1533000,467.51
"2007-04-05",51.21,51.76,51.05,51.57,1034000,469.42
"2007-04-09",51.8,51.82,51.36,51.58,1152600,469.52
"2007-04-10",51.6,52.51,51.35,52.4,2153600,476.98
"2007-04-11",52.41,52.48,51.34,51.8,2428000,471.52
"2007-04-12",51.8,51.81,51.32,51.65,2271000,470.15
"2007-04-13",51.8,51.8,51.35,51.6,1690100,469.7
"2007-04-16",52.26,53.59,52.25,52.93,3277200,481.8
"2007-04-17",53,53.05,52.36,52.53,2253700,478.16
"2007-04-18",52.72,53.3,52.65,52.99,2618800,482.35
"2007-04-19",52.71,53.47,52.65,53.09,2244000,483.26
"2007-04-20",53.74,53.75,52.91,53.42,2658800,486.26
"2007-04-23",53.33,53.64,52.9,53.11,1514800,483.44
"2007-04-24",53.25,53.3,52.37,52.81,1895700,480.71
"2007-04-25",52.99,53.94,52.78,53.8,2675300,489.72
"2007-04-26",53.79,53.85,53.27,53.56,2474200,487.54
"2007-04-27",53.45,53.55,53.15,53.37,1315900,485.81
"2007-04-30",53.64,54.71,53.48,53.62,3049600,488.08
"2007-05-01",53.8,54.32,53.74,54.2,2098900,493.36
"2007-05-02",54.45,54.45,54.07,54.3,1934600,494.27
"2007-05-03",53.95,54.1,53.55,53.95,1622800,496.02
"2007-05-04",54.1,54.56,53.95,54.09,1770200,497.31
"2007-05-07",53.97,54.4,53.72,53.88,1603000,495.38
"2007-05-08",53.75,54,53.48,53.72,1539300,493.91
"2007-05-09",53.63,54.15,53.43,54.12,2077100,497.58
"2007-05-10",53.77,54.05,53.18,53.2,2086500,489.13
"2007-05-11",53.21,53.76,52.9,53.11,7673300,488.3
"2007-05-14",53.18,53.3,52.58,52.86,2398500,486
"2007-05-15",53.03,53.24,52.74,52.79,2467700,485.36
"2007-05-16",53.8,55.04,53.5,54.91,6452400,504.85
"2007-05-17",54.89,55.19,53.95,54.8,2236900,503.84
"2007-05-18",55,55.55,54.74,55,2102100,505.67
"2007-05-21",55.18,55.2,54.74,54.84,2331700,504.2
"2007-05-22",54.88,55.33,54.52,55.08,2128000,506.41
"2007-05-23",55.12,55.53,54.85,55.01,1897000,505.77
"2007-05-24",55.24,55.52,54.74,54.93,2243100,505.03
"2007-05-25",54.96,55.16,54.48,55.12,1353900,506.78
"2007-05-29",55.42,55.42,54.62,54.91,1592100,504.85
"2007-05-30",54.77,55.24,54.55,55.2,1420000,507.51
"2007-05-31",55.11,55.2,54.31,54.49,1954200,500.99
"2007-06-01",54.67,54.75,54.28,54.51,1736400,501.17
"2007-06-04",54.44,54.44,53.95,54.15,1572000,497.86
"2007-06-05",54.1,54.14,53.67,53.9,1443600,495.56
"2007-06-06",53.61,53.9,53.1,53.33,1939700,490.32
"2007-06-07",53.25,53.75,52.47,52.52,2253700,482.87
"2007-06-08",52.52,53.37,52.3,53.33,2264200,490.32
"2007-06-11",53.2,53.77,52.81,53.47,1458100,491.61
"2007-06-12",53.3,53.74,52.6,52.6,2056300,483.61
"2007-06-13",52.81,53.73,52.75,53.68,2318400,493.54
"2007-06-14",53.61,54.22,53.57,53.67,1718300,493.45
"2007-06-15",54.02,54.32,53.72,53.98,2697000,496.3
"2007-06-18",54.33,54.49,53.95,53.96,1204700,496.11
"2007-06-19",53.96,54.39,53.95,54.26,1825700,498.87
