"","CBS.Open","CBS.High","CBS.Low","CBS.Close","CBS.Volume","CBS.Adjusted"
"2007-01-03",31.15,31.85,31.1,31.6,3188900,25.9
"2007-01-04",31.4,31.63,30.83,31.33,3999900,25.68
"2007-01-05",31.37,31.4,30.77,30.89,6480300,25.32
"2007-01-08",30.83,31.05,30.57,31.05,3138400,25.45
"2007-01-09",31.2,31.33,30.74,30.89,3249400,25.32
"2007-01-10",30.75,31.2,30.71,31.16,2747200,25.54
"2007-01-11",31.16,31.4,31.09,31.2,2577900,25.57
"2007-01-12",31.24,31.68,31.22,31.62,3285600,25.91
"2007-01-16",31.71,31.75,31.21,31.48,4259100,25.8
"2007-01-17",31.45,31.62,31.34,31.41,2874400,25.74
"2007-01-18",31.66,31.91,31.43,31.47,3616700,25.79
"2007-01-19",31.47,31.53,31.2,31.51,2144700,25.82
"2007-01-22",31.51,31.64,31.23,31.34,3429400,25.68
"2007-01-23",31.4,31.68,31.29,31.6,2625800,25.9
"2007-01-24",31.49,31.55,31.25,31.34,2323600,25.68
"2007-01-25",31.2,31.36,30.68,30.71,2751500,25.17
"2007-01-26",31,31.12,30.5,30.62,3793600,25.09
"2007-01-29",30.8,31.01,30.62,30.8,2094000,25.24
"2007-01-30",30.75,31.05,30.6,31.02,2132400,25.42
"2007-01-31",31.05,31.35,30.92,31.17,1978300,25.54
"2007-02-01",31.65,31.65,31.09,31.44,3031500,25.77
"2007-02-02",31.44,31.6,31.28,31.35,3389800,25.69
"2007-02-05",31.3,31.61,31.09,31.56,2078800,25.86
"2007-02-06",31.75,31.76,31.41,31.59,1763100,25.89
"2007-02-07",31.59,31.83,31.5,31.79,1961400,26.05
"2007-02-08",31.79,32.11,31.77,32.09,2520800,26.3
"2007-02-09",32.04,32.22,31.53,31.68,2255700,25.96
"2007-02-12",31.9,32,31.28,31.31,2145700,25.66
"2007-02-13",31.45,31.93,31.31,31.88,2220100,26.13
"2007-02-14",31.98,32.27,31.95,31.99,2876200,26.22
"2007-02-15",32.05,32.15,31.74,31.88,2284200,26.13
"2007-02-16",31.75,31.93,31.61,31.81,2299400,26.07
"2007-02-20",31.87,32.01,31.6,31.95,1561300,26.18
"2007-02-21",31.9,32,31.66,31.7,4648200,25.98
"2007-02-22",31.75,31.81,31.35,31.55,2669400,25.86
"2007-02-23",31.52,31.53,31.12,31.32,2343300,25.67
"2007-02-26",31.32,31.56,31.29,31.4,2122500,25.73
"2007-02-27",31.7,31.8,28.45,30.24,7176200,24.78
"2007-02-28",30.6,30.89,30.24,30.37,8451500,24.89
"2007-03-01",30.35,30.35,29.58,29.97,7036800,24.56
"2007-03-02",29.9,30,29.5,29.54,3820000,24.21
"2007-03-05",29.32,29.73,29.01,29.62,5191000,24.46
"2007-03-06",29.71,31.05,29.71,30.94,10011800,25.55
"2007-03-07",30.8,31.08,30.49,30.58,5314000,25.25
"2007-03-08",30.83,30.95,30.45,30.48,4469100,25.17
"2007-03-09",30.61,30.88,30.49,30.67,3071000,25.32
"2007-03-12",30.85,31.33,30.7,31.29,5663300,25.84
"2007-03-13",31.16,31.21,30.53,30.56,4123800,25.23
"2007-03-14",30.7,30.92,30.23,30.5,3907400,25.18
"2007-03-15",30.4,30.47,30.01,30.04,5647100,24.8
"2007-03-16",30.04,30.21,29.86,30.21,8266200,24.94
"2007-03-19",30.45,30.66,30.28,30.65,4076200,25.31
"2007-03-20",30.67,30.73,30.46,30.49,5022500,25.18
"2007-03-21",30.4,30.79,30.19,30.67,4208400,25.32
