"","CCE.Open","CCE.High","CCE.Low","CCE.Close","CCE.Volume","CCE.Adjusted"
"2007-01-03",20.53,20.68,20.41,20.5,1542600,12.33
"2007-01-04",20.4,20.48,20.12,20.4,2646700,12.27
"2007-01-05",20.33,20.44,20.27,20.4,1807500,12.27
"2007-01-08",20.45,20.57,20.28,20.5,1906100,12.33
"2007-01-09",20.53,20.61,20.49,20.57,2125800,12.37
"2007-01-10",20.48,20.82,20.42,20.8,2206400,12.51
"2007-01-11",20.87,21.22,20.81,21.13,2458000,12.71
"2007-01-12",21.11,21.21,20.81,21.02,3103900,12.65
"2007-01-16",21,21.1,20.86,20.99,3690100,12.63
"2007-01-17",21.2,21.2,20.85,21.04,1137700,12.66
"2007-01-18",21.05,21.05,20.73,20.8,2706700,12.51
"2007-01-19",20.8,20.82,20.62,20.78,2794200,12.5
"2007-01-22",20.87,20.96,20.77,20.88,2408700,12.56
"2007-01-23",20.85,20.87,20.75,20.8,2113000,12.51
"2007-01-24",20.79,20.89,20.75,20.85,1192600,12.54
"2007-01-25",20.81,20.96,20.67,20.93,2444200,12.59
"2007-01-26",20.9,20.98,20.68,20.71,3116700,12.46
"2007-01-29",20.72,20.83,20.62,20.68,1637800,12.44
"2007-01-30",20.64,20.7,20.56,20.64,1699900,12.42
"2007-01-31",20.66,20.67,20.51,20.52,1798500,12.34
"2007-02-01",20.52,20.65,20.48,20.56,2306600,12.37
"2007-02-02",20.56,20.72,20.45,20.61,1731600,12.4
"2007-02-05",20.63,20.63,20.43,20.52,1419300,12.34
"2007-02-06",20.55,20.6,20.44,20.47,2460600,12.31
"2007-02-07",20.55,20.55,20.37,20.43,3093100,12.29
"2007-02-08",20.46,20.55,20.35,20.43,1472600,12.29
"2007-02-09",20.45,20.57,20.2,20.3,3084800,12.21
"2007-02-12",20.26,20.68,20.26,20.53,3612300,12.35
"2007-02-13",20.54,21.06,20.54,20.95,8392800,12.6
"2007-02-14",21.1,21.25,21,21.03,4148400,12.65
"2007-02-15",20.99,21.03,20.79,20.86,2561100,12.55
"2007-02-16",20.71,20.85,20.58,20.71,3588500,12.46
"2007-02-20",20.71,20.71,20.49,20.54,2563000,12.36
"2007-02-21",20.48,20.72,20.43,20.63,2050700,12.41
"2007-02-22",20.69,20.73,20.37,20.48,2413200,12.32
"2007-02-23",20.43,20.54,20.36,20.43,1240600,12.29
"2007-02-26",20.41,20.64,20.37,20.63,1768100,12.41
"2007-02-27",20.58,20.65,20.09,20.24,4232800,12.18
"2007-02-28",20.2,20.28,20.05,20.08,2852700,12.08
"2007-03-01",19.96,20.11,19.78,20.02,3821900,12.04
"2007-03-02",20.01,20.18,19.95,20.06,2182300,12.07
"2007-03-05",20.01,20.16,19.97,20.01,2319900,12.04
"2007-03-06",20.06,20.22,20.01,20.11,1901400,12.1
"2007-03-07",20.05,20.28,19.97,20.07,3414300,12.07
"2007-03-08",20.13,20.24,20.07,20.19,1391800,12.15
"2007-03-09",20.2,20.28,20.13,20.25,2045900,12.18
"2007-03-12",20.17,20.43,20.15,20.4,2112200,12.27
"2007-03-13",20.31,20.4,20.19,20.22,1857600,12.16
"2007-03-14",20.18,20.22,20.02,20.15,2075600,12.16
