"","CCL.Open","CCL.High","CCL.Low","CCL.Close","CCL.Volume","CCL.Adjusted"
"2007-01-03",50.53,51.2,50.35,50.95,4324900,41.77
"2007-01-04",51.05,51.32,50.57,50.87,2776100,41.71
"2007-01-05",50.63,50.63,49.75,49.88,2033200,40.89
"2007-01-08",50.11,50.44,49.69,49.86,2703100,40.88
"2007-01-09",50.3,50.66,50.15,50.43,2225700,41.34
"2007-01-10",50.24,50.55,50.1,50.25,2236800,41.2
"2007-01-11",51.1,51.25,50.57,50.8,4420300,41.65
"2007-01-12",51.12,51.28,50.6,50.91,2209200,41.74
"2007-01-16",51.27,51.6,50.87,50.95,2896400,41.77
"2007-01-17",51.4,51.69,50.83,51.33,3421400,42.08
"2007-01-18",52.4,52.5,51.48,51.95,3622300,42.59
"2007-01-19",52.47,52.73,52.05,52.39,4195600,42.95
"2007-01-22",52.36,52.55,51.85,52.18,2305000,42.78
"2007-01-23",52.15,52.35,51.55,51.99,2659200,42.62
"2007-01-24",52,52.42,51.83,52.26,3507700,42.84
"2007-01-25",52.05,52.29,51.31,51.68,3394000,42.37
"2007-01-26",52.12,52.22,51.65,51.96,3142100,42.6
"2007-01-29",52.01,52.1,51.75,51.99,1892600,42.62
"2007-01-30",52.05,52.2,51.96,52.15,1762100,42.75
"2007-01-31",51.49,51.69,51.22,51.56,4057600,42.27
"2007-02-01",52.09,52.21,51.6,52.15,2741900,42.75
"2007-02-02",52.01,52.41,51.69,51.77,3375800,42.44
"2007-02-05",51,51.25,50.27,50.78,3342300,41.63
"2007-02-06",50.15,50.15,48.87,49.27,5755900,40.39
"2007-02-07",49.44,50.34,49.04,49.89,5271000,40.9
"2007-02-08",49.46,49.79,49.19,49.57,2091600,40.64
"2007-02-09",49.55,49.74,48.25,48.45,2538500,39.72
"2007-02-12",48.94,49.1,48.51,48.66,1632100,39.89
"2007-02-13",48.72,49.15,48.56,48.76,2622000,39.98
"2007-02-14",48.72,49.02,48.58,48.93,2145700,40.34
"2007-02-15",48.83,48.92,48.46,48.66,1736000,40.12
"2007-02-16",48.18,48.45,48.03,48.36,2056500,39.87
"2007-02-20",48.66,48.95,48.15,48.9,2020000,40.32
"2007-02-21",48.9,48.9,48.04,48.66,1859900,40.12
"2007-02-22",48.53,48.98,48.39,48.63,1633200,40.09
"2007-02-23",48.16,48.33,47.61,47.61,2828600,39.25
"2007-02-26",47.77,47.91,47.18,47.35,2264000,39.04
"2007-02-27",46.51,47.03,45.85,46.23,5079900,38.12
"2007-02-28",45.92,46.55,45.75,46.44,3356300,38.29
"2007-03-01",45.94,46.55,45.4,46.09,3910100,38
"2007-03-02",45.54,46.18,45.54,45.7,3974500,37.68
"2007-03-05",45,45.41,44.91,44.99,3966700,37.09
"2007-03-06",45.17,46.14,45.14,45.97,2831700,37.9
"2007-03-07",45.97,46.03,45.21,45.46,2526600,37.48
"2007-03-08",45.93,47.03,45.9,46.25,3192200,38.13
"2007-03-09",46.48,46.71,46.02,46.26,1833300,38.14
"2007-03-12",46.28,46.84,46.26,46.4,1859000,38.26
"2007-03-13",46.31,46.57,45.26,45.29,3061600,37.34
