"","CERN.Open","CERN.High","CERN.Low","CERN.Close","CERN.Volume","CERN.Adjusted"
"2007-01-03",45.67,45.98,44.57,45.2,1605200,11.3
"2007-01-04",45.1,46.53,44.94,46.5,2824400,11.62
"2007-01-05",46.36,46.36,45.1,45.46,2084400,11.36
"2007-01-08",45.55,45.86,45.12,45.3,1685600,11.32
"2007-01-09",45.09,45.46,44.76,45.34,1179200,11.34
"2007-01-10",44.96,45.1,44.15,44.86,3002800,11.22
"2007-01-11",44.71,44.86,44.11,44.69,2750000,11.17
"2007-01-12",44.75,47,44.75,46.88,3010000,11.72
"2007-01-16",46.71,46.71,45.77,46,3339600,11.5
"2007-01-17",45.84,46,45.39,45.52,1660800,11.38
"2007-01-18",45.31,46.49,45.2,46.27,2282000,11.57
"2007-01-19",46.41,46.63,45.92,46.02,2128800,11.51
"2007-01-22",45.84,45.92,45.01,45.29,2188000,11.32
"2007-01-23",45.12,45.8,45.03,45.59,2692400,11.4
"2007-01-24",45.52,46.16,45.23,46.1,1374800,11.52
"2007-01-25",45.98,46.56,45.98,46.17,1447200,11.54
"2007-01-26",46.19,46.96,46.19,46.55,3910400,11.64
"2007-01-29",46.13,46.13,44.36,45.14,5217200,11.28
"2007-01-30",45.16,45.66,45,45.61,1477200,11.4
"2007-01-31",45.47,45.67,44.54,44.93,1915200,11.23
"2007-02-01",44.89,45.9,44.64,45.8,3575600,11.45
"2007-02-02",49,50.95,48.62,50.61,11232400,12.65
"2007-02-05",50.5,50.53,49.42,50.09,3628800,12.52
"2007-02-06",50.02,50.09,49.02,49.28,3292400,12.32
"2007-02-07",49.13,49.66,49.09,49.49,2707200,12.37
"2007-02-08",49.54,50.16,49.18,50.13,2475200,12.53
"2007-02-09",49.93,50.47,49.61,49.85,23171200,12.46
"2007-02-12",50.09,50.38,49.8,49.97,4122000,12.49
"2007-02-13",50.12,51.03,49.94,51.02,4955200,12.76
"2007-02-14",50.89,51.31,50.75,51.17,2478800,12.79
"2007-02-15",51.29,52.54,51.2,52.42,4483200,13.1
"2007-02-16",52.22,52.39,51.84,52.27,2423600,13.07
"2007-02-20",51.91,53.23,51.81,53.15,3198000,13.29
"2007-02-21",52.99,53.09,52.56,52.97,2404800,13.24
"2007-02-22",53.18,53.69,52.93,53.32,1602800,13.33
"2007-02-23",53.47,54.39,53.41,54.27,2849200,13.57
"2007-02-26",54.28,54.47,53.61,53.94,2652400,13.48
"2007-02-27",53.54,53.7,50.92,51.3,5064000,12.82
"2007-02-28",51.04,52.34,50.27,52.11,4293200,13.03
"2007-03-01",51.28,52.15,50,52.11,4231200,13.03
"2007-03-02",52,52.07,50.67,50.67,2937200,12.67
"2007-03-05",50.34,51.87,49.75,51.09,5313600,12.77
"2007-03-06",51.81,52.2,51.3,52.12,3877600,13.03
"2007-03-07",51.97,52.16,51.24,51.9,2510000,12.98
"2007-03-08",52,53.35,51.94,52.96,3340400,13.24
"2007-03-09",53,53.91,53,53.81,4186800,13.45
"2007-03-12",53.61,53.98,53.54,53.77,2874400,13.44
"2007-03-13",53.66,53.8,52.75,53.07,3260000,13.27
"2007-03-14",53.05,53.73,52.28,53.65,2328800,13.41
"2007-03-15",53.44,54.05,53.14,53.96,2926000,13.49
"2007-03-16",53.87,55.8,53.87,55.64,5911200,13.91
"2007-03-19",54.78,55.39,54.51,54.92,8168800,13.73
"2007-03-20",55.08,55.5,54.88,55,4210400,13.75
"2007-03-21",55.26,55.69,54.78,55.54,3030400,13.89
"2007-03-22",55.66,55.98,55.2,55.59,2490400,13.9
"2007-03-23",55.68,56,55.52,55.64,2068000,13.91
"2007-03-26",55.79,55.97,55.47,55.87,1842800,13.97
"2007-03-27",55.94,56.16,55.53,56.01,2688000,14
"2007-03-28",55.84,56.25,55.21,55.67,4340400,13.92
"2007-03-29",55.5,55.5,53.7,54.35,5635200,13.59
"2007-03-30",54.41,54.96,54,54.45,3006400,13.61
"2007-04-02",54.37,55.36,54.37,55.1,1834400,13.77
"2007-04-03",54.96,55.97,54.96,55.87,2192000,13.97
"2007-04-04",55.97,56.77,55.64,56.3,3299200,14.07
"2007-04-05",55.24,57.38,55.13,56.82,5638000,14.2
"2007-04-09",56.74,56.85,55.79,56.08,2378000,14.02
"2007-04-10",56.31,56.63,56.06,56.27,1712000,14.07
"2007-04-11",56.17,56.44,55.48,55.55,3183600,13.89
"2007-04-12",54.61,55.73,54.44,55.41,3867600,13.85
"2007-04-13",55.34,55.82,55.11,55.43,3072800,13.86
"2007-04-16",55.8,56.01,55.24,55.36,2402400,13.84
"2007-04-17",55.27,55.59,54.95,55,2573600,13.75
"2007-04-18",54.78,54.96,54.01,54.3,3848000,13.57
"2007-04-19",54.29,54.64,53.41,54.52,3900800,13.63
"2007-04-20",54,55.97,53.36,55.09,6840000,13.77
"2007-04-23",54.82,55.18,54.51,54.55,3219600,13.64
"2007-04-24",54.84,54.98,54.49,54.61,2513200,13.65
"2007-04-25",54.73,54.84,54.45,54.7,2224400,13.68
"2007-04-26",54.56,55,54.51,54.98,2737600,13.74
"2007-04-27",54.78,54.99,54.01,54.12,2620800,13.53
"2007-04-30",54.02,54.31,53.16,53.24,2556400,13.31
"2007-05-01",53.15,53.34,52.2,52.74,3246000,13.19
"2007-05-02",52.74,54.14,52.64,53.81,3118800,13.45
"2007-05-03",53.59,53.9,53.13,53.79,2572000,13.45
"2007-05-04",53.79,54.13,53.35,53.78,2622000,13.44
"2007-05-07",54.02,54.23,53.69,53.99,1729200,13.5
"2007-05-08",53.63,54.07,53.59,53.92,1756400,13.48
"2007-05-09",53.6,54.76,53.6,54.55,2525600,13.64
"2007-05-10",54.38,54.45,52.97,53.05,2036800,13.26
"2007-05-11",52.77,54.16,52.77,54.1,2215200,13.52
"2007-05-14",54.01,54.35,53.06,53.66,2158000,13.41
"2007-05-15",53.63,53.82,53.01,53.18,1643600,13.3
"2007-05-16",53.46,53.61,52.75,53.19,1589600,13.3
"2007-05-17",53,53.02,52.55,52.68,1354000,13.17
"2007-05-18",52.73,54.32,52.45,53.96,2341600,13.49
"2007-05-21",54.16,55.32,54.02,55.12,2580400,13.78
"2007-05-22",55.27,60.43,55.27,58.83,14711200,14.71
"2007-05-23",59,59.5,58.42,58.51,4092000,14.63
"2007-05-24",58.48,58.63,57,57.15,3291600,14.29
"2007-05-25",57.15,57.49,55.8,57.25,3334000,14.31
"2007-05-29",57.28,57.35,56.64,56.72,3151600,14.18
"2007-05-30",56.65,57.11,56.33,57.11,3704800,14.28
"2007-05-31",57.26,57.58,56.74,56.81,5736800,14.2
"2007-06-01",57.01,57.49,56.54,56.66,2043600,14.16
"2007-06-04",56.58,56.82,56.13,56.49,2445200,14.12
"2007-06-05",56.25,56.59,55.88,56.25,1885200,14.06
"2007-06-06",56.07,56.09,55.2,55.41,2114800,13.85
"2007-06-07",55.43,55.63,55.02,55.21,2158400,13.8
"2007-06-08",55.38,55.57,54.73,55.52,1665200,13.88
"2007-06-11",55.49,55.53,55.01,55.34,1644000,13.84
"2007-06-12",55.34,55.34,54.65,54.85,2343600,13.71
"2007-06-13",55.03,55.14,54.16,54.89,1980800,13.72
"2007-06-14",54.82,55.52,54.59,55.45,2847600,13.86
"2007-06-15",55.7,56.02,55.51,55.91,3403200,13.98
"2007-06-18",56.07,56.5,55.78,56.32,2150000,14.08
"2007-06-19",56.24,56.47,55.93,56.32,2040400,14.08
"2007-06-20",56.5,56.69,56.01,56.32,2370800,14.08
"2007-06-21",56.18,56.5,55.72,56.41,1659600,14.1
"2007-06-22",56.49,56.49,55.58,55.78,2220000,13.94
"2007-06-25",55.78,56.45,55.64,56.15,1911200,14.04
"2007-06-26",56.17,56.23,55.14,55.73,2368000,13.93
"2007-06-27",55.34,55.92,55,55.88,2180800,13.97
"2007-06-28",55.78,56.43,55.57,55.96,1546400,13.99
"2007-06-29",55.93,56.58,55.01,55.47,1650800,13.87
"2007-07-02",55.42,57.22,55.42,56.41,2806400,14.1
"2007-07-03",57.11,57.44,56.86,56.96,1644400,14.24
"2007-07-05",57.13,57.27,56.52,56.96,1254800,14.24
"2007-07-06",56.97,58.39,56.64,58.23,2376800,14.56
"2007-07-09",58.47,59,57.94,58.36,2664000,14.59
"2007-07-10",58.4,58.4,57.22,57.31,2174000,14.33
"2007-07-11",57.27,58,57.02,58,1936800,14.5
"2007-07-12",58.09,58.88,57.85,58.34,1504800,14.59
"2007-07-13",58,58.59,58,58.51,1956800,14.63
"2007-07-16",58.34,58.7,57.92,58.02,1660400,14.51
"2007-07-17",58.21,58.28,57.44,58.04,1810400,14.51
"2007-07-18",57.99,58.1,57.06,57.55,3128000,14.39
"2007-07-19",57.76,58.26,57.6,58.08,1973200,14.52
"2007-07-20",58,58.34,57.92,58.03,1965600,14.51
"2007-07-23",58.16,58.56,58,58.32,2469200,14.58
"2007-07-24",58.52,58.73,56.68,57.15,4594800,14.29
"2007-07-25",56.72,57.15,52.32,54.8,8115600,13.7
"2007-07-26",54.01,54.32,52.49,53.33,3690000,13.33
"2007-07-27",53.05,53.98,52.85,53.2,2124400,13.3
"2007-07-30",53.06,54.03,52.72,53.64,2011200,13.41
"2007-07-31",53.51,54.3,52.84,52.87,2362400,13.22
"2007-08-01",53.35,54.28,52.52,54.18,2479600,13.55
"2007-08-02",54.22,54.89,53.59,54.63,1825600,13.66
"2007-08-03",54.84,55.55,54.07,54.25,2446400,13.56
"2007-08-06",54.35,56.49,53.95,56.03,2858000,14.01
"2007-08-07",55.66,59,55.21,58.72,4573600,14.68
"2007-08-08",58.88,62.96,58.8,62.69,7842800,15.67
"2007-08-09",61.55,66.17,61.55,62.27,11278800,15.57
"2007-08-10",61.15,61.22,57.85,58.4,5188000,14.6
"2007-08-13",58.99,58.99,56.59,57.24,2955200,14.31
"2007-08-14",57.28,57.5,56.04,56.44,2147200,14.11
"2007-08-15",56.19,57.98,56.14,56.27,2221600,14.07
"2007-08-16",56.06,56.9,55.1,56.59,2387600,14.15
"2007-08-17",57.41,58.43,56.06,57.48,2241600,14.37
"2007-08-20",57.73,58.39,56.93,57.72,1444400,14.43
"2007-08-21",57.54,58.11,57.01,57.61,931200,14.4
"2007-08-22",57.76,57.85,56.54,56.99,1525600,14.25
"2007-08-23",57.66,57.66,56.19,56.65,1336800,14.16
"2007-08-24",56.68,57.5,56.25,57.46,852400,14.36
"2007-08-27",57.49,57.49,56.25,56.47,1046800,14.12
"2007-08-28",56.26,56.37,55.13,55.44,1459200,13.86
"2007-08-29",55.84,56.82,55.36,56.55,1493600,14.14
"2007-08-30",56.79,57.67,56.11,56.43,2268000,14.11
"2007-08-31",57.17,57.24,55.74,57.04,1573200,14.26
"2007-09-04",56.72,57.9,56.72,57.18,1228400,14.3
"2007-09-05",56.98,57.35,56.43,56.52,1473600,14.13
"2007-09-06",56.88,57.39,56.04,57.32,1354800,14.33
"2007-09-07",56.49,57.27,54.63,55.16,2441200,13.79
"2007-09-10",55.22,55.66,54.51,55.03,1166800,13.76
"2007-09-11",55.26,56.31,54.64,56.1,2231600,14.02
"2007-09-12",56.06,58.1,55.86,57.2,2384400,14.3
"2007-09-13",57.33,58.3,57.01,57.86,2024400,14.47
"2007-09-14",57.47,58.25,57.46,57.82,751600,14.45
"2007-09-17",57.78,57.97,56.64,56.95,825200,14.24
"2007-09-18",57.31,58.04,56.7,57.99,925200,14.5
"2007-09-19",58.13,59.28,57.8,58.75,1659600,14.69
"2007-09-20",58.52,59.21,58.43,59.01,1244000,14.75
"2007-09-21",59.47,60.25,59.33,60.1,2517200,15.02
"2007-09-24",59.96,60.62,58.73,58.97,1514000,14.74
"2007-09-25",59.23,60.32,58.81,59.99,1452400,15
"2007-09-26",60.03,61.34,60.01,60.5,1023600,15.12
"2007-09-27",60.62,61.18,59.33,59.91,1599600,14.98
"2007-09-28",59.83,60.79,59.46,59.81,1067600,14.95
"2007-10-01",60.14,61.8,59.54,60.82,1252400,15.2
"2007-10-02",60.72,60.93,60.05,60.47,1210000,15.12
"2007-10-03",60.44,61.61,60.25,61,1212400,15.25
"2007-10-04",61.13,61.73,60.54,61.55,1271200,15.39
"2007-10-05",61.55,62,61.15,61.41,1727600,15.35
"2007-10-08",61.2,61.98,61.2,61.76,859200,15.44
"2007-10-09",61.97,63.94,61.93,63.86,1708400,15.97
"2007-10-10",63.99,65.52,63.41,65.12,2865600,16.28
"2007-10-11",65.29,65.72,62.92,63.58,1323600,15.9
"2007-10-12",63.8,64.99,63.8,64.05,1169200,16.01
"2007-10-15",63.92,63.96,62.69,63.25,1857200,15.81
"2007-10-16",63.11,63.71,62.91,63.09,941200,15.77
"2007-10-17",63.49,63.95,62.54,63.72,1384000,15.93
"2007-10-18",63.39,65.92,62.3,65.45,3757200,16.36
"2007-10-19",61,61.16,58.32,59.52,10493200,14.88
"2007-10-22",59,59.31,58,58.29,3792000,14.57
"2007-10-23",58.01,58.85,57.96,58.72,3140400,14.68
"2007-10-24",58.24,58.79,57.7,58.18,3128000,14.55
"2007-10-25",57.97,58.6,57.27,57.97,3244800,14.49
"2007-10-26",58.51,58.72,57.97,58.2,1289200,14.55
"2007-10-29",58.13,58.41,57.33,58.27,3537600,14.57
"2007-10-30",58.19,59.68,57.61,59.35,1628400,14.84
"2007-10-31",59.5,59.6,58,59.56,2319200,14.89
"2007-11-01",59.44,59.65,58.79,58.82,2276400,14.7
"2007-11-02",59.2,59.33,58.21,58.79,1565600,14.7
"2007-11-05",58.28,58.87,57.37,58.02,1878000,14.51
"2007-11-06",58.09,58.5,57.37,57.87,1523600,14.47
"2007-11-07",57.17,57.7,55.9,56.1,1787200,14.02
"2007-11-08",56.36,56.49,54,54.79,3269600,13.7
"2007-11-09",54.07,54.87,53.79,53.93,3006000,13.48
"2007-11-12",53.81,54.47,53.5,53.83,3869600,13.46
"2007-11-13",54.09,54.9,53.94,54.58,2232800,13.65
"2007-11-14",54.76,55.11,54.08,54.5,1761200,13.62
"2007-11-15",54.32,54.81,53.86,54.14,1935200,13.53
"2007-11-16",54.25,54.41,53.66,54.14,1527600,13.53
"2007-11-19",53.78,54.4,53.56,54.25,2327200,13.56
"2007-11-20",55.15,57.65,55.03,57.03,4482800,14.26
"2007-11-21",56.58,58.13,56.51,57.71,2496000,14.43
"2007-11-23",57.21,57.93,57.04,57.44,1092800,14.36
"2007-11-26",57.8,58.35,57.44,57.53,1837600,14.38
"2007-11-27",57.68,58.51,57.55,58.23,1859200,14.56
"2007-11-28",58.57,59.79,58.36,58.99,2603200,14.75
"2007-11-29",58.86,60.25,58.81,60.1,1513600,15.02
"2007-11-30",60.1,60.27,59.33,59.75,2492000,14.94
"2007-12-03",59.33,59.93,58.36,58.7,2063200,14.68
"2007-12-04",58.4,59.48,58.25,58.6,2768000,14.65
"2007-12-05",58.99,59.47,58.28,58.62,1962000,14.65
"2007-12-06",58.66,59.3,58.12,59.06,2228000,14.77
