"","CHK.Open","CHK.High","CHK.Low","CHK.Close","CHK.Volume","CHK.Adjusted"
"2007-01-03",28.78,29.05,27.75,27.83,21197000,25.44
"2007-01-04",27.69,28.12,27.52,27.72,16299600,25.34
"2007-01-05",27.75,28.13,27.52,27.95,14359400,25.55
"2007-01-08",28.3,28.49,27.7,27.98,11345300,25.58
"2007-01-09",27.65,28.2,27.52,27.9,10843600,25.51
"2007-01-10",27.79,27.96,27.51,27.59,10031200,25.22
"2007-01-11",27.52,28.08,27.27,27.3,12302000,24.96
"2007-01-12",27.4,28.17,27.4,28.05,8835700,25.64
"2007-01-16",28.12,28.28,27.76,27.93,8718300,25.53
"2007-01-17",27.81,28.51,27.81,28.26,8669300,25.84
"2007-01-18",28.41,28.5,27.88,28.14,8849100,25.73
"2007-01-19",28.26,29.04,28.21,28.96,11480500,26.48
"2007-01-22",29.06,29.35,28.81,28.93,9414300,26.45
"2007-01-23",29.29,30.11,29.16,29.87,12337800,27.31
"2007-01-24",29.82,30.04,29.49,29.98,7701300,27.41
"2007-01-25",29.94,29.96,28.94,29.03,9243200,26.54
"2007-01-26",29.28,29.46,28.97,29,5678200,26.51
"2007-01-29",28.89,29.24,28.58,28.69,8760900,26.23
"2007-01-30",28.84,29.58,28.84,29.41,9604900,26.89
"2007-01-31",29.35,29.81,29.06,29.61,7593500,27.07
"2007-02-01",30,30.1,29.42,29.63,9629500,27.09
"2007-02-02",29.73,29.78,29.21,29.46,6466100,26.93
"2007-02-05",29.92,29.98,29.51,29.62,6377500,27.08
"2007-02-06",29.8,29.8,29.08,29.25,7160600,26.74
"2007-02-07",29.28,29.51,28.88,29.14,6600600,26.64
"2007-02-08",29.01,29.62,29.01,29.43,7873800,26.91
"2007-02-09",29.52,29.75,29.38,29.63,7188000,27.09
"2007-02-12",29.38,29.52,28.97,29.12,5816900,26.62
"2007-02-13",29.02,29.61,29,29.56,5457400,27.02
"2007-02-14",29.68,29.95,29.4,29.61,5691200,27.07
"2007-02-15",29.57,29.57,29.02,29.33,6074700,26.81
"2007-02-16",29.28,29.78,29.2,29.68,6861600,27.13
"2007-02-20",29.3,29.3,28.96,29.29,7822600,26.78
"2007-02-21",29.3,29.42,28.96,29.34,6362900,26.82
"2007-02-22",29.4,29.66,29.07,29.58,7129900,27.04
"2007-02-23",30.08,30.63,30.05,30.47,17162600,27.86
"2007-02-26",30.65,31.83,30.55,31.26,17159200,28.58
"2007-02-27",30.58,31.22,30,30.37,14470800,27.77
"2007-02-28",30.42,30.72,30.11,30.44,9421200,27.83
"2007-03-01",30.18,30.72,29.75,30.42,9374500,27.81
"2007-03-02",30.42,30.47,29.86,29.89,8017400,27.33
"2007-03-05",29.05,29.92,29.05,29.62,9772000,27.08
"2007-03-06",29.86,30.29,29.77,30.23,9558100,27.64
"2007-03-07",30.09,30.84,30.08,30.32,10264500,27.72
"2007-03-08",30.65,30.7,30.12,30.38,7569900,27.77
"2007-03-09",30.43,30.56,30.12,30.13,8595600,27.55
"2007-03-12",30.11,30.42,29.5,29.88,7665600,27.32
"2007-03-13",29.85,30.24,29.32,29.4,8531800,26.88
"2007-03-14",29.55,29.93,29.17,29.86,8132200,27.3
"2007-03-15",29.7,30,29.67,29.7,4089700,27.15
"2007-03-16",29.81,30.15,29.52,29.57,7501000,27.03
"2007-03-19",29.86,30.29,29.57,30.27,7927400,27.67
"2007-03-20",30.19,30.45,29.94,30.44,7609000,27.83
"2007-03-21",30.46,30.95,30.33,30.73,6034900,28.09
