"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"2007-01-03",42.25,43.78,42.11,43.3,3399800,37.57
"2007-01-04",43.01,43.81,42.62,43.49,2719500,37.74
"2007-01-05",43.62,43.71,42.96,43.05,1436800,37.36
"2007-01-08",43,43.64,42.85,43.31,1522400,37.58
"2007-01-09",43.25,43.85,42.95,43.44,1912900,37.7
"2007-01-10",43.07,43.42,42.63,43.2,1668400,37.49
"2007-01-11",43.41,44.09,43.34,44.05,1280200,38.22
"2007-01-12",44.1,44.7,44.05,44.6,953300,38.7
"2007-01-16",44.51,45.28,43.95,44.41,1286000,38.54
"2007-01-17",44.23,44.89,44.1,44.18,1012300,38.34
"2007-01-18",44.38,45.19,44.06,44.07,1197900,38.24
"2007-01-19",43.99,44.75,43.91,44.53,937600,38.64
"2007-01-22",44.79,44.86,43.22,43.67,1789300,37.89
"2007-01-23",43.37,44.03,43.07,43.5,1082500,37.75
"2007-01-24",43.56,44.22,43.42,43.82,966300,38.02
"2007-01-25",43.58,43.66,42.51,42.89,1498000,37.22
"2007-01-26",42.95,43.16,42.53,42.94,1028800,37.26
"2007-01-29",42.59,43.54,42.53,43.07,1163900,37.37
"2007-01-30",42.96,43.77,42.96,43.76,1123800,37.97
"2007-01-31",47.39,53.5,47.29,53.2,15298300,46.16
"2007-02-01",52.04,52.84,51.25,52.6,4677600,45.64
"2007-02-02",52.51,53.11,51.95,52.89,1329600,45.9
"2007-02-05",52.72,52.77,51.85,52.15,1305100,45.25
"2007-02-06",52.15,52.39,51.5,51.98,1226200,45.11
"2007-02-07",51.76,53.38,51.67,52.85,1872800,45.86
"2007-02-08",52.9,53,52.36,52.5,1090600,45.56
"2007-02-09",52.55,52.91,51.42,51.79,1194100,44.94
"2007-02-12",51.48,52.13,51.1,51.42,976100,44.62
"2007-02-13",50.72,51.74,50.26,51.67,1485800,44.84
"2007-02-14",51.76,53.21,51.61,53.12,1318900,46.1
"2007-02-15",53,53.16,52.22,52.53,849000,45.58
"2007-02-16",52.65,53.24,52.37,52.71,677000,45.74
"2007-02-20",53.33,54.35,52.56,54.03,1332600,46.88
"2007-02-21",53.97,54.67,53.48,54.38,1235400,47.19
"2007-02-22",54.6,54.64,53.33,53.99,710600,46.85
"2007-02-23",54.01,54.52,53.48,53.91,687200,46.78
"2007-02-26",53.98,54.16,51.89,52.4,1138300,45.47
"2007-02-27",53.02,53.17,51.37,51.65,3146300,44.82
"2007-02-28",51.52,51.71,50.79,50.96,2340600,44.22
"2007-03-01",50.2,51.61,49.25,50.97,24014000,44.23
"2007-03-02",50.65,51.57,49.97,49.97,2650700,43.36
"2007-03-05",49.9,50.58,48.75,49.97,1692200,43.36
"2007-03-06",50.27,50.6,49.57,50.46,2143900,43.79
"2007-03-07",50.02,50.74,49.93,50.57,1828200,44.04
"2007-03-08",51,51.33,50.51,51.09,1408100,44.49
"2007-03-09",50.1,50.25,48,48.62,3401200,42.34
"2007-03-12",48.6,49.12,48.2,48.44,1282800,42.18
"2007-03-13",48.18,48.43,46.51,46.74,2391900,40.7
"2007-03-14",46.87,47.22,46.13,47.11,2389000,41.03
"2007-03-15",47.21,47.76,47.09,47.54,1410100,41.4
"2007-03-16",47.3,47.75,46.98,47.48,1954000,41.35
"2007-03-19",47.57,47.83,47.1,47.6,1384600,41.45
"2007-03-20",47.6,48.23,47.3,47.7,1122500,41.54
"2007-03-21",47.81,49.16,47.11,49.15,1425300,42.8
"2007-03-22",49.35,49.69,48.27,48.58,1419600,42.31
"2007-03-23",48.76,49.67,48.76,49.37,972300,42.99
"2007-03-26",49.55,49.55,48.15,48.96,937200,42.64
"2007-03-27",48.65,48.9,48.16,48.37,990100,42.12
"2007-03-28",48.05,48.44,47.31,47.66,1137500,41.51
"2007-03-29",47.57,47.83,46.85,47.58,1442000,41.44
"2007-03-30",47.49,48.4,47.23,48.05,1071200,41.84
"2007-04-02",48,48,47.39,47.5,1444200,41.37
"2007-04-03",47.65,49.24,47.61,49.12,1383900,42.78
"2007-04-04",49.24,49.34,48.56,49,996600,42.67
"2007-04-05",48.7,48.89,48.41,48.84,578400,42.53
"2007-04-09",49,49.67,48.71,48.75,945900,42.45
"2007-04-10",48.52,49,48.35,48.69,959900,42.4
"2007-04-11",48.56,48.92,47.8,47.85,975600,41.67
"2007-04-12",47.87,49.12,47.39,49.1,1204800,42.76
"2007-04-13",49.2,49.87,49.11,49.83,864500,43.39
"2007-04-16",49.84,51.53,49.76,51.5,1353200,44.85
"2007-04-17",51.51,51.56,50.58,50.82,1067000,44.26
"2007-04-18",50.79,51.57,50.66,51.11,1302700,44.51
"2007-04-19",50.4,51.36,49.87,51.31,1018800,44.68
"2007-04-20",52.98,53.98,51.61,51.85,2006000,45.15
"2007-04-23",51.7,52.84,51.42,51.76,1484700,45.08
"2007-04-24",51.8,51.86,50.3,51.15,1421100,44.54
"2007-04-25",56.49,58.19,56.36,56.76,5327800,49.43
"2007-04-26",57.2,57.2,55.27,55.52,2238700,48.35
"2007-04-27",55.34,55.67,54.86,55.21,1643100,48.08
"2007-04-30",55.06,55.3,53.34,53.46,1366300,46.56
"2007-05-01",53.64,54.54,53.35,53.9,1540600,46.94
"2007-05-02",55,55.84,54.08,55.26,1457700,48.12
"2007-05-03",55.6,56.16,55.12,55.57,1033200,48.39
"2007-05-04",55.91,56,54.86,55.31,674700,48.17
"2007-05-07",55.94,56.36,55.31,55.75,878200,48.55
"2007-05-08",55.48,56.52,55.06,56.31,1201100,49.04
"2007-05-09",55.96,56.32,55.39,55.76,1206100,48.56
"2007-05-10",55.66,55.76,53.35,53.63,1162300,46.7
"2007-05-11",53.44,54.01,52.77,53.6,952200,46.68
"2007-05-14",53.58,54.12,52.51,53.13,815400,46.27
"2007-05-15",53.21,53.61,52.51,52.73,778300,45.92
"2007-05-16",53.06,53.41,52.35,53.1,947700,46.24
"2007-05-17",52.88,53.01,52.1,52.13,794300,45.4
"2007-05-18",52.25,52.75,51.8,52.36,1560300,45.6
"2007-05-21",52.3,52.66,51.85,52.46,878100,45.69
"2007-05-22",52.16,52.92,51.92,52.09,923700,45.36
"2007-05-23",52.29,53.07,52.12,52.15,1506800,45.42
"2007-05-24",52.31,52.81,50.6,51,1337500,44.41
"2007-05-25",51.07,51.58,50.94,51.09,633600,44.49
"2007-05-29",51.05,51.77,51,51.63,935200,44.96
"2007-05-30",51.55,52.42,51.18,52.42,1270800,45.65
"2007-05-31",52.44,54.36,52.44,54.18,2315700,47.18
"2007-06-01",54.16,54.98,53.88,54.28,1321900,47.27
"2007-06-04",54.22,54.25,53.3,53.65,1277100,46.72
"2007-06-05",53.65,53.75,52.3,52.64,1140600,45.84
"2007-06-06",52.49,52.73,51,51.73,1075400,45.2
"2007-06-07",51.8,52.22,51.22,51.3,1661300,44.83
"2007-06-08",51.4,52.46,50.84,52.4,1395800,45.79
"2007-06-11",52.23,52.98,51.64,52.67,1156700,46.03
"2007-06-12",52.26,52.83,51.48,51.5,1052800,45
"2007-06-13",51.54,53.05,51.24,53.02,1128500,46.33
"2007-06-14",53.03,54.34,52.73,54.08,1223900,47.26
"2007-06-15",54.7,55.02,54.13,54.76,2026400,47.85
"2007-06-18",54.14,54.43,53.1,53.33,1322700,46.6
"2007-06-19",53.33,53.81,52.9,53.56,741900,46.8
"2007-06-20",53.77,54.32,52.9,53.04,903800,46.35
"2007-06-21",53,54,52.82,53.99,836600,47.18
"2007-06-22",53.51,53.83,52.78,53.32,1395200,46.59
"2007-06-25",53.36,54.19,52.93,53.09,912400,46.39
"2007-06-26",53.56,53.57,52.73,53.1,1028100,46.4
"2007-06-27",52.64,53.45,52.13,53.26,896700,46.54
"2007-06-28",53.26,53.69,52.79,53.16,794500,46.45
"2007-06-29",53.17,53.38,52.31,52.52,1132600,45.89
"2007-07-02",52.76,53.31,52.35,52.63,974100,45.99
"2007-07-03",52.78,53.25,52.21,53.25,550100,46.53
"2007-07-05",53.43,53.43,51.57,52,1566200,45.44
"2007-07-06",52,52.17,51.52,52,1260400,45.44
"2007-07-09",51.93,52.1,51.58,51.87,1889900,45.33
"2007-07-10",51.9,52.4,51.15,51.38,2402300,44.9
"2007-07-11",51.2,52.08,51.13,52.05,1735200,45.48
"2007-07-12",52.11,52.4,51.67,52.25,1629700,45.66
"2007-07-13",52.07,52.4,51.85,52.28,637800,45.68
"2007-07-16",52.42,54.19,52.36,53.27,1481200,46.55
"2007-07-17",53.35,53.72,52.74,53.55,1170400,46.79
"2007-07-18",53.5,54.33,53.12,53.72,1163600,46.94
