"","CI.Open","CI.High","CI.Low","CI.Close","CI.Volume","CI.Adjusted"
"2007-01-03",132.83,132.99,130.57,131.79,2210400,43.54
"2007-01-04",131.78,131.78,128.8,129.3,3039600,42.72
"2007-01-05",128.7,128.92,127.2,128.39,2873100,42.42
"2007-01-08",128.14,129,127.12,128.64,2681700,42.5
"2007-01-09",127.04,129.6,127.04,127.95,1892400,42.28
"2007-01-10",127.4,129.09,127,128.73,1373400,42.53
"2007-01-11",128.73,130.66,128.25,130.58,2303700,43.14
"2007-01-12",130.4,131.23,130.07,130.77,1387800,43.21
"2007-01-16",130.3,131.28,130.01,130.76,1543500,43.2
"2007-01-17",130.8,131.75,130.21,131.53,2141700,43.46
"2007-01-18",129.1,130.66,128.47,129.45,2912100,42.77
"2007-01-19",130.1,130.47,129.2,129.94,2000400,42.93
"2007-01-22",129.94,130.75,128.75,129.05,2011800,42.64
"2007-01-23",129.05,130.83,128.39,130.63,1729500,43.16
"2007-01-24",129.5,129.63,127.27,129.55,5043900,42.8
"2007-01-25",129.54,131,129.45,129.85,1925100,42.9
"2007-01-26",129.99,130.26,129.37,129.95,2209500,42.94
"2007-01-29",130.7,131.87,130.25,131.1,2591400,43.32
"2007-01-30",131.05,132.47,130.6,132.33,2458800,43.72
"2007-01-31",132.33,132.98,131.39,132.4,2255700,43.75
"2007-02-01",132.61,134.72,131.99,134.59,2516700,44.47
"2007-02-02",134.45,135,133.82,133.95,1954200,44.26
"2007-02-05",134.4,135.98,134.34,135.51,3029100,44.77
"2007-02-06",135.62,137.4,135.14,137.12,3500700,45.31
"2007-02-07",140.37,142.38,137.45,139.95,8085300,46.24
"2007-02-08",139.5,140.66,138.79,139.19,2334900,45.99
"2007-02-09",139.2,139.89,137.44,137.99,1902300,45.59
"2007-02-12",137.65,140.01,137.65,139.92,2790900,46.23
"2007-02-13",140.8,141.23,139.57,141.12,2891400,46.63
"2007-02-14",141.12,142.9,140.82,142.81,3519900,47.19
"2007-02-15",142.25,144.39,142,143.9,2713800,47.55
"2007-02-16",143.2,144.21,143.07,143.92,3162300,47.55
"2007-02-20",144.7,145.87,144.12,145.55,3004200,48.09
"2007-02-21",144.55,145.45,144.39,144.59,2064900,47.77
"2007-02-22",145.1,145.96,144.59,145,3291300,47.91
"2007-02-23",144.94,144.94,143.56,143.89,2540400,47.54
"2007-02-26",142.74,143.05,141.31,142.6,2089500,47.12
"2007-02-27",146.7,146.7,137.19,138.84,2919000,45.87
"2007-02-28",138.3,143,138.3,142.5,4515000,47.08
"2007-03-01",142.05,143.19,139.8,142.69,3909300,47.15
"2007-03-02",143.68,143.68,141.01,141.01,3175200,46.59
"2007-03-05",140.05,140.67,139.06,139.11,3279900,45.96
"2007-03-06",139.99,140.54,138.95,139.91,3759300,46.23
"2007-03-07",141.4,141.4,139,139.86,2622600,46.21
"2007-03-08",140.25,141.62,139.53,140.09,2316000,46.29
"2007-03-09",140.31,141.28,139.71,139.95,1964400,46.25
"2007-03-12",139.99,141.25,139.22,140.09,2439900,46.3
