"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2007-01-03",65.95,66.14,65.42,65.68,3206600,27.65
"2007-01-04",65.45,65.96,65.01,65.76,3025200,27.68
"2007-01-05",65.75,65.9,65.34,65.46,3619200,27.56
"2007-01-08",65.36,65.84,65.14,65.71,4049600,27.66
"2007-01-09",66.05,66.31,65.43,65.68,4146800,27.65
"2007-01-10",65.55,66.22,65.4,66.04,3155800,27.8
"2007-01-11",66.04,66.45,65.84,66.3,2874600,27.91
"2007-01-12",66.29,67.02,65.96,66.84,3438800,28.14
"2007-01-16",67.74,68.03,66.75,66.86,2985000,28.15
"2007-01-17",66.61,66.96,66.22,66.55,5280000,28.02
"2007-01-18",66.51,66.82,66.23,66.48,2710800,27.99
"2007-01-19",66.55,66.85,66.24,66.85,2695000,28.14
"2007-01-22",66.9,67.16,65.86,66.52,3742200,28
"2007-01-23",66.27,66.54,65.92,66.32,2760400,27.92
"2007-01-24",66.14,66.52,66,66.49,3126200,28.13
"2007-01-25",66.1,66.34,65.81,66,5411600,27.92
"2007-01-26",66.05,66.28,65.63,66.18,3357000,28
"2007-01-29",66.2,67.06,66.2,66.71,6465800,28.22
"2007-01-30",66.52,67.55,66,67.42,8629200,28.52
"2007-01-31",67.71,68.56,67.41,68.3,6510400,28.89
"2007-02-01",68.24,68.26,67.69,68.11,5019600,28.81
"2007-02-02",67.9,68.11,67.5,67.74,4740400,28.66
"2007-02-05",67.53,67.59,66.96,67.49,3623200,28.55
"2007-02-06",67.24,67.73,66.81,66.99,5123200,28.34
"2007-02-07",67.15,67.42,66.88,67,3267200,28.34
"2007-02-08",67.15,67.37,66.77,67.03,3133800,28.36
"2007-02-09",67.18,67.4,66.67,66.92,3514800,28.31
"2007-02-12",67.17,67.3,66.87,66.91,3046000,28.3
"2007-02-13",66.83,67.63,66.83,67.56,3699400,28.58
"2007-02-14",67.51,67.97,67.35,67.9,3465400,28.72
"2007-02-15",68.09,68.13,67.59,67.91,3063600,28.73
"2007-02-16",68.67,68.87,68.15,68.76,4235600,29.09
"2007-02-20",68.45,68.99,68.04,68.87,3328400,29.13
"2007-02-21",68.57,68.72,68.48,68.5,2499800,28.98
"2007-02-22",68.2,68.41,67.94,68.36,2997600,28.92
"2007-02-23",68.19,68.44,67.74,68.33,2630600,28.91
"2007-02-26",68.53,68.76,68.04,68.47,2831800,28.96
"2007-02-27",68.38,69,66.75,67.34,8682200,28.49
"2007-02-28",67.29,68.23,67.05,67.41,5933200,28.52
"2007-03-01",66.36,67.24,65.87,66.93,4852000,28.31
"2007-03-02",66.87,67.06,66.51,66.65,4891200,28.19
"2007-03-05",66.4,67.07,66.25,66.6,4862800,28.17
"2007-03-06",66.81,67,66.3,66.59,4574600,28.17
"2007-03-07",66.62,66.62,65.87,65.87,5254200,27.86
"2007-03-08",65.8,66.3,65.71,66.23,3590200,28.02
"2007-03-09",66.23,66.76,66.1,66.63,3331800,28.19
"2007-03-12",66.63,66.79,66.33,66.6,2715000,28.17
"2007-03-13",66.42,66.54,65.77,65.87,4286600,27.86
"2007-03-14",66,66.15,64.87,65.33,6446400,27.64
"2007-03-15",65.38,65.62,65.02,65.26,4366800,27.61
"2007-03-16",65.42,65.47,64.85,65.1,4823000,27.54
"2007-03-19",65.12,65.81,65.06,65.38,3244600,27.66
"2007-03-20",65.3,65.91,65.25,65.81,3341200,27.84
"2007-03-21",65.93,66.87,65.52,66.81,3109200,28.26
"2007-03-22",67.68,67.68,65.96,67.05,3364000,28.36
"2007-03-23",67,67.18,66.75,67.12,2764400,28.39
"2007-03-26",67.19,67.19,66.26,66.94,2748200,28.32
"2007-03-27",66.72,66.79,66.26,66.47,2728000,28.12
"2007-03-28",66.34,66.98,66.08,66.88,3885800,28.29
"2007-03-29",67.05,67.08,66.57,66.84,3706600,28.27
"2007-03-30",66.92,67.38,66.27,66.79,3509400,28.25
"2007-04-02",66.71,67.02,65.97,66.06,4609200,27.94
"2007-04-03",66.45,66.57,65.92,66.02,3891200,27.93
"2007-04-04",66.22,66.3,66.01,66.18,2780400,28
"2007-04-05",66.24,66.68,66.05,66.63,2376600,28.19
"2007-04-09",66.65,66.75,66.41,66.71,3335400,28.22
"2007-04-10",66.65,66.91,65.76,65.97,4631200,27.91
"2007-04-11",65.8,65.9,65.41,65.89,3860200,27.87
"2007-04-12",65.75,66.35,65.51,66.34,3005200,28.06
"2007-04-13",66.29,66.6,66.17,66.41,3616800,28.09
"2007-04-16",66.37,66.5,65.97,66.2,4508600,28
"2007-04-17",66.11,66.75,65.98,66.67,3682200,28.2
"2007-04-18",67,67.52,66.45,66.74,3096400,28.23
"2007-04-19",67.59,67.59,66.5,67,4226800,28.34
"2007-04-20",66.73,67.3,66.57,67.29,3754200,28.62
"2007-04-23",67.4,67.4,66.9,67.06,2272200,28.52
"2007-04-24",67.9,68.14,66.81,67.92,5380600,28.89
"2007-04-25",68.6,68.99,67.08,67.44,6581200,28.68
"2007-04-26",67.19,67.38,66.51,66.56,7773200,28.31
"2007-04-27",66.41,67.24,66.32,67.04,5057200,28.51
"2007-04-30",67.5,67.78,67.2,67.74,6271600,28.81
"2007-05-01",67.85,68.11,67.2,68.1,4810800,28.96
"2007-05-02",68.25,68.75,67.74,68,4722000,28.92
"2007-05-03",68.03,68.12,67.13,67.46,5982000,28.69
"2007-05-04",67.5,68.19,67.24,68.15,5560600,28.98
"2007-05-07",67.92,68.2,67.36,67.42,6238400,28.67
"2007-05-08",67.25,67.85,67.16,67.5,4620000,28.71
"2007-05-09",67.4,68,67.03,67.84,3296400,28.85
"2007-05-10",67.8,67.86,67.12,67.12,4552200,28.55
"2007-05-11",67.31,67.42,66.65,66.96,3814200,28.48
"2007-05-14",67.01,67.02,66.13,66.21,6198200,28.16
"2007-05-15",66.4,66.87,66.26,66.34,4764400,28.21
"2007-05-16",66.45,67.52,66.33,67.52,4973000,28.72
"2007-05-17",67.72,67.78,67,67.41,3970000,28.67
"2007-05-18",67.49,67.5,67,67.3,3574800,28.62
"2007-05-21",67.32,67.32,66.53,67.03,5068000,28.51
"2007-05-22",66.95,67.07,66.64,66.95,3123200,28.47
"2007-05-23",66.97,67.12,66.25,66.83,5803800,28.42
"2007-05-24",66.98,67.01,66.39,66.44,4787400,28.26
"2007-05-25",66.72,67,66.52,66.57,3763600,28.31
"2007-05-29",66.45,67,66.35,66.83,3113000,28.42
"2007-05-30",66.58,66.92,66.38,66.92,6017000,28.46
"2007-05-31",66.92,67.13,66.51,66.96,5966600,28.48
"2007-06-01",66.95,67.43,66.81,67.41,3750400,28.67
