"","CMA.Open","CMA.High","CMA.Low","CMA.Close","CMA.Volume","CMA.Adjusted"
"2007-01-03",59.21,59.97,58.85,59.18,1122400,48.97
"2007-01-04",58.99,59.35,58.88,59.21,793900,49
"2007-01-05",59.05,59.14,58.38,58.55,694500,48.45
"2007-01-08",58.55,58.62,58.09,58.46,669800,48.38
"2007-01-09",58.53,58.78,57.96,58.34,624400,48.28
"2007-01-10",58.12,58.37,58,58.26,657900,48.21
"2007-01-11",58.26,58.41,57.82,57.9,812400,47.91
"2007-01-12",57.91,58.28,57.83,58.05,575300,48.04
"2007-01-16",57.94,58.35,57.94,58.27,593600,48.22
"2007-01-17",58.15,58.41,57.68,58.05,804300,48.04
"2007-01-18",58.06,59.85,58.06,59.47,2237400,49.21
"2007-01-19",59.75,59.91,59.2,59.6,1006700,49.32
"2007-01-22",59.29,59.46,59.07,59.19,866000,48.98
"2007-01-23",59.41,59.45,58.98,58.98,837300,48.81
"2007-01-24",58.84,59.66,58.84,59.6,862400,49.32
"2007-01-25",59.27,59.42,58.55,58.6,753800,48.49
"2007-01-26",58.75,58.79,58.3,58.64,573900,48.53
"2007-01-29",58.39,58.85,58.39,58.49,576600,48.4
"2007-01-30",58.39,59.02,58.1,58.92,617200,48.76
"2007-01-31",58.97,59.51,58.72,59.3,659800,49.07
"2007-02-01",59.21,60.02,59.21,59.98,843400,49.64
"2007-02-02",59.85,60.54,59.81,60.48,921800,50.05
"2007-02-05",60.23,60.73,60.06,60.08,815500,49.72
"2007-02-06",60.08,61.09,60,60.87,841800,50.37
"2007-02-07",60.78,61.4,60.78,61.12,533200,50.58
"2007-02-08",60.78,61.06,60.67,60.89,597900,50.39
"2007-02-09",61.06,61.27,60.45,60.68,668000,50.21
"2007-02-12",60.54,60.86,60.46,60.62,423600,50.16
"2007-02-13",60.56,61.33,60.56,61.24,489600,50.68
"2007-02-14",61.31,62.12,61.15,61.7,727500,51.06
"2007-02-15",61.53,62,61.53,61.8,660500,51.14
"2007-02-16",61.8,62.43,61.8,62.08,831000,51.37
"2007-02-20",62.09,63.26,61.99,63.15,1199600,52.26
"2007-02-21",63.01,63.39,62.91,63.19,1154200,52.29
"2007-02-22",62.9,63.28,62.69,62.97,862800,52.11
"2007-02-23",63.23,63.27,62.74,63,806500,52.13
"2007-02-26",62.85,63,62.3,62.62,841300,51.82
"2007-02-27",61.88,62.24,59.9,60.61,1467500,50.16
"2007-02-28",60.76,61.16,60.39,60.39,3129900,49.97
"2007-03-01",59.95,60.59,59.17,60.13,1696800,49.76
"2007-03-02",59.89,60.47,59.73,59.9,975100,49.57
"2007-03-05",59.89,61.51,58.51,58.54,1474000,48.44
"2007-03-06",59.1,59.98,58.67,59.85,1725000,49.53
"2007-03-07",59.67,59.73,59.25,59.3,956500,49.07
"2007-03-08",59.65,60.16,59.51,59.62,810700,49.34
"2007-03-09",59.86,60.24,59.73,60.17,1225000,49.79
"2007-03-12",60.01,60.07,59.75,59.99,1031000,49.64
"2007-03-13",59.29,59.29,57.62,57.63,1923500,48.2
"2007-03-14",58.49,58.51,56.77,58.09,1293800,48.59
"2007-03-15",58.09,59.1,58.06,58.73,824100,49.12
"2007-03-16",58.85,59.3,58.48,58.67,1043400,49.07
"2007-03-19",59.13,59.51,58.9,59.32,665900,49.62
"2007-03-20",59.27,59.94,59.17,59.81,589900,50.03
"2007-03-21",59.8,61.1,59.5,60.9,1255300,50.94
"2007-03-22",60.99,61,60.35,60.61,741000,50.7
"2007-03-23",60.61,60.97,60.48,60.6,541600,50.69
"2007-03-26",60.35,60.46,59.61,60.45,531400,50.56
"2007-03-27",60.11,60.21,59.71,59.86,600500,50.07
"2007-03-28",59.74,59.74,58.85,58.91,1412300,49.28
"2007-03-29",59.44,60.2,59.27,59.59,756800,49.84
"2007-03-30",59.56,59.75,58.6,59.12,1610700,49.45
"2007-04-02",59.12,59.12,58.18,58.52,1101000,48.95
"2007-04-03",58.66,59.44,58.53,59.28,947700,49.58
"2007-04-04",59.2,59.49,59.01,59.25,673800,49.56
"2007-04-05",59.08,59.66,58.95,59.61,643800,49.86
"2007-04-09",59.62,59.92,59.38,59.42,713700,49.7
"2007-04-10",59.42,59.9,59.31,59.88,466500,50.09
"2007-04-11",59.9,59.94,59.14,59.31,914500,49.61
"2007-04-12",59.31,59.51,58.84,59.44,937400,49.72
"2007-04-13",59.28,59.74,58.78,59.5,806400,49.77
"2007-04-16",60,61.03,59.72,60.81,1126100,50.86
"2007-04-17",61.6,63.1,61.24,62.56,2233700,52.33
"2007-04-18",62.56,63.77,62.34,62.82,1684500,52.55
"2007-04-19",62.7,63.3,61.88,63.16,1790000,52.83
"2007-04-20",63.54,63.65,63.18,63.46,1014600,53.08
"2007-04-23",63.46,63.54,62.82,62.82,881600,52.55
"2007-04-24",62.92,63,62.31,62.49,956900,52.27
"2007-04-25",62.65,63.29,62.42,63.15,1264200,52.82
"2007-04-26",63,63.29,62.69,62.87,820900,52.59
"2007-04-27",62.88,63.05,62.57,62.81,904900,52.54
"2007-04-30",62.76,62.89,61.91,61.91,1228200,51.78
"2007-05-01",62.02,62.24,61.42,62.01,1035300,51.87
"2007-05-02",61.96,62.47,61.86,62.34,575400,52.14
"2007-05-03",62.4,62.65,62.07,62.29,976900,52.1
"2007-05-04",62.46,62.74,62.15,62.48,405600,52.26
"2007-05-07",62.62,63.02,62.49,62.82,555300,52.55
"2007-05-08",62.42,62.99,62.34,62.75,503800,52.49
"2007-05-09",62.57,63.32,62.08,63.07,780500,52.75
"2007-05-10",62.9,62.91,61.98,61.99,914800,51.85
"2007-05-11",62.33,62.65,62.11,62.45,1257800,52.24
"2007-05-14",62.46,62.54,61.73,61.77,977000,51.67
"2007-05-15",61.78,62.53,61.77,61.94,992200,51.81
"2007-05-16",62.31,63.28,62.17,63.18,1338700,52.85
"2007-05-17",63.19,63.66,63.19,63.27,1112300,52.92
"2007-05-18",63.68,63.75,63.25,63.43,844500,53.06
"2007-05-21",63.25,63.45,62.98,63.19,806000,52.86
"2007-05-22",63.19,63.68,62.77,63.38,1148300,53.01
