"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2007-01-03",515.96,525.7,515.96,523,3981500,79.64
"2007-01-04",520,526.93,518.67,526.8,2590000,80.22
"2007-01-05",526.8,531.77,524.62,529.27,2196500,80.6
"2007-01-08",531,534.9,527.17,534.9,2040000,81.45
"2007-01-09",534.7,538.25,532.16,537.99,2144500,81.92
"2007-01-10",536.1,553.95,535.11,553.37,4263500,84.26
"2007-01-11",553.2,559.9,548.4,556.67,3629000,84.77
"2007-01-12",556.5,574.48,555.77,574,4965000,87.41
"2007-01-16",574,577.99,565.3,569.75,3808500,86.76
"2007-01-17",569.75,584,567.17,582,4341000,88.62
"2007-01-18",585,590,574.17,577.5,4290000,87.94
"2007-01-19",576,580,572.41,577.33,3234500,87.91
"2007-01-22",579.9,580.6,567.25,570,2567000,86.8
"2007-01-23",572,584.42,566.54,584.35,3636500,88.98
"2007-01-24",584.7,596.3,582.11,591.54,4240000,90.08
"2007-01-25",593.7,593.7,576.91,579,2802000,88.17
"2007-01-26",582.9,589,576.81,588.86,3021500,89.67
"2007-01-29",588.93,591.95,575,575.85,3097000,87.69
"2007-01-30",555,574.32,547.46,568.25,9216000,86.53
"2007-01-31",570.2,572.5,562.15,563.3,3259000,85.78
"2007-02-01",567,578,565.3,577.82,3070000,87.99
"2007-02-02",575.5,580,571,578.9,2500500,88.15
"2007-02-05",581.25,581.4,572.1,577.6,1790000,87.95
"2007-02-06",577.6,581,573.65,579.08,1734500,88.18
"2007-02-07",579.7,587.66,575.37,587.35,2447500,89.44
"2007-02-08",587,587.62,580.47,584.19,1734000,88.96
"2007-02-09",585.75,587.2,567.55,573.25,2792000,87.29
"2007-02-12",573.25,573.49,562.2,564,2361500,85.88
"2007-02-13",568,573.76,565.77,572,2561500,87.1
"2007-02-14",573.33,579.82,570.61,573,2263000,87.25
"2007-02-15",573,579.81,571.5,572.59,1561000,87.19
"2007-02-16",570.75,576,570.03,574.76,2081000,87.52
"2007-02-20",574.77,578.5,568.57,577,2802000,87.86
"2007-02-21",576.75,578.33,567,567.27,3040000,86.38
"2007-02-22",566.25,567.01,547.87,550,4932500,83.75
"2007-02-23",550.25,551.5,540.53,544.85,4060500,82.97
"2007-02-26",550.05,551,535.01,536.59,3233500,81.71
"2007-02-27",530,532.79,510,510.99,6573000,77.81
"2007-02-28",519.45,543.75,516.22,539.15,8502000,82.1
"2007-03-01",531,550.39,526.1,545.23,6290000,83.03
"2007-03-02",544,548.19,535.34,540.25,4628500,82.27
"2007-03-05",541,562.13,537.97,554.4,6913000,84.42
"2007-03-06",561.85,568.95,559.24,564.55,5168500,85.97
"2007-03-07",563.69,567.89,558.87,561.03,4465000,85.56
"2007-03-08",565.85,574.25,563.21,567.69,5290000,86.58
"2007-03-09",572.75,572.75,561,567.96,3623500,86.62
"2007-03-12",567.96,571.3,563.11,567.5,3199500,86.55
"2007-03-13",566,566.4,549.91,550.45,5217000,83.95
"2007-03-14",557,565.41,545.58,563.97,6245500,86.01
"2007-03-15",554.01,574.99,532,532.88,15800000,81.27
"2007-03-16",538.2,538.9,518.51,527,10265000,80.37
"2007-03-19",530,536.34,525,530.25,6117000,80.87
"2007-03-20",531.9,535.85,528.73,532.45,2998500,81.2
"2007-03-21",532.45,541,528.27,540.5,3179500,82.43
"2007-03-22",543.4,548.95,535.01,544.13,4299500,82.98
"2007-03-23",544.13,546.5,537,540.84,2617500,82.48
"2007-03-26",541.5,543.71,535.61,538.2,2803000,82.08
"2007-03-27",537.95,545.91,535.75,537.41,2551000,81.96
"2007-03-28",537.36,539.7,527.2,529.25,2983500,80.72
"2007-03-29",533,534.6,529.67,531.11,2575000,81
"2007-03-30",530.5,536.1,528.23,532.46,2088500,81.2
"2007-04-02",537.1,546,533.98,543.88,3965000,82.95
"2007-04-03",544.38,551.7,542.86,550.9,3332500,84.02
"2007-04-04",551.5,561.21,551,557.1,3436000,84.96
"2007-04-05",557.01,559.08,552.71,553.5,1495500,84.41
"2007-04-09",555,557.9,548.18,550.5,1345500,83.96
"2007-04-10",551.25,556.83,548.45,550.5,1356000,83.96
"2007-04-11",549.91,554.2,544.25,550.5,1866500,83.96
"2007-04-12",550.65,554.69,546.19,553.35,1702500,84.39
"2007-04-13",555.3,555.45,551.02,551.49,992000,84.11
"2007-04-16",551.69,565,551.49,558.74,2645000,85.21
"2007-04-17",558.75,562.49,554.5,558.2,1554000,85.13
"2007-04-18",558.2,564,555.44,558.6,1576500,85.19
