"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2007-01-03",56.9,56.95,56,56.41,519300,56.41
"2007-01-04",56.5,56.5,55.13,55.38,471200,55.38
"2007-01-05",55.58,55.68,54.61,55,508800,55
"2007-01-08",55.01,56.2,54.8,56.05,286500,56.05
"2007-01-09",56.04,57.39,56.04,56.45,571600,56.45
"2007-01-10",55.73,56.65,55.51,56.21,869100,56.21
"2007-01-11",56.35,57.75,56.16,57.67,447700,57.67
"2007-01-12",57.42,58.5,56.63,58.28,745200,58.28
"2007-01-16",58.29,60.5,58.29,60.46,712000,60.46
"2007-01-17",60.4,60.94,59.52,60.6,595000,60.6
"2007-01-18",60.6,60.6,59.02,59.58,759600,59.58
"2007-01-19",59.34,59.68,58.8,58.97,258500,58.97
"2007-01-22",59.54,59.54,58.17,58.42,410200,58.42
"2007-01-23",58.95,59.06,58.01,58.5,616500,58.5
"2007-01-24",58.7,58.99,57.96,58,421300,58
"2007-01-25",58.2,58.25,57.15,57.48,1139300,57.48
"2007-01-26",58,58.2,56.66,57.34,518000,57.34
"2007-01-29",57.09,59.2,56.87,58.7,401200,58.7
"2007-01-30",58.67,59.86,58.34,59.6,504800,59.6
"2007-01-31",59.6,60.3,58.74,59.42,467000,59.42
"2007-02-01",59.6,60.4,58.93,59.8,875700,59.8
"2007-02-02",60.18,60.18,59.53,60.01,348900,60.01
"2007-02-05",60.2,60.67,59.75,60.44,215900,60.44
"2007-02-06",60.51,60.63,59.86,60.58,326300,60.58
"2007-02-07",60.58,61.76,60.4,61.57,748500,61.57
"2007-02-08",61.57,62.26,61.11,62.09,304600,62.09
"2007-02-09",62.25,62.4,61.48,61.91,751600,61.91
"2007-02-12",61.65,61.7,60.04,60.72,567400,60.72
"2007-02-13",61.03,61.58,60.3,60.45,217500,60.45
"2007-02-14",60.57,61.51,59.6,59.69,1087600,59.69
"2007-02-15",60.21,61.69,59.39,61.38,1248600,61.38
"2007-02-16",64,65.25,63.1,65.03,2085900,65.03
"2007-02-20",64,64.48,62.92,63.89,1293900,63.89
"2007-02-21",63.55,63.75,62.88,63.58,602400,63.58
"2007-02-22",64.5,64.91,63.83,64.42,332300,64.42
"2007-02-23",64.2,64.8,62.9,64.31,264400,64.31
"2007-02-26",64.31,64.32,62.8,63.63,536700,63.63
"2007-02-27",62.3,62.83,59.65,60.25,1175700,60.25
"2007-02-28",60.5,60.68,59.51,59.99,529000,59.99
"2007-03-01",58.65,61.5,58.6,61.23,791600,61.23
"2007-03-02",61.02,61.3,60,60.2,495800,60.2
"2007-03-05",59.7,60.1,58.61,59.05,298400,59.05
"2007-03-06",59.79,60.5,59,60.07,572000,60.07
"2007-03-07",60.32,61.11,59.72,60.22,198100,60.22
"2007-03-08",61.6,61.6,59.95,60.09,345000,60.09
"2007-03-09",60.34,61,60.09,60.57,274700,60.57
"2007-03-12",60.58,61.24,60.5,61.23,277000,61.23
"2007-03-13",61.37,62,60.5,61.01,405800,61.01
"2007-03-14",61.15,61.55,60.05,60.59,305100,60.59
"2007-03-15",60.59,61.09,60.12,61.05,351300,61.05
"2007-03-16",61.05,61.19,60.36,60.58,277100,60.58
"2007-03-19",60.75,63.42,60.75,63.1,663200,63.1
"2007-03-20",63.1,64.64,63.04,64.23,774900,64.23
"2007-03-21",64.25,64.96,63.71,64.75,248600,64.75
"2007-03-22",64.65,64.8,64.02,64.17,174900,64.17
"2007-03-23",64.27,64.85,64.15,64.8,143500,64.8
"2007-03-26",64.35,64.35,63.42,63.59,308900,63.59
"2007-03-27",63.55,63.55,62.13,62.37,228700,62.37
"2007-03-28",62.12,62.16,61.59,62.06,357900,62.06
"2007-03-29",62.6,62.62,61.51,62.2,204900,62.2
"2007-03-30",62,62.9,61.7,62.1,128800,62.1
"2007-04-02",62.25,62.84,61.94,62.74,260600,62.74
"2007-04-03",63.1,64.3,63.1,63.95,199600,63.95
"2007-04-04",64.2,64.84,63.13,64.75,284300,64.75
"2007-04-05",64.89,65,63.57,64.91,214200,64.91
"2007-04-09",65.18,66,64.4,65,481500,65
"2007-04-10",64.9,64.94,64.15,64.67,233800,64.67
"2007-04-11",64.67,64.67,63.53,63.78,311000,63.78
"2007-04-12",63.75,64.27,62.55,64.16,485800,64.16
"2007-04-13",64.45,64.64,63.58,64.07,85800,64.07
"2007-04-16",64,65.95,63.79,65.2,226600,65.2
"2007-04-17",65.25,66.65,65.19,66.54,221500,66.54
"2007-04-18",66.54,66.64,65.8,66.25,256000,66.25
"2007-04-19",66,66,65,65.37,124000,65.37
"2007-04-20",65.8,66.5,65.04,65.59,527900,65.59
"2007-04-23",65.6,66.01,65.2,65.51,135300,65.51
"2007-04-24",65.5,65.5,64.11,65,272100,65
"2007-04-25",65,65.93,64.52,65.68,176200,65.68
"2007-04-26",66.05,67.6,65.95,66.94,394200,66.94
"2007-04-27",66.89,66.89,65.84,66.02,203000,66.02
"2007-04-30",68,68,65,65.23,483500,65.23
"2007-05-01",65.65,67,63.91,66.26,867300,66.26
"2007-05-02",71.39,80.75,71.3,78.09,4296600,78.09
"2007-05-03",78.09,80.39,78.09,79.01,1078500,79.01
"2007-05-04",79.24,80.1,78.26,78.37,948200,78.37
"2007-05-07",78.37,78.68,76.3,76.4,723100,76.4
"2007-05-08",76.25,78.07,76,77.62,471400,77.62
"2007-05-09",77.62,78.2,76.84,77.69,347300,77.69
"2007-05-10",77.46,81.54,76.85,80.55,1079000,80.55
"2007-05-11",80.5,82.9,80.25,81.74,681400,81.74
"2007-05-14",82.1,83.42,81.55,82.7,490500,82.7
"2007-05-15",83.5,83.5,80.87,81.1,557100,81.1
"2007-05-16",81.98,82.6,80.5,82.44,714000,82.44
