"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2007-01-03",119.23,119.49,117.51,117.91,3274000,26.42
"2007-01-04",117.8,118.08,116.5,118.04,3566400,26.45
"2007-01-05",117.58,117.58,115.41,116.06,3021200,26
"2007-01-08",116.8,116.97,115.37,116,4057600,25.99
"2007-01-09",116,117.57,115.66,117.26,3143200,26.27
"2007-01-10",116.5,116.5,112.64,114.3,6768800,25.61
"2007-01-11",114.95,116.23,114.51,115.88,3179200,25.96
"2007-01-12",115.89,117.75,115.67,116.75,2988400,26.16
"2007-01-16",116.5,118.72,116.25,118.72,2678000,26.6
"2007-01-17",118.72,120.8,118.49,120.05,5058400,26.9
"2007-01-18",120.1,121.38,119.34,119.75,2945200,26.83
"2007-01-19",120,121.23,119.91,120.74,2847200,27.05
"2007-01-22",120.57,120.87,117.85,118.32,4064000,26.51
"2007-01-23",118.25,122.27,118.22,121.04,3443200,27.12
"2007-01-24",121.1,122.52,120.39,122.28,2919200,27.4
"2007-01-25",121.85,122.9,121.07,121.6,5599600,27.25
"2007-01-26",122.25,125.75,121.4,125.07,5863200,28.02
"2007-01-29",127.42,129,126.39,127.25,9144800,28.51
"2007-01-30",128.5,130.3,127.25,129.96,5874000,29.12
"2007-01-31",130,135,129.86,134.56,6255600,30.15
"2007-02-01",134.63,137.02,133.74,136.72,5936400,30.63
"2007-02-02",137,139.63,136.24,139.34,7251600,31.22
"2007-02-05",139.34,140,138.4,139.66,3366400,31.29
"2007-02-06",139.66,139.95,138.46,139.46,3830400,31.25
"2007-02-07",140,140.09,138.98,140.06,2935600,31.38
"2007-02-08",140,140,137.84,138.04,4517600,30.93
"2007-02-09",138.6,138.79,135.21,135.5,3984800,30.36
"2007-02-12",135.74,137.7,135.69,137.35,2660400,30.77
"2007-02-13",137.95,138.94,136.92,138.69,2396000,31.08
"2007-02-14",139.25,146.8,138.58,144.72,7773200,32.51
"2007-02-15",144.47,145.56,142.33,143.41,4796400,32.22
"2007-02-16",143.41,144.65,142.42,144.45,2787600,32.45
"2007-02-20",144.25,144.38,142.13,143.54,2733600,32.25
"2007-02-21",142.6,145.95,142.36,145.69,3064400,32.73
"2007-02-22",146.4,146.57,143.54,144.24,3206000,32.4
"2007-02-23",144,145.24,143.73,144.65,2127200,32.49
"2007-02-26",145.3,145.74,142.74,142.85,2544400,32.09
"2007-02-27",142.13,142.13,134,136.15,6710800,30.59
"2007-02-28",136.15,136.83,133.02,134.6,5489200,30.24
"2007-03-01",133.9,137.25,131.86,136.1,5997600,30.57
"2007-03-02",135,135.75,133.5,133.82,4581200,30.06
"2007-03-05",133.82,135.95,133,133.65,5867200,30.02
"2007-03-06",135.75,136.49,133.9,134.22,3428800,30.15
"2007-03-07",134.22,136.42,134.07,134.6,3224400,30.24
"2007-03-08",138,138.38,136.26,137.2,3486400,30.82
"2007-03-09",138.28,141.01,138.05,139.94,4519600,31.44
"2007-03-12",139,139.74,137.8,138.06,3082400,31.01
"2007-03-13",137.25,138.55,133.49,134.41,5794800,30.19
"2007-03-14",134.45,136.68,133.7,136.43,4251200,30.65
"2007-03-15",136.44,137.48,136.13,136.3,2059200,30.62
"2007-03-16",136.85,138.82,135.95,138.47,4204400,31.11
"2007-03-19",139,142.86,138.92,142.27,4065600,31.96
"2007-03-20",142.27,144.34,141.37,143.82,3184800,32.31
"2007-03-21",143.82,147.3,143.07,146.98,4024000,33.02
"2007-03-22",147.08,148.72,146.55,148.01,3466800,33.25
"2007-03-23",148.25,151.94,147.77,150.19,4598400,33.74
"2007-03-26",150,150.39,147.97,148.74,3743200,33.41
"2007-03-27",148.6,148.6,145.42,145.87,5328400,32.77
"2007-03-28",145.87,145.87,143.09,143.43,4436400,32.22
"2007-03-29",144.99,145.89,143.65,144.92,2828400,32.56
"2007-03-30",145.1,146.91,143.87,144.72,2604800,32.51
"2007-04-02",144.72,146.11,144.05,145.27,2402400,32.63
"2007-04-03",146.07,147.2,145.34,146.57,1762800,32.93
"2007-04-04",146.65,146.65,144.74,145.25,2443200,32.63
"2007-04-05",146.05,148.14,145.73,147.7,2162000,33.18
"2007-04-09",148.03,148.89,147.33,147.48,1839600,33.13
"2007-04-10",73.32,73.92,72.8,73.45,2301800,33
"2007-04-11",73.19,73.91,72.73,73.44,2762200,33
"2007-04-12",73.39,73.63,72.63,73.33,2380400,32.95
"2007-04-13",73.42,74.1,73.16,73.67,1602600,33.1
"2007-04-16",74.68,74.96,74.09,74.96,1951400,33.68
"2007-04-17",74.96,75.55,74.58,75.19,2249400,33.78
"2007-04-18",74.86,75,73.92,74.2,1896400,33.34
"2007-04-19",74.07,74.7,73.29,73.81,1754200,33.16
"2007-04-20",75,77.56,75,77.42,5356400,34.78
"2007-04-23",77.73,88.19,77.39,84.76,16471600,38.08
"2007-04-24",86.75,91.45,85.52,85.55,14742800,38.44
"2007-04-25",86.05,86.49,83.93,84.35,6294600,37.9
"2007-04-26",85.1,87.71,84.96,85.99,4926400,38.63
"2007-04-27",92.84,107.23,92.4,96.14,31219200,43.19
"2007-04-30",95.31,96.14,92,92.16,9908200,41.41
"2007-05-01",92.01,92.8,90.87,91.91,5905600,41.29
"2007-05-02",91.84,92.47,91.04,91.39,5250800,41.06
"2007-05-03",91.84,92.18,90.79,90.95,4477000,40.86
"2007-05-04",91.82,91.87,90.03,90.27,3460600,40.56
"2007-05-07",90.4,90.42,88.68,89.2,3851000,40.08
"2007-05-08",89.01,89.32,87.37,88.67,5597000,39.84
"2007-05-09",88.68,90.9,88.67,90.3,5010000,40.57
"2007-05-10",89.38,90.18,88.9,89.18,3493800,40.07
"2007-05-11",89.51,91.78,89.51,91.62,4583200,41.16
"2007-05-14",91.13,92.16,89.66,89.9,3316600,40.39
"2007-05-15",90.49,91.25,87.92,88.4,3426200,39.72
"2007-05-16",90.7,90.7,87.85,88.96,3183000,40.05
"2007-05-17",88.81,89.03,88.11,88.63,2656600,39.9
"2007-05-18",88.96,89.9,87.1,87.42,2744800,39.36
"2007-05-21",87.5,89,87.49,87.84,3292400,39.55
"2007-05-22",87.85,88.55,87.4,87.56,2631400,39.42
"2007-05-23",87.72,88.69,87,87.49,2281200,39.39
"2007-05-24",87.99,88.5,85.98,86.1,3182000,38.76
"2007-05-25",86.11,88.35,86.1,87.74,2212800,39.5
"2007-05-29",87.9,89.89,87.9,88.4,2754000,39.8
"2007-05-30",87.31,89.97,87.22,89.97,2625600,40.51
"2007-05-31",93.3,95.47,91.52,94.23,6267600,42.42
"2007-06-01",94.38,94.59,92.62,94.08,3716000,42.36
"2007-06-04",94.09,95,93.2,94.61,2839400,42.59
"2007-06-05",94.85,101.89,94.52,100.92,9445800,45.43
"2007-06-06",100.11,100.35,94.76,95.45,6799400,42.97
"2007-06-07",95.02,96.61,92.73,93.4,5136200,42.05
"2007-06-08",93.11,94.21,91.5,93.8,3370400,42.23
"2007-06-11",93.5,95.91,93.18,95.58,3299000,43.03
"2007-06-12",95.95,97.3,95.33,95.35,3519400,42.93
"2007-06-13",96.31,96.71,94.31,96.6,3043000,43.49
"2007-06-14",96.61,98.79,96.4,97.57,2602200,43.93
"2007-06-15",98.75,99.2,97.28,97.49,2395400,43.89
"2007-06-18",97.76,98.58,96.5,96.52,1834800,43.45
"2007-06-19",96.53,101.26,96.53,101.17,3869200,45.55
"2007-06-20",101.4,107,101.26,104,8546000,46.82
"2007-06-21",104.01,104.01,101.3,103.07,3876200,46.4
"2007-06-22",103.18,105.64,101.79,102.14,3956000,45.98
"2007-06-25",102.53,103.36,99.5,100.17,3401600,45.1
"2007-06-26",101.1,101.85,98.4,98.47,3244200,44.33
"2007-06-27",99.95,101.87,98,101.35,3768600,45.63
"2007-06-28",100.92,105,100.8,102.97,4178200,46.36
"2007-06-29",102.75,102.98,100,101.21,3366800,45.57
"2007-07-02",102.21,105.32,101.94,105.08,3226600,47.31
"2007-07-03",106.71,108,105.77,106.5,1871000,47.95
"2007-07-05",107,107,104.78,105.27,2234600,47.39
"2007-07-06",105,107.43,104.76,106.49,1343400,47.94
"2007-07-09",109.34,120.18,109.34,117.64,9804600,52.96
"2007-07-10",115.51,117,110.89,111.64,7370400,50.26
"2007-07-11",112.21,116.25,112.01,114.35,4977600,51.48
"2007-07-12",116,116.19,114,115.44,3722800,51.97
"2007-07-13",115.76,120,115.51,118.65,4924800,53.42
"2007-07-16",119,120.85,117.24,117.96,4649400,53.11
"2007-07-17",119.55,120.86,116.8,119.2,5587600,53.66
"2007-07-18",118.13,120.21,117,118.5,4074400,53.35
"2007-07-19",119.45,120.28,117.36,119.37,3079000,53.74
"2007-07-20",116,118.67,115.27,116.07,5718600,52.26
"2007-07-23",116.99,118,114.06,114.69,3882800,51.63
"2007-07-24",114.25,114.39,111.07,111.84,4109000,50.35
"2007-07-25",113.19,113.19,107,109.81,5448800,49.44
"2007-07-26",117.02,123.5,112.71,116.15,15228800,52.29
"2007-07-27",117,120.77,115.57,116.62,6909200,52.5
"2007-07-30",116.72,120.23,116,119.59,4246200,53.84
"2007-07-31",121.1,122.61,118.7,118.7,5593800,53.44
"2007-08-01",117.91,126.69,116.61,120.06,5360800,54.05
"2007-08-02",121.43,125.22,119.36,125.03,5646000,56.29
"2007-08-03",123.75,125.99,119.85,119.85,4581800,53.96
"2007-08-06",119.95,125.73,118.15,124.82,5150000,56.19
"2007-08-07",124.08,125.99,122.8,124.69,4780000,56.14
"2007-08-08",125.37,126,116.51,119.23,6224200,53.68
"2007-08-09",118.38,118.39,108.76,108.76,8812200,48.96
"2007-08-10",106.8,116.72,102.5,114.05,8746000,51.35
"2007-08-13",117.04,120.99,115.32,118.95,5845400,53.55
"2007-08-14",119.65,120.12,111.66,112.02,5919600,50.43
"2007-08-15",111.17,115.28,107.15,108.04,3644600,48.75
"2007-08-16",106,107.8,96,105.25,9384600,47.49
"2007-08-17",109.67,114.75,104.84,106.11,7898200,47.88
"2007-08-20",106.84,108.99,104.58,107.69,3247600,48.59
"2007-08-21",107.14,112.9,106.5,110.87,4170000,50.03
"2007-08-22",112.26,116.33,112,115.82,3224200,52.26
"2007-08-23",116.59,116.8,112.18,112.59,3185600,50.8
"2007-08-24",113.48,116.95,112.01,116.49,1856800,52.56
"2007-08-27",116.25,118,114.75,115.03,1771600,51.9
"2007-08-28",115.5,115.51,109.18,109.31,3082200,49.32
"2007-08-29",110.25,111.79,108.08,111.66,3061200,50.38
"2007-08-30",109.93,113,109.61,111.58,1920200,50.35
"2007-08-31",113.05,119.87,113.05,118.42,4488800,53.43
"2007-09-04",118.69,122.64,116.25,121.37,4204800,54.76
"2007-09-05",119.49,120.39,116.62,118.02,3086600,53.25
"2007-09-06",117.94,119.19,116.61,118.4,2355200,53.42
"2007-09-07",115.48,116.44,113.53,114.35,2535800,51.6
"2007-09-10",114.94,117.42,110.03,113.03,3334800,51
"2007-09-11",114.1,117.72,113.62,117.23,3412400,52.9
"2007-09-12",116.99,117.16,114.33,115.71,3225200,52.21
"2007-09-13",116.71,119.95,115.58,119.78,3113800,54.05
"2007-09-14",118.35,120.29,117.88,119.87,1644400,54.09
"2007-09-17",119.99,122.04,119,121.75,2252600,54.94
"2007-09-18",122.25,134.51,121.3,134.51,6609200,60.69
"2007-09-19",137,140.26,130.3,131.9,5902000,59.52
"2007-09-20",130.92,133.85,129.23,130.16,2588200,58.73
"2007-09-21",131.01,132.13,130.1,131.54,2706400,59.35
"2007-09-24",131.1,133.2,127.5,128.77,2983800,58.1
"2007-09-25",127.01,134.76,126.4,133.85,3662200,60.4
"2007-09-26",133.94,135.05,129.01,131.13,3433200,59.17
"2007-09-27",131.26,134.5,130.02,130.85,2670200,59.04
"2007-09-28",130.11,130.25,127.4,127.89,3567000,57.71
"2007-10-01",127.99,132.99,127.5,132.59,3383400,59.83
"2007-10-02",132.95,136.25,130.31,135.06,3992000,60.94
"2007-10-03",134.57,136.25,131.61,133.06,3653800,60.04
"2007-10-04",133.24,137.7,132.47,136.44,3664800,61.56
"2007-10-05",138.75,140.57,136.75,138.75,3049400,62.61
"2007-10-08",137.28,138.82,134.14,136.82,2420400,61.74
"2007-10-09",137.47,140.82,135.15,139.98,2661200,63.16
"2007-10-10",139.9,140.19,137.8,139.04,2431200,62.74
"2007-10-11",139.99,143.45,134.7,136.89,3885400,61.77
"2007-10-12",137,140.02,137,140.02,1872200,63.18
"2007-10-15",139.69,140.81,137.25,140.16,2416800,63.24
"2007-10-16",139.66,140.25,135.73,136.89,2394800,61.77
"2007-10-17",138.05,139.95,136.01,137.94,2342800,62.24
"2007-10-18",137.55,139.37,135.91,137.78,1881200,62.17
"2007-10-19",136.74,136.74,130,130.61,4122600,58.93
"2007-10-22",127.42,134.98,127,133.67,3208200,60.31
"2007-10-23",133.72,135.33,132.32,134.87,1900400,60.86
"2007-10-24",135.32,135.89,131.02,133.73,3481800,60.34
"2007-10-25",123.42,123.42,105.6,111.56,20864800,50.34
"2007-10-26",115.03,118.73,113.34,116.94,10029000,52.77
"2007-10-29",117.57,119.44,117.21,119.44,5085400,53.89
"2007-10-30",118.9,119.97,117.88,118.85,3520600,53.63
"2007-10-31",119.49,121,118.87,119.96,2573800,54.13
"2007-11-01",119.13,123.38,118.28,121.44,4363600,54.8
"2007-11-02",121.86,122.68,119.17,121.53,4157400,54.84
"2007-11-05",119.25,123.25,119.25,122,3204800,55.05
"2007-11-06",122.1,127.99,122.1,127.9,2789400,57.71
"2007-11-07",125,128.44,124.34,124.85,3242200,56.33
"2007-11-08",124.3,127.02,122.69,124.86,3251200,56.34
"2007-11-09",117.69,123.02,117.69,120.56,3504800,54.4
"2007-11-12",120,124.45,112.86,113.68,4640600,51.29
"2007-11-13",115.56,119.31,114.33,118.75,3789400,53.58
"2007-11-14",119.95,121.33,119.28,119.58,3198400,54.07
"2007-11-15",118.87,119.09,112.25,112.62,4636800,50.92
"2007-11-16",111.05,113.51,109.19,112.62,4049800,50.92
"2007-11-19",111.69,113,103.68,105.79,4827800,47.83
"2007-11-20",106.17,110.79,105.39,108.21,3408600,48.93
"2007-11-21",106,108.74,104.81,107.43,2285400,48.58
"2007-11-23",108.95,108.95,105,106.32,1222000,48.07
"2007-11-26",106.32,110.19,105.38,105.57,2367600,47.74
"2007-11-27",105.91,110.2,105.91,108.82,2296000,49.2
"2007-11-28",110,115.07,110,114.32,3011400,51.69
"2007-11-29",114.18,117.47,113.26,115.51,1993800,52.23
"2007-11-30",119,120.2,115.51,116.9,3321400,52.86
"2007-12-03",116,119.88,115.77,117.77,2643000,53.25
"2007-12-04",117.3,120.46,115.81,117.48,2216800,53.12
"2007-12-05",118.51,122.45,118.51,122,2869800,55.16
