"","CNP.Open","CNP.High","CNP.Low","CNP.Close","CNP.Volume","CNP.Adjusted"
"2007-01-03",16.63,17.25,16.62,17.05,5540800,12.21
"2007-01-04",17.04,17.38,17,17.08,3936500,12.23
"2007-01-05",17.13,17.47,16.67,16.79,6084900,12.03
"2007-01-08",16.74,16.91,16.54,16.63,3849100,11.91
"2007-01-09",16.65,16.77,16.54,16.7,2815400,11.96
"2007-01-10",16.7,16.89,16.66,16.79,1676800,12.03
"2007-01-11",16.82,17.03,16.7,16.87,1644300,12.08
"2007-01-12",16.88,17.34,16.79,16.84,1962000,12.06
"2007-01-16",16.89,16.97,16.84,16.9,1455100,12.11
"2007-01-17",16.69,16.75,16.54,16.71,2397400,11.97
"2007-01-18",16.72,16.73,16.5,16.51,2830400,11.83
"2007-01-19",16.48,16.73,16.4,16.72,2131100,11.98
"2007-01-22",16.75,16.89,16.64,16.85,3568000,12.07
"2007-01-23",16.85,17.02,16.78,17.01,3543700,12.18
"2007-01-24",17.09,17.41,17.02,17.31,5937100,12.4
"2007-01-25",17.2,17.42,17.15,17.41,6313000,12.47
"2007-01-26",17.41,17.54,17.35,17.49,4076700,12.53
"2007-01-29",17.48,17.49,17.22,17.43,4253300,12.49
"2007-01-30",17.43,17.48,17.24,17.47,3283400,12.51
"2007-01-31",17.47,17.47,17.26,17.26,4676700,12.36
"2007-02-01",17.28,17.5,17.25,17.5,2748800,12.54
"2007-02-02",17.54,17.55,17.44,17.5,2056500,12.54
"2007-02-05",17.5,17.79,17.48,17.77,2758700,12.73
"2007-02-06",18,18.31,17.56,18,3146800,12.89
"2007-02-07",18,18,17.76,17.8,2582600,12.75
"2007-02-08",17.81,18.08,17.55,18.06,7582600,12.94
"2007-02-09",18.03,18.1,17.85,17.95,2630000,12.86
"2007-02-12",17.97,18.04,17.9,17.94,2007600,12.85
"2007-02-13",17.92,18.2,17.88,18.19,1970400,13.03
"2007-02-14",18.1,18.24,18,18.17,2244900,13.14
"2007-02-15",18.2,18.24,18.12,18.18,1342600,13.15
"2007-02-16",18.12,18.18,17.86,18.16,999000,13.13
"2007-02-20",18.11,18.33,18.06,18.28,1468400,13.22
"2007-02-21",18.28,18.3,18.09,18.25,1837800,13.2
"2007-02-22",18.26,18.36,18.18,18.24,1900900,13.19
"2007-02-23",18.29,18.29,18.16,18.23,1642300,13.18
"2007-02-26",18.38,18.95,18.32,18.37,3675400,13.28
"2007-02-27",18.38,18.43,17.64,17.85,3216800,12.91
"2007-02-28",17.49,18.04,17.49,17.83,2928100,12.89
"2007-03-01",17.6,17.99,16.52,17.87,3005200,12.92
"2007-03-02",17.15,17.63,17.03,17.5,2843100,12.65
"2007-03-05",17.4,17.4,17.07,17.09,2765300,12.36
"2007-03-06",17.09,17.5,17.05,17.41,4467000,12.59
"2007-03-07",17.35,17.71,17.25,17.53,3368100,12.68
"2007-03-08",17.65,17.71,17.5,17.54,2725400,12.68
"2007-03-09",17.57,17.7,17.43,17.63,2227400,12.75
"2007-03-12",17.69,17.74,17.39,17.62,3051500,12.74
"2007-03-13",17.57,17.8,17.4,17.4,2131600,12.58
"2007-03-14",17.45,17.58,17,17.44,3565400,12.61
"2007-03-15",17.4,17.64,17.15,17.56,2488100,12.7
"2007-03-16",17.58,17.65,17.4,17.46,3396300,12.62
"2007-03-19",17.47,17.72,17.46,17.68,2375500,12.78
"2007-03-20",17.69,17.85,17.58,17.83,1833200,12.89
"2007-03-21",17.85,18.16,17.74,18.12,3747300,13.1
"2007-03-22",18.13,18.17,17.94,17.98,2645400,13
"2007-03-23",18.02,18.21,17.91,18.2,2675700,13.16
"2007-03-26",18.06,18.19,17.89,18.18,2406200,13.15
"2007-03-27",18.11,18.24,17.97,18.15,1873600,13.12
"2007-03-28",18.15,18.22,17.93,17.98,2199900,13
"2007-03-29",18.02,18.12,17.96,18.1,1599800,13.09
"2007-03-30",18.1,18.2,17.7,17.94,2138600,12.97
"2007-04-02",17.93,18.45,17.87,18.42,2729300,13.32
"2007-04-03",18.49,18.5,18.33,18.38,2833300,13.29
"2007-04-04",18.43,18.45,18.32,18.45,1457200,13.34
"2007-04-05",18.54,18.54,18.42,18.49,2674700,13.37
"2007-04-09",18.5,18.61,18.47,18.53,1409000,13.4
"2007-04-10",18.56,18.69,18.46,18.64,2746200,13.48
"2007-04-11",18.67,18.73,18.49,18.63,2827100,13.47
"2007-04-12",18.64,18.7,18.37,18.47,1598700,13.35
"2007-04-13",18.49,18.56,18.27,18.27,2298500,13.21
"2007-04-16",18.35,18.59,18.33,18.48,5352700,13.36
"2007-04-17",18.48,18.76,18.36,18.75,2207100,13.56
"2007-04-18",18.27,19.01,18.27,18.93,2516800,13.69
"2007-04-19",18.45,19.4,18.35,18.68,1141100,13.51
"2007-04-20",18.87,18.95,18.73,18.86,3695700,13.64
"2007-04-23",18.83,19.16,18.8,18.89,2033600,13.66
"2007-04-24",18.91,18.99,18.76,18.93,1999200,13.69
"2007-04-25",19,19.3,19,19.15,1768900,13.85
"2007-04-26",19.14,19.21,18.87,18.94,1357900,13.69
"2007-04-27",18.94,19.11,18.83,19.06,1643900,13.78
"2007-04-30",19.11,19.14,18.78,18.83,2907000,13.62
"2007-05-01",18.89,19.38,18.77,19.34,5412600,13.98
"2007-05-02",19.34,19.42,19.18,19.36,1847200,14
