"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume","COF.Adjusted"
"2007-01-03",77.07,77.75,76.62,77.25,3047000,70.03
"2007-01-04",77.47,77.72,76.63,77.16,1461400,69.95
"2007-01-05",77.16,77.5,76.5,77.16,2163900,69.95
"2007-01-08",77.24,77.47,76.49,77.43,2018900,70.19
"2007-01-09",77.68,77.7,76.3,76.63,2089600,69.47
"2007-01-10",76.49,76.53,75.3,75.7,2839500,68.63
"2007-01-11",75.7,76.1,75.45,75.99,3194800,68.89
"2007-01-12",75.99,77.22,75.97,77.02,2819600,69.82
"2007-01-16",77.03,77.04,75.95,76.19,3647000,69.07
"2007-01-17",76.16,77.14,75.89,76.53,2884900,69.38
"2007-01-18",77.3,77.55,75.57,75.82,3306300,68.73
"2007-01-19",77.5,79,76.89,78.88,7297000,71.51
"2007-01-22",78.78,79.71,78.38,78.99,3975900,71.61
"2007-01-23",79.37,80.09,79.09,80.05,3825400,72.57
"2007-01-24",80,80.28,79.53,80.24,2667600,72.74
"2007-01-25",80.24,80.4,78.31,78.68,3352500,71.33
"2007-01-26",79.5,79.8,78.85,79.47,2715700,72.04
"2007-01-29",79.3,79.49,78.23,78.75,2081100,71.39
"2007-01-30",78.77,80.4,78.25,80.15,3381400,72.66
"2007-01-31",79.8,80.73,78.97,80.4,2996300,72.89
"2007-02-01",80.4,80.43,79.45,79.72,2799700,72.27
"2007-02-02",79.97,81.25,79.67,80.81,5207700,73.26
"2007-02-05",80.57,81.86,80.27,81.64,3509200,74.01
"2007-02-06",81.6,82.85,81.41,82.69,4148500,74.96
"2007-02-07",82.7,83.84,81.78,83.61,3162900,75.8
"2007-02-08",83.04,83.18,81.01,82.78,3464300,75.07
"2007-02-09",82.7,83.12,81.3,82.01,2697600,74.37
"2007-02-12",81.59,82.17,80.78,81.5,2661000,73.91
"2007-02-13",81.6,82.42,81.5,81.78,2207800,74.16
"2007-02-14",82.1,82.63,81.68,81.87,2669200,74.24
"2007-02-15",81.99,82.5,81.25,82.35,3127200,74.68
"2007-02-16",82.1,82.43,81.7,82.07,3397300,74.42
"2007-02-20",81.82,82.39,81.59,82.14,2601100,74.49
"2007-02-21",81.5,82.4,81.23,82.29,3546500,74.62
"2007-02-22",82.44,82.45,81.87,82.31,2611200,74.64
"2007-02-23",82.43,82.43,79.91,80.48,3420200,72.98
"2007-02-26",80.51,81.14,79.52,80.32,3242300,72.84
"2007-02-27",79.5,79.89,76.31,77.13,4783200,69.94
"2007-02-28",77.13,78.27,75.78,77.03,4257500,69.85
"2007-03-01",75.35,77.46,75,77.15,3539100,69.96
"2007-03-02",76.6,77.43,76.15,76.78,3236000,69.63
"2007-03-05",76,77.24,74.25,74.37,4761400,67.44
"2007-03-06",76,76.3,74.69,75.86,2702100,68.79
"2007-03-07",75.61,75.85,74.79,74.81,2733600,67.84
"2007-03-08",75.61,77.35,75.5,76.65,3825700,69.51
"2007-03-09",77.25,77.53,76.2,77,3454400,69.83
"2007-03-12",76.9,76.9,76.1,76.18,2015600,69.08
"2007-03-13",75.5,75.99,74.55,74.75,4442100,67.79
"2007-03-14",74.76,75.5,73.43,75.21,4652200,68.2
"2007-03-15",75.21,76.65,75,75.95,2711300,68.87
"2007-03-16",76.37,76.52,74.6,74.95,3596900,67.97
"2007-03-19",75.16,75.88,74.62,75.64,3801500,68.59
"2007-03-20",75.63,76.29,75.25,76.21,2491100,69.11
"2007-03-21",76.13,78.86,75.92,78.07,3537800,70.8
"2007-03-22",77.9,78.85,77.07,77.76,2218100,70.52
"2007-03-23",77.76,78.17,77.47,77.89,2656000,70.63
"2007-03-26",77.93,78.24,76.63,77.44,3043600,70.23
"2007-03-27",76.94,77.25,76.54,76.64,3120000,69.5
"2007-03-28",76.22,76.22,75.02,75.49,3561700,68.46
"2007-03-29",76.08,76.31,75.2,75.65,1759800,68.6
"2007-03-30",75.37,76.02,75.07,75.46,2074100,68.43
"2007-04-02",75.22,75.23,73.42,73.57,25366200,66.72
"2007-04-03",73.97,75.15,73.75,74.36,4172800,67.43
"2007-04-04",74.47,74.53,73.08,73.28,4471400,66.45
"2007-04-05",73.26,73.48,72.47,73.36,4520200,66.53
"2007-04-09",73.41,73.69,73.06,73.43,2081900,66.59
"2007-04-10",73.44,74.17,73.13,74.01,2453900,67.11
"2007-04-11",73.84,74.44,73.67,73.92,3270200,67.03
