"","COV.Open","COV.High","COV.Low","COV.Close","COV.Volume","COV.Adjusted"
"2007-06-14",48.5,49.7,46,46,1323300,36.57
"2007-06-15",46.25,47.13,46.1,46.5,1351600,36.97
"2007-06-18",46.51,46.75,46,46.25,791100,36.77
"2007-06-19",46.25,46.5,45.75,45.82,1477100,36.43
"2007-06-20",45.82,45.82,43.1,43.65,2570400,34.7
"2007-06-21",43.75,44,43.01,43.3,1887800,34.42
"2007-06-22",43.55,43.71,42.5,42.77,854900,34
"2007-06-25",42.75,43.25,41.7,42.15,878600,33.51
"2007-06-26",42.26,42.55,42,42.25,178400,33.59
"2007-06-27",42.35,43,42,43,373800,34.18
"2007-06-28",43.25,44.1,42.35,43.5,1001900,34.58
"2007-06-29",43.7,44,42.65,43.1,3296100,34.26
"2007-07-02",43.9,44,42.01,43.41,4461000,34.51
"2007-07-03",43.35,43.7,42.5,43.02,4342800,34.2
"2007-07-05",43.02,43.45,42.15,42.2,6237400,33.55
"2007-07-06",42.25,42.4,41.85,42.31,4590200,33.64
"2007-07-09",42.3,43.18,42.28,43.15,6299000,34.3
"2007-07-10",41.67,43.82,40.01,43.27,7005900,34.4
"2007-07-11",43.65,44.41,43.23,44.4,3438900,35.3
"2007-07-12",45,45,43.17,44.44,5302700,35.33
"2007-07-13",44.1,44.4,43.61,44,2517600,34.98
"2007-07-16",43.8,44.6,43.77,44.3,1470500,35.22
"2007-07-17",44.3,45,43.89,44,2449000,34.98
"2007-07-18",43.25,43.95,43.21,43.46,7207900,34.55
"2007-07-19",43.7,43.81,43.2,43.25,2388500,34.38
"2007-07-20",43.21,43.3,42.17,42.37,3736200,33.68
"2007-07-23",42.5,42.6,42.2,42.28,2617700,33.61
"2007-07-24",42,42.51,41.55,42.13,4886500,33.49
"2007-07-25",42.15,42.82,41.42,41.54,3308500,33.02
"2007-07-26",40.25,42.04,40,40.69,6455400,32.35
"2007-07-27",40.6,41.2,39.17,39.3,6911400,31.24
"2007-07-30",39.12,42.25,38.5,41.6,4461000,33.07
"2007-07-31",41.81,41.9,40.3,40.95,2068400,32.55
"2007-08-01",40.5,42.23,40.36,41.2,3701300,32.75
"2007-08-02",40.1,41.96,39.99,41.75,2534400,33.19
"2007-08-03",41.64,41.75,41.01,41.08,2152100,32.66
"2007-08-06",44.07,44.07,41,41.53,3090200,33.02
"2007-08-07",40.8,42.21,40.77,41.77,2535100,33.21
"2007-08-08",41.77,42.29,40.41,41.14,2752300,32.71
"2007-08-09",40.13,43,39.76,39.76,3971000,31.61
"2007-08-10",39.27,40.29,38.66,40.06,4790200,31.85
"2007-08-13",40,41.06,39.67,40.03,2134000,31.82
"2007-08-14",40,40.08,38.73,39.03,2737900,31.03
"2007-08-15",38.8,38.98,37.96,38.01,2394500,30.22
"2007-08-16",37.8,38.4,36.9,37.98,4379800,30.19
"2007-08-17",38.73,39.89,37.62,38.5,4999200,30.61
"2007-08-20",38.51,38.51,37.76,38.02,3554100,30.23
"2007-08-21",37.95,39.05,37.7,38.49,3227900,30.6
"2007-08-22",38.49,39.98,38.26,39.88,3384200,31.7
"2007-08-23",40.16,40.4,39.4,39.52,3013000,31.42
"2007-08-24",39.58,40.3,39.16,40.23,2931400,31.98
"2007-08-27",40.06,41.08,39.63,40.82,1755200,32.45
"2007-08-28",40.05,40.41,39.82,39.95,1838800,31.76
"2007-08-29",39.86,40.18,39.5,40.05,1776600,31.84
"2007-08-30",39.75,40.54,39.44,39.94,2541200,31.75
"2007-08-31",39.94,40.35,39.61,39.83,2059200,31.66
"2007-09-04",39.96,40.26,39.72,40.26,3235600,32.01
"2007-09-05",40.07,40.32,39.46,40.25,1756100,32
"2007-09-06",39.1,40.49,39.1,40.01,3053600,31.81
"2007-09-07",39.66,40.24,39.52,39.9,3150200,31.72
"2007-09-10",39.7,40.78,39.58,40.7,1847700,32.36
"2007-09-11",40.6,42,40.6,41.61,2493300,33.08
"2007-09-12",41.87,42.14,41.55,42.05,3468600,33.43
"2007-09-13",42.47,43.24,41.48,41.97,2869200,33.37
"2007-09-14",41.75,42.27,41.75,42.06,1838300,33.44
"2007-09-17",41.81,42.5,41.56,41.79,1284000,33.22
"2007-09-18",41.76,42.8,41.36,42.67,3275700,33.92
"2007-09-19",42.84,43,41.75,42.18,1756400,33.53
"2007-09-20",42.16,42.5,41.97,42.32,646800,33.64
"2007-09-21",42.84,43.1,42.32,42.5,2859500,33.79
"2007-09-24",42.5,42.79,41.8,41.94,1820400,33.34
"2007-09-25",41.77,41.85,41.07,41.46,1676100,32.96
"2007-09-26",41.58,42.26,41.25,41.4,2306300,32.91
"2007-09-27",41.4,41.56,40.52,41.23,2313300,32.78
"2007-09-28",41.07,41.86,40.57,41.5,2070100,32.99
"2007-10-01",41.5,42.86,41.5,42.15,2428900,33.51
"2007-10-02",42,42.23,41.07,41.22,2436300,32.77
"2007-10-03",40.89,41.13,40.32,41.05,3023700,32.63
"2007-10-04",40.56,41.46,40.56,41,3343400,32.72
"2007-10-05",41.25,41.61,41.07,41.19,2998000,32.87
"2007-10-08",41.42,41.85,41,41.58,1465500,33.18
"2007-10-09",41.58,41.88,41.48,41.81,1777800,33.37
"2007-10-10",41.96,42.4,41,41.5,4608800,33.12
"2007-10-11",41.82,41.89,41.15,41.5,2626100,33.12
"2007-10-12",41.4,41.7,41.25,41.6,1528900,33.2
"2007-10-15",41.5,41.75,41.09,41.49,2450600,33.11
"2007-10-16",41.52,41.8,40.98,41.14,1544600,32.83
"2007-10-17",41.4,41.56,40.9,41.32,2389800,32.98
"2007-10-18",41.25,41.25,40.55,40.8,2269800,32.56
"2007-10-19",40.8,40.8,40,40,3236300,31.92
"2007-10-22",40,40.88,39.91,40.71,1686400,32.49
"2007-10-23",40.68,40.99,40.41,40.77,1809100,32.54
"2007-10-24",40.82,40.85,39.88,40.35,3157400,32.2
"2007-10-25",40.38,40.83,40.16,40.52,4770400,32.34
"2007-10-26",40.82,41.23,40.4,41,2269600,32.72
"2007-10-29",41,42.19,41,41.74,2092600,33.31
"2007-10-30",41.54,41.82,41.5,41.65,2760100,33.24
"2007-10-31",41.43,41.79,41.01,41.6,2247200,33.2
"2007-11-01",41.6,41.77,40.99,41.13,2915100,32.83
"2007-11-02",41.01,41.45,40.36,40.65,2184500,32.44
"2007-11-05",40.63,40.63,39.9,40.25,2146200,32.12
"2007-11-06",40.25,41.09,39.86,40.29,1783400,32.16
"2007-11-07",39.7,40.51,39.46,39.52,2733500,31.54
"2007-11-08",39.55,40.22,39.37,39.99,2953200,31.92
"2007-11-09",39.38,40.11,39.13,39.44,2130100,31.48
"2007-11-12",39.29,39.62,39.03,39.03,1628000,31.15
"2007-11-13",39.28,39.44,38.58,39.24,2755300,31.32
"2007-11-14",39.41,39.41,38.49,38.63,2689300,30.83
"2007-11-15",38.4,39.59,38.34,39,2265400,31.13
"2007-11-16",39.22,39.71,38.77,39.58,2426700,31.59
"2007-11-19",39.41,39.67,38.96,39.08,2599700,31.19
"2007-11-20",39.22,39.42,38.11,38.71,3045700,30.89
"2007-11-21",38.31,38.82,37.98,38.1,2528400,30.41
"2007-11-23",38.5,38.52,38.03,38.35,856800,30.61
"2007-11-26",38.28,38.81,37.92,38,2636200,30.33
"2007-11-27",38.24,38.73,37.73,38.47,4603400,30.7
"2007-11-28",38.73,39.54,38.54,39.07,2740700,31.18
"2007-11-29",38.87,39.19,38.44,39.06,2251800,31.17
"2007-11-30",39.45,40.52,38.71,40.11,3512300,32.01
"2007-12-03",39.84,40.41,39.73,40.05,2602600,31.96
"2007-12-04",39.84,40.33,39.25,39.28,2011300,31.35
"2007-12-05",39.56,39.56,38.5,39.26,3517600,31.33
"2007-12-06",39.15,41.29,38.98,40.79,5974200,32.55
"2007-12-07",40.78,42.53,40.78,42.22,5708200,33.7
"2007-12-10",42.31,42.63,41.9,42.31,2684300,33.77
"2007-12-11",42.29,42.39,41.84,41.88,2558300,33.42
"2007-12-12",41.62,43.59,41.62,43.29,3349800,34.55
"2007-12-13",42.99,43.44,42.59,43.34,2350000,34.59
"2007-12-14",43.3,44.49,43.3,43.9,4677400,35.04
"2007-12-17",43.8,44.59,40.1,42.85,5397800,34.2
"2007-12-18",43.07,43.73,42.02,43.48,3479800,34.7
"2007-12-19",43.61,44.43,42.79,43.5,3271000,34.72
"2007-12-20",43.73,44.17,43.27,43.69,2586700,34.87
"2007-12-21",44.12,45.12,43.8,44.92,5726900,35.85
"2007-12-24",45.03,45.09,44.61,44.91,844800,35.84
"2007-12-26",44.99,44.99,44.54,44.9,991200,35.83
"2007-12-27",44.8,45.03,44.41,44.75,1812500,35.71
"2007-12-28",45.02,45.02,44.47,44.77,928100,35.73
"2007-12-31",44.59,44.84,44.14,44.29,1164300,35.35
"2008-01-02",44.3,44.3,43,43.17,4149800,34.45
"2008-01-03",43.17,43.5,42.51,42.66,2832500,34.05
"2008-01-04",42.49,43.48,42.28,42.89,2754200,34.23
"2008-01-07",43.12,44.05,43.11,43.9,4317800,35.04
"2008-01-08",44.14,44.82,44.03,44.56,6610400,35.56
"2008-01-09",44.5,44.98,44.13,44.8,6291400,35.75
"2008-01-10",44.38,45.34,44.3,44.67,6626400,35.65
"2008-01-11",44.17,45.23,44,44.92,3718300,35.85
"2008-01-14",44.92,45.24,44.82,45.05,3210500,35.95
"2008-01-15",44.51,44.95,44.34,44.64,3841500,35.63
"2008-01-16",44.64,45.23,44.51,45.06,6451400,35.96
"2008-01-17",45.22,46.11,44.95,45.35,6478700,36.19
"2008-01-18",45.75,46,42.99,43.38,6241400,34.62
"2008-01-22",40.78,43.39,40.15,43.11,5166700,34.41
"2008-01-23",42,42.16,41.07,42,5106300,33.64
"2008-01-24",42.16,42.59,41.07,42.21,3939300,33.81
"2008-01-25",42.53,42.79,41.15,42.5,6090300,34.05
"2008-01-28",42.5,42.95,42.24,42.89,2765500,34.36
"2008-01-29",42.89,43.17,42.19,42.49,3604500,34.04
