"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2007-01-03",36.57,36.92,35.64,36.07,4277200,9.02
"2007-01-04",36.01,37.88,35.55,37.88,6430400,9.47
"2007-01-05",37.5,39.97,37.1,39.52,11618800,9.88
"2007-01-08",39.6,39.99,39.11,39.93,4814400,9.98
"2007-01-09",39.99,40.43,39.43,39.96,4996000,9.99
"2007-01-10",39.8,40.25,39.58,40.23,3575600,10.06
"2007-01-11",40.18,42.65,40,41.74,10939200,10.44
"2007-01-12",42.1,43.04,41.7,42.42,6449200,10.6
"2007-01-16",42.69,44.32,42.3,43.3,9854800,10.82
"2007-01-17",43.05,43.45,42.45,42.65,5239200,10.66
"2007-01-18",42.55,42.56,40.82,41.45,6803200,10.36
"2007-01-19",41.45,41.64,40.87,41.61,5058800,10.4
"2007-01-22",41.7,41.88,40.83,41.2,6394800,10.3
"2007-01-23",41.17,41.4,41,41.28,6068800,10.32
"2007-01-24",41.38,42.78,41.38,42.42,9301600,10.6
"2007-01-25",42.43,42.43,41.52,41.88,6468400,10.47
"2007-01-26",42.05,42.74,41.98,42.23,4736400,10.56
"2007-01-29",42.23,43.15,41.88,42.49,5254000,10.62
"2007-01-30",42.85,43.49,42.8,42.95,5333600,10.74
"2007-01-31",43.02,44.05,42.45,43.83,5612000,10.96
"2007-02-01",44.2,45.58,44.2,45.41,10430400,11.35
"2007-02-02",45.6,46.96,45.41,46.75,8889600,11.69
"2007-02-05",46.75,47.34,46.02,47.13,5616800,11.78
"2007-02-06",47.18,47.63,46.64,47.1,10726400,11.77
"2007-02-07",47.2,48.15,47.06,47.69,10997600,11.92
"2007-02-08",47.69,47.99,46.75,47.7,7385600,11.93
"2007-02-09",47.45,47.97,46.8,47.01,6388800,11.75
"2007-02-12",46.79,47.63,46.54,47.39,5591200,11.85
"2007-02-13",47.5,48.93,47.5,48.49,7625200,12.12
"2007-02-14",48.9,50.13,48.78,49.88,10212000,12.47
"2007-02-15",50,50.04,49.32,49.61,8974000,12.4
"2007-02-16",49.61,49.94,49.4,49.63,6041600,12.41
"2007-02-20",50,50.43,49.4,49.43,10063600,12.36
"2007-02-21",49.49,49.5,47.82,48,13291600,12
"2007-02-22",45.7,48.5,45.26,47.14,20852400,11.78
"2007-02-23",47.15,47.53,46.89,47.44,5260400,11.86
"2007-02-26",47,47.49,46.6,46.9,9469600,11.73
"2007-02-27",45.86,46.39,44.12,45,7687200,11.25
"2007-02-28",45.01,45.01,43.05,43.24,13272400,10.81
"2007-03-01",42.05,44.53,42.05,44.36,13634000,11.09
"2007-03-02",43.95,44.6,42.41,42.64,7662400,10.66
"2007-03-05",41.8,42.89,41.28,41.57,6251200,10.39
"2007-03-06",42.29,43.36,42.23,43.15,5989200,10.79
"2007-03-07",43.15,43.41,42.56,42.73,5326800,10.68
"2007-03-08",43.2,44.28,43.05,43.68,6296800,10.92
"2007-03-09",43.61,43.88,42.82,42.97,7335200,10.74
"2007-03-12",42.89,43.62,42.63,43.32,3331600,10.83
"2007-03-13",43.32,43.32,42.13,42.16,5493600,10.54
"2007-03-14",42.31,42.47,40.77,41.99,6722400,10.5
"2007-03-15",41.99,42.27,41.28,41.74,4462000,10.44
"2007-03-16",41.62,41.89,41.36,41.63,2597200,10.41
"2007-03-19",42.15,42.76,41.82,42.68,3654000,10.67
"2007-03-20",42.68,43.28,42.44,43.12,3310000,10.78
"2007-03-21",43.1,44.05,42.92,43.47,3855600,10.87
"2007-03-22",43.45,43.75,43.02,43.45,3419200,10.86
"2007-03-23",43.32,43.64,43.19,43.3,2744800,10.82
"2007-03-26",43.02,43.25,42.54,43.02,3413600,10.76
"2007-03-27",43,43.3,42.75,42.79,3686800,10.7
"2007-03-28",42.7,43.46,42.24,42.95,3338400,10.74
"2007-03-29",43.06,43.35,42.6,43.06,3395600,10.77
"2007-03-30",42.89,43.46,42.55,42.82,3610800,10.7
"2007-04-02",42.99,44,42.5,43.49,4144800,10.87
"2007-04-03",43.91,45.08,43.83,44.87,5853200,11.22
"2007-04-04",45.01,45.41,45,45.23,3476000,11.31
"2007-04-05",45.38,45.38,44.81,44.99,2185200,11.25
"2007-04-09",45.49,46.08,45.35,45.87,3719200,11.47
"2007-04-10",45.89,45.91,45.45,45.7,3244800,11.43
"2007-04-11",44.95,44.95,43,43.84,13078000,10.96
"2007-04-12",43.81,44.33,42.15,42.72,15264000,10.68
"2007-04-13",42.7,42.91,41.83,42.58,7035200,10.65
"2007-04-16",42.67,43.3,42.6,43.24,6083200,10.81
"2007-04-17",43.51,43.75,42.61,42.93,7706400,10.73
"2007-04-18",42.93,42.93,42.23,42.32,7638800,10.58
"2007-04-19",42.23,42.24,41.28,41.4,7721200,10.35
"2007-04-20",41.4,41.98,41.22,41.75,6369200,10.44
"2007-04-23",41.53,41.7,40.8,41.29,6510800,10.32
"2007-04-24",41.46,41.46,40.77,41.07,4630000,10.27
"2007-04-25",41.27,42.69,41.2,42.58,7439200,10.65
"2007-04-26",42.7,42.96,42.2,42.61,5593600,10.65
"2007-04-27",42.54,43.22,41.92,42.1,8167200,10.52
"2007-04-30",42.04,42.45,41.77,42,4006800,10.5
"2007-05-01",41.8,41.81,40.61,41.12,7380400,10.28
"2007-05-02",40.98,41.61,40.6,41.29,5800400,10.32
"2007-05-03",41.48,43.16,41.39,42.78,5596800,10.69
