"","CSX.Open","CSX.High","CSX.Low","CSX.Close","CSX.Volume","CSX.Adjusted"
"2007-01-03",34.76,35.31,34.25,34.74,19068300,10
"2007-01-04",34.79,35.05,34.46,35,12264600,10.07
"2007-01-05",34.58,35,34.15,34.28,13724100,9.86
"2007-01-08",34.21,34.74,33.87,34.67,10601100,9.98
"2007-01-09",34.65,35.28,34.02,34.26,10473600,9.86
"2007-01-10",34.99,34.99,33.5,33.89,11474400,9.75
"2007-01-11",34.1,34.36,33.97,34.26,10230600,9.86
"2007-01-12",34.44,34.75,34.04,34.7,9676200,9.98
"2007-01-16",34.48,35.76,34.4,35.6,22692900,10.24
"2007-01-17",35.4,35.82,35.2,35.4,13573500,10.19
"2007-01-18",35.53,36.16,35.33,35.54,12496200,10.23
"2007-01-19",35.59,36.24,35.32,35.73,12831600,10.28
"2007-01-22",35.63,35.75,34.81,35.1,12491100,10.1
"2007-01-23",34.5,37,34.31,36.66,22223700,10.55
"2007-01-24",36.6,36.68,35.86,36.39,11861700,10.47
"2007-01-25",36.31,36.61,35.76,35.96,12236400,10.35
"2007-01-26",35.55,36.06,34.97,35.31,13497300,10.16
"2007-01-29",34.98,35.68,34.67,35.17,20062200,10.12
"2007-01-30",35.08,35.4,34.95,35.28,12932700,10.15
"2007-01-31",35.19,37,35.19,36.79,23303700,10.59
"2007-02-01",36.78,37.58,36.77,37.28,21350400,10.73
"2007-02-02",36.95,38.29,36.95,37.92,25132200,10.91
"2007-02-05",37.99,38.14,37.59,37.89,14494200,10.9
"2007-02-06",36.75,37.46,36.75,36.96,15747300,10.63
"2007-02-07",37,37.5,36.77,37.1,17051100,10.67
"2007-02-08",36.99,37.27,36.82,36.83,13937400,10.6
"2007-02-09",37.09,37.17,36.63,37.07,22799400,10.67
"2007-02-12",37.05,38.04,36.63,37.94,23769600,10.92
"2007-02-13",37.76,39.75,37.7,39.37,38043300,11.33
"2007-02-14",39.35,42.53,39.11,42.1,50161200,12.11
"2007-02-15",41.5,41.81,40.73,40.77,29324700,11.73
"2007-02-16",40.87,41.11,40.29,40.67,20077200,11.7
"2007-02-20",40.53,40.76,40.18,40.42,24614700,11.63
"2007-02-21",39.5,41.03,39.48,40.87,22122900,11.76
"2007-02-22",41.2,41.5,40.14,40.45,24459300,11.64
"2007-02-23",40.5,40.79,40.06,40.42,19947600,11.63
"2007-02-26",40.25,40.25,39.41,39.46,22456800,11.35
"2007-02-27",38.35,38.94,36.7,37.29,27912900,10.76
"2007-02-28",37.95,38.03,37.22,37.62,19866600,10.86
"2007-03-01",36.6,37.5,35.7,36.81,32946600,10.62
"2007-03-02",36.65,37.18,36.06,36.17,20007300,10.44
"2007-03-05",35.7,36.33,35.46,35.48,15843900,10.24
"2007-03-06",36.75,36.8,36.2,36.31,26775600,10.48
"2007-03-07",36.3,37.24,36.3,37,36845100,10.68
