"","CTAS.Open","CTAS.High","CTAS.Low","CTAS.Close","CTAS.Volume","CTAS.Adjusted"
"2007-01-03",39.68,41.29,39.68,40.43,1831200,35.52
"2007-01-04",40.41,40.77,39.97,40.47,793000,35.56
"2007-01-05",40.57,40.67,39.93,40.29,1139400,35.4
"2007-01-08",40.26,40.52,40,40.33,734900,35.43
"2007-01-09",40.35,40.59,39.96,40.26,792300,35.37
"2007-01-10",39.98,40.37,39.84,40.15,967500,35.28
"2007-01-11",40.35,40.78,40.08,40.49,738200,35.58
"2007-01-12",40.49,40.91,40.28,40.68,923900,35.74
"2007-01-16",40.84,41.02,40.58,40.99,650600,36.01
"2007-01-17",40.99,41.31,40.83,40.84,787200,35.88
"2007-01-18",40.91,41.4,40.6,40.7,687100,35.76
"2007-01-19",40.32,40.92,40.31,40.8,965300,35.85
"2007-01-22",40.88,41.02,40.44,40.85,670300,35.89
"2007-01-23",40.77,41.14,40.59,40.7,530600,35.76
"2007-01-24",41.08,42.05,41.01,41.67,1321400,36.61
"2007-01-25",41.36,41.42,40.87,41.09,817600,36.1
"2007-01-26",41.13,41.19,40.67,40.97,538200,36
"2007-01-29",40.78,41.73,40.73,41.4,1270700,36.37
"2007-01-30",41.4,41.46,40.7,40.89,774700,35.93
"2007-01-31",40.9,41.22,40.54,41.15,785200,36.16
"2007-02-01",40.96,41.87,40.92,41.41,962400,36.38
"2007-02-02",41.1,41.33,40.72,41.21,867800,36.55
"2007-02-05",41.31,41.6,41.1,41.51,791200,36.82
"2007-02-06",41.67,41.71,40.99,41.62,838400,36.92
"2007-02-07",41.74,42.19,41.36,42.18,1055200,37.41
"2007-02-08",42.14,42.19,41.73,41.98,799300,37.23
"2007-02-09",42.08,42.09,41.57,41.74,904600,37.02
"2007-02-12",41.58,41.97,41.29,41.91,798300,37.17
"2007-02-13",42.03,42.09,41.68,41.97,812300,37.23
"2007-02-14",42.09,42.59,42.01,42.37,673200,37.58
"2007-02-15",42.32,42.45,41.93,42.34,569300,37.55
"2007-02-16",42.29,42.5,42.12,42.39,662200,37.6
"2007-02-20",42.17,42.86,41.93,42.81,606600,37.97
"2007-02-21",42.81,42.89,42.25,42.47,401500,37.67
"2007-02-22",42.48,42.69,42.24,42.63,437600,37.81
"2007-02-23",42.72,42.72,42.27,42.3,497800,37.52
"2007-02-26",42.37,42.65,41.8,42.08,542400,37.32
"2007-02-27",41.86,42.03,40.82,40.82,1128500,36.21
"2007-02-28",41.14,41.27,40.16,40.38,1301200,35.82
"2007-03-01",39.76,40.38,39.31,39.72,1769300,35.23
"2007-03-02",39.26,39.66,39.22,39.35,1214200,34.9
"2007-03-05",39.83,39.83,38.85,38.86,1614700,34.47
"2007-03-06",38.87,39.17,38.45,38.96,944300,34.56
"2007-03-07",39.17,40.02,38.77,39.65,1178400,35.17
"2007-03-08",39.8,40.22,39.67,39.95,1230400,35.43
"2007-03-09",40.23,40.37,39.61,40.02,1313200,35.5
"2007-03-12",39.87,40.31,39.58,40.19,524100,35.65
"2007-03-13",39.93,40.16,39.63,39.66,1242800,35.18
"2007-03-14",39.23,40.32,38.76,40.1,1542500,35.57
"2007-03-15",40,40.12,39.53,39.73,1229000,35.24
"2007-03-16",39.73,39.84,39.28,39.67,1375700,35.19
"2007-03-19",39.83,40.29,39.72,40.04,664400,35.51
"2007-03-20",40.05,40.66,40.02,40.51,1054600,35.93
"2007-03-21",37.65,38.4,36.36,37.18,7628100,32.98
"2007-03-22",37.18,37.44,37.04,37.33,2827800,33.11
"2007-03-23",37.52,37.97,37.27,37.32,1341200,33.1
"2007-03-26",37.38,37.45,36.75,37.05,1623100,32.86
"2007-03-27",37.05,37.16,36.75,36.85,1447300,32.68
"2007-03-28",36.77,36.9,36.05,36.23,1776600,32.13
