"","CTL.Open","CTL.High","CTL.Low","CTL.Close","CTL.Volume","CTL.Adjusted"
"2007-01-03",43.7,44.07,43.56,43.73,1006900,27.38
"2007-01-04",43.65,43.89,43.47,43.7,538000,27.36
"2007-01-05",43.68,43.98,43.5,43.65,816100,27.33
"2007-01-08",43.59,43.65,43.05,43.4,823300,27.18
"2007-01-09",43.41,43.62,42.92,43.21,594300,27.06
"2007-01-10",43.18,43.43,42.93,43.32,489300,27.13
"2007-01-11",43.36,43.7,43.36,43.58,748200,27.29
"2007-01-12",43.57,43.96,43.47,43.83,480900,27.45
"2007-01-16",43.87,44.12,43.7,43.95,523900,27.52
"2007-01-17",43.83,44.08,43.46,43.5,586800,27.24
"2007-01-18",42.66,44.03,42.66,43.91,662600,27.5
"2007-01-19",43.92,43.98,43.44,43.53,530700,27.26
"2007-01-22",43.63,43.94,43.48,43.75,814300,27.4
"2007-01-23",43.68,44.23,43.66,44.07,692400,27.6
"2007-01-24",44.11,44.47,44.02,44.31,699700,27.75
"2007-01-25",44.17,44.4,43.58,43.7,802000,27.36
"2007-01-26",43.6,44.37,43.26,44.27,1012300,27.72
"2007-01-29",44.28,44.62,43.94,44.34,630600,27.77
"2007-01-30",43.52,44.7,43.52,44.62,917300,27.94
"2007-01-31",44.67,44.99,44.44,44.84,566900,28.08
"2007-02-01",44.82,44.96,44.4,44.74,656500,28.02
"2007-02-02",44.56,45.2,44.56,44.92,568100,28.13
"2007-02-05",45.07,45.39,44.84,45.27,393600,28.35
"2007-02-06",45.23,45.51,45.19,45.28,446600,28.35
"2007-02-07",45.42,45.47,44.97,45,492400,28.18
"2007-02-08",45.03,45.2,44.73,44.85,874900,28.08
"2007-02-09",44.81,45.05,44.37,44.51,866100,27.87
"2007-02-12",44.41,44.85,44.3,44.32,481500,27.75
"2007-02-13",44.46,44.94,44.42,44.76,427300,28.03
"2007-02-14",44.85,45.13,44.75,45.01,633300,28.18
"2007-02-15",45.15,46.39,45.15,45.99,1034000,28.8
"2007-02-16",45.7,46.77,45.17,45.32,534900,28.38
"2007-02-20",45.41,45.55,45.16,45.5,495900,28.49
"2007-02-21",45.4,45.8,45.25,45.52,537800,28.5
"2007-02-22",45.67,45.94,45.54,45.66,510000,28.59
"2007-02-23",45.57,46.03,45.5,45.99,421400,28.8
"2007-02-26",46.13,46.36,45.78,45.9,585900,28.74
"2007-02-27",46.8,46.8,44.6,44.6,790000,27.93
"2007-02-28",44.6,45.1,44.42,44.75,1066800,28.02
"2007-03-01",45.57,45.57,43.88,44.54,1164400,27.89
"2007-03-02",44.49,44.82,44.35,44.65,682300,27.96
"2007-03-05",44.45,44.55,43.95,43.95,1355700,27.52
"2007-03-06",44.01,44.46,43.91,44.33,752700,27.76
"2007-03-07",44.18,44.29,43.88,43.91,747100,27.5
"2007-03-08",44,44.31,43.93,44.1,637900,27.66
"2007-03-09",44.28,44.43,44.14,44.35,630300,27.81
"2007-03-12",44.35,44.42,44.14,44.37,593400,27.83
"2007-03-13",44.15,44.23,43.54,43.56,708100,27.32
"2007-03-14",43.67,43.77,42.79,43.65,758400,27.37
"2007-03-15",43.57,43.83,43.5,43.7,396200,27.41
"2007-03-16",43.73,43.85,43.5,43.72,1040300,27.42
"2007-03-19",43.88,44.12,43.8,44.08,527800,27.64
"2007-03-20",43.92,44.1,43.81,44.03,652200,27.61
"2007-03-21",44.01,44.64,43.9,44.53,879700,27.93
"2007-03-22",44.62,45.18,44.59,45.09,894500,28.28
"2007-03-23",45.13,45.41,45.1,45.16,525600,28.32
"2007-03-26",45.1,45.24,44.87,45.18,1017500,28.33
"2007-03-27",45.08,45.32,44.9,45.11,616700,28.29
"2007-03-28",45.07,45.11,44.71,44.83,487100,28.11
"2007-03-29",45.03,45.13,44.75,44.93,421500,28.18
"2007-03-30",44.87,45.28,44.85,45.19,825900,28.34
"2007-04-02",45.14,45.68,45.14,45.59,841300,28.59
"2007-04-03",45.61,45.95,45.57,45.93,800200,28.8
"2007-04-04",45.95,46.11,45.76,45.93,5e+05,28.8
"2007-04-05",45.7,45.82,45.45,45.7,781000,28.66
"2007-04-09",45.78,45.78,45.31,45.66,680100,28.63
"2007-04-10",45.56,45.85,45.46,45.8,569200,28.72
"2007-04-11",45.69,45.84,45.43,45.57,420300,28.58
"2007-04-12",45.69,45.82,45.42,45.79,295600,28.72
"2007-04-13",45.8,45.9,45.54,45.87,638000,28.77
"2007-04-16",45.9,46.13,45.86,46.04,331500,28.87
"2007-04-17",46.09,46.15,45.92,46.03,329300,28.87
"2007-04-18",45.82,46.18,45.78,46.05,453400,28.88
"2007-04-19",46,46.3,45.9,46.18,513000,28.96
"2007-04-20",45.44,46.73,45.44,46.49,761400,29.15
"2007-04-23",46.45,46.64,46.15,46.15,550300,28.94
"2007-04-24",46.15,46.3,45.9,45.94,549500,28.81
"2007-04-25",45.98,46.41,45.88,46.34,466700,29.06
"2007-04-26",46.31,46.46,46.09,46.18,743900,28.96
"2007-04-27",45.33,46.28,45.33,46.28,549500,29.02
"2007-04-30",46.34,46.45,46,46.05,602200,28.88
"2007-05-01",45.16,46.16,45.16,45.82,839000,28.73
"2007-05-02",45.83,46.7,45.78,46.67,941900,29.27
"2007-05-03",47.07,49.02,47.02,48.59,1635800,30.47
"2007-05-04",48.6,48.93,48.16,48.64,1100700,30.5
"2007-05-07",48.62,48.84,48.22,48.77,840000,30.58
"2007-05-08",48.6,48.8,48.3,48.78,879300,30.59
"2007-05-09",48.78,49.01,48.5,48.7,733600,30.54
"2007-05-10",48.76,48.8,47.83,47.83,978700,30
"2007-05-11",47.88,48.07,47.55,48,1217100,30.1
"2007-05-14",48.08,48.51,47.73,48.21,706600,30.23
"2007-05-15",48.21,48.42,48.08,48.16,1102400,30.2
"2007-05-16",48.21,48.33,47.99,48.11,1323100,30.17
"2007-05-17",47.95,48.31,47.94,48.02,1376400,30.11
"2007-05-18",48.05,48.2,47.88,48.11,896600,30.17
"2007-05-21",48.1,48.38,47.89,48.16,1313000,30.2
"2007-05-22",48.16,49.05,48.11,48.73,893000,30.56
"2007-05-23",48.75,49.07,48.7,48.87,1015200,30.65
"2007-05-24",48.89,48.99,48.35,48.35,935200,30.32
"2007-05-25",48.25,48.63,48.2,48.54,791900,30.44
