"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2007-01-03",77.71,79.28,75.75,77.76,4833200,19.44
"2007-01-04",77.37,78.53,77.05,78.16,2855000,19.54
"2007-01-05",77.97,78.33,75.8,77.11,3068600,19.28
"2007-01-08",77.15,78.92,76.83,78.31,2773200,19.58
"2007-01-09",78.7,78.83,77.53,78.52,2354200,19.63
"2007-01-10",77.9,78.75,77.28,78.46,2993800,19.61
"2007-01-11",78.94,80.99,78.51,80.91,3322200,20.23
"2007-01-12",80.96,81.82,80.2,81.44,2370200,20.36
"2007-01-16",81.91,82.36,81.65,81.92,2996800,20.48
"2007-01-17",81.92,82.42,81.5,82.21,2792800,20.55
"2007-01-18",82.4,82.65,80.86,81.19,2366600,20.3
"2007-01-19",80.69,81.75,80,81.66,2630200,20.42
"2007-01-22",81.64,81.98,80.7,81.62,2536800,20.41
"2007-01-23",81.6,82.99,81.6,82.61,2291400,20.65
"2007-01-24",82.94,84.42,82.14,84.33,2450400,21.08
"2007-01-25",83.74,83.9,82.89,83.32,2741800,20.83
"2007-01-26",83.62,83.91,82.43,83.12,1552000,20.78
"2007-01-29",82.87,84.95,82.55,83.99,2404800,21
"2007-01-30",84.1,85.22,83.95,85.1,3291800,21.27
"2007-01-31",85.11,85.37,84.27,85.29,3144000,21.32
"2007-02-01",85.39,85.54,84.67,85.2,2581600,21.3
"2007-02-02",85.5,86.4,85.08,85.83,4051600,21.46
"2007-02-05",89.73,93.48,89,92.95,10448000,23.24
"2007-02-06",93.1,93.95,91.43,92.67,4024400,23.17
"2007-02-07",93.09,94.9,92.95,94.88,3681200,23.72
"2007-02-08",94.44,94.88,93.75,93.99,3952800,23.5
"2007-02-09",93.63,94.3,91.85,92.35,2900800,23.09
"2007-02-12",91.02,92.74,91,92.45,2928000,23.11
"2007-02-13",93,93,92.13,92.48,2688800,23.12
"2007-02-14",92.49,94.37,92.3,94.32,3420000,23.58
"2007-02-15",93.98,94.59,93.66,94.48,2550000,23.62
"2007-02-16",94.6,94.6,93.68,93.68,1802600,23.42
"2007-02-20",93.36,94.62,92.56,94.58,2582600,23.65
"2007-02-21",94.19,94.6,93.78,94.58,1873000,23.65
"2007-02-22",94.47,95.55,92.7,94.38,3043000,23.59
"2007-02-23",94.19,94.95,93.55,94.59,2488200,23.65
"2007-02-26",94.95,94.98,93.53,94.03,1749800,23.51
"2007-02-27",92.59,92.97,88.01,88.42,6669000,22.1
"2007-02-28",87.85,90.8,86.26,90.2,5137600,22.55
"2007-03-01",87.36,90.28,86.33,89.37,6207800,22.34
"2007-03-02",88.45,88.93,86.92,86.93,2911200,21.73
"2007-03-05",85.4,87.25,85.22,85.49,4120800,21.37
"2007-03-06",86.57,89.94,86.55,89.85,5532400,22.46
"2007-03-07",89.1,89.84,88.57,89.72,2445000,22.43
"2007-03-08",90.76,91.53,90.06,91.02,3567800,22.75
"2007-03-09",91.93,92.41,90.89,91.52,2727800,22.88
"2007-03-12",91.66,92,90.8,91.77,1828200,22.94
"2007-03-13",90.95,91.35,88.32,88.69,3521200,22.17
"2007-03-14",88.52,90.17,87.39,89.82,3326800,22.45
"2007-03-15",89.62,90.44,88.54,88.93,2829200,22.23
"2007-03-16",89,89.15,87.9,88.83,3450400,22.21
"2007-03-19",89.1,90.7,88.91,90.57,2074600,22.64
"2007-03-20",90.9,91.5,90.37,91.3,1821400,22.83
"2007-03-21",91.65,93.62,90.41,93,2765600,23.25
"2007-03-22",93.56,93.9,92.16,92.99,1865600,23.25
"2007-03-23",93.23,93.49,92.42,92.93,1369400,23.23
"2007-03-26",93.3,94.67,92.7,94.61,2782800,23.65
"2007-03-27",94.07,94.21,92.68,92.94,2732600,23.24
"2007-03-28",92.21,92.4,90.14,90.36,4820400,22.59
"2007-03-29",90.86,91.29,88.72,89.69,4284600,22.42
"2007-03-30",90,90,87.08,88.27,4212200,22.07
