"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2007-01-03",95.69,96.5,92.96,93.48,3943000,40.5
"2007-01-04",95.18,95.18,91.74,92.18,4376800,39.93
"2007-01-05",92.18,92.2,90.23,90.89,5230200,39.38
"2007-01-08",90.89,92.1,90.55,91.34,3411600,39.57
"2007-01-09",91.3,92.42,90.87,92.25,4481800,39.96
"2007-01-10",91.95,93.08,91.14,92.63,4930600,40.13
"2007-01-11",92.66,95.5,92.59,95.5,5973400,41.37
"2007-01-12",96.65,99.59,96.24,99.33,8816000,43.03
"2007-01-16",99.74,99.75,98.05,99.1,3910400,42.93
"2007-01-17",99.1,100.95,99.1,99.89,4679000,43.27
"2007-01-18",98.22,100.61,98.17,100.16,3448000,43.39
"2007-01-19",100,100,98.43,98.7,5643400,42.76
"2007-01-22",99.15,99.29,96.52,96.87,4317600,41.97
"2007-01-23",97,99.74,97,99.58,5892600,43.14
"2007-01-24",98.6,99.38,97.88,98.97,2667600,42.88
"2007-01-25",98.74,99.59,96.99,97.17,2610800,42.1
"2007-01-26",98.35,98.57,96.79,98.29,2962000,42.58
"2007-01-29",98.49,99.7,97.99,98.54,2666600,42.69
"2007-01-30",98.9,100,98.44,99.92,2710200,43.29
"2007-01-31",99.7,100.51,98.35,100.28,3552200,43.44
"2007-02-01",100.44,103.18,100.44,103.02,5902800,44.63
"2007-02-02",103.02,104.72,102.37,104.33,3992600,45.2
"2007-02-05",104.34,104.89,103.51,104.11,3396600,45.1
"2007-02-06",104.75,105.13,104.36,104.74,3058200,45.38
"2007-02-07",104.7,104.94,103.41,103.5,3869200,44.84
"2007-02-08",103.51,103.51,102.19,102.9,3220800,44.58
"2007-02-09",103.33,104.23,102.67,102.79,3030200,44.53
"2007-02-12",102.91,103.75,102.13,103.22,2524800,44.72
"2007-02-13",103.23,104.19,102.52,102.67,2580000,44.48
"2007-02-14",108.49,113.72,108.15,111.91,19223400,48.48
"2007-02-15",112.53,114,111.02,113.52,6809800,49.18
"2007-02-16",112.54,114.29,112,113.93,4443600,49.36
"2007-02-20",113.15,113.8,112.89,113.35,4233800,49.11
"2007-02-21",113.36,116.47,113.09,115.95,6057200,50.23
"2007-02-22",115.77,116.5,112.13,113.06,6502400,48.98
"2007-02-23",113.39,113.71,112.14,113.33,4003000,49.1
"2007-02-26",114,114.65,112.15,113.21,3857400,49.04
"2007-02-27",110.22,111.19,106.5,108.3,6658800,46.92
"2007-02-28",108.31,109.34,106.5,108.29,5382200,46.91
"2007-03-01",106.5,109.45,105.52,108.22,4756800,46.88
"2007-03-02",107.87,107.88,105.1,105.17,4522400,45.56
"2007-03-05",103.89,106.57,103.54,104.2,5330000,45.14
"2007-03-06",105.68,107.91,105.45,107.04,6413400,46.37
"2007-03-07",109.26,112.14,108.7,110.81,7637800,48
"2007-03-08",111.82,112.88,110.08,110.79,5167000,48
