"","DF.Open","DF.High","DF.Low","DF.Close","DF.Volume","DF.Adjusted"
"2007-01-03",42.28,42.78,41.45,41.66,1337800,25.03
"2007-01-04",41.65,41.82,41.3,41.58,1029000,24.98
"2007-01-05",41.62,41.78,41.23,41.26,730400,24.79
"2007-01-08",41.27,41.86,40.95,41.78,872400,25.1
"2007-01-09",41.78,42.77,41.69,42.66,1284000,25.63
"2007-01-10",42.68,43.22,42.41,43.12,1066000,25.91
"2007-01-11",43.05,44.19,43.05,43.85,1459400,26.35
"2007-01-12",43.9,43.9,43.46,43.47,806600,26.12
"2007-01-16",43.55,44.02,43.45,43.69,956400,26.25
"2007-01-17",43.5,43.77,43.28,43.38,692600,26.07
"2007-01-18",43.5,44.01,43.37,43.51,724500,26.14
"2007-01-19",43.63,43.86,43.42,43.73,390400,26.28
"2007-01-22",43.73,44.58,43.73,44.27,1238800,26.6
"2007-01-23",44.44,44.51,44.03,44.26,1194900,26.6
"2007-01-24",44.27,44.46,44.05,44.46,974000,26.72
"2007-01-25",44.5,44.67,44.29,44.34,960800,26.64
"2007-01-26",44.3,44.5,44.22,44.3,619800,26.62
"2007-01-29",44.4,44.78,44.24,44.33,775500,26.64
"2007-01-30",44.3,44.48,44.09,44.4,807000,26.68
"2007-01-31",44.43,44.43,44.06,44.25,757400,26.59
"2007-02-01",44.25,44.58,44.16,44.35,844900,26.65
"2007-02-02",44.29,44.5,44.22,44.43,966900,26.7
"2007-02-05",44.5,44.69,44.23,44.54,773600,26.76
"2007-02-06",44.5,44.9,44.5,44.76,1159800,26.9
"2007-02-07",43.6,44.47,42.91,44.1,4870000,26.5
"2007-02-08",44.1,44.45,43.89,44.45,1106000,26.71
"2007-02-09",44.35,44.47,43.66,43.71,1528400,26.26
"2007-02-12",43.71,44.31,43.69,44.25,1502600,26.59
"2007-02-13",44.34,44.95,44.27,44.89,1593000,26.97
"2007-02-14",44.95,45,44.62,44.93,958500,27
"2007-02-15",44.99,45.68,44.93,45.6,955300,27.4
"2007-02-16",45.43,45.68,45.25,45.58,610800,27.39
"2007-02-20",45.6,46.22,45.39,46.22,889000,27.77
"2007-02-21",45.8,46.11,45.56,45.85,894000,27.55
"2007-02-22",45.98,46.01,45.5,45.65,771000,27.43
"2007-02-23",45.56,45.67,45.26,45.61,937300,27.41
"2007-02-26",45.65,46.39,45.61,46.31,933400,27.83
"2007-02-27",46.25,46.26,44.91,45.51,1489600,27.35
"2007-02-28",45.5,45.57,44.98,45.03,1150200,27.06
"2007-03-01",44.65,45.58,44.47,45.39,1068800,27.27
"2007-03-02",49.25,50.5,46.3,47.03,10433500,28.26
"2007-03-05",47.2,47.3,46.44,46.67,4112600,28.04
"2007-03-06",46.65,46.75,45.86,46.39,3375100,27.87
"2007-03-07",46.4,46.42,45.88,45.95,3351000,27.61
"2007-03-08",46.3,46.5,46.02,46.33,3757800,27.84
"2007-03-09",46.33,46.59,46.11,46.23,2131400,27.78
"2007-03-12",46.3,46.44,46.04,46.32,2216400,27.83
"2007-03-13",46.32,46.48,45.5,45.89,2676400,27.57
"2007-03-14",45.9,46.19,45,45.67,2306700,27.44
"2007-03-15",45.7,46.79,45,46.69,2156400,28.06
"2007-03-16",46.94,47.09,46,46.18,2558500,27.75
"2007-03-19",46.68,46.8,46.33,46.46,2168000,27.92
"2007-03-20",46.55,46.79,46.38,46.65,1865400,28.03
"2007-03-21",46.34,46.79,46.04,46.65,2968400,28.03
"2007-03-22",47,47.29,46.75,47.01,1714900,28.25
"2007-03-23",47.91,47.95,47.13,47.91,2298800,28.79
"2007-03-26",48.4,48.64,48.05,48.31,2111600,29.03
"2007-03-27",48.32,48.42,46.78,46.95,2877400,28.21
"2007-03-28",46.2,46.48,45.87,46,3552400,27.64
"2007-03-29",46,46.5,45.85,46.25,1733800,27.79
"2007-03-30",46.25,46.74,46.18,46.74,1960400,28.09
"2007-04-02",46.74,47.34,46.58,47.33,1825200,28.44
"2007-04-03",33,35.33,32.9,33.7,7214200,29.64
"2007-04-04",34.48,34.48,33.84,33.87,3422800,29.79
"2007-04-05",33.96,34.24,33.91,34.23,1970500,30.11
"2007-04-09",34.25,34.5,34.25,34.49,1804800,30.34
"2007-04-10",34.52,34.73,34.35,34.67,1113600,30.5
"2007-04-11",34.7,34.96,34.5,34.83,1526300,30.64
"2007-04-12",35.1,35.88,35,35.74,2876200,31.44
"2007-04-13",35.75,35.75,35.41,35.54,1032800,31.26
"2007-04-16",35.66,36.27,35.65,36.27,1641400,31.91
"2007-04-17",36.24,36.27,35.99,36.06,1475000,31.72
"2007-04-18",36.06,36.11,35.74,35.78,1824000,31.47
"2007-04-19",35,36,34.93,35.98,2098800,31.65
"2007-04-20",36.24,36.63,36.2,36.46,1313100,32.07
"2007-04-23",36.46,36.82,36.42,36.69,852400,32.28
"2007-04-24",36.55,37.02,36.41,37.02,1683200,32.57
"2007-04-25",36.95,37.44,36.78,37.36,1776900,32.86
"2007-04-26",36.53,37.48,36.53,37.29,1882800,32.8
"2007-04-27",37.24,37.24,35.5,36.17,3530200,31.82
"2007-04-30",36.2,36.91,36.2,36.43,1655100,32.05
"2007-05-01",36.59,36.72,36.1,36.63,1373900,32.22
"2007-05-02",36.45,37.06,36.45,36.93,1969200,32.49
"2007-05-03",36,36.02,32.9,33.75,10406300,29.69
"2007-05-04",33.63,33.64,32.83,33.28,5246000,29.28
"2007-05-07",33.5,34.15,33.29,34.1,3199600,30
"2007-05-08",33.88,34.06,33.85,33.95,3210900,29.86
"2007-05-09",34.31,34.31,32.9,32.91,4769500,28.95
"2007-05-10",32.78,32.94,31.73,31.78,5977700,27.96
"2007-05-11",31.9,32.24,31.51,31.75,3536800,27.93
"2007-05-14",31.8,31.89,31.32,31.57,3971200,27.77
"2007-05-15",31.3,32.08,31.25,31.98,4884000,28.13
"2007-05-16",32,32.3,31.84,32.26,2153600,28.38
"2007-05-17",32.26,32.28,31.82,31.9,2441600,28.06
"2007-05-18",31.9,32.14,31.61,32.14,2200600,28.27
"2007-05-21",32.15,32.25,31.89,32,2250400,28.15
"2007-05-22",31.89,32.29,31.89,32.13,2212800,28.26
"2007-05-23",32.15,32.89,31.95,32.15,1831600,28.28
"2007-05-24",32.15,32.24,31.59,31.75,2051800,27.93
"2007-05-25",32.04,32.16,31.72,31.94,1316100,28.1
"2007-05-29",31.89,32.19,31.85,32.15,1816600,28.28
"2007-05-30",31.74,32.28,31.71,32.27,1895800,28.39
"2007-05-31",32.41,32.81,32.36,32.76,2745200,28.82
"2007-06-01",33.11,33.47,32.87,33.21,2804400,29.21
"2007-06-04",33.05,33.41,33,33.28,1800000,29.28
"2007-06-05",33.13,33.47,33.01,33.46,1995600,29.43
"2007-06-06",33.46,33.57,33.06,33.34,1904800,29.33
"2007-06-07",33.13,33.23,32.48,32.5,1391500,28.59
"2007-06-08",32.11,32.54,31.92,32.36,2442000,28.47
"2007-06-11",32.21,32.76,31.9,32.46,1606600,28.55
"2007-06-12",31.21,31.46,30.5,31.07,5560600,27.33
"2007-06-13",31,31.51,30.93,31.46,3038600,27.67
"2007-06-14",31.25,31.43,31,31,2536900,27.27
"2007-06-15",31.27,31.74,31.05,31.23,1827900,27.47
"2007-06-18",31.23,31.86,31.18,31.58,2285300,27.78
"2007-06-19",31.57,31.78,31.22,31.75,1882200,27.93
"2007-06-20",31.71,32.34,31.39,31.73,2476100,27.91
"2007-06-21",31.72,32.1,31.39,32.09,1419200,28.23
"2007-06-22",31.87,32.13,31.52,31.58,1533200,27.78
"2007-06-25",31.55,31.69,31.02,31.35,2023800,27.58
"2007-06-26",31.35,31.45,31.01,31.22,2089400,27.46
