"","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume","DGX.Adjusted"
"2007-01-03",52.8,52.84,50.49,51.49,2677600,47.74
"2007-01-04",51.5,51.91,51.35,51.84,907300,48.07
"2007-01-05",51.73,51.74,51.25,51.34,1280900,47.6
"2007-01-08",51.25,51.79,51.06,51.7,836400,48.03
"2007-01-09",51.6,51.71,51.38,51.6,1219800,47.94
"2007-01-10",51.4,51.69,51.17,51.24,1069500,47.6
"2007-01-11",51.24,51.62,50.42,50.78,2051900,47.17
"2007-01-12",50.53,50.89,50.1,50.14,2999800,46.58
"2007-01-16",50,50.2,49.51,49.78,2242700,46.25
"2007-01-17",49.51,49.9,48.82,49.02,4375000,45.54
"2007-01-18",49.5,50.27,49.19,50.11,2601800,46.55
"2007-01-19",50.25,50.79,50.11,50.65,2210900,47.05
"2007-01-22",50.78,51,50.03,50.03,2561300,46.48
"2007-01-23",49.98,50.34,49.4,50.24,1828600,46.67
"2007-01-24",50.2,51.22,50.11,51.06,2376100,47.43
"2007-01-25",50.5,51.7,49.08,51.3,11127000,47.66
"2007-01-26",51.39,51.8,51.15,51.44,4438300,47.79
"2007-01-29",52.36,52.91,52.1,52.27,4417400,48.56
"2007-01-30",52.8,52.9,52.37,52.63,2979200,48.89
"2007-01-31",52.63,52.69,52.22,52.48,2068900,48.75
"2007-02-01",52.6,53.2,52.3,53.06,3077600,49.29
"2007-02-02",53.2,53.46,53,53.35,1827700,49.56
"2007-02-05",53.18,53.25,52.52,52.7,2709500,48.96
"2007-02-06",52.85,53.08,52.31,52.7,1994900,48.96
"2007-02-07",52.9,53,52.51,52.93,1407500,49.17
"2007-02-08",53.01,53.02,52.37,52.41,1886300,48.69
"2007-02-09",52.6,52.64,52.16,52.19,1524000,48.48
"2007-02-12",52.19,52.44,52.05,52.26,718300,48.55
"2007-02-13",52.26,52.5,52.23,52.35,700900,48.63
"2007-02-14",52.36,52.88,52.25,52.68,934100,48.94
"2007-02-15",53,54.29,52.89,53.92,2526200,50.09
"2007-02-16",53.5,53.5,52.73,52.85,2653600,49.1
"2007-02-20",52.67,53.24,52.62,52.7,1224300,48.96
"2007-02-21",52.6,52.82,52.37,52.42,1254700,48.7
"2007-02-22",52.5,52.95,52.5,52.73,1037900,48.99
"2007-02-23",52.6,52.73,52.24,52.37,825900,48.65
"2007-02-26",52.4,52.45,51.8,51.88,1043600,48.2
"2007-02-27",51.4,51.61,50.3,50.96,2041200,47.34
"2007-02-28",51,51.38,50.83,51.01,1953400,47.39
"2007-03-01",51.52,52.02,49.51,51.07,3590400,47.44
"2007-03-02",51,51.1,49.92,49.92,2636900,46.38
"2007-03-05",48.75,49.51,48.75,49.25,2674700,45.75
"2007-03-06",49.5,49.7,49.22,49.31,1533000,45.81
"2007-03-07",49.28,49.41,48.87,49.03,1735000,45.55
"2007-03-08",49.3,49.95,49.29,49.8,2138100,46.26
"2007-03-09",49.95,50.24,49.52,49.72,1277100,46.19
"2007-03-12",49.62,49.79,49.07,49.31,1029600,45.81
"2007-03-13",49.16,49.23,48.63,48.75,1251200,45.29
"2007-03-14",48.6,48.89,48.07,48.73,1275000,45.27
"2007-03-15",48.77,49.35,48.7,49.14,900800,45.65
"2007-03-16",49.18,49.35,48.96,48.97,992400,45.49
"2007-03-19",49.3,49.9,49.24,49.65,783700,46.12
"2007-03-20",49.6,49.83,49.38,49.49,1068500,45.98
"2007-03-21",49.47,49.63,49.02,49.43,1177600,45.92
"2007-03-22",49.2,49.6,48.96,49.07,1651000,45.59
"2007-03-23",49.05,49.35,48.86,48.98,995800,45.5
"2007-03-26",49.04,49.75,48.95,49.72,1512700,46.19
"2007-03-27",49.78,49.81,49.34,49.65,1061500,46.12
"2007-03-28",49.48,50,49.07,49.67,1386200,46.14
"2007-03-29",49.96,50.09,49.47,49.92,2266500,46.38
"2007-03-30",50.08,50.38,49.76,49.87,1504800,46.33
"2007-04-02",49.67,50.2,49.67,50.08,1114300,46.62
"2007-04-03",50.08,51.19,50.08,51.07,1822800,47.54
"2007-04-04",50.97,51.34,50.77,51.17,1242500,47.63
"2007-04-05",51.26,51.61,51.17,51.3,889500,47.75
"2007-04-09",51.3,51.44,51.08,51.25,735800,47.71
"2007-04-10",51.25,52.25,51.25,52.22,1573400,48.61
"2007-04-11",52.34,52.48,51.97,52.03,1481200,48.43
"2007-04-12",51.97,53.08,51.88,52.78,2414400,49.13
"2007-04-13",53.75,54.75,53.62,54.31,4107000,50.56
"2007-04-16",52.5,52.75,51.41,51.69,5669800,48.12
"2007-04-17",51.59,52.11,50.37,50.6,3603900,47.1
