"","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume","DIS.Adjusted"
"2007-01-03",34.21,34.54,33.99,34.2,13566800,30.76
"2007-01-04",34.2,34.55,34.17,34.47,9809300,31
"2007-01-05",34.27,34.44,33.99,34.19,10554700,30.75
"2007-01-08",34.19,34.63,34.07,34.5,9482600,31.03
"2007-01-09",34.5,34.69,33.95,34.45,11592000,30.98
"2007-01-10",34.15,34.55,33.98,34.49,7307800,31.02
"2007-01-11",34.59,35.03,34.45,34.99,12365200,31.47
"2007-01-12",34.99,35.29,34.85,35.21,12026000,31.67
"2007-01-16",35.01,35.15,34.89,35.03,11151400,31.51
"2007-01-17",35,35.3,34.9,35.25,9949300,31.7
"2007-01-18",35.3,35.93,35.25,35.85,16729100,32.24
"2007-01-19",35.93,35.97,35.48,35.5,12625100,31.93
"2007-01-22",35.45,35.48,35.05,35.15,8844400,31.61
"2007-01-23",35.02,35.64,35,35.58,11282400,32
"2007-01-24",35.58,35.75,35.27,35.35,10765000,31.79
"2007-01-25",35.35,35.42,34.88,34.94,9587700,31.42
"2007-01-26",35,35.07,34.47,34.55,10536900,31.07
"2007-01-29",34.5,35.07,34.44,34.68,11193900,31.19
"2007-01-30",34.64,35.09,34.62,35.04,6641800,31.51
"2007-01-31",35.14,35.26,35.01,35.17,9061700,31.63
"2007-02-01",35.09,35.15,34.89,35.01,8160800,31.49
"2007-02-02",35.02,35.38,35,35.18,7775700,31.64
"2007-02-05",35.4,35.49,35.15,35.26,8995100,31.71
"2007-02-06",35.41,35.46,35.08,35.19,7909400,31.65
"2007-02-07",35.35,35.59,35.2,35.48,12163000,31.91
"2007-02-08",36.04,36.09,34.95,35.29,20742900,31.74
"2007-02-09",35.2,35.3,33.92,34.36,19252200,30.9
"2007-02-12",34.53,34.66,33.77,33.92,18021100,30.51
"2007-02-13",34.07,34.62,33.93,34.59,13027900,31.11
"2007-02-14",34.58,34.82,34.52,34.75,12000200,31.25
"2007-02-15",34.7,34.73,34.17,34.67,11202200,31.18
"2007-02-16",34.68,34.91,34.41,34.89,9637900,31.38
"2007-02-20",34.82,35.13,34.67,35.05,8821000,31.52
"2007-02-21",34.83,35.24,34.75,35.14,8349400,31.6
"2007-02-22",35.07,35.24,34.96,35.16,7764800,31.62
"2007-02-23",35.1,35.21,34.98,35.14,7245900,31.6
"2007-02-26",35.14,35.29,34.93,35.11,8216600,31.58
"2007-02-27",34.75,35,32.65,33.1,15159000,29.77
"2007-02-28",33.5,34.38,33.33,34.25,15824300,30.8
"2007-03-01",33.73,34.5,33.53,34.39,13920300,30.93
"2007-03-02",34.11,34.24,33.86,33.95,10059600,30.53
"2007-03-05",33.55,34.11,33.42,33.72,10664100,30.33
"2007-03-06",33.85,34.55,33.75,34.37,11530000,30.91
"2007-03-07",34.39,34.62,34.25,34.43,9523800,30.97
"2007-03-08",34.62,34.83,34.4,34.69,8294600,31.2
"2007-03-09",34.87,34.9,34.28,34.37,11562700,30.91
"2007-03-12",34.18,34.37,33.92,34.2,11829600,30.76
"2007-03-13",33.99,34.12,33.51,33.62,13898000,30.24
"2007-03-14",34.46,34.46,33.28,33.73,10330700,30.34
"2007-03-15",33.96,34.09,33.74,33.79,10051200,30.39
"2007-03-16",33.9,34.1,33.5,33.61,13821200,30.23
"2007-03-19",33.87,34.12,33.81,34.09,7911700,30.66
"2007-03-20",34.05,34.43,33.97,34.38,7287800,30.92
"2007-03-21",34.31,35.25,34.26,35.17,11941300,31.63
"2007-03-22",34.45,35.42,34.45,35.33,11952600,31.78
"2007-03-23",35.06,35.31,34.87,34.99,7273200,31.47
"2007-03-26",34.89,35.25,34.8,35.22,9951700,31.68
"2007-03-27",35,35.11,34.64,34.66,12374000,31.17
"2007-03-28",34.59,34.6,34.05,34.23,12583500,30.79
"2007-03-29",34.69,34.71,34.24,34.39,7859700,30.93
"2007-03-30",34.42,34.75,34.04,34.43,10666200,30.97
"2007-04-02",34.4,34.51,34.24,34.47,7048100,31
"2007-04-03",34.57,35.17,34.52,34.92,12228200,31.41
"2007-04-04",34.84,34.87,34.44,34.64,10021700,31.16
"2007-04-05",34.62,35.01,34.55,34.91,7687400,31.4
"2007-04-09",34.91,35.01,34.8,34.91,8178800,31.4
"2007-04-10",34.97,35.03,34.76,34.99,7596000,31.47
"2007-04-11",34.94,35.08,34.34,34.59,12003800,31.11
"2007-04-12",34.6,34.73,34.43,34.67,9245000,31.18
"2007-04-13",34.67,34.87,34.51,34.72,9093000,31.23
"2007-04-16",34.8,35.14,34.77,35.02,8112900,31.5
"2007-04-17",34.93,35.24,34.71,35.15,8996100,31.61
"2007-04-18",35.05,35.1,34.75,34.92,7425400,31.41
"2007-04-19",34.95,35.02,34.57,34.92,8200100,31.41
"2007-04-20",35.19,35.32,34.71,35.28,12250200,31.73
"2007-04-23",35.2,35.3,35.03,35.08,6983700,31.55
"2007-04-24",35.1,35.24,34.89,34.91,6941100,31.4
