"","DISCA.Open","DISCA.High","DISCA.Low","DISCA.Close","DISCA.Volume","DISCA.Adjusted"
"2007-01-03",16.17,16.56,16.09,16.49,3e+06,16.49
"2007-01-04",16.5,16.66,16.28,16.42,2364500,16.42
"2007-01-05",16.43,16.54,16.14,16.31,917400,16.31
"2007-01-08",16.29,16.82,16.21,16.62,2889500,16.62
"2007-01-09",16.69,16.77,16.49,16.51,820900,16.51
"2007-01-10",16.43,16.65,16.4,16.63,867000,16.63
"2007-01-11",16.7,16.86,16.7,16.77,1386600,16.77
"2007-01-12",16.8,16.94,16.7,16.9,1194200,16.9
"2007-01-16",16.9,17.39,16.77,17.34,2224200,17.34
"2007-01-17",17.35,17.4,17.1,17.12,1010600,17.12
"2007-01-18",17.31,17.44,17.04,17.19,1159000,17.19
"2007-01-19",17.13,17.27,16.93,17.17,1107600,17.17
"2007-01-22",17.17,17.33,16.79,17.01,994700,17.01
"2007-01-23",16.89,17.19,16.86,16.98,742600,16.98
"2007-01-24",16.98,17.24,16.9,17.09,566100,17.09
"2007-01-25",16.87,16.96,16.51,16.62,934000,16.62
"2007-01-26",16.68,16.71,16.33,16.43,977100,16.43
"2007-01-29",16.35,16.82,16.33,16.73,914500,16.73
"2007-01-30",16.58,16.73,16.47,16.51,760900,16.51
"2007-01-31",16.59,16.6,16.28,16.57,972600,16.57
"2007-02-01",16.56,16.84,16.56,16.71,822200,16.71
"2007-02-02",16.72,16.78,16.39,16.58,689100,16.58
"2007-02-05",16.51,16.59,16.3,16.43,813700,16.43
"2007-02-06",16.55,16.57,16.11,16.22,1789000,16.22
"2007-02-07",16.25,16.27,16.1,16.13,1500400,16.13
"2007-02-08",16.11,16.31,16.05,16.16,974600,16.16
"2007-02-09",16.13,16.25,15.89,16.05,1035700,16.05
"2007-02-12",16.04,16.2,16,16.16,1154000,16.16
"2007-02-13",16.12,16.37,16.1,16.33,1280100,16.33
"2007-02-14",16.4,16.85,16.31,16.52,1518500,16.52
"2007-02-15",16.47,16.64,16.45,16.61,612100,16.61
"2007-02-16",16.58,16.65,16.38,16.39,1125600,16.39
"2007-02-20",16.34,16.6,16.31,16.58,728300,16.58
"2007-02-21",16.59,16.6,16.36,16.44,453400,16.44
"2007-02-22",16.4,16.51,16.24,16.27,922700,16.27
"2007-02-23",16.35,16.41,16.19,16.2,911200,16.2
"2007-02-26",16.29,16.32,16.19,16.26,1007200,16.26
"2007-02-27",16.2,16.36,15.88,15.89,1543700,15.89
"2007-02-28",15.95,16.5,15.9,16.06,1761500,16.06
"2007-03-01",15.81,16.54,15.52,16.18,1918800,16.18
"2007-03-02",16.2,16.2,15.91,15.98,1054500,15.98
"2007-03-05",15.9,16.02,15.64,15.96,1420100,15.96
"2007-03-06",16.04,17.01,15.8,16.79,3629200,16.79
"2007-03-07",16.81,17.11,16.6,17.01,1921100,17.01
"2007-03-08",17.07,17.24,16.88,17.15,2174000,17.15
"2007-03-09",17.25,17.26,17.11,17.24,2280500,17.24
"2007-03-12",17.16,17.21,17.06,17.21,1915200,17.21
"2007-03-13",16.94,17.21,16.92,16.97,1726200,16.97
"2007-03-14",16.92,17,16.81,16.95,1503900,16.95
"2007-03-15",16.97,17.03,16.93,17,1294900,17
"2007-03-16",16.97,17.12,16.92,17.11,2013700,17.11
"2007-03-19",17.18,17.45,17.11,17.29,1847100,17.29
"2007-03-20",17.3,17.31,17.03,17.08,2050800,17.08
"2007-03-21",17.18,17.9,17.08,17.9,3412900,17.9
"2007-03-22",17.9,18.03,17.6,17.7,2281700,17.7
"2007-03-23",17.75,18.39,17.66,18.35,3794300,18.35
"2007-03-26",18.39,18.39,18.2,18.26,1955700,18.26
"2007-03-27",18.25,18.32,18.17,18.3,1881000,18.3
"2007-03-28",18.28,18.39,18.08,18.31,2831600,18.31
"2007-03-29",18.8,19.47,18.46,19.43,4854700,19.43
"2007-03-30",19.34,19.48,19.05,19.13,2652000,19.13
"2007-04-02",19.13,19.35,19.12,19.35,3238200,19.35
"2007-04-03",19.46,20.04,19.36,19.75,4270000,19.75
"2007-04-04",19.78,20.08,19.7,20.08,3341300,20.08
"2007-04-05",20.14,20.15,19.88,19.99,2214000,19.99
"2007-04-09",20.01,20.4,19.97,20.17,3193700,20.17
