"","DLTR.Open","DLTR.High","DLTR.Low","DLTR.Close","DLTR.Volume","DLTR.Adjusted"
"2007-01-03",30.37,31.04,30.35,30.69,4521200,10.23
"2007-01-04",30.75,31.03,30.01,30.65,4615800,10.22
"2007-01-05",30.61,32.78,30.61,32.03,12265600,10.68
"2007-01-08",32.09,32.42,31.62,32.01,8189200,10.67
"2007-01-09",32.23,32.3,31.75,31.96,3730400,10.65
"2007-01-10",31.96,32.12,31.74,32.01,2441200,10.67
"2007-01-11",32.16,32.33,31.91,32.09,2887200,10.7
"2007-01-12",32.12,32.3,31.79,32.1,4113200,10.7
"2007-01-16",32.14,32.53,31.87,32,3107200,10.67
"2007-01-17",32.04,32.08,31.56,31.63,1709600,10.54
"2007-01-18",31.72,31.95,31.4,31.73,2698000,10.58
"2007-01-19",31.71,31.78,31.25,31.6,2831400,10.53
"2007-01-22",31.67,31.95,31.16,31.5,2077600,10.5
"2007-01-23",31.56,31.64,31.29,31.41,1797200,10.47
"2007-01-24",31.38,31.71,31.35,31.61,2159200,10.54
"2007-01-25",31.42,31.42,30.62,30.76,3831000,10.25
"2007-01-26",30.89,30.96,30.43,30.85,3137600,10.28
"2007-01-29",30.86,31.41,30.63,31.27,4050400,10.42
"2007-01-30",31.29,31.34,30.93,31.11,1864200,10.37
"2007-01-31",31.13,31.58,30.94,31.45,1954800,10.48
"2007-02-01",31.58,31.81,31.34,31.66,4134800,10.55
"2007-02-02",31.66,31.86,31.53,31.74,2490800,10.58
"2007-02-05",31.59,31.65,31.24,31.6,1998600,10.53
"2007-02-06",31.6,31.74,31.32,31.6,1774800,10.53
"2007-02-07",31.64,31.94,31.41,31.81,2527600,10.6
"2007-02-08",31.84,33.89,31.79,33.45,10210800,11.15
"2007-02-09",33.68,33.68,33.12,33.31,5508400,11.1
"2007-02-12",33.39,33.4,32.79,32.99,4525600,11
"2007-02-13",33,33.34,32.74,33.3,4573200,11.1
"2007-02-14",33.34,34.03,33.11,34,5114400,11.33
"2007-02-15",33.94,34.39,33.64,34.13,3302400,11.38
"2007-02-16",34.09,34.19,33.66,34.17,2922600,11.39
"2007-02-20",34.2,34.75,34,34.55,2695600,11.52
"2007-02-21",34.52,34.98,34.33,34.57,2878200,11.52
"2007-02-22",34.61,34.69,34,34.23,3209600,11.41
"2007-02-23",34.34,34.36,33.82,34.05,2456400,11.35
"2007-02-26",34.19,34.42,33.82,34.18,1996200,11.39
"2007-02-27",33.84,33.87,32.78,32.99,6903200,11
"2007-02-28",33.5,34.64,33.25,34.11,9211200,11.37
"2007-03-01",33.44,34.46,33.19,34.37,9199800,11.46
"2007-03-02",34.21,34.75,34.21,34.26,4864800,11.42
"2007-03-05",33.9,34.55,33.64,33.72,5016800,11.24
"2007-03-06",33.85,34.72,33.71,34.61,5110400,11.54
"2007-03-07",34.65,35.42,34.48,34.93,7236000,11.64
"2007-03-08",34.99,35.54,34.75,35.43,7944800,11.81
"2007-03-09",35.59,35.9,35,35.66,10210200,11.89
"2007-03-12",36.61,37.22,36.36,36.66,11418400,12.22
"2007-03-13",36.82,36.82,35.82,35.84,5419200,11.95
"2007-03-14",35.76,35.85,35.05,35.56,4673600,11.85
"2007-03-15",35.6,36.13,35.55,35.98,3456600,11.99
"2007-03-16",35.67,35.99,35.47,35.58,3125400,11.86
"2007-03-19",35.72,36.35,35.69,36.04,4002600,12.01
"2007-03-20",36.12,36.23,35.77,36.22,3822400,12.07
"2007-03-21",36.26,37,36.17,36.86,5268400,12.29
"2007-03-22",36.9,37.88,36.9,37.71,6606800,12.57
"2007-03-23",37.9,38.31,37.77,38.21,4547400,12.74
"2007-03-26",38.12,38.22,37.38,38.13,5344800,12.71
"2007-03-27",37.95,38.08,37.53,37.67,3426000,12.56
"2007-03-28",37.6,37.6,36.85,37.26,4286800,12.42
"2007-03-29",37.35,37.62,37.11,37.34,3798400,12.45
"2007-03-30",37.51,38.36,37.33,38.24,3605400,12.75
"2007-04-02",38.11,38.37,37.64,37.97,5397600,12.66
"2007-04-03",38.05,38.66,38.01,38.61,3732600,12.87
"2007-04-04",38.17,38.49,37.45,38.27,3909000,12.76
"2007-04-05",38.03,38.21,37.86,38.08,2495600,12.69
"2007-04-09",37.99,38.24,37.75,38.05,3225000,12.68
"2007-04-10",37.8,38.71,37.8,38.57,2629600,12.86
"2007-04-11",38.49,38.7,38.12,38.37,3768600,12.79
"2007-04-12",38.33,39.31,38.14,39.26,4361200,13.09
"2007-04-13",39.18,39.25,38.41,38.63,4199200,12.88
"2007-04-16",38.61,39.12,38.61,38.87,2519200,12.96
"2007-04-17",38.83,38.91,38.47,38.65,2534800,12.88
"2007-04-18",38.58,38.79,38.36,38.51,2287600,12.84
"2007-04-19",38.27,38.61,37.96,38.5,2741200,12.83
"2007-04-20",38.71,39.95,38.67,39.53,4133200,13.18
"2007-04-23",39.48,39.64,39.23,39.44,1902600,13.15
"2007-04-24",39.4,39.4,38.72,38.97,2066400,12.99
"2007-04-25",39.1,39.73,38.95,39.53,1650600,13.18
"2007-04-26",39.53,39.92,39.46,39.7,3016000,13.23
"2007-04-27",39.7,40.31,39.66,40.26,3527200,13.42
"2007-04-30",40.12,40.25,39.27,39.32,4889400,13.11
"2007-05-01",39.3,39.5,38.69,38.97,3144400,12.99
"2007-05-02",39.15,39.34,38.91,39.25,3624400,13.08
"2007-05-03",39.25,39.77,38.94,39.7,3735000,13.23
"2007-05-04",39.86,39.9,39.52,39.84,1636200,13.28
"2007-05-07",39.96,40.06,39.66,39.89,1470800,13.3
"2007-05-08",39.83,39.92,39.48,39.64,2337200,13.21
"2007-05-09",39.66,40.43,39.47,40.27,2712600,13.42
"2007-05-10",41.25,41.95,40.83,41.4,9368400,13.8
"2007-05-11",41.33,41.79,41.33,41.75,3018800,13.92
"2007-05-14",41.63,41.85,41.32,41.49,2295200,13.83
"2007-05-15",41.6,41.95,40.82,40.89,3293200,13.63
"2007-05-16",41.1,41.44,40.8,41.14,2867200,13.71
"2007-05-17",41.13,41.27,40.61,41.16,3322800,13.72
"2007-05-18",41.36,41.46,40.76,41.35,3111600,13.78
"2007-05-21",41.26,41.82,41.26,41.78,2212000,13.93
"2007-05-22",41.85,42,41.55,41.91,1896600,13.97
"2007-05-23",42,42.99,41.97,42.4,2835000,14.13
"2007-05-24",42.3,42.61,41.3,41.58,4183200,13.86
"2007-05-25",41.61,41.95,41.48,41.55,1858400,13.85
"2007-05-29",41.8,43.19,41.77,42.97,5556600,14.32
"2007-05-30",43,43.26,41.55,43.07,10618400,14.36
"2007-05-31",43.13,44.12,41.54,42.31,8721600,14.1
"2007-06-01",42.54,43.13,42.32,42.41,4089600,14.14
"2007-06-04",42.47,42.72,42.23,42.48,3306400,14.16
"2007-06-05",42.4,43.61,42.2,43.55,4771200,14.52
"2007-06-06",43.63,45.98,43.1,45.57,11141600,15.19
"2007-06-07",45.57,45.57,43.62,43.67,7840000,14.56
"2007-06-08",43.94,44.08,42.85,43.62,6133200,14.54
"2007-06-11",44,44.49,43.89,44.17,4722000,14.72
"2007-06-12",43.95,44.17,42.87,42.96,4284600,14.32
"2007-06-13",43.32,43.95,42.91,43.5,2720400,14.5
"2007-06-14",43.64,44.73,43.51,44,3415800,14.67
"2007-06-15",44,44.05,43.17,43.35,2898800,14.45
"2007-06-18",43.67,43.98,43.3,43.54,2723600,14.51
"2007-06-19",43.33,43.54,42.61,42.85,2343600,14.28
"2007-06-20",42.9,43.2,42.16,42.24,1835200,14.08
"2007-06-21",42.11,42.74,41.75,42.66,1964800,14.22
"2007-06-22",42.57,42.92,42,42.02,5574600,14.01
"2007-06-25",41.89,42.58,41.85,41.98,3781200,13.99
"2007-06-26",42.36,43.69,42.24,42.99,5820800,14.33
"2007-06-27",42.87,44.42,42.84,44.42,7457400,14.81
"2007-06-28",44.45,44.51,43.9,44.33,4040400,14.78
"2007-06-29",44.45,44.45,43.35,43.55,3849600,14.52
"2007-07-02",43.85,44.5,43.46,43.82,3551400,14.61
"2007-07-03",44.02,44.02,43.41,43.53,2049200,14.51
"2007-07-05",43.73,43.75,43.18,43.73,2543400,14.58
"2007-07-06",43.73,44.25,43.39,44.21,2945600,14.74
"2007-07-09",44.35,44.35,43.04,43.58,4163200,14.53
"2007-07-10",43.29,43.4,41.85,41.89,4384000,13.96
"2007-07-11",41.97,43.02,41.5,42.97,4719600,14.32
"2007-07-12",43.23,44.4,43.23,43.56,3861600,14.52
"2007-07-13",43.6,43.87,43.13,43.59,2059200,14.53
"2007-07-16",43.55,43.69,43.02,43.39,1858400,14.46
"2007-07-17",43.33,43.41,42.15,42.37,2422000,14.12
"2007-07-18",42.38,42.73,41.85,42.29,2606800,14.1
"2007-07-19",42.6,42.93,42.18,42.27,1583400,14.09
"2007-07-20",42.2,42.2,40.96,41.28,2458000,13.76
"2007-07-23",41.54,41.74,41.05,41.35,3204000,13.78
"2007-07-24",41.05,41.24,40.28,40.47,3278800,13.49
"2007-07-25",40.55,40.6,39.91,40.3,3177200,13.43
"2007-07-26",39.84,39.96,37.93,38.15,7204000,12.72
"2007-07-27",38.03,39.46,38.03,38.86,6810400,12.95
"2007-07-30",38.81,39.55,38.38,39.27,6328800,13.09
"2007-07-31",39.63,40.23,38.23,38.26,5236400,12.75
"2007-08-01",38.29,39.05,38.02,38.72,6011400,12.91
"2007-08-02",38.85,40.59,38.85,40.18,4637400,13.39
"2007-08-03",40.11,40.19,38.36,38.5,4414000,12.83
"2007-08-06",38.39,40.1,38.36,39.9,5288400,13.3
"2007-08-07",39.8,41.29,39.67,40.95,5136400,13.65
"2007-08-08",41.27,43.37,40.46,42.45,7083200,14.15
"2007-08-09",40.94,41.5,37.34,39.28,10488800,13.09
"2007-08-10",39.22,40.5,36.78,39.08,7036800,13.03
"2007-08-13",39.62,40.85,38.16,38.16,4946800,12.72
"2007-08-14",38.01,38.25,36.31,37.48,5402000,12.49
"2007-08-15",37.34,37.75,36.69,36.76,2842000,12.25
"2007-08-16",36.43,36.99,34.91,35.89,5329600,11.96
"2007-08-17",36.82,37.81,36.44,37.2,4410400,12.4
"2007-08-20",37.99,39.14,37.53,38.22,4007200,12.74
"2007-08-21",37.96,38.35,37.33,37.75,1886000,12.58
"2007-08-22",38.19,39,38.09,38.94,2656400,12.98
"2007-08-23",39.18,40.5,38.07,38.19,2934000,12.73
"2007-08-24",38.17,39.45,38.1,39.25,3322200,13.08
"2007-08-27",39.48,40.28,39.11,39.92,4513800,13.31
"2007-08-28",40.08,40.13,38.62,38.87,4689600,12.96
"2007-08-29",39.13,41.09,38.9,40.97,5596800,13.66
"2007-08-30",40.32,41.09,40.04,40.46,4035600,13.49
"2007-08-31",41,43.7,41,43.45,6426800,14.48
"2007-09-04",43.18,44.12,43.05,43.24,5671600,14.41
"2007-09-05",42.74,42.92,41.85,42.23,5431200,14.08
"2007-09-06",42.42,43.2,41.7,42,4119000,14
"2007-09-07",41.67,41.99,41.11,41.32,4980800,13.77
"2007-09-10",41.6,41.96,40.39,41.32,3974400,13.77
"2007-09-11",41.42,42.23,41.4,41.82,3997800,13.94
"2007-09-12",41.83,41.92,41.35,41.36,3262800,13.79
"2007-09-13",41.66,42.28,41.14,41.96,3067600,13.99
"2007-09-14",41.94,42.12,41.2,41.91,3348400,13.97
"2007-09-17",41.71,41.79,41.02,41.22,2985200,13.74
"2007-09-18",41.58,43.2,41.29,42.67,3684400,14.22
"2007-09-19",42.64,44.13,42.42,42.74,3954600,14.25
"2007-09-20",42.52,42.81,41.64,41.92,4094800,13.97
"2007-09-21",42.22,42.39,41.38,41.61,5597400,13.87
"2007-09-24",41.77,42.1,41.02,41.2,3937200,13.73
"2007-09-25",40.73,41.68,40.34,41.26,3658200,13.75
"2007-09-26",41.22,41.83,41.22,41.58,2361600,13.86
"2007-09-27",41.81,42.48,41.47,41.67,3079200,13.89
"2007-09-28",41.62,41.83,40.46,40.54,4569200,13.51
"2007-10-01",40.48,41.6,40.45,41.25,3200400,13.75
"2007-10-02",41.57,42.04,41.24,41.93,4209000,13.98
"2007-10-03",41.62,42.97,41.62,42.08,3339000,14.03
"2007-10-04",42.32,42.42,40.37,40.51,5200400,13.5
"2007-10-05",41.12,41.75,40.71,41.37,4781600,13.79
"2007-10-08",41.45,41.48,40.97,41.12,2011200,13.71
"2007-10-09",41.15,41.5,40.85,41.4,2378000,13.8
"2007-10-10",41.25,41.89,41.25,41.54,2734200,13.85
"2007-10-11",41.96,42.75,41.62,41.87,2633600,13.96
"2007-10-12",41.95,41.95,40.96,41.26,2298000,13.75
"2007-10-15",41.19,41.25,39.94,40.68,2499000,13.56
"2007-10-16",40.42,40.57,39.01,39.39,3722400,13.13
"2007-10-17",39.6,39.82,38.67,39.35,2778400,13.12
"2007-10-18",39.12,39.48,38.63,39.02,2056200,13.01
"2007-10-19",38.98,39.18,37.4,37.46,3751800,12.49
"2007-10-22",35.8,36.99,33.69,36.89,13821600,12.3
"2007-10-23",36.97,37.4,36.23,36.56,15086000,12.19
"2007-10-24",36.41,36.88,35.93,36.73,5811200,12.24
"2007-10-25",36.9,37.35,36.1,36.32,4673400,12.11
"2007-10-26",36.71,37.99,36.48,37.99,3560400,12.66
"2007-10-29",37.82,38.08,37.33,37.49,3366400,12.5
"2007-10-30",37.53,38.89,37.24,38.37,3691800,12.79
"2007-10-31",38.62,38.69,37.56,38.3,3568400,12.77
"2007-11-01",37.79,38.28,36.58,36.61,3633000,12.2
"2007-11-02",36.85,37.19,36,36.5,3582600,12.17
"2007-11-05",36.03,36.17,34.06,34.06,6434800,11.35
"2007-11-06",34.37,35,33.92,34.71,3922000,11.57
"2007-11-07",34.29,34.63,33.47,33.48,4094000,11.16
"2007-11-08",33.27,34.12,30.11,31.69,12883600,10.56
"2007-11-09",30.7,30.7,28.52,28.64,8060400,9.55
"2007-11-12",28.54,29.99,28.45,28.68,7167200,9.56
"2007-11-13",28.84,29.38,28.74,29.09,5046400,9.7
"2007-11-14",29.3,29.47,27.89,27.95,5840000,9.32
"2007-11-15",27.88,27.97,27,27.41,5986000,9.14
"2007-11-16",27.39,27.67,26.49,26.63,5067200,8.88
"2007-11-19",26.41,26.82,26.17,26.21,8277200,8.74
"2007-11-20",27.44,28.82,26.6,27.12,11686000,9.04
"2007-11-21",26.61,27.26,26,26.92,8177400,8.97
"2007-11-23",26.17,27.44,26.1,26.8,3909600,8.93
"2007-11-26",27.08,27.17,26.5,26.9,9885000,8.97
"2007-11-27",26.83,27.22,26.3,27.21,8596000,9.07
